cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-05 01:00:00,2022-05-05 01:00:00,0.12,1.58
1,2022-05-05 02:45:00,2022-05-05 03:00:00,0.28,1.83
2,2022-05-05 04:30:00,2022-05-05 04:45:00,0.27,1.73
3,2022-05-05 06:30:00,2022-05-05 06:30:00,0.12,1.69
4,2022-05-05 08:15:00,2022-05-05 08:30:00,0.48,1.79
5,2022-05-05 09:45:00,2022-05-05 10:00:00,0.36,1.85
6,2022-05-05 11:15:00,2022-05-05 11:30:00,0.27,1.68
7,2022-05-05 19:45:00,2022-05-05 20:15:00,0.61,4.84
8,2022-05-05 21:15:00,2022-05-05 21:30:00,0.31,1.85
9,2022-05-05 22:45:00,2022-05-05 22:45:00,0.12,1.71
10,2022-05-06 00:00:00,2022-05-06 00:15:00,0.49,1.91
11,2022-05-06 01:30:00,2022-05-06 01:45:00,0.27,1.85
12,2022-05-06 02:45:00,2022-05-06 03:00:00,0.39,1.78
13,2022-05-06 04:15:00,2022-05-06 04:30:00,0.36,1.71
14,2022-05-06 05:45:00,2022-05-06 05:45:00,0.12,1.72
15,2022-05-06 07:00:00,2022-05-06 07:15:00,0.29,1.72
16,2022-05-06 08:30:00,2022-05-06 08:45:00,0.28,1.67
17,2022-05-06 10:00:00,2022-05-06 10:15:00,0.4,1.94
18,2022-05-06 11:30:00,2022-05-06 11:45:00,0.36,1.63
19,2022-05-06 13:00:00,2022-05-06 13:00:00,0.12,1.7
20,2022-05-06 14:30:00,2022-05-06 14:45:00,0.38,1.61
21,2022-05-06 16:15:00,2022-05-06 16:30:00,0.29,1.55
22,2022-05-06 18:00:00,2022-05-06 18:00:00,0.12,1.55
23,2022-05-06 19:45:00,2022-05-06 19:45:00,0.12,1.64
24,2022-05-06 21:15:00,2022-05-06 21:30:00,0.39,1.61
25,2022-05-06 23:00:00,2022-05-06 23:15:00,0.27,1.74
26,2022-05-07 00:30:00,2022-05-07 00:45:00,0.3,1.74
27,2022-05-07 02:15:00,2022-05-07 02:30:00,0.41,1.73
28,2022-05-07 04:00:00,2022-05-07 04:00:00,0.12,1.66
29,2022-05-07 05:30:00,2022-05-07 05:45:00,0.41,1.81
30,2022-05-07 07:15:00,2022-05-07 07:15:00,0.12,1.9
31,2022-05-07 08:30:00,2022-05-07 08:45:00,0.41,1.9
32,2022-05-07 10:15:00,2022-05-07 10:15:00,0.12,1.76
33,2022-05-07 11:45:00,2022-05-07 12:00:00,0.32,1.65
34,2022-05-07 13:45:00,2022-05-07 14:00:00,0.38,1.64
35,2022-05-07 15:30:00,2022-05-07 15:45:00,0.46,1.62
36,2022-05-07 17:15:00,2022-05-07 17:30:00,0.31,1.79
37,2022-05-07 19:15:00,2022-05-07 19:15:00,0.12,1.56
38,2022-05-07 20:45:00,2022-05-07 21:00:00,0.42,1.65
39,2022-05-07 22:30:00,2022-05-07 22:45:00,0.33,1.71
40,2022-05-08 00:15:00,2022-05-08 00:30:00,0.36,1.73
41,2022-05-08 02:00:00,2022-05-08 02:15:00,0.48,1.73
42,2022-05-08 03:45:00,2022-05-08 04:00:00,0.33,1.67
43,2022-05-08 05:30:00,2022-05-08 05:30:00,0.12,1.72
44,2022-05-08 07:00:00,2022-05-08 07:15:00,0.44,1.72
45,2022-05-08 08:45:00,2022-05-08 09:00:00,0.49,1.64
46,2022-05-08 10:45:00,2022-05-08 10:45:00,0.12,1.73
47,2022-05-08 20:45:00,2022-05-08 21:00:00,0.42,3.51
48,2022-05-08 22:15:00,2022-05-08 22:30:00,0.28,1.85
49,2022-05-08 23:30:00,2022-05-08 23:45:00,0.4,1.8
50,2022-05-09 01:00:00,2022-05-09 01:15:00,0.27,1.72
51,2022-05-09 02:15:00,2022-05-09 02:30:00,0.29,1.99
52,2022-05-09 04:00:00,2022-05-09 04:15:00,0.32,1.8
53,2022-05-09 05:30:00,2022-05-09 05:45:00,0.34,1.8
54,2022-05-09 19:00:00,2022-05-09 19:15:00,0.41,3.39
55,2022-05-09 20:45:00,2022-05-09 21:00:00,0.27,1.73
56,2022-05-09 22:15:00,2022-05-09 22:30:00,0.45,1.66
57,2022-05-10 00:00:00,2022-05-10 00:15:00,0.28,1.69
58,2022-05-10 01:30:00,2022-05-10 01:45:00,0.28,1.76
59,2022-05-10 03:00:00,2022-05-10 03:15:00,0.33,1.91
60,2022-05-10 04:45:00,2022-05-10 05:00:00,0.49,1.87
