cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-11 23:00:00,2021-01-12 05:00:00,6.02,41.43
1,2021-01-12 05:30:00,2021-01-12 06:15:00,0.69,8.07
2,2021-01-12 07:00:00,2021-01-12 07:45:00,0.69,8.37
3,2021-01-12 08:30:00,2021-01-12 09:15:00,0.7,8.24
4,2021-01-12 11:00:00,2021-01-12 11:45:00,0.71,8.74
5,2021-01-12 12:30:00,2021-01-12 13:15:00,0.68,7.85
6,2021-01-12 14:00:00,2021-01-12 14:45:00,0.68,8.89
7,2021-01-12 15:30:00,2021-01-12 16:15:00,0.68,8.38
8,2021-01-12 18:15:00,2021-01-12 19:00:00,0.73,8.98
9,2021-01-12 19:45:00,2021-01-12 20:30:00,0.71,9.59
10,2021-01-12 21:00:00,2021-01-13 05:00:00,7.92,55.25
11,2021-01-13 05:45:00,2021-01-13 06:30:00,0.67,7.83
12,2021-01-13 07:15:00,2021-01-13 08:00:00,0.68,7.87
13,2021-01-13 09:00:00,2021-01-13 09:30:00,0.52,7.28
14,2021-01-13 11:00:00,2021-01-13 11:30:00,0.51,7.03
15,2021-01-13 13:15:00,2021-01-13 13:45:00,0.48,6.53
16,2021-01-13 15:30:00,2021-01-13 16:00:00,0.5,6.15
17,2021-01-13 18:15:00,2021-01-13 19:00:00,0.76,9.84
18,2021-01-13 19:45:00,2021-01-13 20:30:00,0.66,7.71
19,2021-01-13 21:00:00,2021-01-13 22:45:00,2.0,10.44
20,2021-01-17 23:00:00,2021-01-18 04:45:00,5.62,32.51
21,2021-01-18 05:30:00,2021-01-18 06:15:00,0.67,7.86
22,2021-01-18 07:15:00,2021-01-18 08:00:00,0.66,7.58
23,2021-01-18 08:45:00,2021-01-18 09:45:00,0.97,9.42
24,2021-01-18 11:00:00,2021-01-18 11:45:00,0.7,8.56
25,2021-01-18 12:30:00,2021-01-18 13:15:00,0.67,7.83
26,2021-01-18 14:45:00,2021-01-18 15:15:00,0.48,6.67
27,2021-01-18 16:45:00,2021-01-18 17:00:00,0.27,1.28
28,2021-01-18 18:15:00,2021-01-18 19:00:00,0.76,9.12
