cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:30:00,2021-01-01 00:45:00,0.4,0.96
1,2021-01-01 01:45:00,2021-01-01 01:45:00,0.12,0.76
2,2021-01-01 02:45:00,2021-01-01 03:00:00,0.42,0.97
3,2021-01-01 03:45:00,2021-01-01 04:30:00,0.7,2.33
4,2021-01-01 05:00:00,2021-01-01 05:30:00,0.31,1.09
5,2021-01-01 06:00:00,2021-01-01 06:15:00,0.36,1.01
6,2021-01-01 07:00:00,2021-01-01 07:15:00,0.36,1.02
7,2021-01-01 07:45:00,2021-01-01 08:00:00,0.37,0.94
8,2021-01-01 08:45:00,2021-01-01 09:00:00,0.41,0.96
9,2021-01-01 09:30:00,2021-01-01 09:45:00,0.29,1.01
10,2021-01-01 11:00:00,2021-01-01 11:30:00,0.5,1.72
11,2021-01-01 12:00:00,2021-01-01 12:15:00,0.45,1.25
12,2021-01-01 13:00:00,2021-01-01 13:15:00,0.45,0.96
13,2021-01-01 14:00:00,2021-01-01 14:15:00,0.3,0.98
14,2021-01-01 14:45:00,2021-01-01 15:00:00,0.31,1.01
15,2021-01-01 15:45:00,2021-01-01 15:45:00,0.12,0.19
16,2021-01-01 17:15:00,2021-01-01 17:45:00,0.7,2.3
17,2021-01-01 18:30:00,2021-01-01 18:45:00,0.42,1.02
18,2021-01-01 19:15:00,2021-01-01 19:30:00,0.44,1.12
19,2021-01-01 20:00:00,2021-01-01 20:15:00,0.29,1.03
20,2021-01-01 21:00:00,2021-01-01 21:15:00,0.47,1.09
21,2021-01-01 23:00:00,2021-01-01 23:15:00,0.31,0.91
22,2021-01-02 00:15:00,2021-01-02 00:30:00,0.43,0.91
23,2021-01-02 01:30:00,2021-01-02 01:45:00,0.29,0.87
24,2021-01-02 02:30:00,2021-01-02 02:45:00,0.42,0.97
25,2021-01-02 03:45:00,2021-01-02 04:00:00,0.35,0.93
26,2021-01-02 04:45:00,2021-01-02 05:45:00,1.11,2.83
27,2021-01-02 06:30:00,2021-01-02 06:45:00,0.42,1.24
28,2021-01-02 07:30:00,2021-01-02 07:45:00,0.34,1.07
29,2021-01-02 08:30:00,2021-01-02 08:45:00,0.45,1.0
30,2021-01-02 09:15:00,2021-01-02 09:30:00,0.33,1.02
31,2021-01-02 10:15:00,2021-01-02 10:30:00,0.5,1.11
32,2021-01-02 11:15:00,2021-01-02 11:30:00,0.47,1.03
33,2021-01-02 12:15:00,2021-01-02 12:30:00,0.31,1.05
34,2021-01-02 13:00:00,2021-01-02 13:15:00,0.42,1.22
35,2021-01-02 13:45:00,2021-01-02 14:00:00,0.44,1.14
36,2021-01-02 14:45:00,2021-01-02 15:00:00,0.46,1.13
37,2021-01-02 15:45:00,2021-01-02 16:00:00,0.46,1.2
38,2021-01-02 16:45:00,2021-01-02 17:00:00,0.38,1.3
39,2021-01-02 17:30:00,2021-01-02 17:45:00,0.37,1.15
40,2021-01-02 18:30:00,2021-01-02 18:45:00,0.33,1.04
41,2021-01-02 19:15:00,2021-01-02 19:30:00,0.42,1.02
42,2021-01-02 20:00:00,2021-01-02 20:15:00,0.36,0.98
43,2021-01-02 21:00:00,2021-01-02 21:15:00,0.36,1.06
44,2021-01-02 21:45:00,2021-01-02 22:00:00,0.37,0.46
45,2021-01-02 23:15:00,2021-01-02 23:30:00,0.47,1.06
46,2021-01-03 00:15:00,2021-01-03 00:45:00,0.35,1.1
47,2021-01-03 01:30:00,2021-01-03 01:45:00,0.5,1.15
48,2021-01-03 02:45:00,2021-01-03 03:00:00,0.33,1.03
49,2021-01-03 03:45:00,2021-01-03 04:00:00,0.36,1.07
50,2021-01-03 04:45:00,2021-01-03 05:45:00,1.13,3.01
51,2021-01-03 06:30:00,2021-01-03 06:45:00,0.44,1.18
52,2021-01-03 07:15:00,2021-01-03 07:30:00,0.38,1.0
53,2021-01-03 08:00:00,2021-01-03 08:15:00,0.36,1.17
54,2021-01-03 08:45:00,2021-01-03 09:15:00,0.32,1.12
55,2021-01-03 09:45:00,2021-01-03 10:00:00,0.48,1.21
56,2021-01-03 10:30:00,2021-01-03 10:45:00,0.45,1.19
57,2021-01-03 11:30:00,2021-01-03 11:45:00,0.42,1.12
58,2021-01-03 12:15:00,2021-01-03 12:30:00,0.28,0.99
59,2021-01-03 13:00:00,2021-01-03 13:30:00,0.39,1.36
60,2021-01-03 14:15:00,2021-01-03 14:30:00,0.38,1.28
61,2021-01-03 15:00:00,2021-01-03 15:30:00,0.32,1.12
62,2021-01-03 16:00:00,2021-01-03 16:15:00,0.38,1.33
63,2021-01-03 17:00:00,2021-01-03 17:15:00,0.44,1.23
64,2021-01-03 18:00:00,2021-01-03 18:15:00,0.35,1.14
65,2021-01-03 18:45:00,2021-01-03 19:00:00,0.46,1.23
66,2021-01-03 19:30:00,2021-01-03 19:45:00,0.28,1.0
67,2021-01-03 20:30:00,2021-01-03 20:45:00,0.44,0.99
68,2021-01-03 22:30:00,2021-01-03 22:45:00,0.32,1.01
69,2021-01-03 23:15:00,2021-01-03 23:30:00,0.3,0.9
70,2021-01-04 00:15:00,2021-01-04 00:30:00,0.37,0.92
71,2021-01-04 01:15:00,2021-01-04 01:30:00,0.43,0.95
72,2021-01-04 02:15:00,2021-01-04 02:30:00,0.32,0.94
73,2021-01-04 03:00:00,2021-01-04 03:15:00,0.31,0.88
74,2021-01-04 03:45:00,2021-01-04 04:15:00,0.62,2.17
75,2021-01-04 04:45:00,2021-01-04 05:00:00,0.34,1.1
76,2021-01-04 05:30:00,2021-01-04 05:45:00,0.28,1.01
77,2021-01-04 06:15:00,2021-01-04 06:30:00,0.38,1.19
78,2021-01-04 07:00:00,2021-01-04 07:15:00,0.29,1.02
79,2021-01-04 07:45:00,2021-01-04 08:00:00,0.41,0.94
80,2021-01-04 08:30:00,2021-01-04 08:45:00,0.43,1.01
81,2021-01-04 09:15:00,2021-01-04 09:30:00,0.39,1.1
82,2021-01-04 11:00:00,2021-01-04 11:45:00,0.71,2.41
83,2021-01-04 12:15:00,2021-01-04 12:30:00,0.48,1.31
84,2021-01-04 13:15:00,2021-01-04 13:30:00,0.42,1.24
85,2021-01-04 14:00:00,2021-01-04 14:15:00,0.34,1.08
86,2021-01-04 15:00:00,2021-01-04 15:15:00,0.3,1.06
87,2021-01-04 15:45:00,2021-01-04 15:45:00,0.12,0.79
