cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-29 23:45:00,2021-10-30 00:15:00,0.32,0.8
1,2021-10-30 01:00:00,2021-10-30 01:15:00,0.33,0.76
2,2021-10-30 02:15:00,2021-10-30 02:30:00,0.46,0.89
3,2021-10-30 03:30:00,2021-10-30 03:45:00,0.35,0.87
4,2021-10-30 04:30:00,2021-10-30 05:00:00,0.34,0.86
5,2021-10-30 05:45:00,2021-10-30 06:00:00,0.36,0.83
6,2021-10-30 07:00:00,2021-10-30 07:15:00,0.49,0.82
7,2021-10-30 08:15:00,2021-10-30 08:30:00,0.34,0.81
8,2021-10-30 09:15:00,2021-10-30 09:30:00,0.31,0.7
9,2021-10-30 10:45:00,2021-10-30 10:45:00,0.12,0.63
10,2021-10-30 12:00:00,2021-10-30 12:00:00,0.12,0.63
11,2021-10-30 13:15:00,2021-10-30 13:30:00,0.28,0.69
12,2021-10-30 15:15:00,2021-10-30 15:30:00,0.41,0.76
13,2021-10-30 16:30:00,2021-10-30 16:45:00,0.4,0.73
14,2021-10-30 17:45:00,2021-10-30 18:00:00,0.39,0.74
15,2021-10-30 19:00:00,2021-10-30 19:15:00,0.4,0.72
16,2021-10-30 21:45:00,2021-10-30 22:00:00,0.33,0.68
17,2021-10-30 23:45:00,2021-10-31 00:00:00,0.49,0.7
18,2021-10-31 01:30:00,2021-10-31 01:45:00,0.37,0.46
19,2021-10-31 03:00:00,2021-10-31 03:15:00,0.32,0.8
20,2021-10-31 04:00:00,2021-10-31 04:15:00,0.3,0.76
21,2021-10-31 05:15:00,2021-10-31 05:30:00,0.43,0.89
22,2021-10-31 06:30:00,2021-10-31 06:45:00,0.43,0.72
23,2021-10-31 07:45:00,2021-10-31 08:00:00,0.46,0.71
24,2021-10-31 17:15:00,2021-10-31 17:15:00,0.12,0.61
25,2021-10-31 18:30:00,2021-10-31 18:45:00,0.33,0.84
26,2021-10-31 20:15:00,2021-10-31 20:30:00,0.35,0.8
27,2021-10-31 21:45:00,2021-10-31 22:00:00,0.3,0.69
28,2021-11-01 03:15:00,2021-11-01 03:30:00,0.28,0.69
29,2021-11-01 06:15:00,2021-11-01 06:30:00,0.37,0.91
30,2021-11-01 07:15:00,2021-11-01 07:45:00,0.33,0.84
31,2021-11-01 08:30:00,2021-11-01 08:45:00,0.38,0.8
32,2021-11-01 09:45:00,2021-11-01 10:00:00,0.3,0.53
33,2021-11-01 14:15:00,2021-11-01 14:30:00,0.42,0.68
34,2021-11-01 17:00:00,2021-11-01 17:15:00,0.48,0.67
35,2021-11-01 18:00:00,2021-11-01 18:30:00,0.33,0.84
36,2021-11-01 19:15:00,2021-11-01 19:30:00,0.38,0.97
37,2021-11-01 20:30:00,2021-11-01 20:45:00,0.43,0.93
38,2021-11-01 22:15:00,2021-11-01 22:30:00,0.32,0.81
39,2021-11-01 23:30:00,2021-11-01 23:45:00,0.36,0.78
40,2021-11-02 01:45:00,2021-11-02 02:00:00,0.36,0.83
41,2021-11-02 03:00:00,2021-11-02 03:15:00,0.34,0.85
42,2021-11-02 04:00:00,2021-11-02 04:15:00,0.32,0.83
43,2021-11-02 05:15:00,2021-11-02 05:30:00,0.41,0.85
44,2021-11-02 06:30:00,2021-11-02 06:45:00,0.44,0.87
45,2021-11-02 07:45:00,2021-11-02 08:00:00,0.31,0.8
46,2021-11-02 09:00:00,2021-11-02 09:15:00,0.28,0.71
47,2021-11-02 11:00:00,2021-11-02 11:15:00,0.32,0.78
48,2021-11-02 13:30:00,2021-11-02 13:45:00,0.46,0.59
49,2021-11-02 14:45:00,2021-11-02 15:00:00,0.45,0.82
50,2021-11-02 16:00:00,2021-11-02 16:15:00,0.34,0.74
51,2021-11-02 17:00:00,2021-11-02 17:15:00,0.35,0.87
52,2021-11-02 18:15:00,2021-11-02 18:30:00,0.42,0.88
53,2021-11-02 19:30:00,2021-11-02 19:45:00,0.44,0.84
54,2021-11-02 20:45:00,2021-11-02 20:45:00,0.12,0.61
55,2021-11-02 21:45:00,2021-11-02 22:00:00,0.29,0.73
56,2021-11-02 23:00:00,2021-11-02 23:15:00,0.31,0.71
57,2021-11-03 00:15:00,2021-11-03 00:30:00,0.38,0.73
58,2021-11-03 01:30:00,2021-11-03 01:45:00,0.45,0.74
59,2021-11-03 02:45:00,2021-11-03 03:00:00,0.45,0.85
60,2021-11-03 04:00:00,2021-11-03 04:15:00,0.39,0.85
61,2021-11-03 05:00:00,2021-11-03 05:30:00,0.33,0.83
62,2021-11-03 06:15:00,2021-11-03 06:30:00,0.45,0.86
63,2021-11-03 07:30:00,2021-11-03 07:45:00,0.35,0.87
64,2021-11-03 08:45:00,2021-11-03 09:00:00,0.38,0.73
65,2021-11-03 11:00:00,2021-11-03 11:15:00,0.41,0.8
66,2021-11-03 12:15:00,2021-11-03 12:30:00,0.33,0.75
67,2021-11-03 13:30:00,2021-11-03 13:45:00,0.29,0.72
68,2021-11-03 14:30:00,2021-11-03 14:45:00,0.32,0.71
69,2021-11-03 15:45:00,2021-11-03 16:00:00,0.4,0.86
70,2021-11-03 17:00:00,2021-11-03 17:15:00,0.32,0.81
71,2021-11-03 18:00:00,2021-11-03 18:15:00,0.32,0.83
72,2021-11-03 19:15:00,2021-11-03 19:30:00,0.41,0.83
73,2021-11-03 20:30:00,2021-11-03 20:45:00,0.47,0.83
74,2021-11-03 23:45:00,2021-11-04 00:00:00,0.36,0.8
75,2021-11-04 01:00:00,2021-11-04 01:15:00,0.49,0.74
76,2021-11-04 02:15:00,2021-11-04 02:30:00,0.35,0.75
77,2021-11-04 03:15:00,2021-11-04 03:30:00,0.33,0.86
78,2021-11-04 04:30:00,2021-11-04 04:45:00,0.44,0.85
79,2021-11-04 05:45:00,2021-11-04 06:00:00,0.41,0.9
80,2021-11-04 06:45:00,2021-11-04 07:15:00,0.33,0.85
81,2021-11-04 08:00:00,2021-11-04 08:15:00,0.4,0.84
82,2021-11-04 09:15:00,2021-11-04 09:30:00,0.39,0.85
83,2021-11-04 10:30:00,2021-11-04 10:45:00,0.34,0.72
84,2021-11-04 11:30:00,2021-11-04 11:45:00,0.31,0.76
85,2021-11-04 12:45:00,2021-11-04 13:00:00,0.48,0.72
86,2021-11-04 14:00:00,2021-11-04 14:15:00,0.34,0.85
87,2021-11-04 15:00:00,2021-11-04 15:15:00,0.38,0.86
88,2021-11-04 16:15:00,2021-11-04 16:30:00,0.4,0.87
89,2021-11-04 17:15:00,2021-11-04 17:45:00,0.33,0.85
90,2021-11-04 18:30:00,2021-11-04 18:45:00,0.44,0.84
91,2021-11-04 19:45:00,2021-11-04 20:00:00,0.37,0.83
92,2021-11-04 20:45:00,2021-11-04 21:00:00,0.38,0.21
93,2021-11-04 21:45:00,2021-11-04 22:00:00,0.37,0.75
94,2021-11-04 23:00:00,2021-11-04 23:15:00,0.47,0.74
95,2021-11-05 00:15:00,2021-11-05 00:30:00,0.38,0.73
96,2021-11-05 01:30:00,2021-11-05 01:45:00,0.3,0.72
97,2021-11-05 02:30:00,2021-11-05 02:45:00,0.28,0.71
98,2021-11-05 03:45:00,2021-11-05 04:00:00,0.46,0.87
99,2021-11-05 05:00:00,2021-11-05 05:15:00,0.37,0.86
100,2021-11-05 06:00:00,2021-11-05 06:15:00,0.32,0.83
101,2021-11-05 07:15:00,2021-11-05 07:30:00,0.5,0.87
102,2021-11-05 08:30:00,2021-11-05 08:45:00,0.3,0.72
103,2021-11-05 09:45:00,2021-11-05 10:00:00,0.3,0.75
104,2021-11-05 13:30:00,2021-11-05 13:45:00,0.44,0.85
105,2021-11-05 14:45:00,2021-11-05 15:00:00,0.36,0.73
106,2021-11-05 16:00:00,2021-11-05 16:15:00,0.39,0.88
107,2021-11-05 17:15:00,2021-11-05 17:30:00,0.3,0.76
108,2021-11-05 18:15:00,2021-11-05 18:30:00,0.34,0.83
109,2021-11-05 19:30:00,2021-11-05 19:45:00,0.38,0.85
110,2021-11-05 20:45:00,2021-11-05 20:45:00,0.12,0.59
111,2021-11-05 22:00:00,2021-11-05 22:15:00,0.31,0.74
112,2021-11-05 23:00:00,2021-11-05 23:15:00,0.49,0.69
113,2021-11-06 00:15:00,2021-11-06 00:30:00,0.37,0.72
114,2021-11-06 01:30:00,2021-11-06 01:45:00,0.3,0.72
115,2021-11-06 02:30:00,2021-11-06 02:45:00,0.29,0.72
116,2021-11-06 03:45:00,2021-11-06 04:00:00,0.49,0.88
117,2021-11-06 05:00:00,2021-11-06 05:15:00,0.35,0.86
118,2021-11-06 06:00:00,2021-11-06 06:30:00,0.34,0.86
119,2021-11-06 07:15:00,2021-11-06 07:30:00,0.4,0.83
120,2021-11-06 08:30:00,2021-11-06 08:45:00,0.43,0.83
121,2021-11-06 09:45:00,2021-11-06 10:00:00,0.33,0.84
122,2021-11-06 11:00:00,2021-11-06 11:15:00,0.35,0.7
123,2021-11-06 12:15:00,2021-11-06 12:30:00,0.41,0.67
124,2021-11-06 14:00:00,2021-11-06 14:00:00,0.12,0.63
125,2021-11-06 15:30:00,2021-11-06 15:45:00,0.34,0.86
126,2021-11-06 16:45:00,2021-11-06 17:00:00,0.41,0.82
127,2021-11-06 18:00:00,2021-11-06 18:15:00,0.44,0.8
128,2021-11-06 19:00:00,2021-11-06 19:30:00,0.43,1.12
129,2021-11-06 20:15:00,2021-11-06 20:45:00,0.42,1.07
130,2021-11-06 21:45:00,2021-11-06 22:00:00,0.39,0.92
131,2021-11-06 23:00:00,2021-11-06 23:15:00,0.38,0.94
132,2021-11-07 00:30:00,2021-11-07 00:45:00,0.39,0.7
133,2021-11-07 01:45:00,2021-11-07 02:00:00,0.5,0.72
134,2021-11-07 03:00:00,2021-11-07 03:15:00,0.38,0.86
135,2021-11-07 04:15:00,2021-11-07 04:30:00,0.31,0.78
136,2021-11-07 05:15:00,2021-11-07 05:30:00,0.34,0.86
137,2021-11-07 06:30:00,2021-11-07 06:45:00,0.44,1.18
138,2021-11-07 07:45:00,2021-11-07 08:00:00,0.39,0.77
139,2021-11-07 09:00:00,2021-11-07 09:15:00,0.32,0.82
140,2021-11-07 10:00:00,2021-11-07 10:15:00,0.33,0.81
141,2021-11-07 11:30:00,2021-11-07 11:45:00,0.3,0.71
142,2021-11-07 12:45:00,2021-11-07 13:00:00,0.37,0.68
143,2021-11-07 14:00:00,2021-11-07 14:15:00,0.39,0.74
144,2021-11-07 15:15:00,2021-11-07 15:30:00,0.49,0.73
145,2021-11-07 16:15:00,2021-11-07 16:30:00,0.28,0.72
146,2021-11-07 17:30:00,2021-11-07 17:45:00,0.47,0.88
147,2021-11-07 18:45:00,2021-11-07 19:00:00,0.4,0.86
148,2021-11-07 20:00:00,2021-11-07 20:15:00,0.48,0.72
149,2021-11-07 22:45:00,2021-11-07 23:00:00,0.31,0.69
150,2021-11-08 00:30:00,2021-11-08 00:45:00,0.29,0.69
151,2021-11-08 02:00:00,2021-11-08 02:15:00,0.49,0.72
152,2021-11-08 03:00:00,2021-11-08 03:30:00,0.37,0.94
153,2021-11-08 04:15:00,2021-11-08 04:30:00,0.34,0.88
154,2021-11-08 05:30:00,2021-11-08 05:45:00,0.45,0.88
155,2021-11-08 06:45:00,2021-11-08 07:00:00,0.37,0.9
156,2021-11-08 07:45:00,2021-11-08 08:00:00,0.34,0.87
157,2021-11-08 09:00:00,2021-11-08 09:15:00,0.38,0.77
158,2021-11-08 13:15:00,2021-11-08 13:30:00,0.43,0.91
159,2021-11-08 14:30:00,2021-11-08 14:45:00,0.45,0.8
160,2021-11-08 15:45:00,2021-11-08 16:00:00,0.4,0.96
161,2021-11-08 16:45:00,2021-11-08 17:15:00,0.36,0.91
