cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-31 05:15:00,2022-05-31 05:15:00,0.12,0.8
1,2022-06-01 02:15:00,2022-06-01 02:45:00,0.56,3.24
2,2022-06-01 05:30:00,2022-06-01 05:45:00,0.32,0.78
3,2022-06-02 02:15:00,2022-06-02 02:30:00,0.47,2.73
4,2022-06-03 02:15:00,2022-06-03 03:00:00,0.99,5.75
5,2022-06-03 05:30:00,2022-06-03 05:30:00,0.12,0.7
6,2022-06-03 17:15:00,2022-06-03 17:45:00,0.57,2.45
7,2022-06-03 18:15:00,2022-06-03 18:45:00,0.72,0.97
8,2022-06-03 19:15:00,2022-06-03 19:45:00,0.71,0.9
9,2022-06-03 20:15:00,2022-06-03 20:45:00,0.66,0.96
10,2022-06-03 21:15:00,2022-06-03 21:45:00,0.68,0.98
11,2022-06-03 22:15:00,2022-06-03 22:45:00,0.68,0.97
12,2022-06-03 23:15:00,2022-06-03 23:45:00,0.68,0.98
13,2022-06-04 00:15:00,2022-06-04 00:45:00,0.75,0.63
14,2022-06-04 01:15:00,2022-06-04 01:45:00,0.75,0.61
15,2022-06-04 02:15:00,2022-06-04 02:45:00,0.57,3.77
16,2022-06-04 03:15:00,2022-06-04 03:45:00,0.75,0.6
17,2022-06-04 04:15:00,2022-06-04 04:45:00,0.75,0.54
18,2022-06-04 05:15:00,2022-06-04 05:45:00,0.75,1.36
19,2022-06-04 06:15:00,2022-06-04 06:45:00,0.74,0.53
20,2022-06-04 07:15:00,2022-06-04 07:45:00,0.73,0.54
21,2022-06-04 08:15:00,2022-06-04 08:45:00,0.71,0.46
22,2022-06-04 09:15:00,2022-06-04 09:30:00,0.49,0.32
23,2022-06-04 10:00:00,2022-06-04 10:15:00,0.5,0.3
24,2022-06-04 10:45:00,2022-06-04 11:00:00,0.49,0.3
25,2022-06-04 11:30:00,2022-06-04 11:45:00,0.49,0.3
26,2022-06-04 12:15:00,2022-06-04 12:15:00,0.12,0.15
27,2022-06-04 12:45:00,2022-06-04 13:00:00,0.5,0.29
28,2022-06-04 13:30:00,2022-06-04 13:30:00,0.12,0.14
29,2022-06-04 14:00:00,2022-06-04 14:00:00,0.12,0.14
30,2022-06-04 18:15:00,2022-06-04 19:00:00,0.93,1.18
31,2022-06-04 19:30:00,2022-06-04 20:00:00,0.71,0.51
32,2022-06-04 20:30:00,2022-06-04 21:00:00,0.74,0.56
33,2022-06-04 21:30:00,2022-06-04 22:00:00,0.65,0.44
34,2022-06-04 22:30:00,2022-06-04 22:45:00,0.49,0.36
35,2022-06-04 23:15:00,2022-06-04 23:45:00,0.74,0.53
36,2022-06-05 00:15:00,2022-06-05 00:45:00,0.75,0.51
37,2022-06-05 01:15:00,2022-06-05 01:30:00,0.5,0.34
38,2022-06-05 02:15:00,2022-06-05 03:30:00,1.5,5.79
39,2022-06-05 04:00:00,2022-06-05 04:15:00,0.5,0.36
40,2022-06-05 04:45:00,2022-06-05 06:00:00,1.49,1.59
41,2022-06-05 06:30:00,2022-06-05 07:00:00,0.63,0.47
42,2022-06-05 07:30:00,2022-06-05 08:00:00,0.74,0.51
43,2022-06-05 08:30:00,2022-06-05 08:45:00,0.5,0.3
44,2022-06-05 09:15:00,2022-06-05 09:30:00,0.5,0.29
45,2022-06-05 10:00:00,2022-06-05 10:00:00,0.12,0.15
46,2022-06-05 10:30:00,2022-06-05 10:45:00,0.45,0.32
47,2022-06-05 11:15:00,2022-06-05 11:30:00,0.49,0.4
48,2022-06-05 12:00:00,2022-06-05 12:30:00,0.66,0.41
49,2022-06-05 13:00:00,2022-06-05 13:15:00,0.5,0.39
50,2022-06-05 13:45:00,2022-06-05 14:00:00,0.47,0.35
51,2022-06-05 14:30:00,2022-06-05 14:45:00,0.48,0.28
52,2022-06-05 15:15:00,2022-06-05 15:15:00,0.12,0.15
