cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-30 23:00:00,2021-01-31 00:00:00,1.13,4.23
1,2021-01-31 00:30:00,2021-01-31 00:30:00,0.12,0.58
2,2021-01-31 01:00:00,2021-01-31 01:00:00,0.12,0.83
3,2021-01-31 01:30:00,2021-01-31 01:45:00,0.48,1.16
4,2021-01-31 02:15:00,2021-01-31 02:15:00,0.12,0.96
5,2021-01-31 02:45:00,2021-01-31 04:15:00,1.69,3.6
6,2021-01-31 04:45:00,2021-01-31 06:30:00,1.86,4.26
7,2021-01-31 07:00:00,2021-01-31 08:00:00,1.24,2.95
8,2021-01-31 08:30:00,2021-01-31 09:30:00,1.18,2.88
9,2021-01-31 10:00:00,2021-01-31 10:00:00,0.12,0.73
10,2021-01-31 10:30:00,2021-01-31 10:30:00,0.12,0.8
11,2021-01-31 11:00:00,2021-01-31 11:15:00,0.48,1.36
12,2021-01-31 11:45:00,2021-01-31 11:45:00,0.12,0.74
13,2021-01-31 12:15:00,2021-01-31 12:15:00,0.12,0.68
14,2021-01-31 12:45:00,2021-01-31 13:30:00,1.0,1.78
15,2021-01-31 14:00:00,2021-01-31 14:00:00,0.12,0.82
16,2021-01-31 14:30:00,2021-01-31 14:30:00,0.12,0.67
17,2021-01-31 15:00:00,2021-01-31 15:15:00,0.42,1.27
18,2021-01-31 15:45:00,2021-01-31 15:45:00,0.12,0.7
19,2021-01-31 16:15:00,2021-01-31 18:15:00,2.25,4.03
20,2021-01-31 18:45:00,2021-01-31 19:00:00,0.42,1.62
21,2021-01-31 19:30:00,2021-01-31 20:30:00,1.2,2.58
22,2021-01-31 21:00:00,2021-01-31 22:00:00,1.22,3.04
23,2021-01-31 22:30:00,2021-01-31 22:30:00,0.12,0.9
24,2021-01-31 23:00:00,2021-02-01 01:15:00,2.45,6.02
25,2021-02-01 01:45:00,2021-02-01 02:30:00,1.0,2.34
26,2021-02-01 03:00:00,2021-02-01 03:15:00,0.49,1.15
27,2021-02-01 03:45:00,2021-02-01 04:00:00,0.47,1.65
28,2021-02-01 04:30:00,2021-02-01 05:30:00,1.24,2.82
29,2021-02-01 06:00:00,2021-02-01 07:00:00,1.25,3.09
30,2021-02-01 07:30:00,2021-02-01 08:30:00,1.24,2.9
31,2021-02-01 09:00:00,2021-02-01 09:45:00,0.97,1.95
32,2021-02-01 11:00:00,2021-02-01 11:15:00,0.46,1.35
33,2021-02-01 11:45:00,2021-02-01 11:45:00,0.12,0.93
34,2021-02-01 12:15:00,2021-02-01 12:30:00,0.49,1.36
35,2021-02-01 13:00:00,2021-02-01 13:00:00,0.12,0.73
36,2021-02-01 13:30:00,2021-02-01 16:45:00,3.5,5.97
37,2021-02-01 17:15:00,2021-02-01 17:15:00,0.12,0.72
38,2021-02-01 17:45:00,2021-02-01 17:45:00,0.12,0.87
39,2021-02-01 18:15:00,2021-02-01 18:30:00,0.45,1.01
40,2021-02-01 19:00:00,2021-02-01 19:00:00,0.12,0.72
41,2021-02-01 19:30:00,2021-02-01 19:30:00,0.12,0.8
42,2021-02-01 20:00:00,2021-02-01 20:15:00,0.42,1.36
43,2021-02-01 20:45:00,2021-02-01 20:45:00,0.12,0.8
44,2021-02-01 21:15:00,2021-02-01 22:00:00,1.0,2.0
45,2021-02-01 22:30:00,2021-02-02 00:00:00,1.62,4.62
46,2021-02-02 00:30:00,2021-02-02 00:30:00,0.12,0.63
47,2021-02-02 01:00:00,2021-02-02 01:45:00,1.0,2.01
48,2021-02-02 02:15:00,2021-02-02 02:15:00,0.12,0.76
49,2021-02-02 02:45:00,2021-02-02 03:00:00,0.5,1.26
50,2021-02-02 03:30:00,2021-02-02 03:30:00,0.12,0.77
51,2021-02-02 04:00:00,2021-02-02 04:00:00,0.12,0.81
52,2021-02-02 04:30:00,2021-02-02 04:45:00,0.45,1.28
53,2021-02-02 05:15:00,2021-02-02 05:15:00,0.12,0.8
54,2021-02-02 05:45:00,2021-02-02 08:45:00,3.25,5.44
55,2021-02-02 09:15:00,2021-02-02 09:45:00,0.75,1.23
56,2021-02-02 11:00:00,2021-02-02 12:15:00,1.5,2.63
57,2021-02-02 12:45:00,2021-02-02 12:45:00,0.12,0.58
58,2021-02-02 13:15:00,2021-02-02 13:15:00,0.12,0.61
59,2021-02-02 13:45:00,2021-02-02 13:45:00,0.12,0.65
60,2021-02-02 14:15:00,2021-02-02 14:15:00,0.12,0.47
61,2021-02-02 14:45:00,2021-02-02 18:00:00,3.5,4.32
62,2021-02-02 18:30:00,2021-02-02 18:30:00,0.12,0.52
63,2021-02-02 19:00:00,2021-02-02 19:00:00,0.12,0.55
64,2021-02-02 19:30:00,2021-02-02 19:30:00,0.12,0.49
65,2021-02-02 20:00:00,2021-02-02 20:00:00,0.12,0.46
66,2021-02-02 20:30:00,2021-02-02 20:30:00,0.12,0.47
67,2021-02-02 21:00:00,2021-02-02 22:15:00,1.5,1.81
68,2021-02-02 22:45:00,2021-02-02 22:45:00,0.12,0.54
69,2021-02-02 23:15:00,2021-02-03 00:00:00,0.78,3.16
70,2021-02-03 00:45:00,2021-02-03 00:45:00,0.12,0.44
71,2021-02-03 01:15:00,2021-02-03 01:15:00,0.12,0.58
72,2021-02-03 01:45:00,2021-02-03 01:45:00,0.12,0.49
73,2021-02-03 02:15:00,2021-02-03 02:15:00,0.12,0.53
74,2021-02-03 02:45:00,2021-02-03 03:15:00,0.75,1.01
75,2021-02-03 03:45:00,2021-02-03 03:45:00,0.12,0.57
76,2021-02-03 04:15:00,2021-02-03 07:00:00,3.0,4.2
77,2021-02-03 07:30:00,2021-02-03 07:30:00,0.12,0.65
78,2021-02-03 08:00:00,2021-02-03 08:00:00,0.12,0.73
79,2021-02-03 08:30:00,2021-02-03 08:30:00,0.12,0.7
80,2021-02-03 09:00:00,2021-02-03 09:45:00,1.0,1.66
81,2021-02-03 11:00:00,2021-02-03 12:15:00,1.5,2.38
