cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-09-02 05:00:00,2022-09-02 05:30:00,0.57,1.65
1,2022-09-12 05:00:00,2022-09-12 05:30:00,0.67,1.89
2,2022-09-13 05:00:00,2022-09-13 05:30:00,0.66,1.88
3,2022-09-17 05:00:00,2022-09-17 05:45:00,0.78,2.23
4,2022-09-17 18:45:00,2022-09-17 19:30:00,0.68,1.91
5,2022-09-18 05:00:00,2022-09-18 05:30:00,0.71,2.01
6,2022-09-18 21:00:00,2022-09-18 21:30:00,0.71,2.02
7,2022-09-19 05:00:00,2022-09-19 05:30:00,0.63,1.83
8,2022-09-19 19:45:00,2022-09-19 20:00:00,0.49,0.84
9,2022-09-20 05:00:00,2022-09-20 05:45:00,0.93,2.71
10,2022-09-20 08:00:00,2022-09-20 08:00:00,0.12,0.67
11,2022-09-20 21:15:00,2022-09-20 21:30:00,0.45,1.0
12,2022-09-21 05:00:00,2022-09-21 05:30:00,0.53,1.52
13,2022-09-21 07:00:00,2022-09-21 07:15:00,0.44,1.18
14,2022-09-21 19:45:00,2022-09-21 20:15:00,0.67,1.91
