cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 02:00:00,3.19,24.35
1,2021-01-20 03:00:00,2021-01-20 09:45:00,6.96,15.97
2,2021-01-20 11:00:00,2021-01-20 12:45:00,1.85,4.3
3,2021-01-20 13:15:00,2021-01-20 14:30:00,1.23,2.82
4,2021-01-20 15:00:00,2021-01-20 16:45:00,1.87,4.42
5,2021-01-20 18:15:00,2021-01-20 20:30:00,2.33,5.37
6,2021-01-20 22:45:00,2021-01-21 01:00:00,2.42,21.67
7,2021-01-21 03:15:00,2021-01-21 04:30:00,1.36,3.11
8,2021-01-21 05:15:00,2021-01-21 05:45:00,0.64,1.5
9,2021-01-21 06:15:00,2021-01-21 07:15:00,1.05,2.45
10,2021-01-21 08:00:00,2021-01-21 08:30:00,0.64,1.5
11,2021-01-21 09:15:00,2021-01-21 09:45:00,0.67,1.54
12,2021-01-21 11:00:00,2021-01-21 11:15:00,0.43,1.0
13,2021-01-21 12:15:00,2021-01-21 12:45:00,0.63,1.44
14,2021-01-21 13:30:00,2021-01-21 14:00:00,0.51,1.17
15,2021-01-21 14:45:00,2021-01-21 15:15:00,0.53,1.25
16,2021-01-21 15:45:00,2021-01-21 16:30:00,0.92,2.04
17,2021-01-21 18:15:00,2021-01-21 19:15:00,1.15,2.56
18,2021-01-21 20:00:00,2021-01-21 20:15:00,0.4,0.55
19,2021-01-21 22:45:00,2021-01-22 01:00:00,2.45,19.44
20,2021-01-22 01:30:00,2021-01-22 02:00:00,0.58,1.2
21,2021-01-22 03:15:00,2021-01-22 05:15:00,2.02,4.56
22,2021-01-22 05:45:00,2021-01-22 07:00:00,1.22,2.82
23,2021-01-22 07:30:00,2021-01-22 08:30:00,0.95,2.23
24,2021-01-22 09:00:00,2021-01-22 09:45:00,0.96,2.06
25,2021-01-22 11:00:00,2021-01-22 12:15:00,1.36,3.09
26,2021-01-22 13:00:00,2021-01-22 13:30:00,0.68,1.56
27,2021-01-22 14:15:00,2021-01-22 15:00:00,0.71,1.63
28,2021-01-22 15:30:00,2021-01-22 16:15:00,0.75,1.73
29,2021-01-22 18:15:00,2021-01-22 19:45:00,1.68,3.81
30,2021-01-22 22:45:00,2021-01-23 00:15:00,1.56,13.4
31,2021-01-23 01:00:00,2021-01-23 01:45:00,0.64,1.39
32,2021-01-23 02:30:00,2021-01-23 10:45:00,8.2,18.63
33,2021-01-23 11:15:00,2021-01-23 13:30:00,2.24,5.12
34,2021-01-23 14:00:00,2021-01-23 15:15:00,1.23,2.84
35,2021-01-23 15:45:00,2021-01-23 17:30:00,1.92,4.52
36,2021-01-23 18:00:00,2021-01-23 18:45:00,0.9,2.17
37,2021-01-23 19:30:00,2021-01-23 20:15:00,0.86,1.93
38,2021-01-23 22:45:00,2021-01-24 01:45:00,3.25,22.9
39,2021-01-24 02:45:00,2021-01-24 11:45:00,9.11,20.95
40,2021-01-24 12:30:00,2021-01-24 13:15:00,0.89,2.17
41,2021-01-24 13:45:00,2021-01-24 20:15:00,6.52,15.82
42,2021-01-24 22:45:00,2021-01-25 01:00:00,2.29,20.61
43,2021-01-25 01:45:00,2021-01-25 02:15:00,0.55,1.22
44,2021-01-25 03:15:00,2021-01-25 08:00:00,4.78,11.2
45,2021-01-25 08:30:00,2021-01-25 09:45:00,1.37,3.14
46,2021-01-25 11:00:00,2021-01-25 16:45:00,5.97,13.77
47,2021-01-25 18:15:00,2021-01-25 20:30:00,2.44,5.57
48,2021-01-25 22:30:00,2021-01-26 00:45:00,2.04,18.29
49,2021-01-26 01:45:00,2021-01-26 02:45:00,1.01,2.09
50,2021-01-26 03:15:00,2021-01-26 09:45:00,6.6,15.38
51,2021-01-26 11:00:00,2021-01-26 16:45:00,5.97,14.27
52,2021-01-26 18:15:00,2021-01-26 20:30:00,2.44,5.52
53,2021-01-26 21:45:00,2021-01-26 22:15:00,0.74,1.7
54,2021-01-26 22:45:00,2021-01-27 00:30:00,1.89,18.58
55,2021-01-27 01:00:00,2021-01-27 02:15:00,1.39,3.12
56,2021-01-27 03:00:00,2021-01-27 09:45:00,6.82,15.64
57,2021-01-27 11:00:00,2021-01-27 16:15:00,5.31,12.52
58,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,0.16
59,2021-01-27 18:15:00,2021-01-27 20:15:00,2.15,4.82
60,2021-01-27 22:45:00,2021-01-28 01:45:00,3.17,27.32
61,2021-01-28 02:45:00,2021-01-28 07:30:00,4.84,9.95
62,2021-01-28 08:00:00,2021-01-28 09:15:00,1.15,2.61
63,2021-01-28 11:00:00,2021-01-28 11:45:00,0.82,1.86
64,2021-01-28 12:15:00,2021-01-28 12:45:00,0.55,1.26
65,2021-01-28 13:30:00,2021-01-28 14:15:00,0.67,1.56
66,2021-01-28 15:00:00,2021-01-28 15:15:00,0.49,1.07
67,2021-01-28 16:00:00,2021-01-28 16:30:00,0.48,1.1
68,2021-01-28 18:15:00,2021-01-28 18:45:00,0.68,1.55
69,2021-01-28 19:30:00,2021-01-28 19:45:00,0.44,1.03
70,2021-01-28 22:45:00,2021-01-29 00:00:00,1.42,11.15
71,2021-01-29 01:15:00,2021-01-29 01:30:00,0.36,0.72
72,2021-01-29 03:15:00,2021-01-29 05:00:00,1.83,4.05
73,2021-01-29 05:30:00,2021-01-29 06:00:00,0.48,1.09
74,2021-01-29 06:30:00,2021-01-29 07:15:00,0.73,1.68
75,2021-01-29 07:45:00,2021-01-29 08:15:00,0.54,1.25
76,2021-01-29 09:00:00,2021-01-29 09:45:00,0.91,2.02
77,2021-01-29 11:00:00,2021-01-29 11:45:00,0.89,2.01
78,2021-01-29 12:15:00,2021-01-29 12:45:00,0.45,1.03
79,2021-01-29 13:15:00,2021-01-29 13:45:00,0.51,1.18
80,2021-01-29 14:30:00,2021-01-29 15:15:00,0.82,1.83
81,2021-01-29 16:00:00,2021-01-29 16:30:00,0.54,1.25
82,2021-01-29 18:15:00,2021-01-29 19:30:00,1.27,2.85
83,2021-01-29 20:00:00,2021-01-29 20:15:00,0.44,0.87
84,2021-01-29 22:45:00,2021-01-30 01:15:00,2.54,21.04
85,2021-01-30 02:30:00,2021-01-30 02:45:00,0.41,0.86
86,2021-01-30 03:15:00,2021-01-30 07:15:00,4.0,8.67
87,2021-01-30 07:45:00,2021-01-30 08:45:00,1.16,2.6
