cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 01:30:00,2021-01-01 02:00:00,0.53,2.42
1,2021-01-01 04:45:00,2021-01-01 07:00:00,2.49,12.13
2,2021-01-01 08:00:00,2021-01-01 09:15:00,1.23,6.1
3,2021-01-01 11:15:00,2021-01-01 13:00:00,1.88,9.25
4,2021-01-01 14:00:00,2021-01-01 15:00:00,1.02,5.14
5,2021-01-01 15:45:00,2021-01-01 16:15:00,0.75,3.68
6,2021-01-01 18:00:00,2021-01-01 19:45:00,1.88,9.82
7,2021-01-02 02:00:00,2021-01-02 02:30:00,0.59,2.53
8,2021-01-02 04:45:00,2021-01-02 06:30:00,1.9,9.37
9,2021-01-02 07:45:00,2021-01-02 09:00:00,1.15,5.79
10,2021-01-02 10:30:00,2021-01-02 12:30:00,2.17,10.72
11,2021-01-02 14:15:00,2021-01-02 15:30:00,1.34,6.61
12,2021-01-02 16:15:00,2021-01-02 16:45:00,0.64,3.21
13,2021-01-02 18:00:00,2021-01-02 19:15:00,1.24,6.29
14,2021-01-02 20:30:00,2021-01-02 21:15:00,0.91,4.75
15,2021-01-03 03:15:00,2021-01-03 03:45:00,0.53,2.43
16,2021-01-03 04:45:00,2021-01-03 06:00:00,1.44,7.26
17,2021-01-03 07:30:00,2021-01-03 08:45:00,1.28,6.41
18,2021-01-03 10:30:00,2021-01-03 14:00:00,3.47,17.03
19,2021-01-03 15:00:00,2021-01-03 16:15:00,1.27,6.22
20,2021-01-03 17:45:00,2021-01-03 19:15:00,1.45,7.06
21,2021-01-03 22:00:00,2021-01-03 23:15:00,1.38,6.84
22,2021-01-04 03:00:00,2021-01-04 03:45:00,0.78,3.55
23,2021-01-04 05:00:00,2021-01-04 06:30:00,1.69,8.53
24,2021-01-04 07:45:00,2021-01-04 09:00:00,1.18,5.89
25,2021-01-04 11:15:00,2021-01-04 15:00:00,3.93,18.88
26,2021-01-04 15:45:00,2021-01-04 16:15:00,0.71,3.7
27,2021-01-04 18:00:00,2021-01-04 20:15:00,2.48,12.84
28,2021-01-04 21:45:00,2021-01-04 22:30:00,0.88,4.61
29,2021-01-05 03:45:00,2021-01-05 05:30:00,1.59,7.75
30,2021-01-05 07:00:00,2021-01-05 08:45:00,1.72,8.39
31,2021-01-05 11:15:00,2021-01-05 16:15:00,5.22,24.8
32,2021-01-05 18:00:00,2021-01-05 20:30:00,2.51,12.02
33,2021-01-06 00:45:00,2021-01-06 01:30:00,0.74,3.25
34,2021-01-06 03:45:00,2021-01-06 04:15:00,0.58,2.56
35,2021-01-06 05:00:00,2021-01-06 07:15:00,2.13,10.51
36,2021-01-06 08:15:00,2021-01-06 09:45:00,1.63,7.65
37,2021-01-06 11:15:00,2021-01-06 14:00:00,2.82,14.14
38,2021-01-06 15:15:00,2021-01-06 16:15:00,1.19,6.02
39,2021-01-06 18:00:00,2021-01-06 19:15:00,1.46,7.37
40,2021-01-07 00:00:00,2021-01-07 00:30:00,0.53,2.43
41,2021-01-07 04:15:00,2021-01-07 06:00:00,1.85,8.96
42,2021-01-07 07:15:00,2021-01-07 08:45:00,1.42,7.28
43,2021-01-07 11:15:00,2021-01-07 13:15:00,2.22,10.6
44,2021-01-07 14:45:00,2021-01-07 15:45:00,1.03,5.2
45,2021-01-07 18:00:00,2021-01-07 19:45:00,1.84,9.37
46,2021-01-08 01:00:00,2021-01-08 01:30:00,0.69,3.08
47,2021-01-08 04:00:00,2021-01-08 06:15:00,2.33,11.52
48,2021-01-08 07:30:00,2021-01-08 09:30:00,2.01,10.35
49,2021-01-08 11:15:00,2021-01-08 13:30:00,2.26,11.2
50,2021-01-08 14:45:00,2021-01-08 16:00:00,1.22,6.36
51,2021-01-08 18:00:00,2021-01-08 20:00:00,2.25,11.12
52,2021-01-09 00:00:00,2021-01-09 00:45:00,0.65,2.97
53,2021-01-09 02:45:00,2021-01-09 03:30:00,0.75,3.46
54,2021-01-09 04:45:00,2021-01-09 06:45:00,2.11,10.21
55,2021-01-09 07:45:00,2021-01-09 09:45:00,2.03,10.25
