cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-12-23 03:30:00,2021-12-23 04:30:00,0.88,9.0
1,2021-12-23 05:15:00,2021-12-23 06:15:00,0.81,8.16
2,2021-12-23 07:00:00,2021-12-23 08:00:00,0.99,11.73
3,2021-12-23 09:15:00,2021-12-24 13:15:00,28.08,78.05
4,2021-12-24 14:00:00,2021-12-26 12:30:00,46.43,139.09
5,2021-12-26 13:00:00,2021-12-26 13:30:00,0.44,1.18
6,2021-12-26 14:15:00,2021-12-26 15:45:00,1.48,6.23
7,2021-12-26 16:15:00,2021-12-27 12:45:00,20.41,62.22
8,2021-12-27 13:15:00,2021-12-28 13:30:00,24.31,80.61
9,2021-12-28 14:15:00,2021-12-28 14:15:00,0.12,0.13
10,2021-12-28 15:30:00,2021-12-28 15:30:00,0.12,0.6
11,2021-12-28 16:15:00,2021-12-28 17:15:00,0.97,1.85
12,2021-12-28 17:45:00,2021-12-28 19:30:00,1.85,6.03
13,2021-12-28 20:30:00,2021-12-28 20:30:00,0.12,0.12
14,2021-12-28 21:00:00,2021-12-28 21:30:00,0.63,1.71
15,2021-12-28 22:15:00,2021-12-29 20:00:00,21.65,70.32
16,2021-12-29 21:30:00,2021-12-29 21:45:00,0.46,0.56
17,2021-12-29 22:30:00,2021-12-29 22:45:00,0.31,0.94
18,2021-12-29 23:45:00,2021-12-30 00:00:00,0.32,0.99
19,2021-12-30 00:45:00,2021-12-30 01:30:00,0.95,3.7
20,2021-12-30 03:45:00,2021-12-30 04:00:00,0.35,0.72
21,2021-12-30 04:30:00,2021-12-30 12:15:00,7.83,20.39
22,2021-12-30 14:45:00,2021-12-30 14:45:00,0.12,0.54
23,2021-12-30 15:30:00,2021-12-30 15:45:00,0.37,1.08
24,2021-12-30 16:30:00,2021-12-30 16:45:00,0.45,1.41
25,2021-12-30 17:15:00,2021-12-30 17:15:00,0.12,0.14
26,2021-12-30 17:45:00,2021-12-31 11:30:00,17.75,44.95
27,2021-12-31 12:15:00,2021-12-31 13:30:00,1.44,5.22
28,2021-12-31 15:45:00,2022-01-01 13:15:00,20.58,53.8
29,2022-01-01 16:00:00,2022-01-01 16:15:00,0.35,0.54
30,2022-01-01 16:45:00,2022-01-02 11:45:00,19.18,50.48
31,2022-01-02 12:45:00,2022-01-02 14:00:00,1.29,4.63
32,2022-01-02 17:15:00,2022-01-02 17:15:00,0.12,0.54
33,2022-01-02 18:00:00,2022-01-02 18:30:00,0.46,1.35
34,2022-01-02 19:00:00,2022-01-04 10:45:00,39.84,83.9
35,2022-01-04 14:00:00,2022-01-04 14:00:00,0.12,0.44
36,2022-01-04 14:30:00,2022-01-04 15:30:00,1.07,4.03
37,2022-01-04 18:15:00,2022-01-04 22:45:00,4.68,10.86
38,2022-01-04 23:30:00,2022-01-07 04:00:00,52.37,171.95
39,2022-01-07 04:30:00,2022-01-07 05:45:00,1.17,12.65
40,2022-01-07 06:45:00,2022-01-07 07:30:00,0.66,7.42
41,2022-01-07 08:30:00,2022-01-07 09:00:00,0.55,6.54
42,2022-01-07 10:00:00,2022-01-11 14:15:00,100.3,308.48
43,2022-01-11 14:45:00,2022-01-12 04:30:00,13.71,60.79
44,2022-01-12 05:30:00,2022-01-12 06:15:00,0.71,7.78
45,2022-01-12 07:00:00,2022-01-12 07:45:00,0.72,8.63
46,2022-01-12 08:30:00,2022-01-12 09:45:00,1.1,11.55
47,2022-01-12 10:30:00,2022-01-12 10:45:00,0.27,1.71
48,2022-01-12 12:00:00,2022-01-18 13:30:00,145.59,583.99
49,2022-01-18 14:00:00,2022-01-19 14:00:00,24.06,83.37
50,2022-01-19 15:00:00,2022-01-24 14:15:00,119.31,423.02
51,2022-01-24 14:45:00,2022-01-25 13:30:00,22.62,100.17
52,2022-01-25 15:45:00,2022-01-25 15:45:00,0.12,0.61
53,2022-01-25 16:45:00,2022-01-26 13:15:00,20.49,89.15
54,2022-01-26 15:15:00,2022-01-26 15:45:00,0.66,0.96
55,2022-01-26 16:15:00,2022-01-27 15:30:00,23.35,94.6
56,2022-01-27 16:15:00,2022-01-29 15:45:00,47.38,135.93
57,2022-01-29 16:30:00,2022-01-30 09:45:00,17.16,46.61
58,2022-01-30 10:15:00,2022-01-30 10:15:00,0.12,0.15
59,2022-01-30 10:45:00,2022-01-30 10:45:00,0.12,0.18
60,2022-01-30 11:15:00,2022-01-30 11:30:00,0.3,0.81
61,2022-01-30 12:00:00,2022-01-30 14:15:00,2.17,9.32
62,2022-01-30 16:15:00,2022-01-30 16:15:00,0.12,0.6
63,2022-01-30 16:45:00,2022-02-04 13:15:00,116.35,359.79
64,2022-02-04 15:15:00,2022-02-04 15:30:00,0.46,0.59
65,2022-02-04 16:15:00,2022-02-05 15:45:00,23.48,66.53
66,2022-02-05 17:00:00,2022-02-08 14:15:00,69.3,208.33
67,2022-02-08 15:30:00,2022-02-08 15:30:00,0.12,0.55
68,2022-02-08 17:00:00,2022-02-09 12:45:00,19.85,59.24
69,2022-02-09 13:30:00,2022-02-09 13:45:00,0.32,0.91
70,2022-02-09 14:15:00,2022-02-09 15:15:00,1.07,4.0
71,2022-02-09 17:30:00,2022-02-10 13:00:00,19.69,56.88
72,2022-02-10 17:00:00,2022-02-10 17:15:00,0.38,0.55
73,2022-02-10 18:00:00,2022-02-11 05:00:00,11.01,26.79
74,2022-02-11 05:30:00,2022-02-11 13:30:00,7.96,25.14
75,2022-02-11 15:45:00,2022-02-11 15:45:00,0.12,0.58
76,2022-02-11 16:30:00,2022-02-12 06:15:00,13.71,63.96
77,2022-02-12 07:00:00,2022-02-12 07:45:00,0.78,9.29
78,2022-02-12 08:45:00,2022-02-12 09:30:00,0.68,7.7
79,2022-02-12 10:15:00,2022-02-13 13:45:00,27.53,95.9
80,2022-02-13 15:00:00,2022-02-13 15:15:00,0.3,0.6
81,2022-02-13 16:30:00,2022-02-14 10:45:00,18.38,58.44
82,2022-02-14 12:00:00,2022-02-14 12:15:00,0.31,0.58
83,2022-02-14 12:45:00,2022-02-14 13:30:00,0.93,3.91
84,2022-02-14 16:15:00,2022-02-14 16:45:00,0.42,1.0
85,2022-02-14 17:15:00,2022-02-18 14:00:00,92.97,252.26
86,2022-02-18 17:00:00,2022-02-18 17:00:00,0.12,0.41
87,2022-02-18 19:15:00,2022-02-18 20:30:00,1.45,5.15
88,2022-02-18 21:45:00,2022-02-19 11:00:00,13.38,35.97
89,2022-02-19 11:30:00,2022-02-19 12:30:00,0.93,4.01
90,2022-02-19 13:30:00,2022-02-19 13:45:00,0.47,0.24
91,2022-02-19 14:15:00,2022-02-20 11:30:00,21.26,56.93
92,2022-02-20 12:15:00,2022-02-20 12:30:00,0.34,1.0
93,2022-02-20 13:30:00,2022-02-20 14:45:00,1.41,5.2
94,2022-02-20 17:30:00,2022-02-20 17:45:00,0.47,1.06
95,2022-02-20 18:15:00,2022-02-22 10:45:00,40.58,125.83
96,2022-02-22 11:15:00,2022-02-22 11:15:00,0.12,0.13
97,2022-02-22 12:00:00,2022-02-22 12:45:00,0.95,3.99
98,2022-02-22 15:00:00,2022-02-22 15:00:00,0.12,0.59
99,2022-02-22 15:45:00,2022-02-23 15:15:00,23.56,59.51
100,2022-02-23 17:15:00,2022-02-23 17:15:00,0.12,0.48
101,2022-02-23 18:00:00,2022-02-24 11:15:00,17.48,47.29
102,2022-02-24 12:00:00,2022-02-24 12:15:00,0.43,1.03
103,2022-02-24 12:45:00,2022-02-24 14:15:00,1.52,5.13
104,2022-02-24 17:00:00,2022-02-24 17:00:00,0.12,0.56
105,2022-02-24 18:15:00,2022-02-24 18:15:00,0.12,0.16
106,2022-02-24 18:45:00,2022-02-24 18:45:00,0.12,0.1
107,2022-02-24 19:15:00,2022-02-25 11:00:00,15.75,47.03
108,2022-02-25 11:45:00,2022-02-25 12:45:00,0.99,4.17
109,2022-02-25 15:30:00,2022-02-25 15:45:00,0.46,1.1
110,2022-02-25 16:30:00,2022-02-26 15:15:00,22.65,67.35
111,2022-02-26 17:30:00,2022-02-27 15:30:00,22.03,87.05
112,2022-02-27 17:45:00,2022-02-28 15:15:00,21.63,79.4
113,2022-02-28 16:00:00,2022-02-28 16:00:00,0.12,0.45
114,2022-02-28 17:45:00,2022-02-28 17:45:00,0.12,0.4
115,2022-02-28 18:15:00,2022-03-01 14:00:00,19.94,72.64
116,2022-03-01 15:45:00,2022-03-01 15:45:00,0.12,0.49
117,2022-03-01 17:45:00,2022-03-02 12:45:00,19.25,64.55
118,2022-03-02 17:00:00,2022-03-02 17:00:00,0.12,0.48
119,2022-03-02 17:45:00,2022-03-03 11:30:00,18.0,45.89
120,2022-03-03 12:00:00,2022-03-03 12:15:00,0.46,1.13
121,2022-03-03 13:15:00,2022-03-03 13:30:00,0.31,0.92
122,2022-03-03 14:15:00,2022-03-03 15:15:00,1.02,3.9
123,2022-03-03 18:45:00,2022-03-04 15:30:00,20.93,57.73
124,2022-03-04 18:00:00,2022-03-05 15:15:00,21.26,70.69
125,2022-03-05 16:45:00,2022-03-05 17:00:00,0.44,0.59
126,2022-03-05 17:30:00,2022-03-06 16:00:00,22.63,76.4
127,2022-03-06 17:00:00,2022-03-07 15:30:00,22.58,70.52
128,2022-03-07 16:00:00,2022-03-07 16:15:00,0.46,1.05
129,2022-03-07 17:00:00,2022-03-08 15:15:00,22.33,76.97
130,2022-03-08 15:45:00,2022-03-08 15:45:00,0.12,0.44
131,2022-03-08 17:15:00,2022-03-08 17:30:00,0.32,0.59
132,2022-03-08 18:15:00,2022-03-09 11:30:00,17.36,63.87
133,2022-03-09 12:45:00,2022-03-09 12:45:00,0.12,0.55
134,2022-03-09 14:00:00,2022-03-09 14:15:00,0.31,0.92
135,2022-03-09 16:00:00,2022-03-09 17:15:00,1.2,4.4
136,2022-03-09 18:45:00,2022-03-10 11:30:00,16.75,48.92
137,2022-03-10 12:00:00,2022-03-10 12:30:00,0.69,2.8
138,2022-03-10 18:45:00,2022-03-11 11:15:00,16.58,50.74
139,2022-03-11 15:15:00,2022-03-11 15:15:00,0.12,0.49
140,2022-03-11 16:30:00,2022-03-11 16:30:00,0.12,0.54
141,2022-03-11 17:45:00,2022-03-11 17:45:00,0.12,0.54
142,2022-03-11 18:30:00,2022-03-12 13:15:00,18.9,43.2
143,2022-03-12 17:00:00,2022-03-12 17:00:00,0.12,0.5
144,2022-03-12 18:00:00,2022-03-13 11:30:00,17.52,46.06
145,2022-03-13 16:45:00,2022-03-13 16:45:00,0.12,0.51
146,2022-03-13 18:00:00,2022-03-13 19:15:00,1.32,4.83
147,2022-03-13 21:00:00,2022-03-13 21:15:00,0.37,0.55
148,2022-03-13 22:00:00,2022-03-13 22:30:00,0.43,1.52
149,2022-03-13 23:15:00,2022-03-14 10:45:00,11.61,26.96
150,2022-03-14 12:00:00,2022-03-14 13:15:00,1.28,4.66
151,2022-03-14 19:15:00,2022-03-15 11:15:00,16.16,38.84
152,2022-03-15 12:00:00,2022-03-15 12:15:00,0.44,1.07
153,2022-03-15 13:15:00,2022-03-15 14:15:00,1.08,3.96
154,2022-03-15 17:15:00,2022-03-15 17:30:00,0.44,0.51
155,2022-03-15 19:15:00,2022-03-16 09:30:00,14.43,33.51
156,2022-03-16 10:45:00,2022-03-16 10:45:00,0.12,0.37
157,2022-03-16 13:30:00,2022-03-16 14:30:00,1.08,4.01
