cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:15:00,2021-01-01 02:15:00,2.05,6.39
1,2021-01-01 03:15:00,2021-01-01 04:00:00,0.89,3.36
2,2021-01-01 05:00:00,2021-01-01 09:45:00,4.94,19.04
3,2021-01-01 11:00:00,2021-01-01 16:00:00,5.12,19.88
4,2021-01-01 16:45:00,2021-01-01 16:45:00,0.12,0.26
5,2021-01-01 18:15:00,2021-01-01 19:45:00,1.6,6.17
6,2021-01-01 21:45:00,2021-01-01 22:30:00,0.9,3.38
7,2021-01-01 23:45:00,2021-01-02 00:30:00,0.78,2.9
8,2021-01-02 01:15:00,2021-01-02 01:45:00,0.57,2.15
9,2021-01-02 02:45:00,2021-01-02 03:15:00,0.62,2.32
10,2021-01-02 04:15:00,2021-01-02 10:00:00,5.89,22.36
11,2021-01-02 10:45:00,2021-01-02 13:30:00,2.72,10.05
12,2021-01-02 14:15:00,2021-01-02 15:45:00,1.61,6.0
13,2021-01-02 16:30:00,2021-01-02 19:45:00,3.3,12.05
14,2021-01-02 21:30:00,2021-01-02 22:15:00,0.76,2.74
15,2021-01-02 23:00:00,2021-01-03 00:15:00,1.35,4.99
16,2021-01-03 01:00:00,2021-01-03 01:45:00,0.78,2.69
17,2021-01-03 02:30:00,2021-01-03 04:00:00,1.37,5.02
18,2021-01-03 04:30:00,2021-01-03 12:30:00,7.98,30.14
19,2021-01-03 13:15:00,2021-01-03 19:45:00,6.51,22.31
20,2021-01-03 21:45:00,2021-01-03 23:00:00,1.3,4.79
21,2021-01-04 00:00:00,2021-01-04 09:45:00,9.84,35.98
22,2021-01-04 11:00:00,2021-01-04 16:45:00,5.87,21.95
23,2021-01-04 18:15:00,2021-01-04 19:45:00,1.62,5.92
24,2021-01-04 21:00:00,2021-01-04 21:45:00,0.76,2.72
25,2021-01-04 22:30:00,2021-01-05 00:00:00,1.44,5.2
26,2021-01-05 00:45:00,2021-01-05 01:30:00,0.83,3.0
27,2021-01-05 02:15:00,2021-01-05 04:00:00,1.67,6.13
28,2021-01-05 04:30:00,2021-01-05 09:45:00,5.31,19.47
29,2021-01-05 11:00:00,2021-01-05 16:45:00,5.86,22.02
30,2021-01-05 18:15:00,2021-01-05 19:45:00,1.61,5.89
31,2021-01-05 21:00:00,2021-01-05 22:00:00,0.87,2.91
32,2021-01-05 22:45:00,2021-01-06 00:00:00,1.37,5.1
33,2021-01-06 00:45:00,2021-01-06 02:30:00,1.61,5.84
34,2021-01-06 03:00:00,2021-01-06 04:00:00,0.95,3.24
35,2021-01-06 04:45:00,2021-01-06 09:45:00,5.14,19.43
36,2021-01-06 11:00:00,2021-01-06 16:45:00,5.88,22.52
37,2021-01-06 18:15:00,2021-01-06 20:45:00,2.51,9.49
38,2021-01-06 21:30:00,2021-01-06 23:00:00,1.44,5.43
39,2021-01-06 23:30:00,2021-01-07 01:00:00,1.51,5.48
40,2021-01-07 01:45:00,2021-01-07 03:45:00,1.94,7.31
41,2021-01-07 04:15:00,2021-01-07 09:45:00,5.54,20.9
42,2021-01-07 11:00:00,2021-01-07 14:30:00,3.53,13.27
43,2021-01-07 15:15:00,2021-01-07 16:45:00,1.63,6.13
44,2021-01-07 18:15:00,2021-01-07 19:45:00,1.61,6.05
