cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-16 23:00:00,2021-05-17 09:00:00,10.02,14.7
1,2021-05-17 12:45:00,2021-05-17 13:30:00,1.0,1.66
2,2021-05-17 14:45:00,2021-05-17 16:00:00,1.23,1.66
3,2021-05-17 17:00:00,2021-05-17 18:45:00,1.77,2.4
4,2021-05-17 19:30:00,2021-05-17 20:00:00,0.57,1.54
5,2021-05-17 20:45:00,2021-05-18 09:15:00,12.6,16.25
6,2021-05-18 10:00:00,2021-05-18 10:15:00,0.31,0.82
7,2021-05-18 11:30:00,2021-05-18 11:30:00,0.12,0.19
8,2021-05-18 12:15:00,2021-05-18 12:45:00,0.59,0.9
9,2021-05-18 14:15:00,2021-05-18 14:45:00,0.49,0.76
10,2021-05-18 19:45:00,2021-05-18 21:45:00,2.21,3.84
11,2021-05-18 22:30:00,2021-05-19 07:30:00,9.2,11.78
12,2021-05-19 10:00:00,2021-05-19 10:15:00,0.35,0.48
13,2021-05-19 11:45:00,2021-05-19 12:00:00,0.49,0.71
14,2021-05-19 12:30:00,2021-05-19 13:30:00,0.89,2.21
15,2021-05-19 16:45:00,2021-05-19 17:00:00,0.32,1.15
16,2021-05-19 18:00:00,2021-05-20 06:15:00,12.34,17.07
17,2021-05-20 06:45:00,2021-05-20 08:15:00,1.44,1.93
18,2021-05-20 10:30:00,2021-05-20 10:45:00,0.47,0.6
19,2021-05-20 12:15:00,2021-05-20 12:45:00,0.6,0.89
20,2021-05-20 13:45:00,2021-05-20 14:30:00,0.69,1.03
21,2021-05-20 16:15:00,2021-05-20 16:45:00,0.75,1.12
22,2021-05-20 20:00:00,2021-05-20 21:45:00,2.0,3.38
23,2021-05-20 22:15:00,2021-05-21 06:45:00,8.61,11.02
24,2021-05-21 08:30:00,2021-05-21 10:00:00,1.75,2.71
25,2021-05-21 11:00:00,2021-05-21 12:00:00,1.25,1.65
26,2021-05-21 13:30:00,2021-05-21 13:30:00,0.12,0.29
27,2021-05-21 15:30:00,2021-05-21 16:30:00,1.25,2.13
28,2021-05-21 17:15:00,2021-05-22 07:30:00,14.38,19.0
29,2021-05-22 11:00:00,2021-05-22 11:15:00,0.48,0.55
30,2021-05-22 12:15:00,2021-05-22 14:00:00,1.89,2.54
31,2021-05-22 19:45:00,2021-05-22 20:00:00,0.33,1.76
32,2021-05-22 20:45:00,2021-05-23 09:00:00,12.34,16.37
33,2021-05-23 10:00:00,2021-05-23 10:15:00,0.4,0.61
34,2021-05-23 11:45:00,2021-05-23 12:00:00,0.45,0.68
35,2021-05-23 13:45:00,2021-05-23 14:00:00,0.4,0.59
36,2021-05-23 19:00:00,2021-05-23 19:45:00,0.97,1.88
37,2021-05-23 20:30:00,2021-05-23 22:00:00,1.75,3.07
38,2021-05-23 22:45:00,2021-05-24 09:30:00,10.92,14.11
39,2021-05-24 10:45:00,2021-05-24 11:00:00,0.4,0.6
40,2021-05-24 12:30:00,2021-05-24 13:00:00,0.55,0.82
41,2021-05-24 13:30:00,2021-05-24 14:00:00,0.59,0.89
42,2021-05-24 19:15:00,2021-05-24 20:15:00,1.25,2.48
43,2021-05-24 21:00:00,2021-05-25 08:45:00,11.91,15.25
44,2021-05-25 09:30:00,2021-05-25 09:45:00,0.49,0.52
45,2021-05-25 12:00:00,2021-05-25 12:30:00,0.69,1.0
46,2021-05-25 14:00:00,2021-05-25 14:45:00,0.91,1.36
47,2021-05-25 17:00:00,2021-05-25 17:15:00,0.43,0.63
48,2021-05-25 18:15:00,2021-05-25 20:30:00,2.4,4.09
49,2021-05-25 21:00:00,2021-05-26 06:30:00,9.57,13.12
50,2021-05-26 07:45:00,2021-05-26 07:45:00,0.12,0.28
51,2021-05-26 11:00:00,2021-05-26 12:00:00,0.95,1.42
52,2021-05-26 16:30:00,2021-05-26 16:45:00,0.5,0.66
53,2021-05-26 18:00:00,2021-05-26 19:00:00,1.25,2.27
54,2021-05-26 20:00:00,2021-05-27 04:00:00,8.25,10.99
55,2021-05-27 04:45:00,2021-05-27 10:30:00,5.94,7.64
56,2021-05-27 13:45:00,2021-05-27 14:15:00,0.53,0.81
57,2021-05-27 16:30:00,2021-05-27 18:00:00,1.62,3.47
58,2021-05-27 19:15:00,2021-05-28 08:15:00,13.12,23.91
59,2021-05-28 10:00:00,2021-05-28 10:15:00,0.49,0.61
60,2021-05-28 13:00:00,2021-05-28 13:15:00,0.45,0.64
61,2021-05-28 18:00:00,2021-05-28 18:15:00,0.42,0.64
62,2021-05-28 19:00:00,2021-05-28 19:15:00,0.37,0.57
63,2021-05-28 21:00:00,2021-05-28 21:15:00,0.41,0.57
64,2021-05-28 22:45:00,2021-05-29 00:15:00,1.75,2.86
65,2021-05-29 01:00:00,2021-05-29 03:00:00,1.91,2.61
66,2021-05-29 03:45:00,2021-05-29 05:30:00,1.85,2.53
67,2021-05-29 06:45:00,2021-05-29 07:00:00,0.44,0.38
68,2021-05-29 09:45:00,2021-05-29 10:30:00,0.79,1.23
69,2021-05-29 11:15:00,2021-05-29 11:45:00,0.54,0.83
70,2021-05-29 13:15:00,2021-05-29 13:45:00,0.64,0.97
71,2021-05-29 17:45:00,2021-05-29 18:00:00,0.48,0.66
72,2021-05-29 20:45:00,2021-05-29 22:30:00,1.82,3.27
73,2021-05-29 23:15:00,2021-05-30 07:30:00,8.46,10.92
74,2021-05-30 09:45:00,2021-05-30 10:00:00,0.43,0.68
75,2021-05-30 17:45:00,2021-05-30 18:00:00,0.5,0.55
76,2021-05-30 19:15:00,2021-05-30 19:30:00,0.3,1.49
77,2021-05-30 20:15:00,2021-05-30 21:45:00,1.59,2.84
78,2021-05-30 22:30:00,2021-05-31 07:30:00,9.18,11.88
79,2021-05-31 10:00:00,2021-05-31 10:15:00,0.49,0.6
80,2021-05-31 12:30:00,2021-05-31 12:45:00,0.47,0.62
81,2021-05-31 16:45:00,2021-05-31 17:15:00,0.48,0.72
82,2021-05-31 18:00:00,2021-05-31 18:30:00,0.46,0.69
83,2021-05-31 20:45:00,2021-05-31 23:00:00,2.29,4.29
84,2021-06-01 00:00:00,2021-06-01 07:15:00,7.5,9.58
85,2021-06-01 13:15:00,2021-06-01 13:30:00,0.49,0.71
86,2021-06-01 16:15:00,2021-06-01 17:00:00,0.86,1.34
87,2021-06-01 20:00:00,2021-06-01 20:30:00,0.56,0.87
88,2021-06-01 22:45:00,2021-06-02 00:00:00,1.21,1.64
89,2021-06-02 01:00:00,2021-06-02 03:30:00,2.62,3.51
90,2021-06-02 04:15:00,2021-06-02 05:45:00,1.65,2.68
91,2021-06-02 07:15:00,2021-06-02 07:15:00,0.12,0.18
92,2021-06-02 09:45:00,2021-06-02 10:00:00,0.47,0.58
93,2021-06-02 12:00:00,2021-06-02 12:15:00,0.41,0.68
94,2021-06-02 14:15:00,2021-06-02 14:30:00,0.35,0.58
95,2021-06-02 15:15:00,2021-06-02 15:30:00,0.43,0.69
96,2021-06-02 16:30:00,2021-06-02 16:45:00,0.42,0.63
97,2021-06-02 17:15:00,2021-06-02 18:15:00,1.0,1.58
98,2021-06-02 20:30:00,2021-06-02 20:45:00,0.44,0.7
99,2021-06-03 01:00:00,2021-06-03 01:00:00,0.12,0.21
100,2021-06-03 03:00:00,2021-06-03 03:15:00,0.44,0.35
101,2021-06-03 04:45:00,2021-06-03 05:00:00,0.39,0.4
102,2021-06-03 06:45:00,2021-06-03 07:00:00,0.36,0.49
103,2021-06-03 11:45:00,2021-06-03 12:00:00,0.43,0.64
104,2021-06-03 13:15:00,2021-06-03 13:30:00,0.34,0.56
105,2021-06-03 14:30:00,2021-06-03 14:45:00,0.5,0.8
106,2021-06-03 16:15:00,2021-06-03 16:30:00,0.45,0.54
107,2021-06-03 18:00:00,2021-06-03 18:15:00,0.5,0.62
108,2021-06-03 20:00:00,2021-06-03 20:15:00,0.45,0.7
109,2021-06-04 01:00:00,2021-06-04 01:15:00,0.43,0.6
110,2021-06-04 03:00:00,2021-06-04 03:15:00,0.43,0.45
111,2021-06-04 05:00:00,2021-06-04 05:00:00,0.12,0.2
112,2021-06-04 07:00:00,2021-06-04 07:30:00,0.57,0.92
113,2021-06-04 08:15:00,2021-06-04 08:15:00,0.12,0.17
114,2021-06-04 09:00:00,2021-06-04 09:30:00,0.41,0.66
115,2021-06-04 11:15:00,2021-06-04 11:30:00,0.4,0.66
116,2021-06-04 15:45:00,2021-06-04 16:00:00,0.38,0.52
117,2021-06-04 18:30:00,2021-06-04 18:30:00,0.12,0.41
118,2021-06-04 20:45:00,2021-06-04 21:30:00,0.67,1.1
119,2021-06-04 23:15:00,2021-06-04 23:45:00,0.43,0.68
120,2021-06-05 00:45:00,2021-06-05 01:00:00,0.4,0.42
121,2021-06-05 02:15:00,2021-06-05 02:30:00,0.38,0.53
122,2021-06-05 03:45:00,2021-06-05 04:00:00,0.37,0.53
123,2021-06-05 05:30:00,2021-06-05 05:30:00,0.12,0.27
124,2021-06-05 07:45:00,2021-06-05 08:00:00,0.45,0.54
125,2021-06-05 09:00:00,2021-06-05 09:45:00,0.92,1.48
126,2021-06-05 11:30:00,2021-06-05 11:45:00,0.44,0.72
127,2021-06-05 13:00:00,2021-06-05 13:15:00,0.49,0.59
128,2021-06-05 19:45:00,2021-06-05 20:00:00,0.46,0.63
129,2021-06-05 21:15:00,2021-06-05 22:45:00,1.53,2.42
130,2021-06-06 00:00:00,2021-06-06 00:15:00,0.5,0.7
131,2021-06-06 01:45:00,2021-06-06 02:15:00,0.61,0.86
132,2021-06-06 03:30:00,2021-06-06 04:00:00,0.75,1.05
133,2021-06-06 05:15:00,2021-06-06 05:30:00,0.36,0.5
134,2021-06-06 08:15:00,2021-06-06 09:00:00,0.87,1.39
135,2021-06-06 11:30:00,2021-06-06 12:00:00,0.5,0.82
136,2021-06-06 14:00:00,2021-06-06 14:30:00,0.54,0.86
137,2021-06-06 15:00:00,2021-06-06 15:30:00,0.39,0.63
138,2021-06-06 19:15:00,2021-06-06 19:30:00,0.34,0.54
139,2021-06-06 21:45:00,2021-06-06 22:15:00,0.43,0.7
140,2021-06-07 07:45:00,2021-06-07 08:00:00,0.48,0.61
141,2021-06-07 10:15:00,2021-06-07 10:30:00,0.37,0.56
