cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:30:00,2021-01-20 00:30:00,1.17,3.44
1,2021-01-20 01:30:00,2021-01-20 07:00:00,5.73,13.7
2,2021-01-20 08:00:00,2021-01-20 08:45:00,0.99,2.38
3,2021-01-20 09:45:00,2021-01-20 09:45:00,0.12,0.59
4,2021-01-20 11:00:00,2021-01-20 11:45:00,0.96,2.28
5,2021-01-20 12:45:00,2021-01-20 13:45:00,1.0,2.36
6,2021-01-20 15:00:00,2021-01-20 16:00:00,1.0,2.36
7,2021-01-20 16:45:00,2021-01-20 16:45:00,0.12,0.19
8,2021-01-20 18:15:00,2021-01-20 19:00:00,0.97,2.26
9,2021-01-20 20:00:00,2021-01-21 00:45:00,4.89,12.49
10,2021-01-21 01:30:00,2021-01-21 02:30:00,1.0,2.36
11,2021-01-21 03:15:00,2021-01-21 04:15:00,1.0,2.37
12,2021-01-21 05:00:00,2021-01-21 06:00:00,1.0,2.36
13,2021-01-21 06:45:00,2021-01-21 07:45:00,1.0,2.36
14,2021-01-21 08:45:00,2021-01-21 09:30:00,0.96,2.29
15,2021-01-21 18:30:00,2021-01-21 19:30:00,1.0,2.28
16,2021-01-21 20:30:00,2021-01-21 21:15:00,0.96,2.23
17,2021-01-21 22:15:00,2021-01-21 23:00:00,0.98,2.3
18,2021-01-22 00:00:00,2021-01-22 00:45:00,0.87,3.0
19,2021-01-22 01:45:00,2021-01-22 02:30:00,0.97,2.24
20,2021-01-22 03:30:00,2021-01-22 04:30:00,1.0,2.33
21,2021-01-22 05:15:00,2021-01-22 06:15:00,1.0,2.34
22,2021-01-22 07:15:00,2021-01-22 08:00:00,0.97,2.28
23,2021-01-22 11:45:00,2021-01-22 12:45:00,1.0,2.3
24,2021-01-22 16:00:00,2021-01-22 16:45:00,0.96,2.19
25,2021-01-22 18:15:00,2021-01-22 19:00:00,0.97,2.23
26,2021-01-22 20:00:00,2021-01-22 20:45:00,0.96,2.23
27,2021-01-22 21:45:00,2021-01-22 22:45:00,1.0,2.33
28,2021-01-22 23:30:00,2021-01-23 00:30:00,1.19,3.54
29,2021-01-23 01:30:00,2021-01-23 04:45:00,3.33,7.84
30,2021-01-23 05:30:00,2021-01-23 06:30:00,1.0,2.36
31,2021-01-23 07:15:00,2021-01-23 08:15:00,1.0,2.36
32,2021-01-23 09:00:00,2021-01-23 10:00:00,1.0,2.36
33,2021-01-23 10:45:00,2021-01-23 11:45:00,1.0,2.35
34,2021-01-23 12:30:00,2021-01-23 13:30:00,1.0,2.36
35,2021-01-23 15:00:00,2021-01-23 16:00:00,1.0,2.34
36,2021-01-23 16:45:00,2021-01-23 17:45:00,1.0,2.35
37,2021-01-23 18:30:00,2021-01-23 19:30:00,1.0,2.35
38,2021-01-23 20:15:00,2021-01-23 21:15:00,1.0,2.36
39,2021-01-23 22:00:00,2021-01-23 23:00:00,1.0,2.36
40,2021-01-23 23:45:00,2021-01-24 01:00:00,1.18,3.78
41,2021-01-24 01:45:00,2021-01-24 04:45:00,2.93,6.89
42,2021-01-24 05:30:00,2021-01-24 06:30:00,1.0,2.36
43,2021-01-24 07:15:00,2021-01-24 08:15:00,1.0,2.36
44,2021-01-24 09:00:00,2021-01-24 10:00:00,1.0,2.35
45,2021-01-24 19:00:00,2021-01-24 20:00:00,1.0,2.29
46,2021-01-24 20:45:00,2021-01-24 21:45:00,1.0,2.32
47,2021-01-24 22:30:00,2021-01-24 23:30:00,1.0,2.33
48,2021-01-25 00:15:00,2021-01-25 01:30:00,1.23,3.9
49,2021-01-25 02:15:00,2021-01-25 04:30:00,2.11,4.91
50,2021-01-25 05:15:00,2021-01-25 06:15:00,1.0,2.34
51,2021-01-25 07:00:00,2021-01-25 08:00:00,1.0,2.34
52,2021-01-25 08:45:00,2021-01-25 09:45:00,1.0,2.33
53,2021-01-25 11:00:00,2021-01-25 12:30:00,1.58,3.71
54,2021-01-25 13:15:00,2021-01-25 14:15:00,1.0,2.35
55,2021-01-25 15:00:00,2021-01-25 16:00:00,1.0,2.35
56,2021-01-25 16:45:00,2021-01-25 16:45:00,0.12,0.24
57,2021-01-25 18:15:00,2021-01-25 18:15:00,0.12,0.44
58,2021-01-25 19:15:00,2021-01-26 00:30:00,5.42,13.47
59,2021-01-26 01:15:00,2021-01-26 05:30:00,4.21,10.07
60,2021-01-26 06:15:00,2021-01-26 08:15:00,2.02,4.85
61,2021-01-26 09:00:00,2021-01-26 09:45:00,0.83,1.97
62,2021-01-26 11:00:00,2021-01-26 12:30:00,1.71,4.08
63,2021-01-26 13:30:00,2021-01-26 14:15:00,0.99,2.36
64,2021-01-26 15:15:00,2021-01-26 16:15:00,1.0,2.38
65,2021-01-26 18:15:00,2021-01-27 00:30:00,6.29,15.7
66,2021-01-27 01:15:00,2021-01-27 06:45:00,5.48,13.31
67,2021-01-27 07:30:00,2021-01-27 08:30:00,1.0,2.42
68,2021-01-27 09:15:00,2021-01-27 09:45:00,0.67,1.6
69,2021-01-27 11:00:00,2021-01-27 11:45:00,0.96,2.29
70,2021-01-27 12:45:00,2021-01-27 13:45:00,1.07,2.54
71,2021-01-27 14:30:00,2021-01-27 15:30:00,1.0,2.36
72,2021-01-27 16:15:00,2021-01-27 16:45:00,0.61,1.44
73,2021-01-27 18:15:00,2021-01-27 19:00:00,0.97,2.26
74,2021-01-27 20:00:00,2021-01-28 00:45:00,4.82,12.29
75,2021-01-28 01:30:00,2021-01-28 03:30:00,1.99,4.75
76,2021-01-28 06:15:00,2021-01-28 07:15:00,1.01,2.33
77,2021-01-28 08:00:00,2021-01-28 09:00:00,1.0,2.33
78,2021-01-28 09:45:00,2021-01-28 09:45:00,0.12,0.28
79,2021-01-28 11:00:00,2021-01-28 11:45:00,0.96,2.23
80,2021-01-28 12:45:00,2021-01-28 13:45:00,1.0,2.33
81,2021-01-28 14:30:00,2021-01-28 15:30:00,1.0,2.34
