cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-26 08:00:00,2022-07-26 08:45:00,0.91,4.62
1,2022-07-26 13:30:00,2022-07-26 13:45:00,0.3,1.12
2,2022-07-26 18:15:00,2022-07-26 18:15:00,0.12,1.09
3,2022-07-27 08:00:00,2022-07-27 08:45:00,0.74,3.72
4,2022-07-27 12:30:00,2022-07-27 12:45:00,0.33,1.36
5,2022-07-27 16:00:00,2022-07-27 16:15:00,0.36,1.28
6,2022-07-28 08:00:00,2022-07-28 08:45:00,0.71,3.58
7,2022-07-28 13:30:00,2022-07-28 13:45:00,0.48,1.12
8,2022-07-28 18:15:00,2022-07-28 18:30:00,0.4,1.12
9,2022-07-29 08:00:00,2022-07-29 08:45:00,0.67,3.45
10,2022-07-29 12:45:00,2022-07-29 13:00:00,0.27,1.28
11,2022-07-29 16:30:00,2022-07-29 16:45:00,0.4,1.45
12,2022-07-30 08:00:00,2022-07-30 08:45:00,0.72,3.65
13,2022-07-30 12:30:00,2022-07-30 12:45:00,0.37,1.28
14,2022-07-30 16:15:00,2022-07-30 16:30:00,0.34,1.19
15,2022-07-31 08:15:00,2022-07-31 08:30:00,0.46,2.13
16,2022-07-31 11:30:00,2022-07-31 11:45:00,0.3,1.19
