cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-13 18:00:00,2022-07-13 18:45:00,0.62,1.8
1,2022-07-14 18:00:00,2022-07-14 18:30:00,0.49,1.42
2,2022-07-15 18:00:00,2022-07-15 18:30:00,0.48,1.39
3,2022-07-16 18:00:00,2022-07-16 18:30:00,0.55,1.62
4,2022-07-17 18:00:00,2022-07-17 18:30:00,0.51,1.48
5,2022-07-18 18:00:00,2022-07-18 18:30:00,0.55,1.57
6,2022-07-19 18:00:00,2022-07-19 18:30:00,0.54,1.53
7,2022-07-20 18:00:00,2022-07-20 18:30:00,0.48,1.41
8,2022-07-21 18:00:00,2022-07-21 18:30:00,0.56,1.59
9,2022-07-22 18:00:00,2022-07-22 18:30:00,0.55,1.57
10,2022-07-23 18:00:00,2022-07-23 18:30:00,0.49,1.39
11,2022-07-24 18:00:00,2022-07-24 18:30:00,0.53,1.53
12,2022-07-25 18:00:00,2022-07-25 18:30:00,0.56,1.6
13,2022-07-26 18:00:00,2022-07-26 18:45:00,0.61,1.77
14,2022-07-27 18:00:00,2022-07-27 18:30:00,0.47,1.37
15,2022-07-28 18:00:00,2022-07-28 18:30:00,0.57,1.65
16,2022-07-29 18:00:00,2022-07-29 18:45:00,0.64,1.86
17,2022-07-30 18:00:00,2022-07-30 18:30:00,0.48,1.4
18,2022-07-31 18:00:00,2022-07-31 18:45:00,0.76,2.15
19,2022-08-01 18:00:00,2022-08-01 18:45:00,0.61,1.78
20,2022-08-02 18:00:00,2022-08-02 18:30:00,0.47,1.38
21,2022-08-03 18:00:00,2022-08-03 18:30:00,0.46,1.35
22,2022-08-04 18:00:00,2022-08-04 18:30:00,0.45,1.33
23,2022-08-05 18:00:00,2022-08-05 18:30:00,0.51,1.47
24,2022-08-06 18:00:00,2022-08-06 18:30:00,0.56,1.63
25,2022-08-07 18:00:00,2022-08-07 18:45:00,0.64,1.84
26,2022-08-08 18:00:00,2022-08-08 18:45:00,0.61,1.76
27,2022-08-09 18:00:00,2022-08-09 18:45:00,0.66,1.91
28,2022-08-10 18:00:00,2022-08-10 18:45:00,0.67,1.91
29,2022-08-11 18:00:00,2022-08-11 18:45:00,0.62,1.81
30,2022-08-12 18:00:00,2022-08-12 18:30:00,0.52,1.5
31,2022-08-13 18:00:00,2022-08-13 18:30:00,0.51,1.47
32,2022-08-14 18:00:00,2022-08-14 19:00:00,0.86,2.41
33,2022-08-15 18:00:00,2022-08-15 18:30:00,0.56,1.58
34,2022-08-16 18:00:00,2022-08-16 18:45:00,0.6,1.75
35,2022-08-17 18:00:00,2022-08-17 18:45:00,0.67,1.94
36,2022-08-18 18:00:00,2022-08-18 18:30:00,0.57,1.67
37,2022-08-19 18:00:00,2022-08-19 18:45:00,0.76,2.14
38,2022-08-20 18:00:00,2022-08-20 18:30:00,0.58,1.68
39,2022-08-21 18:00:00,2022-08-21 18:45:00,0.72,2.04
40,2022-08-22 18:00:00,2022-08-22 18:30:00,0.52,1.5
41,2022-08-23 18:00:00,2022-08-23 18:30:00,0.52,1.49
42,2022-08-24 18:00:00,2022-08-24 18:30:00,0.48,1.4
43,2022-08-25 18:00:00,2022-08-25 18:45:00,0.61,1.77
44,2022-08-26 18:00:00,2022-08-26 18:45:00,0.65,1.87
45,2022-08-27 18:00:00,2022-08-27 18:30:00,0.58,1.68
46,2022-08-28 18:00:00,2022-08-28 18:30:00,0.49,1.44
47,2022-08-29 18:00:00,2022-08-29 18:45:00,0.61,1.79
48,2022-08-30 18:00:00,2022-08-30 18:45:00,0.62,1.79
49,2022-08-31 18:00:00,2022-08-31 18:45:00,0.7,1.98
50,2022-09-01 18:00:00,2022-09-01 18:30:00,0.56,1.62
51,2022-09-02 18:00:00,2022-09-02 18:30:00,0.52,1.5
52,2022-09-03 18:00:00,2022-09-03 18:45:00,0.74,2.1
53,2022-09-04 18:00:00,2022-09-04 18:30:00,0.49,1.44
54,2022-09-05 18:00:00,2022-09-05 18:45:00,0.64,1.85
55,2022-09-06 18:00:00,2022-09-06 18:30:00,0.59,1.7
56,2022-09-07 18:00:00,2022-09-07 18:45:00,0.67,1.92
57,2022-09-08 18:00:00,2022-09-08 18:30:00,0.59,1.71
58,2022-09-09 18:00:00,2022-09-09 18:45:00,0.61,1.78
59,2022-09-10 18:00:00,2022-09-10 18:30:00,0.56,1.61
