cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:45:00,0.8,3.12
1,2021-01-01 02:45:00,2021-01-01 03:30:00,0.63,3.52
2,2021-01-01 05:30:00,2021-01-01 06:15:00,0.84,3.26
3,2021-01-01 08:15:00,2021-01-01 09:00:00,0.85,3.29
4,2021-01-01 11:00:00,2021-01-01 11:45:00,0.83,3.2
5,2021-01-01 13:45:00,2021-01-01 14:30:00,0.79,3.1
6,2021-01-01 17:45:00,2021-01-01 18:45:00,1.01,7.23
7,2021-01-01 21:00:00,2021-01-01 22:00:00,0.97,3.76
8,2021-01-01 23:45:00,2021-01-02 00:45:00,1.03,3.94
9,2021-01-02 02:45:00,2021-01-02 03:45:00,0.97,3.67
10,2021-01-02 05:45:00,2021-01-02 06:30:00,0.8,3.12
11,2021-01-02 08:15:00,2021-01-02 09:00:00,0.89,3.46
12,2021-01-02 10:45:00,2021-01-02 11:45:00,0.84,3.2
13,2021-01-02 13:45:00,2021-01-02 14:30:00,0.85,3.32
14,2021-01-02 16:45:00,2021-01-02 17:45:00,1.01,3.88
15,2021-01-02 18:15:00,2021-01-02 18:45:00,0.63,2.67
16,2021-01-02 19:45:00,2021-01-02 20:45:00,0.96,3.68
17,2021-01-02 22:45:00,2021-01-02 23:45:00,1.03,3.88
18,2021-01-03 02:00:00,2021-01-03 03:00:00,0.97,3.74
19,2021-01-03 04:45:00,2021-01-03 05:30:00,0.85,3.27
20,2021-01-03 07:15:00,2021-01-03 08:45:00,1.49,8.71
21,2021-01-03 10:00:00,2021-01-03 11:00:00,1.04,3.96
22,2021-01-03 12:30:00,2021-01-03 13:45:00,1.06,4.04
23,2021-01-03 15:15:00,2021-01-03 16:45:00,1.38,8.04
24,2021-01-03 18:00:00,2021-01-03 19:00:00,1.23,4.69
25,2021-01-03 21:00:00,2021-01-03 22:15:00,1.13,4.3
26,2021-01-03 23:45:00,2021-01-04 00:45:00,1.22,4.27
27,2021-01-04 02:45:00,2021-01-04 03:45:00,0.91,3.51
28,2021-01-04 05:30:00,2021-01-04 06:15:00,0.79,3.07
