cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-09 04:30:00,2021-08-09 04:45:00,0.38,1.45
1,2021-08-28 04:15:00,2021-08-28 04:30:00,0.47,1.18
2,2021-08-31 04:45:00,2021-08-31 05:00:00,0.42,1.41
3,2021-09-01 04:00:00,2021-09-01 04:15:00,0.38,1.38
4,2021-09-02 04:00:00,2021-09-02 04:30:00,0.56,2.08
5,2021-09-03 04:00:00,2021-09-03 04:15:00,0.39,1.37
6,2021-09-18 04:00:00,2021-09-18 04:15:00,0.3,1.14
7,2021-09-19 04:30:00,2021-09-19 04:45:00,0.4,1.15
8,2021-09-19 19:45:00,2021-09-19 20:00:00,0.43,1.01
9,2021-09-20 06:00:00,2021-09-20 06:15:00,0.39,1.33
10,2021-09-20 17:45:00,2021-09-20 18:00:00,0.38,1.18
11,2021-09-21 04:00:00,2021-09-21 04:30:00,0.48,1.76
12,2021-09-21 18:15:00,2021-09-21 18:30:00,0.29,1.12
13,2021-09-22 04:00:00,2021-09-22 04:30:00,0.53,1.96
14,2021-09-22 05:45:00,2021-09-22 06:00:00,0.41,1.21
15,2021-09-22 19:45:00,2021-09-22 20:00:00,0.43,1.01
16,2021-09-23 04:00:00,2021-09-23 04:45:00,0.79,2.9
17,2021-09-23 05:45:00,2021-09-23 06:15:00,0.52,1.9
18,2021-09-24 04:00:00,2021-09-24 04:30:00,0.46,1.71
19,2021-09-24 06:15:00,2021-09-24 06:30:00,0.34,1.0
20,2021-09-25 04:00:00,2021-09-25 04:30:00,0.52,1.88
21,2021-09-27 05:15:00,2021-09-27 05:15:00,0.12,0.49
22,2021-09-29 04:00:00,2021-09-29 04:15:00,0.4,1.2
23,2021-09-29 17:15:00,2021-09-29 17:30:00,0.3,1.01
24,2021-09-30 04:00:00,2021-09-30 04:30:00,0.57,2.15
25,2021-09-30 17:15:00,2021-09-30 17:30:00,0.47,1.38
26,2021-09-30 19:00:00,2021-09-30 19:30:00,0.41,1.5
27,2021-10-01 04:00:00,2021-10-01 05:00:00,0.93,3.34
28,2021-10-01 05:45:00,2021-10-01 06:15:00,0.5,2.02
29,2021-10-02 04:00:00,2021-10-02 04:15:00,0.39,1.32
30,2021-10-03 04:00:00,2021-10-03 04:15:00,0.39,1.32
31,2021-10-04 04:30:00,2021-10-04 04:45:00,0.38,1.39
32,2021-10-04 17:15:00,2021-10-04 17:30:00,0.45,1.47
33,2021-10-05 04:00:00,2021-10-05 04:15:00,0.38,1.39
34,2021-10-05 10:00:00,2021-10-05 10:15:00,0.37,1.12
35,2021-10-05 17:15:00,2021-10-05 17:30:00,0.48,1.52
36,2021-10-06 04:00:00,2021-10-06 04:30:00,0.63,2.24
37,2021-10-06 05:45:00,2021-10-06 06:00:00,0.43,1.5
38,2021-10-06 10:00:00,2021-10-06 10:15:00,0.35,1.13
39,2021-10-06 13:00:00,2021-10-06 13:15:00,0.38,1.16
40,2021-10-06 15:45:00,2021-10-06 15:45:00,0.12,0.14
41,2021-10-06 17:15:00,2021-10-06 17:30:00,0.47,1.49
42,2021-10-06 20:00:00,2021-10-06 20:00:00,0.12,0.34
43,2021-10-07 04:00:00,2021-10-07 04:30:00,0.59,2.09
44,2021-10-07 05:45:00,2021-10-07 06:15:00,0.43,1.54
45,2021-10-07 15:30:00,2021-10-07 15:45:00,0.44,1.5
46,2021-10-07 17:30:00,2021-10-07 18:00:00,0.41,1.46
47,2021-10-08 04:00:00,2021-10-08 04:45:00,0.66,2.41
48,2021-10-08 06:15:00,2021-10-08 06:30:00,0.4,1.48
49,2021-10-08 10:00:00,2021-10-08 10:15:00,0.42,1.3
50,2021-10-08 17:15:00,2021-10-08 17:45:00,0.49,1.8
51,2021-10-08 19:15:00,2021-10-08 19:30:00,0.45,1.32
52,2021-10-09 04:00:00,2021-10-09 04:45:00,0.82,2.87
53,2021-10-09 06:15:00,2021-10-09 06:45:00,0.62,2.21
54,2021-10-09 08:30:00,2021-10-09 08:45:00,0.41,1.18
55,2021-10-09 16:30:00,2021-10-09 16:45:00,0.44,1.57
56,2021-10-09 18:15:00,2021-10-09 18:30:00,0.43,1.62
57,2021-10-10 04:00:00,2021-10-10 05:00:00,1.12,4.09
58,2021-10-10 06:15:00,2021-10-10 06:45:00,0.59,2.12
59,2021-10-10 08:15:00,2021-10-10 08:30:00,0.43,1.19
60,2021-10-10 11:30:00,2021-10-10 11:45:00,0.46,1.46
61,2021-10-10 15:15:00,2021-10-10 15:30:00,0.46,1.5
62,2021-10-10 16:45:00,2021-10-10 17:15:00,0.53,2.0
63,2021-10-10 18:00:00,2021-10-10 18:30:00,0.56,2.09
64,2021-10-11 04:30:00,2021-10-11 07:30:00,3.0,10.77
65,2021-10-11 12:15:00,2021-10-11 12:45:00,0.5,1.9
66,2021-10-11 17:15:00,2021-10-11 17:45:00,0.66,2.62
67,2021-10-11 19:00:00,2021-10-11 19:30:00,0.51,1.94
68,2021-10-12 04:00:00,2021-10-12 05:00:00,1.0,3.62
69,2021-10-12 05:45:00,2021-10-12 06:15:00,0.5,1.72
70,2021-10-12 07:30:00,2021-10-12 07:45:00,0.47,1.48
71,2021-10-12 11:45:00,2021-10-12 12:00:00,0.39,1.35
72,2021-10-12 15:30:00,2021-10-12 15:45:00,0.4,1.48
73,2021-10-12 17:15:00,2021-10-12 17:45:00,0.52,1.89
74,2021-10-13 04:00:00,2021-10-13 05:30:00,1.61,5.6
75,2021-10-13 06:45:00,2021-10-13 07:15:00,0.56,2.03
76,2021-10-13 11:15:00,2021-10-13 11:45:00,0.55,2.11
77,2021-10-13 15:00:00,2021-10-13 15:15:00,0.48,1.82
78,2021-10-13 17:15:00,2021-10-13 17:45:00,0.52,2.1
79,2021-10-13 19:00:00,2021-10-13 19:15:00,0.48,1.8
80,2021-10-14 04:00:00,2021-10-14 08:00:00,4.12,14.57
81,2021-10-14 11:45:00,2021-10-14 12:15:00,0.5,1.97
82,2021-10-14 17:15:00,2021-10-14 18:00:00,0.78,3.02
83,2021-10-14 18:30:00,2021-10-14 19:45:00,1.3,5.18
84,2021-10-15 04:00:00,2021-10-15 07:15:00,3.28,11.31
85,2021-10-15 15:30:00,2021-10-15 15:45:00,0.49,1.65
86,2021-10-15 17:30:00,2021-10-15 17:45:00,0.49,1.86
87,2021-10-15 19:15:00,2021-10-15 19:30:00,0.49,1.76
88,2021-10-16 04:00:00,2021-10-16 07:30:00,3.42,11.84
89,2021-10-16 09:15:00,2021-10-16 09:30:00,0.36,1.15
90,2021-10-16 11:00:00,2021-10-16 11:30:00,0.35,1.38
91,2021-10-16 16:45:00,2021-10-16 17:00:00,0.5,1.88
92,2021-10-16 18:30:00,2021-10-16 19:00:00,0.46,1.83
93,2021-10-16 19:45:00,2021-10-16 20:00:00,0.49,0.86
94,2021-10-17 04:00:00,2021-10-17 05:15:00,1.24,4.66
95,2021-10-17 06:15:00,2021-10-17 06:45:00,0.54,2.02
96,2021-10-17 07:45:00,2021-10-17 08:15:00,0.52,2.01
97,2021-10-17 12:45:00,2021-10-17 13:00:00,0.5,1.44
98,2021-10-17 16:15:00,2021-10-17 16:30:00,0.45,1.82
