cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 07:30:00,7.75,35.78
1,2021-01-01 08:00:00,2021-01-01 09:45:00,1.86,7.98
2,2021-01-01 11:00:00,2021-01-01 16:15:00,5.21,21.8
3,2021-01-01 17:45:00,2021-01-01 20:45:00,3.08,13.36
4,2021-01-01 21:15:00,2021-01-02 02:00:00,4.88,22.59
5,2021-01-02 02:30:00,2021-01-02 15:45:00,13.36,58.25
6,2021-01-02 16:15:00,2021-01-03 09:15:00,17.11,73.28
7,2021-01-03 09:45:00,2021-01-03 19:45:00,10.12,42.84
8,2021-01-03 20:15:00,2021-01-04 08:30:00,12.35,55.15
9,2021-01-04 09:00:00,2021-01-04 09:45:00,0.75,3.98
10,2021-01-04 11:00:00,2021-01-04 16:15:00,5.42,20.17
11,2021-01-04 17:45:00,2021-01-04 19:15:00,1.61,7.2
12,2021-01-04 19:45:00,2021-01-05 09:45:00,14.11,67.15
13,2021-01-05 11:00:00,2021-01-05 16:15:00,5.43,19.65
14,2021-01-05 17:45:00,2021-01-05 18:15:00,0.64,2.16
15,2021-01-05 18:45:00,2021-01-06 09:45:00,15.14,71.9
16,2021-01-06 11:00:00,2021-01-06 16:15:00,5.32,22.77
17,2021-01-06 17:45:00,2021-01-07 09:45:00,16.11,75.56
18,2021-01-07 11:00:00,2021-01-07 15:00:00,4.12,16.09
19,2021-01-07 15:30:00,2021-01-07 16:15:00,0.88,2.51
20,2021-01-07 17:45:00,2021-01-08 05:45:00,12.1,53.93
21,2021-01-08 06:15:00,2021-01-08 08:45:00,2.62,12.26
22,2021-01-08 09:15:00,2021-01-08 09:45:00,0.62,3.22
23,2021-01-08 11:00:00,2021-01-08 16:15:00,5.24,19.88
24,2021-01-08 17:45:00,2021-01-09 14:45:00,21.11,91.04
25,2021-01-09 15:15:00,2021-01-09 18:15:00,3.19,11.79
26,2021-01-09 18:45:00,2021-01-10 05:30:00,10.87,48.27
27,2021-01-10 06:00:00,2021-01-10 10:00:00,4.09,18.08
28,2021-01-10 10:30:00,2021-01-10 11:15:00,0.94,3.02
29,2021-01-10 11:45:00,2021-01-10 18:00:00,6.34,23.92
30,2021-01-10 18:30:00,2021-01-10 19:15:00,0.85,4.62
