cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-19 23:30:00,0.68,2.09
1,2021-01-20 00:15:00,2021-01-20 03:45:00,3.72,20.53
2,2021-01-20 04:30:00,2021-01-20 05:30:00,1.01,3.17
3,2021-01-20 06:00:00,2021-01-20 07:30:00,1.35,4.35
4,2021-01-20 08:00:00,2021-01-20 08:45:00,0.82,2.59
5,2021-01-20 09:15:00,2021-01-20 09:45:00,0.65,2.09
6,2021-01-20 11:00:00,2021-01-20 11:30:00,0.52,1.67
7,2021-01-20 12:15:00,2021-01-20 12:45:00,0.34,1.09
8,2021-01-20 14:45:00,2021-01-20 15:15:00,0.47,1.44
9,2021-01-20 15:45:00,2021-01-20 16:15:00,0.52,1.6
10,2021-01-20 18:15:00,2021-01-20 19:30:00,1.22,3.84
11,2021-01-20 20:00:00,2021-01-20 20:45:00,0.81,2.58
12,2021-01-20 21:15:00,2021-01-20 21:45:00,0.52,1.7
13,2021-01-20 22:45:00,2021-01-20 23:00:00,0.39,1.17
14,2021-01-20 23:45:00,2021-01-21 00:15:00,0.38,1.19
15,2021-01-21 01:00:00,2021-01-21 02:45:00,1.94,13.45
16,2021-01-21 04:30:00,2021-01-21 04:45:00,0.4,0.94
17,2021-01-21 06:00:00,2021-01-21 06:30:00,0.51,1.55
18,2021-01-21 07:15:00,2021-01-21 07:30:00,0.39,1.17
19,2021-01-21 08:15:00,2021-01-21 08:30:00,0.49,1.06
20,2021-01-21 09:45:00,2021-01-21 09:45:00,0.12,0.77
21,2021-01-21 14:15:00,2021-01-21 14:30:00,0.39,1.02
22,2021-01-21 15:30:00,2021-01-21 15:45:00,0.33,1.01
23,2021-01-21 16:15:00,2021-01-21 16:45:00,0.38,1.17
24,2021-01-21 18:15:00,2021-01-21 18:45:00,0.54,1.66
25,2021-01-21 20:45:00,2021-01-21 21:00:00,0.47,0.93
26,2021-01-21 21:45:00,2021-01-21 22:00:00,0.36,0.94
27,2021-01-21 23:45:00,2021-01-22 00:00:00,0.4,1.12
28,2021-01-22 01:00:00,2021-01-22 03:00:00,2.07,14.62
29,2021-01-22 03:30:00,2021-01-22 03:45:00,0.47,1.05
30,2021-01-22 04:45:00,2021-01-22 05:00:00,0.33,0.94
31,2021-01-22 06:15:00,2021-01-22 06:30:00,0.44,1.33
32,2021-01-22 07:15:00,2021-01-22 07:45:00,0.56,1.78
33,2021-01-22 08:30:00,2021-01-22 08:45:00,0.34,1.04
34,2021-01-22 09:30:00,2021-01-22 09:45:00,0.48,1.46
35,2021-01-22 11:00:00,2021-01-22 11:15:00,0.45,0.97
36,2021-01-22 12:15:00,2021-01-22 12:30:00,0.46,0.94
37,2021-01-22 14:30:00,2021-01-22 15:00:00,0.36,1.1
38,2021-01-22 15:45:00,2021-01-22 16:00:00,0.4,1.04
39,2021-01-22 16:45:00,2021-01-22 16:45:00,0.12,0.77
40,2021-01-22 18:15:00,2021-01-22 18:45:00,0.54,1.71
41,2021-01-22 19:15:00,2021-01-22 19:30:00,0.49,1.17
42,2021-01-22 20:15:00,2021-01-22 20:30:00,0.47,1.17
43,2021-01-22 21:15:00,2021-01-22 21:45:00,0.48,1.48
44,2021-01-22 22:45:00,2021-01-22 23:15:00,0.38,1.18
45,2021-01-22 23:45:00,2021-01-23 00:30:00,0.69,2.11
46,2021-01-23 01:00:00,2021-01-23 02:45:00,1.88,14.72
47,2021-01-23 03:30:00,2021-01-23 03:45:00,0.43,1.29
48,2021-01-23 04:30:00,2021-01-23 05:00:00,0.59,1.78
49,2021-01-23 06:00:00,2021-01-23 06:30:00,0.53,1.72
50,2021-01-23 07:00:00,2021-01-23 07:30:00,0.66,2.02
51,2021-01-23 08:15:00,2021-01-23 08:30:00,0.46,1.49
52,2021-01-23 09:15:00,2021-01-23 10:00:00,0.75,2.34
53,2021-01-23 10:30:00,2021-01-23 11:00:00,0.48,1.57
54,2021-01-23 11:30:00,2021-01-23 12:00:00,0.38,1.2
55,2021-01-23 12:45:00,2021-01-23 13:00:00,0.33,1.04
56,2021-01-23 14:15:00,2021-01-23 14:45:00,0.48,1.54
57,2021-01-23 15:15:00,2021-01-23 15:30:00,0.4,1.25
58,2021-01-23 16:00:00,2021-01-23 16:30:00,0.51,1.61
59,2021-01-23 17:15:00,2021-01-23 17:30:00,0.45,1.43
60,2021-01-23 18:15:00,2021-01-23 18:30:00,0.48,1.4
61,2021-01-23 19:15:00,2021-01-23 19:45:00,0.66,2.01
62,2021-01-23 20:30:00,2021-01-23 21:45:00,1.32,3.24
63,2021-01-23 22:45:00,2021-01-23 23:15:00,0.49,1.53
64,2021-01-24 00:00:00,2021-01-24 00:15:00,0.36,1.07
65,2021-01-24 01:00:00,2021-01-24 04:45:00,3.69,27.77
66,2021-01-24 05:15:00,2021-01-24 06:45:00,1.49,3.56
67,2021-01-24 07:15:00,2021-01-24 08:00:00,0.79,2.47
68,2021-01-24 08:45:00,2021-01-24 09:15:00,0.5,1.63
69,2021-01-24 09:45:00,2021-01-24 10:15:00,0.44,1.42
70,2021-01-24 10:45:00,2021-01-24 11:00:00,0.35,1.13
71,2021-01-24 12:00:00,2021-01-24 12:15:00,0.45,1.18
72,2021-01-24 15:15:00,2021-01-24 15:30:00,0.47,1.48
73,2021-01-24 16:15:00,2021-01-24 17:00:00,1.0,3.15
74,2021-01-24 17:30:00,2021-01-24 18:45:00,1.15,3.68
75,2021-01-24 19:15:00,2021-01-24 20:30:00,1.21,3.88
76,2021-01-24 21:00:00,2021-01-24 21:45:00,0.78,2.49
77,2021-01-24 22:45:00,2021-01-24 23:00:00,0.42,1.34
78,2021-01-25 00:00:00,2021-01-25 00:30:00,0.58,1.8
79,2021-01-25 01:00:00,2021-01-25 03:00:00,2.0,10.52
80,2021-01-25 03:45:00,2021-01-25 04:00:00,0.36,1.13
81,2021-01-25 04:45:00,2021-01-25 05:15:00,0.41,1.3
82,2021-01-25 05:45:00,2021-01-25 06:30:00,0.8,2.55
83,2021-01-25 07:15:00,2021-01-25 07:45:00,0.62,2.05
84,2021-01-25 08:15:00,2021-01-25 08:30:00,0.48,1.53
85,2021-01-25 09:15:00,2021-01-25 09:45:00,0.53,1.72
86,2021-01-25 11:00:00,2021-01-25 11:30:00,0.62,2.01
87,2021-01-25 12:15:00,2021-01-25 12:45:00,0.58,1.82
88,2021-01-25 13:15:00,2021-01-25 13:45:00,0.51,1.65
89,2021-01-25 14:30:00,2021-01-25 15:00:00,0.67,2.12
90,2021-01-25 15:45:00,2021-01-25 16:00:00,0.49,1.52
