cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-17 01:00:00,2022-04-17 02:15:00,1.31,7.1
1,2022-04-17 02:45:00,2022-04-17 02:45:00,0.12,0.8
2,2022-04-17 03:15:00,2022-04-17 04:30:00,1.3,2.46
3,2022-04-17 05:00:00,2022-04-17 06:30:00,1.54,3.1
4,2022-04-17 07:15:00,2022-04-17 08:15:00,1.1,2.0
5,2022-04-17 09:15:00,2022-04-17 10:15:00,0.98,1.28
6,2022-04-17 11:45:00,2022-04-17 12:15:00,0.68,0.58
7,2022-04-17 20:45:00,2022-04-17 22:00:00,1.36,1.28
8,2022-04-17 22:45:00,2022-04-18 00:00:00,1.49,1.6
9,2022-04-18 00:30:00,2022-04-18 02:00:00,1.71,9.37
10,2022-04-18 02:30:00,2022-04-18 03:30:00,1.21,2.44
11,2022-04-18 04:15:00,2022-04-18 07:30:00,3.37,11.57
12,2022-04-18 08:30:00,2022-04-18 09:15:00,1.0,1.26
13,2022-04-18 10:30:00,2022-04-18 10:45:00,0.36,0.78
14,2022-04-18 21:45:00,2022-04-18 23:30:00,1.75,2.39
15,2022-04-19 00:15:00,2022-04-19 01:15:00,1.03,7.44
16,2022-04-19 01:45:00,2022-04-19 03:00:00,1.39,3.24
17,2022-04-19 03:30:00,2022-04-19 04:45:00,1.5,2.89
18,2022-04-19 05:45:00,2022-04-19 06:45:00,1.14,2.49
19,2022-04-19 07:45:00,2022-04-19 08:30:00,0.95,1.54
20,2022-04-19 10:15:00,2022-04-19 10:45:00,0.53,0.53
21,2022-04-20 00:30:00,2022-04-20 01:30:00,1.09,3.51
22,2022-04-20 02:15:00,2022-04-20 03:00:00,0.79,1.41
23,2022-04-20 03:45:00,2022-04-20 04:45:00,1.18,1.61
24,2022-04-20 05:15:00,2022-04-20 05:15:00,0.12,0.43
25,2022-04-20 05:45:00,2022-04-20 06:45:00,1.08,1.36
26,2022-04-20 07:45:00,2022-04-20 08:30:00,0.93,1.25
27,2022-04-20 10:00:00,2022-04-20 10:30:00,0.66,0.66
28,2022-04-20 22:30:00,2022-04-20 23:15:00,0.85,0.85
29,2022-04-21 00:30:00,2022-04-21 01:15:00,1.0,4.65
30,2022-04-21 02:00:00,2022-04-21 03:15:00,1.3,2.68
31,2022-04-21 04:15:00,2022-04-21 05:15:00,1.09,2.07
32,2022-04-21 05:45:00,2022-04-21 07:00:00,1.42,2.18
33,2022-04-21 08:00:00,2022-04-21 08:45:00,0.79,1.11
34,2022-04-21 11:00:00,2022-04-21 11:15:00,0.4,0.42
35,2022-04-22 00:00:00,2022-04-22 00:45:00,0.91,3.43
36,2022-04-22 01:15:00,2022-04-22 01:15:00,0.12,0.68
37,2022-04-22 01:45:00,2022-04-22 02:30:00,0.8,1.57
38,2022-04-22 03:00:00,2022-04-22 03:00:00,0.12,0.5
39,2022-04-22 03:30:00,2022-04-22 04:15:00,0.88,1.44
40,2022-04-22 05:30:00,2022-04-22 06:15:00,0.85,1.53
41,2022-04-22 07:15:00,2022-04-22 08:15:00,1.02,1.12
42,2022-04-22 09:30:00,2022-04-22 10:00:00,0.67,0.68
43,2022-04-22 22:45:00,2022-04-22 23:45:00,1.06,1.09
44,2022-04-23 00:30:00,2022-04-23 01:30:00,1.07,3.72
45,2022-04-23 02:00:00,2022-04-23 03:30:00,1.59,2.0
46,2022-04-23 04:30:00,2022-04-23 05:15:00,0.8,1.39
47,2022-04-23 06:30:00,2022-04-23 07:15:00,0.86,0.87
48,2022-04-23 08:30:00,2022-04-23 09:00:00,0.64,0.67
49,2022-04-23 11:45:00,2022-04-23 12:15:00,0.6,0.52
50,2022-04-23 21:30:00,2022-04-24 00:00:00,2.62,2.21
51,2022-04-24 00:30:00,2022-04-24 01:00:00,0.75,2.58
52,2022-04-24 01:45:00,2022-04-24 03:00:00,1.5,1.74
53,2022-04-24 04:00:00,2022-04-24 04:45:00,0.73,1.41
54,2022-04-24 05:45:00,2022-04-24 06:30:00,1.0,1.5
55,2022-04-24 07:30:00,2022-04-24 08:30:00,1.0,1.06
56,2022-04-24 09:45:00,2022-04-24 10:15:00,0.73,0.76
57,2022-04-24 12:15:00,2022-04-24 12:45:00,0.62,0.59
58,2022-04-24 16:15:00,2022-04-24 17:00:00,0.8,0.75
59,2022-04-24 18:15:00,2022-04-24 19:00:00,0.86,0.81
60,2022-04-24 20:15:00,2022-04-24 21:00:00,0.84,0.82
61,2022-04-24 22:15:00,2022-04-24 22:45:00,0.71,0.73
62,2022-04-25 00:00:00,2022-04-25 01:15:00,1.39,3.34
63,2022-04-25 02:00:00,2022-04-25 02:30:00,0.75,1.23
64,2022-04-25 03:15:00,2022-04-25 03:15:00,0.12,0.48
65,2022-04-25 04:00:00,2022-04-25 04:45:00,0.83,1.28
66,2022-04-25 06:00:00,2022-04-25 06:30:00,0.41,1.14
67,2022-04-25 08:00:00,2022-04-25 08:45:00,0.74,0.71
68,2022-04-25 10:30:00,2022-04-25 11:00:00,0.61,0.57
69,2022-04-25 13:00:00,2022-04-25 13:30:00,0.71,0.59
70,2022-04-25 18:45:00,2022-04-25 19:15:00,0.67,0.61
71,2022-04-25 20:30:00,2022-04-25 21:15:00,0.98,1.0
72,2022-04-25 22:15:00,2022-04-25 23:00:00,0.96,0.98
73,2022-04-26 00:15:00,2022-04-26 02:45:00,2.36,8.63
74,2022-04-26 03:15:00,2022-04-26 03:15:00,0.12,0.49
75,2022-04-26 04:00:00,2022-04-26 05:15:00,1.5,1.86
76,2022-04-26 05:45:00,2022-04-26 06:30:00,0.73,2.25
77,2022-04-26 07:30:00,2022-04-26 08:45:00,1.36,2.03
78,2022-04-26 09:45:00,2022-04-26 10:30:00,1.0,1.07
79,2022-04-26 11:00:00,2022-04-26 11:30:00,0.5,1.45
80,2022-04-26 13:15:00,2022-04-26 13:45:00,0.6,0.58
81,2022-04-26 16:00:00,2022-04-26 16:30:00,0.39,1.04
82,2022-04-26 18:00:00,2022-04-26 19:45:00,1.81,3.73
83,2022-04-26 21:00:00,2022-04-26 21:45:00,0.88,0.88
84,2022-04-26 22:45:00,2022-04-27 00:00:00,1.3,1.29
85,2022-04-27 00:30:00,2022-04-27 02:15:00,1.96,12.56
86,2022-04-27 02:45:00,2022-04-27 04:00:00,1.41,2.89
87,2022-04-27 04:30:00,2022-04-27 04:30:00,0.12,0.56
88,2022-04-27 05:00:00,2022-04-27 05:45:00,0.99,2.14
89,2022-04-27 06:45:00,2022-04-27 07:45:00,1.1,1.89
90,2022-04-27 09:00:00,2022-04-27 09:45:00,0.8,0.86
91,2022-04-27 18:45:00,2022-04-27 19:00:00,0.42,0.49
92,2022-04-27 22:15:00,2022-04-28 02:15:00,4.25,10.84
93,2022-04-28 03:00:00,2022-04-28 04:00:00,1.08,1.91
94,2022-04-28 04:30:00,2022-04-28 04:30:00,0.12,0.54
95,2022-04-28 05:00:00,2022-04-28 06:00:00,1.22,1.81
96,2022-04-28 06:45:00,2022-04-28 07:45:00,0.99,1.38
97,2022-04-28 09:00:00,2022-04-28 09:30:00,0.68,0.69
98,2022-04-28 20:15:00,2022-04-28 20:30:00,0.4,0.55
99,2022-04-28 23:30:00,2022-04-29 02:45:00,3.16,11.8
100,2022-04-29 03:30:00,2022-04-29 04:45:00,1.5,2.39
101,2022-04-29 05:30:00,2022-04-29 06:30:00,1.07,1.96
102,2022-04-29 07:15:00,2022-04-29 08:15:00,0.93,1.33
103,2022-04-29 08:45:00,2022-04-29 09:15:00,0.37,1.29
104,2022-04-29 13:30:00,2022-04-29 14:00:00,0.51,1.04
105,2022-04-29 23:30:00,2022-04-30 02:30:00,3.1,11.48
106,2022-04-30 03:15:00,2022-04-30 03:15:00,0.12,0.64
107,2022-04-30 04:00:00,2022-04-30 04:45:00,0.66,1.3
108,2022-04-30 05:30:00,2022-04-30 05:30:00,0.12,0.5
109,2022-04-30 06:00:00,2022-04-30 06:45:00,0.83,0.79
110,2022-04-30 08:00:00,2022-04-30 08:30:00,0.72,0.67
111,2022-04-30 19:00:00,2022-04-30 21:15:00,2.42,2.78
112,2022-04-30 22:30:00,2022-04-30 23:15:00,0.93,0.88
113,2022-05-01 00:30:00,2022-05-01 01:30:00,1.19,8.72
114,2022-05-01 02:00:00,2022-05-01 03:15:00,1.5,3.08
115,2022-05-01 04:00:00,2022-05-01 05:15:00,1.5,2.24
116,2022-05-01 06:15:00,2022-05-01 07:00:00,0.98,1.0
117,2022-05-01 08:15:00,2022-05-01 08:45:00,0.75,0.76
118,2022-05-01 10:00:00,2022-05-01 10:45:00,0.77,0.76
119,2022-05-01 22:00:00,2022-05-01 23:15:00,1.38,1.38
120,2022-05-02 00:15:00,2022-05-02 01:45:00,1.54,8.78
121,2022-05-02 02:15:00,2022-05-02 03:15:00,1.25,2.72
122,2022-05-02 04:15:00,2022-05-02 05:30:00,1.5,2.49
123,2022-05-02 06:15:00,2022-05-02 07:15:00,1.1,1.57
124,2022-05-02 08:15:00,2022-05-02 09:00:00,0.7,1.01
125,2022-05-02 13:30:00,2022-05-02 13:45:00,0.37,0.81
126,2022-05-02 20:30:00,2022-05-02 20:45:00,0.41,1.01
127,2022-05-02 22:30:00,2022-05-02 23:30:00,1.15,1.06
128,2022-05-03 00:30:00,2022-05-03 01:30:00,1.19,8.78
129,2022-05-03 02:00:00,2022-05-03 02:00:00,0.12,1.09
130,2022-05-03 02:30:00,2022-05-03 03:15:00,0.72,1.69
131,2022-05-03 04:00:00,2022-05-03 05:15:00,1.5,2.18
132,2022-05-03 06:15:00,2022-05-03 07:00:00,1.0,1.47
133,2022-05-03 08:30:00,2022-05-03 09:00:00,0.63,0.59
134,2022-05-03 19:00:00,2022-05-03 19:15:00,0.41,0.49
135,2022-05-03 22:15:00,2022-05-03 22:30:00,0.47,0.94
136,2022-05-03 23:15:00,2022-05-04 00:00:00,0.86,0.84
137,2022-05-04 00:30:00,2022-05-04 02:30:00,2.06,9.31
138,2022-05-04 03:00:00,2022-05-04 04:00:00,1.05,1.74
139,2022-05-04 04:30:00,2022-05-04 04:30:00,0.12,0.54
140,2022-05-04 05:00:00,2022-05-04 06:00:00,1.22,2.05
141,2022-05-04 07:00:00,2022-05-04 07:45:00,0.85,0.89
142,2022-05-04 09:30:00,2022-05-04 09:45:00,0.41,0.35
143,2022-05-04 19:00:00,2022-05-04 19:15:00,0.49,0.72
144,2022-05-04 22:15:00,2022-05-04 23:15:00,1.06,1.12
145,2022-05-05 00:00:00,2022-05-05 01:30:00,1.67,6.96
146,2022-05-05 02:00:00,2022-05-05 02:00:00,0.12,0.72
147,2022-05-05 02:45:00,2022-05-05 04:15:00,1.55,1.96
148,2022-05-05 05:30:00,2022-05-05 06:15:00,1.0,2.17
149,2022-05-05 07:45:00,2022-05-05 08:15:00,0.74,0.62
150,2022-05-05 13:00:00,2022-05-05 13:00:00,0.12,0.41
151,2022-05-05 19:45:00,2022-05-05 21:15:00,1.74,2.21
152,2022-05-05 22:30:00,2022-05-06 02:30:00,4.0,11.56
