cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-07 23:00:00,2021-06-07 23:00:00,0.12,0.23
1,2021-06-07 23:30:00,2021-06-07 23:45:00,0.36,0.84
2,2021-06-08 00:15:00,2021-06-08 00:15:00,0.12,0.29
3,2021-06-08 00:45:00,2021-06-08 00:45:00,0.12,0.26
4,2021-06-08 01:15:00,2021-06-08 01:30:00,0.34,0.41
5,2021-06-08 02:00:00,2021-06-08 02:00:00,0.12,0.22
6,2021-06-08 02:30:00,2021-06-08 02:45:00,0.3,0.71
7,2021-06-08 03:15:00,2021-06-08 03:15:00,0.12,0.25
8,2021-06-08 03:45:00,2021-06-08 03:45:00,0.12,0.56
9,2021-06-08 04:15:00,2021-06-08 04:30:00,0.31,0.54
10,2021-06-08 05:00:00,2021-06-08 05:00:00,0.12,0.38
11,2021-06-08 05:30:00,2021-06-08 05:45:00,0.48,0.28
12,2021-06-08 06:15:00,2021-06-08 06:15:00,0.12,0.25
13,2021-06-08 06:45:00,2021-06-08 06:45:00,0.12,0.24
14,2021-06-08 07:15:00,2021-06-08 07:15:00,0.12,0.25
15,2021-06-08 07:45:00,2021-06-08 07:45:00,0.12,0.25
16,2021-06-08 08:15:00,2021-06-08 08:15:00,0.12,0.23
17,2021-06-08 08:45:00,2021-06-08 08:45:00,0.12,0.2
18,2021-06-08 09:15:00,2021-06-08 09:30:00,0.47,0.24
19,2021-06-08 10:00:00,2021-06-08 10:00:00,0.12,0.26
20,2021-06-08 10:30:00,2021-06-08 10:30:00,0.12,0.25
21,2021-06-08 11:00:00,2021-06-08 11:00:00,0.12,0.24
22,2021-06-08 11:30:00,2021-06-08 11:30:00,0.12,0.23
23,2021-06-08 12:00:00,2021-06-08 12:00:00,0.12,0.23
24,2021-06-08 12:30:00,2021-06-08 12:30:00,0.12,0.22
25,2021-06-08 13:00:00,2021-06-08 13:15:00,0.44,0.24
26,2021-06-08 13:45:00,2021-06-08 13:45:00,0.12,0.19
27,2021-06-08 14:15:00,2021-06-08 14:15:00,0.12,0.22
28,2021-06-08 14:45:00,2021-06-08 14:45:00,0.12,0.22
29,2021-06-08 15:15:00,2021-06-08 15:15:00,0.12,0.22
30,2021-06-08 15:45:00,2021-06-08 15:45:00,0.12,0.22
31,2021-06-08 16:15:00,2021-06-08 16:15:00,0.12,0.23
32,2021-06-08 16:45:00,2021-06-08 16:45:00,0.12,0.22
33,2021-06-08 17:15:00,2021-06-08 17:15:00,0.12,0.19
34,2021-06-08 17:45:00,2021-06-08 18:00:00,0.46,0.24
35,2021-06-08 18:30:00,2021-06-08 18:30:00,0.12,0.2
36,2021-06-08 19:00:00,2021-06-08 19:00:00,0.12,0.24
37,2021-06-08 19:30:00,2021-06-08 19:30:00,0.12,0.28
38,2021-06-08 20:00:00,2021-06-08 20:00:00,0.12,0.32
39,2021-06-08 20:30:00,2021-06-08 20:45:00,0.39,0.32
40,2021-06-08 21:15:00,2021-06-08 21:15:00,0.12,0.26
41,2021-06-08 21:45:00,2021-06-08 21:45:00,0.12,0.25
42,2021-06-08 22:15:00,2021-06-08 22:15:00,0.12,0.24
43,2021-06-08 22:45:00,2021-06-08 22:45:00,0.12,0.25
44,2021-06-08 23:15:00,2021-06-08 23:15:00,0.12,0.25
