cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-21 00:30:00,2021-01-21 01:30:00,1.18,7.3
1,2021-01-21 02:15:00,2021-01-21 02:15:00,0.12,0.42
2,2021-01-21 03:00:00,2021-01-21 03:45:00,0.7,2.3
3,2021-01-21 04:15:00,2021-01-21 04:15:00,0.12,0.37
4,2021-01-21 04:45:00,2021-01-21 05:30:00,0.77,3.25
5,2021-01-21 06:30:00,2021-01-21 07:00:00,0.41,1.63
6,2021-01-21 08:00:00,2021-01-21 08:15:00,0.45,1.31
7,2021-01-21 09:30:00,2021-01-21 09:45:00,0.28,1.12
8,2021-01-21 11:00:00,2021-01-21 11:15:00,0.3,1.11
9,2021-01-21 12:15:00,2021-01-21 12:30:00,0.37,1.1
10,2021-01-21 14:15:00,2021-01-21 14:30:00,0.4,1.29
11,2021-01-21 15:30:00,2021-01-21 15:45:00,0.36,1.43
12,2021-01-21 17:00:00,2021-01-21 17:15:00,0.43,1.28
13,2021-01-21 18:30:00,2021-01-21 18:45:00,0.5,1.35
14,2021-01-21 20:45:00,2021-01-21 21:00:00,0.35,1.27
15,2021-01-22 01:00:00,2021-01-22 01:45:00,0.77,7.79
16,2021-01-22 02:15:00,2021-01-22 02:15:00,0.12,0.48
17,2021-01-22 03:00:00,2021-01-22 03:00:00,0.12,0.44
18,2021-01-22 03:45:00,2021-01-22 04:30:00,0.74,2.14
19,2021-01-22 05:00:00,2021-01-22 05:30:00,0.65,2.82
20,2021-01-22 06:30:00,2021-01-22 06:45:00,0.47,1.74
21,2021-01-22 08:00:00,2021-01-22 08:15:00,0.49,1.62
22,2021-01-22 09:30:00,2021-01-22 09:45:00,0.49,1.5
23,2021-01-22 11:00:00,2021-01-22 11:15:00,0.39,1.22
24,2021-01-22 12:45:00,2021-01-22 13:00:00,0.34,1.2
25,2021-01-22 14:30:00,2021-01-22 14:45:00,0.38,1.38
26,2021-01-22 15:45:00,2021-01-22 16:15:00,0.39,1.54
27,2021-01-22 17:15:00,2021-01-22 17:45:00,0.41,1.66
28,2021-01-22 19:00:00,2021-01-22 19:15:00,0.49,1.82
29,2021-01-22 20:30:00,2021-01-22 20:45:00,0.4,1.55
30,2021-01-23 00:45:00,2021-01-23 01:30:00,0.84,7.08
31,2021-01-23 02:15:00,2021-01-23 02:15:00,0.12,0.41
32,2021-01-23 02:45:00,2021-01-23 03:30:00,1.0,2.49
33,2021-01-23 04:15:00,2021-01-23 04:30:00,0.45,0.36
34,2021-01-23 05:00:00,2021-01-23 05:45:00,0.97,3.96
35,2021-01-23 06:45:00,2021-01-23 07:15:00,0.56,2.29
36,2021-01-23 08:00:00,2021-01-23 08:30:00,0.57,2.21
37,2021-01-23 09:30:00,2021-01-23 10:00:00,0.49,1.84
38,2021-01-23 11:00:00,2021-01-23 11:30:00,0.51,1.89
39,2021-01-23 12:30:00,2021-01-23 13:00:00,0.49,1.84
40,2021-01-23 14:15:00,2021-01-23 14:45:00,0.44,1.8
41,2021-01-23 15:45:00,2021-01-23 16:15:00,0.52,2.12
42,2021-01-23 17:15:00,2021-01-23 17:45:00,0.48,1.8
43,2021-01-23 18:45:00,2021-01-23 19:15:00,0.46,1.87
44,2021-01-23 20:00:00,2021-01-23 20:30:00,0.49,1.82
45,2021-01-23 21:45:00,2021-01-23 21:45:00,0.12,0.87
46,2021-01-24 00:30:00,2021-01-24 01:45:00,1.05,7.46
47,2021-01-24 02:15:00,2021-01-24 02:15:00,0.12,0.45
48,2021-01-24 03:00:00,2021-01-24 03:15:00,0.42,2.16
49,2021-01-24 03:45:00,2021-01-24 04:15:00,0.75,0.76
50,2021-01-24 04:45:00,2021-01-24 06:00:00,1.19,4.46
51,2021-01-24 06:45:00,2021-01-24 07:15:00,0.59,2.37
52,2021-01-24 08:00:00,2021-01-24 08:15:00,0.47,1.71
