cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-09 22:00:00,2022-05-09 23:00:00,1.1,2.25
1,2022-05-10 00:45:00,2022-05-10 05:00:00,4.2,12.08
2,2022-05-10 05:45:00,2022-05-10 06:45:00,1.13,1.9
3,2022-05-10 09:30:00,2022-05-10 09:45:00,0.44,0.44
4,2022-05-11 01:30:00,2022-05-11 02:00:00,0.63,1.54
5,2022-05-11 05:30:00,2022-05-11 06:45:00,1.22,4.05
6,2022-05-12 01:30:00,2022-05-12 01:45:00,0.37,0.97
7,2022-05-13 01:30:00,2022-05-13 04:15:00,3.0,7.61
8,2022-05-14 01:30:00,2022-05-14 02:15:00,0.96,2.36
9,2022-05-14 03:45:00,2022-05-14 04:00:00,0.34,0.81
10,2022-05-15 01:30:00,2022-05-15 02:30:00,1.14,2.83
11,2022-05-15 06:15:00,2022-05-15 07:15:00,1.09,3.3
12,2022-05-15 10:30:00,2022-05-15 10:45:00,0.38,0.53
13,2022-05-16 01:30:00,2022-05-16 02:15:00,0.95,2.35
14,2022-05-17 01:30:00,2022-05-17 04:15:00,3.0,7.51
15,2022-05-18 01:30:00,2022-05-18 02:00:00,0.62,1.54
16,2022-05-19 01:30:00,2022-05-19 04:15:00,3.0,7.62
17,2022-05-20 01:30:00,2022-05-20 03:00:00,1.7,4.25
18,2022-05-21 01:30:00,2022-05-21 02:30:00,1.16,2.91
19,2022-05-22 01:30:00,2022-05-22 02:45:00,1.35,3.34
20,2022-05-23 01:30:00,2022-05-23 02:15:00,1.0,2.48
21,2022-05-24 01:30:00,2022-05-24 02:45:00,1.44,3.58
22,2022-05-25 01:30:00,2022-05-25 02:30:00,1.25,3.11
23,2022-05-26 01:30:00,2022-05-26 02:30:00,1.12,2.79
24,2022-05-27 01:30:00,2022-05-27 03:00:00,1.58,3.86
25,2022-05-28 01:30:00,2022-05-28 02:00:00,0.59,1.46
26,2022-05-29 01:30:00,2022-05-29 03:15:00,1.94,4.78
27,2022-05-30 01:30:00,2022-05-30 02:00:00,0.75,1.83
28,2022-05-31 01:30:00,2022-05-31 03:45:00,2.32,5.7
29,2022-06-01 01:30:00,2022-06-01 03:30:00,2.24,5.55
30,2022-06-02 01:30:00,2022-06-02 03:15:00,1.98,4.87
31,2022-06-03 01:30:00,2022-06-03 03:00:00,1.75,4.36
32,2022-06-04 01:30:00,2022-06-04 02:45:00,1.33,3.29
33,2022-06-05 01:30:00,2022-06-05 02:15:00,0.85,2.12
34,2022-06-06 01:30:00,2022-06-06 04:15:00,2.89,7.12
35,2022-06-07 01:30:00,2022-06-07 02:15:00,0.9,2.24
36,2022-06-08 01:30:00,2022-06-08 02:45:00,1.35,3.33
37,2022-06-08 04:30:00,2022-06-08 04:45:00,0.38,0.81
38,2022-06-09 01:30:00,2022-06-09 02:30:00,1.12,2.77
39,2022-06-10 01:30:00,2022-06-10 02:15:00,0.9,2.24
40,2022-06-11 01:30:00,2022-06-11 04:30:00,3.11,7.76
41,2022-06-12 01:30:00,2022-06-12 02:15:00,0.86,2.16
42,2022-06-13 01:30:00,2022-06-13 02:45:00,1.47,3.64
43,2022-06-14 01:30:00,2022-06-14 03:45:00,2.34,5.88
44,2022-06-15 01:30:00,2022-06-15 02:30:00,1.17,2.91
45,2022-06-16 01:30:00,2022-06-16 01:45:00,0.45,1.16
46,2022-06-17 01:30:00,2022-06-17 01:45:00,0.49,1.25
47,2022-06-18 01:30:00,2022-06-18 02:00:00,0.62,1.54
48,2022-06-19 01:30:00,2022-06-19 01:45:00,0.43,1.08
49,2022-06-20 01:30:00,2022-06-20 02:30:00,1.17,2.93
50,2022-06-20 05:45:00,2022-06-20 05:45:00,0.12,0.38
51,2022-06-21 01:30:00,2022-06-21 03:00:00,1.62,4.09
52,2022-06-21 04:30:00,2022-06-21 05:00:00,0.49,1.24
53,2022-06-22 01:30:00,2022-06-22 03:45:00,2.42,6.07
54,2022-06-23 01:30:00,2022-06-23 02:15:00,0.8,1.98
55,2022-06-24 01:30:00,2022-06-24 02:45:00,1.36,3.42
56,2022-06-25 01:30:00,2022-06-25 03:00:00,1.58,3.91
57,2022-06-26 01:30:00,2022-06-26 02:45:00,1.49,3.72
58,2022-06-27 01:30:00,2022-06-27 02:30:00,1.18,2.96
59,2022-06-28 01:30:00,2022-06-28 02:30:00,1.04,2.62
60,2022-06-29 01:30:00,2022-06-29 02:30:00,1.24,3.12
61,2022-06-30 01:30:00,2022-06-30 02:30:00,1.25,3.11
62,2022-07-01 01:30:00,2022-07-01 03:00:00,1.71,4.27
63,2022-07-02 01:30:00,2022-07-02 03:00:00,1.57,3.87
64,2022-07-03 01:30:00,2022-07-03 02:15:00,0.92,2.29
65,2022-07-04 01:30:00,2022-07-04 02:45:00,1.46,3.66
66,2022-07-05 01:30:00,2022-07-05 03:15:00,1.95,4.87
67,2022-07-06 01:30:00,2022-07-06 03:00:00,1.72,4.31
68,2022-07-07 01:30:00,2022-07-07 03:00:00,1.63,4.08
69,2022-07-08 01:30:00,2022-07-08 02:45:00,1.29,3.22
70,2022-07-09 01:30:00,2022-07-09 02:45:00,1.5,3.75
71,2022-07-10 01:30:00,2022-07-10 02:00:00,0.63,1.61
72,2022-07-11 01:30:00,2022-07-11 02:45:00,1.5,3.7
73,2022-07-12 01:30:00,2022-07-12 02:30:00,1.17,2.96
74,2022-07-13 01:30:00,2022-07-13 02:45:00,1.33,3.32
75,2022-07-14 01:30:00,2022-07-14 02:45:00,1.3,3.29
76,2022-07-14 05:30:00,2022-07-14 05:45:00,0.36,0.9
77,2022-07-15 01:30:00,2022-07-15 04:00:00,2.55,6.45
78,2022-07-16 01:30:00,2022-07-16 02:45:00,1.31,3.27
79,2022-07-17 01:30:00,2022-07-17 01:45:00,0.49,1.26
