cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-19 23:15:00,0.33,0.85
1,2021-01-20 00:15:00,2021-01-20 00:30:00,0.3,0.82
2,2021-01-20 01:30:00,2021-01-20 01:45:00,0.31,0.88
3,2021-01-20 02:30:00,2021-01-20 02:45:00,0.31,0.91
4,2021-01-20 03:30:00,2021-01-20 03:45:00,0.34,0.91
5,2021-01-20 04:30:00,2021-01-20 05:00:00,0.75,2.15
6,2021-01-20 05:45:00,2021-01-20 06:00:00,0.41,1.02
7,2021-01-20 06:30:00,2021-01-20 07:00:00,0.36,1.11
8,2021-01-20 07:30:00,2021-01-20 07:45:00,0.39,0.96
9,2021-01-20 08:45:00,2021-01-20 09:00:00,0.29,0.91
10,2021-01-20 13:00:00,2021-01-20 13:00:00,0.12,0.76
11,2021-01-20 14:30:00,2021-01-20 15:00:00,0.63,1.69
12,2021-01-20 15:45:00,2021-01-20 16:00:00,0.4,0.97
13,2021-01-20 16:45:00,2021-01-20 16:45:00,0.12,0.65
14,2021-01-20 18:15:00,2021-01-20 18:30:00,0.36,0.98
15,2021-01-20 19:45:00,2021-01-20 20:00:00,0.49,0.81
16,2021-01-20 21:30:00,2021-01-20 21:45:00,0.49,1.22
17,2021-01-20 23:00:00,2021-01-20 23:15:00,0.4,0.76
18,2021-01-21 02:30:00,2021-01-21 02:30:00,0.12,0.7
19,2021-01-21 04:30:00,2021-01-21 04:30:00,0.12,0.77
20,2021-01-21 05:45:00,2021-01-21 06:00:00,0.35,0.78
21,2021-01-21 06:45:00,2021-01-21 07:00:00,0.33,0.88
22,2021-01-21 08:15:00,2021-01-21 08:30:00,0.31,0.81
23,2021-01-21 13:00:00,2021-01-21 13:15:00,0.31,0.85
24,2021-01-21 14:45:00,2021-01-21 14:45:00,0.12,0.69
25,2021-01-21 15:45:00,2021-01-21 16:00:00,0.28,0.87
26,2021-01-21 18:15:00,2021-01-21 18:30:00,0.29,0.78
27,2021-01-21 21:45:00,2021-01-21 22:00:00,0.35,0.69
28,2021-01-21 23:30:00,2021-01-21 23:45:00,0.3,0.76
29,2021-01-22 01:30:00,2021-01-22 01:45:00,0.33,0.78
30,2021-01-22 03:00:00,2021-01-22 03:15:00,0.4,0.76
31,2021-01-22 04:30:00,2021-01-22 04:30:00,0.12,0.77
32,2021-01-22 05:45:00,2021-01-22 06:00:00,0.4,0.84
33,2021-01-22 06:45:00,2021-01-22 07:00:00,0.28,0.87
34,2021-01-22 08:00:00,2021-01-22 08:15:00,0.44,0.9
35,2021-01-22 09:00:00,2021-01-22 09:15:00,0.28,0.82
36,2021-01-22 13:00:00,2021-01-22 13:00:00,0.12,0.69
37,2021-01-22 14:30:00,2021-01-22 14:30:00,0.12,0.69
38,2021-01-22 15:30:00,2021-01-22 15:45:00,0.28,0.85
39,2021-01-22 16:45:00,2021-01-22 16:45:00,0.12,0.53
40,2021-01-22 18:15:00,2021-01-22 18:30:00,0.3,0.81
41,2021-01-22 19:45:00,2021-01-22 20:15:00,0.59,1.54
42,2021-01-22 21:45:00,2021-01-22 22:00:00,0.39,0.76
43,2021-01-22 23:30:00,2021-01-22 23:45:00,0.5,0.79
44,2021-01-23 00:45:00,2021-01-23 01:00:00,0.39,0.78
45,2021-01-23 02:00:00,2021-01-23 02:15:00,0.36,0.77
46,2021-01-23 03:15:00,2021-01-23 03:30:00,0.3,0.84
47,2021-01-23 04:30:00,2021-01-23 04:45:00,0.34,1.03
48,2021-01-23 05:30:00,2021-01-23 05:45:00,0.46,1.41
49,2021-01-23 06:30:00,2021-01-23 06:45:00,0.3,0.92
50,2021-01-23 07:30:00,2021-01-23 07:45:00,0.45,0.93
51,2021-01-23 08:45:00,2021-01-23 09:00:00,0.32,0.89
52,2021-01-23 09:45:00,2021-01-23 10:00:00,0.42,0.85
53,2021-01-23 12:30:00,2021-01-23 12:45:00,0.33,0.73
54,2021-01-23 13:45:00,2021-01-23 14:00:00,0.29,0.84
55,2021-01-23 15:00:00,2021-01-23 15:15:00,0.45,1.17
56,2021-01-23 16:00:00,2021-01-23 16:15:00,0.39,0.94
57,2021-01-23 17:00:00,2021-01-23 17:15:00,0.35,0.83
58,2021-01-23 19:00:00,2021-01-23 19:15:00,0.42,0.78
59,2021-01-23 20:15:00,2021-01-23 20:15:00,0.12,0.76
60,2021-01-23 21:45:00,2021-01-23 21:45:00,0.12,0.72
61,2021-01-23 23:15:00,2021-01-23 23:45:00,0.43,1.23
62,2021-01-24 01:00:00,2021-01-24 01:15:00,0.35,0.79
63,2021-01-24 02:30:00,2021-01-24 02:45:00,0.4,0.75
64,2021-01-24 04:00:00,2021-01-24 04:15:00,0.33,0.8
