cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-14 23:00:00,2021-05-14 23:45:00,0.81,2.14
1,2021-05-15 00:15:00,2021-05-15 00:30:00,0.46,1.76
2,2021-05-15 01:00:00,2021-05-15 01:45:00,0.74,2.18
3,2021-05-15 02:15:00,2021-05-15 02:45:00,0.46,2.01
4,2021-05-15 03:15:00,2021-05-15 03:30:00,0.48,1.39
5,2021-05-15 04:00:00,2021-05-15 04:15:00,0.37,1.14
6,2021-05-15 05:00:00,2021-05-15 05:15:00,0.36,1.08
7,2021-05-15 05:45:00,2021-05-15 06:00:00,0.42,0.81
8,2021-05-15 06:30:00,2021-05-15 06:45:00,0.42,0.81
9,2021-05-15 11:00:00,2021-05-15 11:15:00,0.42,0.78
10,2021-05-15 12:15:00,2021-05-15 12:30:00,0.3,0.78
11,2021-05-15 13:00:00,2021-05-15 13:15:00,0.38,0.79
12,2021-05-15 13:45:00,2021-05-15 14:00:00,0.38,0.8
13,2021-05-15 14:30:00,2021-05-15 14:45:00,0.49,1.03
14,2021-05-15 15:15:00,2021-05-15 15:45:00,0.41,1.26
15,2021-05-15 16:15:00,2021-05-15 16:30:00,0.48,1.12
16,2021-05-15 17:00:00,2021-05-15 17:15:00,0.33,1.01
17,2021-05-15 18:00:00,2021-05-15 18:15:00,0.37,1.12
18,2021-05-15 18:45:00,2021-05-15 19:00:00,0.42,1.1
19,2021-05-15 19:30:00,2021-05-15 20:00:00,0.47,1.42
20,2021-05-15 20:30:00,2021-05-15 21:15:00,0.64,2.0
21,2021-05-15 21:45:00,2021-05-16 00:30:00,3.0,9.83
22,2021-05-16 01:00:00,2021-05-16 01:15:00,0.34,1.27
23,2021-05-16 01:45:00,2021-05-16 02:15:00,0.36,1.54
24,2021-05-16 02:45:00,2021-05-16 03:00:00,0.46,1.48
25,2021-05-16 03:30:00,2021-05-16 04:00:00,0.46,1.41
26,2021-05-16 04:30:00,2021-05-16 04:45:00,0.45,1.06
27,2021-05-16 05:15:00,2021-05-16 05:30:00,0.43,0.8
28,2021-05-16 06:00:00,2021-05-16 06:15:00,0.43,0.8
29,2021-05-16 06:45:00,2021-05-16 07:00:00,0.42,0.8
30,2021-05-16 10:45:00,2021-05-16 11:00:00,0.48,0.78
31,2021-05-16 11:30:00,2021-05-16 11:45:00,0.32,0.78
32,2021-05-16 12:15:00,2021-05-16 12:30:00,0.32,0.78
33,2021-05-16 13:00:00,2021-05-16 13:15:00,0.32,0.78
34,2021-05-16 13:45:00,2021-05-16 14:00:00,0.32,0.78
35,2021-05-16 14:30:00,2021-05-16 14:45:00,0.32,0.78
36,2021-05-16 15:15:00,2021-05-16 15:30:00,0.31,0.79
37,2021-05-16 16:00:00,2021-05-16 16:15:00,0.31,0.78
38,2021-05-16 16:45:00,2021-05-16 17:00:00,0.31,0.79
39,2021-05-16 17:30:00,2021-05-16 17:45:00,0.31,0.78
40,2021-05-16 18:15:00,2021-05-16 18:30:00,0.3,0.9
41,2021-05-16 19:15:00,2021-05-16 19:15:00,0.12,0.76
42,2021-05-16 20:00:00,2021-05-16 20:00:00,0.12,0.76
43,2021-05-16 20:45:00,2021-05-16 21:00:00,0.32,0.99
