cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-11-04 03:30:00,2021-11-04 09:45:00,6.32,14.0
1,2021-11-04 11:00:00,2021-11-04 12:30:00,1.56,3.54
2,2021-11-04 15:00:00,2021-11-04 16:45:00,1.95,4.38
3,2021-11-04 18:15:00,2021-11-04 20:15:00,1.97,5.08
4,2021-11-04 21:00:00,2021-11-04 21:00:00,0.12,0.46
5,2021-11-05 03:30:00,2021-11-05 09:30:00,5.97,13.33
6,2021-11-05 14:00:00,2021-11-05 16:45:00,2.93,6.57
7,2021-11-05 18:15:00,2021-11-05 20:30:00,2.31,6.01
8,2021-11-06 03:00:00,2021-11-06 10:45:00,7.73,17.42
9,2021-11-06 15:00:00,2021-11-06 20:15:00,5.35,12.86
10,2021-11-06 21:00:00,2021-11-06 21:30:00,0.45,1.01
11,2021-11-07 03:30:00,2021-11-07 10:30:00,6.89,15.61
12,2021-11-07 16:00:00,2021-11-07 20:15:00,4.32,10.01
13,2021-11-08 03:30:00,2021-11-08 08:15:00,4.77,10.71
14,2021-11-08 13:30:00,2021-11-08 16:15:00,2.85,6.45
15,2021-11-08 18:45:00,2021-11-08 20:00:00,1.43,3.76
16,2021-11-09 02:30:00,2021-11-09 09:45:00,7.45,16.79
17,2021-11-09 11:00:00,2021-11-09 12:45:00,1.7,3.93
18,2021-11-09 15:45:00,2021-11-09 17:00:00,1.09,2.43
19,2021-11-09 18:15:00,2021-11-09 20:15:00,1.97,5.09
20,2021-11-10 01:15:00,2021-11-10 09:45:00,8.71,19.82
21,2021-11-10 11:00:00,2021-11-10 12:15:00,1.37,3.17
22,2021-11-10 15:30:00,2021-11-10 16:45:00,1.39,3.13
23,2021-11-10 18:15:00,2021-11-10 20:45:00,2.43,6.37
24,2021-11-11 00:30:00,2021-11-11 03:00:00,2.61,5.78
25,2021-11-11 03:30:00,2021-11-11 09:45:00,6.32,14.58
26,2021-11-11 11:00:00,2021-11-11 12:45:00,1.73,4.02
27,2021-11-11 16:15:00,2021-11-11 16:45:00,0.73,1.64
28,2021-11-11 18:15:00,2021-11-11 20:00:00,1.91,4.88
29,2021-11-11 20:30:00,2021-11-11 21:00:00,0.53,1.18
30,2021-11-12 03:30:00,2021-11-12 09:45:00,6.32,14.2
31,2021-11-12 11:00:00,2021-11-12 13:45:00,2.76,6.36
32,2021-11-12 16:15:00,2021-11-12 16:45:00,0.63,1.4
33,2021-11-12 18:15:00,2021-11-12 20:15:00,2.1,5.45
34,2021-11-13 03:30:00,2021-11-13 09:45:00,6.31,14.41
35,2021-11-13 13:30:00,2021-11-13 16:45:00,3.34,7.54
36,2021-11-13 19:30:00,2021-11-13 20:15:00,0.75,2.37
37,2021-11-13 20:45:00,2021-11-13 21:30:00,0.66,1.46
38,2021-11-14 03:30:00,2021-11-14 08:15:00,4.63,10.34
39,2021-11-14 12:30:00,2021-11-14 16:00:00,3.37,7.66
40,2021-11-14 19:15:00,2021-11-14 20:15:00,1.04,3.06
41,2021-11-15 03:30:00,2021-11-15 09:45:00,6.32,14.0
42,2021-11-15 11:00:00,2021-11-15 13:15:00,2.23,5.07
43,2021-11-15 16:00:00,2021-11-15 16:45:00,0.88,1.95
44,2021-11-15 18:15:00,2021-11-15 20:15:00,1.98,5.07
45,2021-11-16 03:30:00,2021-11-16 09:45:00,6.32,14.06
46,2021-11-16 11:00:00,2021-11-16 12:45:00,1.77,4.04
47,2021-11-16 15:45:00,2021-11-16 16:45:00,1.18,2.63
48,2021-11-16 18:15:00,2021-11-16 20:00:00,1.91,4.88
49,2021-11-17 03:30:00,2021-11-17 09:45:00,6.32,14.07
50,2021-11-17 11:00:00,2021-11-17 14:30:00,3.65,8.39
51,2021-11-17 18:15:00,2021-11-17 20:15:00,2.01,5.19
52,2021-11-18 03:15:00,2021-11-18 09:45:00,6.7,14.96
53,2021-11-18 11:00:00,2021-11-18 12:15:00,1.34,3.08
54,2021-11-18 15:30:00,2021-11-18 16:45:00,1.47,3.3
