cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-13 22:45:00,310.77,1154.55
1,2021-01-17 23:00:00,2021-03-30 15:45:00,1720.9,4419.74
2,2021-03-30 16:15:00,2021-03-31 16:15:00,24.24,25.27
3,2021-03-31 16:45:00,2021-04-22 16:00:00,527.47,1944.01
4,2021-04-22 16:45:00,2021-04-24 16:15:00,47.6,165.62
5,2021-04-24 16:45:00,2021-04-24 17:00:00,0.5,0.21
6,2021-04-24 17:45:00,2021-04-24 18:00:00,0.48,0.21
7,2021-04-24 18:30:00,2021-04-25 16:45:00,22.49,58.53
8,2021-04-25 17:30:00,2021-04-25 17:45:00,0.5,0.21
9,2021-04-25 18:15:00,2021-04-25 18:15:00,0.12,0.1
10,2021-04-25 18:45:00,2021-04-25 19:00:00,0.49,0.21
11,2021-04-25 19:30:00,2021-04-27 15:15:00,43.97,146.38
12,2021-04-27 16:00:00,2021-04-27 16:15:00,0.5,0.2
13,2021-04-27 16:45:00,2021-04-27 16:45:00,0.12,0.1
14,2021-04-27 17:30:00,2021-04-27 17:30:00,0.12,0.1
15,2021-04-27 18:15:00,2021-04-28 18:15:00,24.23,66.23
16,2021-04-28 19:00:00,2021-05-08 14:30:00,235.75,773.95
17,2021-05-08 15:00:00,2021-05-08 15:30:00,0.75,0.31
18,2021-05-08 16:00:00,2021-05-08 16:15:00,0.5,0.21
19,2021-05-08 17:00:00,2021-05-08 17:00:00,0.12,0.11
20,2021-05-08 17:45:00,2021-05-08 17:45:00,0.12,0.1
21,2021-05-08 18:30:00,2021-05-09 19:30:00,25.24,48.26
22,2021-05-09 20:00:00,2021-05-09 21:00:00,1.24,0.52
23,2021-05-09 21:30:00,2021-05-09 22:00:00,0.73,0.31
24,2021-05-09 22:30:00,2021-05-10 18:00:00,19.74,40.67
25,2021-05-10 18:30:00,2021-05-11 09:30:00,15.22,32.36
26,2021-05-11 10:00:00,2021-05-11 11:30:00,1.75,1.74
27,2021-05-11 12:00:00,2021-05-13 15:45:00,51.93,163.9
28,2021-05-13 16:30:00,2021-05-14 14:45:00,22.28,65.94
29,2021-05-14 15:30:00,2021-05-14 15:30:00,0.12,0.1
30,2021-05-14 16:30:00,2021-05-20 15:45:00,143.43,447.45
31,2021-05-20 16:45:00,2021-05-22 16:15:00,47.68,168.4
32,2021-05-22 17:00:00,2021-05-22 17:00:00,0.12,0.1
33,2021-05-22 17:45:00,2021-05-23 14:45:00,21.25,54.48
34,2021-05-23 15:15:00,2021-05-23 15:30:00,0.5,0.21
35,2021-05-23 16:00:00,2021-05-23 16:00:00,0.12,0.1
36,2021-05-23 16:45:00,2021-05-23 16:45:00,0.12,0.1
