cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-09 23:00:00,2021-02-10 04:15:00,5.44,23.22
1,2021-02-10 04:45:00,2021-02-10 05:30:00,0.88,3.44
2,2021-02-10 06:00:00,2021-02-10 06:30:00,0.66,2.79
3,2021-02-10 07:00:00,2021-02-10 08:45:00,1.96,6.5
4,2021-02-10 09:15:00,2021-02-10 10:00:00,0.88,3.38
5,2021-02-10 10:30:00,2021-02-11 09:45:00,23.41,94.18
6,2021-02-11 10:15:00,2021-02-13 08:30:00,46.41,348.04
7,2021-02-13 09:00:00,2021-02-14 08:15:00,23.18,225.73
8,2021-02-14 08:45:00,2021-02-15 02:15:00,17.69,70.56
9,2021-02-15 02:45:00,2021-02-15 13:15:00,10.74,40.12
10,2021-02-15 13:45:00,2021-02-15 23:00:00,9.41,37.33
11,2021-02-15 23:30:00,2021-02-16 01:15:00,1.84,7.85
12,2021-02-16 01:45:00,2021-02-16 04:15:00,2.75,10.06
13,2021-02-16 04:45:00,2021-02-16 05:15:00,0.42,1.73
14,2021-02-16 05:45:00,2021-02-16 06:15:00,0.7,2.98
15,2021-02-16 06:45:00,2021-02-16 08:00:00,1.26,3.82
16,2021-02-16 09:00:00,2021-02-16 09:30:00,0.62,2.4
17,2021-02-16 10:15:00,2021-02-16 11:45:00,1.52,4.99
18,2021-02-16 12:15:00,2021-02-16 12:45:00,0.35,1.5
19,2021-02-16 13:15:00,2021-02-16 13:45:00,0.39,1.66
20,2021-02-16 14:30:00,2021-02-16 15:00:00,0.5,2.08
21,2021-02-16 15:30:00,2021-02-16 23:00:00,7.6,23.7
22,2021-02-16 23:30:00,2021-02-17 00:00:00,0.66,2.88
23,2021-02-17 00:30:00,2021-02-17 02:15:00,2.0,7.08
24,2021-02-17 02:45:00,2021-02-17 04:30:00,1.78,5.85
25,2021-02-17 05:30:00,2021-02-17 05:45:00,0.38,1.61
26,2021-02-17 06:15:00,2021-02-17 06:45:00,0.36,1.51
27,2021-02-17 07:15:00,2021-02-17 07:30:00,0.33,1.38
28,2021-02-17 10:15:00,2021-02-17 10:45:00,0.56,2.3
29,2021-02-17 11:15:00,2021-02-17 12:00:00,0.83,3.1
30,2021-02-17 12:30:00,2021-02-17 13:00:00,0.42,1.79
31,2021-02-17 13:30:00,2021-02-17 13:45:00,0.38,1.34
32,2021-02-17 14:45:00,2021-02-17 15:00:00,0.39,1.61
33,2021-02-17 15:45:00,2021-02-18 06:45:00,15.18,55.5
34,2021-02-18 07:15:00,2021-02-18 07:45:00,0.61,2.5
35,2021-02-18 08:15:00,2021-02-18 08:45:00,0.65,2.71
36,2021-02-18 09:15:00,2021-02-18 09:45:00,0.38,1.58
37,2021-02-18 10:15:00,2021-02-18 12:15:00,1.92,6.28
38,2021-02-18 13:00:00,2021-02-18 13:15:00,0.46,1.49
39,2021-02-18 13:45:00,2021-02-18 14:00:00,0.34,1.45
40,2021-02-18 14:45:00,2021-02-18 15:00:00,0.4,1.7
41,2021-02-18 15:30:00,2021-02-18 19:45:00,4.43,14.34
42,2021-02-18 20:15:00,2021-02-18 21:30:00,1.36,4.47
43,2021-02-18 22:00:00,2021-02-18 22:30:00,0.66,2.84
44,2021-02-18 23:00:00,2021-02-19 03:00:00,4.12,13.35
45,2021-02-19 03:30:00,2021-02-19 04:00:00,0.62,2.72
46,2021-02-19 05:30:00,2021-02-19 06:00:00,0.35,1.45
47,2021-02-19 06:45:00,2021-02-19 07:15:00,0.39,1.63
48,2021-02-19 10:15:00,2021-02-19 10:45:00,0.48,1.93
49,2021-02-19 12:15:00,2021-02-19 12:30:00,0.34,1.37
50,2021-02-19 14:00:00,2021-02-19 14:45:00,0.79,2.76
