cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-07 23:15:00,2021-06-07 23:30:00,0.4,0.82
1,2021-06-08 00:45:00,2021-06-08 01:00:00,0.36,0.82
2,2021-06-08 02:15:00,2021-06-08 02:30:00,0.36,0.82
3,2021-06-08 03:45:00,2021-06-08 04:00:00,0.34,0.82
4,2021-06-08 05:45:00,2021-06-08 06:00:00,0.29,0.67
5,2021-06-08 07:00:00,2021-06-08 07:30:00,0.75,1.18
6,2021-06-08 10:15:00,2021-06-08 10:15:00,0.12,0.34
7,2021-06-08 11:30:00,2021-06-08 11:45:00,0.36,0.39
8,2021-06-08 15:30:00,2021-06-08 15:45:00,0.4,0.39
9,2021-06-08 18:45:00,2021-06-08 19:00:00,0.4,0.34
10,2021-06-08 21:00:00,2021-06-08 21:15:00,0.31,0.67
11,2021-06-08 22:45:00,2021-06-08 22:45:00,0.12,0.49
12,2021-06-09 01:00:00,2021-06-09 01:15:00,0.31,0.68
13,2021-06-09 03:30:00,2021-06-09 03:45:00,0.42,0.68
14,2021-06-09 04:45:00,2021-06-09 05:00:00,0.45,0.72
15,2021-06-09 05:30:00,2021-06-09 05:45:00,0.45,0.59
16,2021-06-09 06:45:00,2021-06-09 06:45:00,0.12,0.3
17,2021-06-09 11:30:00,2021-06-09 11:45:00,0.44,0.34
18,2021-06-09 14:45:00,2021-06-09 14:45:00,0.12,0.26
19,2021-06-09 18:15:00,2021-06-09 18:15:00,0.12,0.31
20,2021-06-09 19:15:00,2021-06-09 19:15:00,0.12,0.29
21,2021-06-09 20:15:00,2021-06-09 20:30:00,0.37,0.85
22,2021-06-10 00:45:00,2021-06-10 00:45:00,0.12,0.28
23,2021-06-10 02:15:00,2021-06-10 02:45:00,0.53,1.35
24,2021-06-10 03:30:00,2021-06-10 03:45:00,0.32,0.51
25,2021-06-10 04:15:00,2021-06-10 04:30:00,0.3,0.6
26,2021-06-10 05:15:00,2021-06-10 05:30:00,0.36,0.48
27,2021-06-10 06:00:00,2021-06-10 06:30:00,0.38,0.94
28,2021-06-10 08:00:00,2021-06-10 08:00:00,0.12,0.34
29,2021-06-10 10:00:00,2021-06-10 10:15:00,0.35,0.76
30,2021-06-10 13:45:00,2021-06-10 13:45:00,0.12,0.32
31,2021-06-10 17:15:00,2021-06-10 17:15:00,0.12,0.42
32,2021-06-10 18:45:00,2021-06-10 18:45:00,0.12,0.31
33,2021-06-10 19:15:00,2021-06-10 19:15:00,0.12,0.29
34,2021-06-10 20:15:00,2021-06-10 20:15:00,0.12,0.32
35,2021-06-11 01:15:00,2021-06-11 01:15:00,0.12,0.28
36,2021-06-11 03:15:00,2021-06-11 03:45:00,0.48,1.19
37,2021-06-11 04:45:00,2021-06-11 05:00:00,0.33,0.86
38,2021-06-11 05:30:00,2021-06-11 06:00:00,0.55,1.44
39,2021-06-11 06:45:00,2021-06-11 06:45:00,0.12,0.43
40,2021-06-11 10:00:00,2021-06-11 10:00:00,0.12,0.34
41,2021-06-11 12:00:00,2021-06-11 12:00:00,0.12,0.32
42,2021-06-11 13:45:00,2021-06-11 14:00:00,0.49,0.42
43,2021-06-11 19:00:00,2021-06-11 19:00:00,0.12,0.26
44,2021-06-11 23:30:00,2021-06-11 23:30:00,0.12,0.3
45,2021-06-12 03:15:00,2021-06-12 03:45:00,0.45,1.1
46,2021-06-12 04:45:00,2021-06-12 05:00:00,0.4,0.72
47,2021-06-12 07:15:00,2021-06-12 07:45:00,0.75,0.89
48,2021-06-12 08:15:00,2021-06-12 08:30:00,0.29,0.75
49,2021-06-12 10:00:00,2021-06-12 10:00:00,0.12,0.4
50,2021-06-12 15:15:00,2021-06-12 15:15:00,0.12,0.28
51,2021-06-12 18:15:00,2021-06-12 18:45:00,0.34,0.85
52,2021-06-12 20:00:00,2021-06-12 20:00:00,0.12,0.6
53,2021-06-13 00:15:00,2021-06-13 00:15:00,0.12,0.27
54,2021-06-13 05:30:00,2021-06-13 05:30:00,0.12,0.24
55,2021-06-13 08:00:00,2021-06-13 08:15:00,0.44,0.72
56,2021-06-13 08:45:00,2021-06-13 09:15:00,0.75,1.4
57,2021-06-13 10:00:00,2021-06-13 10:00:00,0.12,0.36
58,2021-06-13 11:00:00,2021-06-13 11:00:00,0.12,0.3
59,2021-06-13 17:00:00,2021-06-13 17:15:00,0.37,0.28
60,2021-06-13 20:15:00,2021-06-13 20:15:00,0.12,0.3
61,2021-06-13 21:45:00,2021-06-13 21:45:00,0.12,0.55
62,2021-06-14 03:00:00,2021-06-14 03:15:00,0.49,0.78
63,2021-06-14 04:15:00,2021-06-14 04:30:00,0.36,0.92
64,2021-06-14 06:00:00,2021-06-14 06:30:00,0.75,0.8
65,2021-06-14 11:30:00,2021-06-14 11:30:00,0.12,0.36
66,2021-06-14 12:15:00,2021-06-14 12:15:00,0.12,0.26
67,2021-06-14 17:15:00,2021-06-14 17:30:00,0.35,0.3
68,2021-06-14 18:30:00,2021-06-14 18:30:00,0.12,0.34
69,2021-06-14 23:15:00,2021-06-14 23:30:00,0.35,0.3
70,2021-06-15 03:30:00,2021-06-15 03:45:00,0.41,0.99
71,2021-06-15 06:15:00,2021-06-15 07:00:00,0.72,0.93
72,2021-06-15 10:00:00,2021-06-15 10:00:00,0.12,0.51
73,2021-06-15 15:00:00,2021-06-15 15:00:00,0.12,0.29
74,2021-06-15 20:30:00,2021-06-15 20:30:00,0.12,0.28
75,2021-06-15 21:30:00,2021-06-15 21:45:00,0.29,0.68
76,2021-06-16 03:00:00,2021-06-16 03:00:00,0.12,0.26
77,2021-06-16 06:30:00,2021-06-16 07:00:00,0.63,1.06
78,2021-06-16 08:15:00,2021-06-16 08:30:00,0.41,0.31
79,2021-06-16 11:00:00,2021-06-16 11:15:00,0.29,0.74
80,2021-06-16 12:30:00,2021-06-16 12:30:00,0.12,0.34
81,2021-06-16 17:30:00,2021-06-16 17:30:00,0.12,0.29
82,2021-06-16 21:00:00,2021-06-16 21:00:00,0.12,0.3
83,2021-06-17 02:00:00,2021-06-17 02:00:00,0.12,0.27
84,2021-06-17 04:00:00,2021-06-17 04:15:00,0.46,0.33
85,2021-06-17 10:00:00,2021-06-17 10:00:00,0.12,0.28
86,2021-06-17 14:30:00,2021-06-17 14:45:00,0.35,0.36
87,2021-06-17 17:15:00,2021-06-17 17:15:00,0.12,0.29
88,2021-06-17 21:45:00,2021-06-17 21:45:00,0.12,0.3
89,2021-06-18 03:15:00,2021-06-18 03:15:00,0.12,0.2
90,2021-06-18 04:15:00,2021-06-18 04:15:00,0.12,0.27
91,2021-06-18 10:15:00,2021-06-18 10:15:00,0.12,0.43
92,2021-06-18 11:00:00,2021-06-18 11:00:00,0.12,0.43
93,2021-06-18 17:15:00,2021-06-18 17:15:00,0.12,0.37
94,2021-06-18 18:15:00,2021-06-18 18:15:00,0.12,0.28
