cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-07 11:45:00,155.9,336.34
1,2021-01-07 12:15:00,2021-01-08 13:15:00,25.22,51.68
2,2021-01-08 13:45:00,2021-01-08 22:45:00,9.25,17.62
3,2021-01-08 23:15:00,2021-01-13 11:00:00,107.91,294.14
4,2021-01-13 12:45:00,2021-01-13 13:15:00,0.64,0.86
5,2021-01-13 13:45:00,2021-01-13 22:45:00,9.19,11.64
6,2021-01-17 23:00:00,2021-01-18 11:45:00,12.88,32.15
7,2021-01-18 12:30:00,2021-01-18 14:00:00,1.67,2.08
8,2021-01-18 15:00:00,2021-01-19 11:00:00,20.25,44.67
9,2021-01-19 11:45:00,2021-01-19 12:45:00,1.25,1.57
10,2021-01-19 13:45:00,2021-01-20 12:30:00,22.83,45.75
11,2021-01-20 14:15:00,2021-01-21 09:45:00,19.66,38.79
12,2021-01-21 11:30:00,2021-01-21 13:30:00,2.1,2.74
13,2021-01-21 14:30:00,2021-01-21 18:00:00,3.62,4.34
14,2021-01-21 18:30:00,2021-01-22 05:15:00,10.97,13.87
15,2021-01-22 05:45:00,2021-01-22 06:45:00,1.19,1.6
16,2021-01-22 07:15:00,2021-01-22 08:45:00,1.66,2.15
17,2021-01-22 09:45:00,2021-01-22 10:00:00,0.46,0.66
18,2021-01-22 11:00:00,2021-01-22 12:30:00,1.43,1.89
19,2021-01-22 14:30:00,2021-01-28 11:00:00,140.74,268.46
20,2021-01-28 11:45:00,2021-01-28 12:45:00,1.21,1.63
21,2021-01-28 14:00:00,2021-01-28 15:00:00,1.09,1.5
22,2021-01-28 16:15:00,2021-01-28 17:15:00,1.24,1.71
23,2021-01-28 18:00:00,2021-01-28 18:45:00,0.84,1.26
24,2021-01-28 19:45:00,2021-01-29 00:00:00,4.46,5.71
25,2021-01-29 00:30:00,2021-01-29 02:00:00,1.75,2.3
26,2021-01-29 02:45:00,2021-01-29 04:15:00,1.7,2.21
27,2021-01-29 04:45:00,2021-01-29 05:15:00,0.67,1.01
28,2021-01-29 06:00:00,2021-01-29 08:45:00,2.86,3.66
29,2021-01-29 10:15:00,2021-01-29 11:30:00,1.29,1.76
30,2021-01-29 12:30:00,2021-01-29 12:45:00,0.46,0.67
31,2021-01-29 14:00:00,2021-01-29 17:15:00,3.5,4.31
32,2021-01-29 17:45:00,2021-01-30 05:15:00,11.75,14.94
33,2021-01-30 06:00:00,2021-01-30 07:30:00,1.72,2.22
34,2021-01-30 08:00:00,2021-01-30 09:30:00,1.58,2.1
35,2021-01-30 10:30:00,2021-01-31 05:15:00,18.72,23.96
36,2021-01-31 05:45:00,2021-01-31 07:30:00,1.82,2.37
37,2021-01-31 08:00:00,2021-01-31 08:45:00,0.88,1.21
38,2021-01-31 09:15:00,2021-01-31 10:45:00,1.65,2.19
39,2021-01-31 12:15:00,2021-01-31 12:45:00,0.55,0.8
40,2021-01-31 13:15:00,2021-01-31 14:45:00,1.54,2.08
41,2021-01-31 16:30:00,2021-02-01 09:00:00,16.7,21.49
42,2021-02-01 09:30:00,2021-02-01 11:00:00,1.66,2.21
43,2021-02-01 12:45:00,2021-02-01 13:30:00,0.77,1.09
44,2021-02-01 14:00:00,2021-02-01 15:30:00,1.64,2.2
45,2021-02-01 16:45:00,2021-02-01 17:45:00,1.11,1.52
46,2021-02-01 18:30:00,2021-02-01 19:30:00,1.17,1.72
47,2021-02-01 20:00:00,2021-02-02 05:00:00,9.25,11.9
48,2021-02-02 06:30:00,2021-02-02 06:45:00,0.49,0.71
49,2021-02-02 07:15:00,2021-02-02 09:30:00,2.49,3.11
