cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:15:00,2021-01-22 23:30:00,0.49,1.11
1,2021-01-23 00:00:00,2021-01-23 00:30:00,0.4,1.14
2,2021-01-23 01:00:00,2021-01-23 01:15:00,0.4,1.15
3,2021-01-23 02:00:00,2021-01-23 02:15:00,0.4,1.12
4,2021-01-23 02:45:00,2021-01-23 03:15:00,0.44,1.23
5,2021-01-23 03:45:00,2021-01-23 04:00:00,0.42,1.18
6,2021-01-23 04:45:00,2021-01-23 05:30:00,0.98,2.55
7,2021-01-23 06:15:00,2021-01-23 06:30:00,0.49,1.36
8,2021-01-23 07:15:00,2021-01-23 07:30:00,0.43,1.23
9,2021-01-23 08:00:00,2021-01-23 08:30:00,0.42,1.21
10,2021-01-23 09:00:00,2021-01-23 09:15:00,0.49,0.92
11,2021-01-23 09:45:00,2021-01-23 10:00:00,0.36,0.84
12,2021-01-23 10:30:00,2021-01-23 10:45:00,0.3,0.8
13,2021-01-23 11:30:00,2021-01-23 11:30:00,0.12,0.72
14,2021-01-23 12:15:00,2021-01-23 12:45:00,0.49,1.38
15,2021-01-23 13:15:00,2021-01-23 13:45:00,0.51,1.47
16,2021-01-23 14:15:00,2021-01-23 14:45:00,0.58,1.67
17,2021-01-23 15:15:00,2021-01-23 15:45:00,0.58,1.66
18,2021-01-23 16:30:00,2021-01-23 17:00:00,0.65,1.87
19,2021-01-23 17:30:00,2021-01-23 18:00:00,0.57,1.6
20,2021-01-23 18:45:00,2021-01-23 19:15:00,0.69,1.97
21,2021-01-23 20:00:00,2021-01-23 20:30:00,0.59,1.71
22,2021-01-23 21:00:00,2021-01-23 21:15:00,0.39,1.01
23,2021-01-23 22:00:00,2021-01-23 22:15:00,0.3,0.85
24,2021-01-23 22:45:00,2021-01-23 23:00:00,0.37,1.07
25,2021-01-23 23:45:00,2021-01-24 00:00:00,0.48,1.27
26,2021-01-24 00:30:00,2021-01-24 01:00:00,0.43,1.22
27,2021-01-24 01:30:00,2021-01-24 02:00:00,0.42,1.18
28,2021-01-24 02:30:00,2021-01-24 03:15:00,0.99,2.38
29,2021-01-24 04:00:00,2021-01-24 04:15:00,0.48,1.32
30,2021-01-24 05:00:00,2021-01-24 05:30:00,0.57,1.66
31,2021-01-24 06:00:00,2021-01-24 06:30:00,0.66,1.89
32,2021-01-24 07:15:00,2021-01-24 08:15:00,1.24,3.58
33,2021-01-24 09:00:00,2021-01-24 09:30:00,0.66,1.85
34,2021-01-24 10:00:00,2021-01-24 11:00:00,1.07,2.83
35,2021-01-24 11:45:00,2021-01-24 12:00:00,0.49,1.35
36,2021-01-24 12:45:00,2021-01-24 13:00:00,0.43,1.23
37,2021-01-24 13:30:00,2021-01-24 14:00:00,0.45,1.28
38,2021-01-24 14:30:00,2021-01-24 15:00:00,0.53,1.52
39,2021-01-24 15:30:00,2021-01-24 16:15:00,0.66,1.89
40,2021-01-24 16:45:00,2021-01-24 17:30:00,0.87,2.42
41,2021-01-24 18:00:00,2021-01-24 20:15:00,2.12,5.88
42,2021-01-24 20:45:00,2021-01-24 22:15:00,1.53,3.98
43,2021-01-24 22:45:00,2021-01-24 23:15:00,0.65,1.82
44,2021-01-25 00:00:00,2021-01-25 00:30:00,0.6,1.68
45,2021-01-25 01:00:00,2021-01-25 01:30:00,0.6,1.67
46,2021-01-25 02:00:00,2021-01-25 02:30:00,0.54,1.51
47,2021-01-25 03:15:00,2021-01-25 03:30:00,0.48,1.34
48,2021-01-25 04:15:00,2021-01-25 04:30:00,0.41,1.14
49,2021-01-25 05:00:00,2021-01-25 05:45:00,0.75,1.89
50,2021-01-25 06:15:00,2021-01-25 07:00:00,0.67,1.9
51,2021-01-25 07:30:00,2021-01-25 07:45:00,0.44,1.28
52,2021-01-25 08:30:00,2021-01-25 08:45:00,0.5,1.23
53,2021-01-25 09:15:00,2021-01-25 09:45:00,0.54,1.5
54,2021-01-25 11:00:00,2021-01-25 11:15:00,0.3,0.69
55,2021-01-25 11:45:00,2021-01-25 12:30:00,1.0,2.5
56,2021-01-25 13:15:00,2021-01-25 13:45:00,0.58,1.64
57,2021-01-25 14:15:00,2021-01-25 16:45:00,2.59,7.35
58,2021-01-25 18:15:00,2021-01-25 20:00:00,1.97,5.61
59,2021-01-25 20:45:00,2021-01-25 21:15:00,0.71,2.01
60,2021-01-25 21:45:00,2021-01-25 22:15:00,0.4,1.13
61,2021-01-25 22:45:00,2021-01-25 23:00:00,0.39,1.1
62,2021-01-25 23:45:00,2021-01-26 00:00:00,0.45,1.12
63,2021-01-26 00:30:00,2021-01-26 01:45:00,1.17,3.1
64,2021-01-26 02:15:00,2021-01-26 02:45:00,0.6,1.7
65,2021-01-26 03:15:00,2021-01-26 04:00:00,0.67,1.86
66,2021-01-26 04:30:00,2021-01-26 05:30:00,1.01,2.86
67,2021-01-26 06:00:00,2021-01-26 07:45:00,1.8,5.12
68,2021-01-26 08:15:00,2021-01-26 09:00:00,0.67,1.85
69,2021-01-26 09:30:00,2021-01-26 09:45:00,0.4,1.09
70,2021-01-26 11:00:00,2021-01-26 12:00:00,1.23,3.12
71,2021-01-26 12:45:00,2021-01-26 13:00:00,0.49,1.41
72,2021-01-26 13:45:00,2021-01-26 14:30:00,0.9,2.55
73,2021-01-26 15:00:00,2021-01-26 16:30:00,1.53,4.34
74,2021-01-26 18:15:00,2021-01-26 21:15:00,3.15,8.73
75,2021-01-26 21:45:00,2021-01-26 22:30:00,0.62,1.72
76,2021-01-26 23:00:00,2021-01-26 23:30:00,0.66,1.81
77,2021-01-27 00:15:00,2021-01-27 02:00:00,1.83,4.77
78,2021-01-27 02:30:00,2021-01-27 04:15:00,1.81,4.95
79,2021-01-27 04:45:00,2021-01-27 06:45:00,1.91,5.31
80,2021-01-27 07:15:00,2021-01-27 07:45:00,0.66,1.87
81,2021-01-27 08:30:00,2021-01-27 09:30:00,1.09,2.86
82,2021-01-27 11:00:00,2021-01-27 11:45:00,0.77,2.16
83,2021-01-27 12:15:00,2021-01-27 12:45:00,0.6,1.7
84,2021-01-27 13:15:00,2021-01-27 13:45:00,0.56,1.57
85,2021-01-27 14:30:00,2021-01-27 16:15:00,1.79,4.94
86,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,0.57
87,2021-01-27 18:15:00,2021-01-27 18:45:00,0.72,2.04
88,2021-01-27 19:30:00,2021-01-27 20:00:00,0.59,1.73
89,2021-01-27 20:30:00,2021-01-27 21:15:00,0.81,2.04
90,2021-01-27 22:00:00,2021-01-27 22:15:00,0.48,0.93
91,2021-01-27 23:00:00,2021-01-27 23:15:00,0.35,0.93
92,2021-01-27 23:45:00,2021-01-28 00:00:00,0.31,0.91
93,2021-01-28 00:45:00,2021-01-28 01:00:00,0.41,0.96
94,2021-01-28 01:45:00,2021-01-28 02:00:00,0.46,0.9
95,2021-01-28 02:45:00,2021-01-28 03:00:00,0.31,0.87
96,2021-01-28 03:30:00,2021-01-28 03:45:00,0.36,0.92
97,2021-01-28 04:30:00,2021-01-28 04:45:00,0.36,1.02
98,2021-01-28 05:15:00,2021-01-28 06:00:00,0.89,2.21
99,2021-01-28 06:30:00,2021-01-28 07:00:00,0.47,1.34
100,2021-01-28 07:30:00,2021-01-28 08:00:00,0.48,1.38
101,2021-01-28 08:30:00,2021-01-28 09:00:00,0.42,1.24
102,2021-01-28 09:30:00,2021-01-28 09:45:00,0.46,1.01
103,2021-01-28 11:00:00,2021-01-28 11:15:00,0.47,1.34
104,2021-01-28 12:00:00,2021-01-28 12:15:00,0.33,0.96
105,2021-01-28 12:45:00,2021-01-28 13:00:00,0.45,0.93
106,2021-01-28 13:30:00,2021-01-28 13:45:00,0.29,0.87
107,2021-01-28 14:30:00,2021-01-28 14:45:00,0.31,0.91
108,2021-01-28 15:30:00,2021-01-28 15:45:00,0.33,0.84
109,2021-01-28 16:15:00,2021-01-28 16:30:00,0.41,0.87
110,2021-01-28 18:15:00,2021-01-28 18:30:00,0.49,1.29
111,2021-01-28 19:15:00,2021-01-28 19:30:00,0.36,1.04
112,2021-01-28 20:00:00,2021-01-28 20:15:00,0.41,1.06
113,2021-01-28 20:45:00,2021-01-28 21:15:00,0.34,0.99
114,2021-01-28 22:00:00,2021-01-28 22:30:00,0.33,0.96
115,2021-01-28 23:15:00,2021-01-28 23:30:00,0.29,0.84
116,2021-01-29 00:00:00,2021-01-29 00:15:00,0.41,0.87
117,2021-01-29 01:00:00,2021-01-29 01:15:00,0.37,0.87
118,2021-01-29 02:00:00,2021-01-29 02:15:00,0.29,0.81
119,2021-01-29 02:45:00,2021-01-29 03:30:00,0.75,1.72
120,2021-01-29 04:15:00,2021-01-29 04:30:00,0.36,1.01
121,2021-01-29 05:00:00,2021-01-29 05:15:00,0.42,1.04
122,2021-01-29 05:45:00,2021-01-29 06:15:00,0.35,1.03
123,2021-01-29 06:45:00,2021-01-29 07:00:00,0.45,1.04
124,2021-01-29 07:45:00,2021-01-29 08:00:00,0.3,0.9
125,2021-01-29 08:30:00,2021-01-29 08:45:00,0.35,0.86
126,2021-01-29 09:30:00,2021-01-29 09:45:00,0.44,1.0
127,2021-01-29 11:00:00,2021-01-29 11:15:00,0.48,1.34
128,2021-01-29 12:00:00,2021-01-29 12:15:00,0.41,1.18
129,2021-01-29 12:45:00,2021-01-29 13:00:00,0.35,0.94
130,2021-01-29 13:45:00,2021-01-29 14:00:00,0.31,0.91
131,2021-01-29 14:30:00,2021-01-29 14:45:00,0.41,0.92
132,2021-01-29 15:15:00,2021-01-29 15:30:00,0.42,0.88
133,2021-01-29 16:15:00,2021-01-29 16:30:00,0.41,0.77
134,2021-01-29 18:15:00,2021-01-29 18:30:00,0.5,1.29
135,2021-01-29 19:15:00,2021-01-29 19:30:00,0.37,1.07
136,2021-01-29 20:00:00,2021-01-29 20:15:00,0.4,1.06
137,2021-01-29 21:00:00,2021-01-29 21:15:00,0.31,0.92
138,2021-01-29 22:00:00,2021-01-29 22:15:00,0.29,0.86
139,2021-01-29 23:15:00,2021-01-29 23:30:00,0.31,0.88
140,2021-01-30 00:15:00,2021-01-30 00:30:00,0.33,0.81
141,2021-01-30 01:15:00,2021-01-30 01:30:00,0.3,0.85
142,2021-01-30 02:00:00,2021-01-30 02:15:00,0.49,0.84
143,2021-01-30 03:00:00,2021-01-30 03:15:00,0.41,0.91
144,2021-01-30 04:00:00,2021-01-30 04:15:00,0.39,0.87
145,2021-01-30 04:45:00,2021-01-30 05:45:00,0.94,2.42
146,2021-01-30 06:15:00,2021-01-30 06:45:00,0.58,1.68
147,2021-01-30 07:30:00,2021-01-30 07:45:00,0.45,1.29
148,2021-01-30 08:15:00,2021-01-30 08:45:00,0.42,1.22
149,2021-01-30 09:15:00,2021-01-30 09:45:00,0.53,1.53
150,2021-01-30 10:15:00,2021-01-30 10:45:00,0.42,1.2
151,2021-01-30 11:15:00,2021-01-30 12:00:00,0.94,2.29
152,2021-01-30 12:30:00,2021-01-30 13:00:00,0.48,1.37
153,2021-01-30 13:30:00,2021-01-30 14:00:00,0.59,1.74
154,2021-01-30 14:45:00,2021-01-30 15:15:00,0.66,1.91
155,2021-01-30 15:45:00,2021-01-30 16:30:00,0.67,1.92
156,2021-01-30 17:00:00,2021-01-30 17:45:00,0.99,2.4
157,2021-01-30 18:30:00,2021-01-30 18:45:00,0.43,1.19
158,2021-01-30 19:15:00,2021-01-30 19:45:00,0.39,1.15
159,2021-01-30 20:15:00,2021-01-30 20:30:00,0.48,1.15
160,2021-01-30 21:00:00,2021-01-30 21:15:00,0.3,0.88
161,2021-01-30 22:00:00,2021-01-30 22:15:00,0.44,0.94
162,2021-01-30 22:45:00,2021-01-30 23:00:00,0.35,0.92
163,2021-01-30 23:45:00,2021-01-31 00:15:00,0.75,1.84
164,2021-01-31 01:00:00,2021-01-31 01:15:00,0.33,0.92
165,2021-01-31 01:45:00,2021-01-31 02:00:00,0.47,0.97
166,2021-01-31 02:30:00,2021-01-31 02:45:00,0.31,0.9
167,2021-01-31 03:30:00,2021-01-31 03:45:00,0.44,1.03
168,2021-01-31 04:15:00,2021-01-31 04:45:00,0.36,1.04
169,2021-01-31 05:15:00,2021-01-31 05:30:00,0.45,1.3
170,2021-01-31 06:15:00,2021-01-31 06:30:00,0.36,1.04
171,2021-01-31 07:00:00,2021-01-31 08:00:00,0.93,2.5
172,2021-01-31 08:30:00,2021-01-31 08:45:00,0.47,1.13
173,2021-01-31 09:15:00,2021-01-31 09:45:00,0.37,1.08
174,2021-01-31 10:15:00,2021-01-31 10:30:00,0.38,0.9
175,2021-01-31 11:00:00,2021-01-31 11:15:00,0.4,0.93
176,2021-01-31 11:45:00,2021-01-31 12:15:00,0.39,1.12
177,2021-01-31 12:45:00,2021-01-31 13:00:00,0.45,1.04
178,2021-01-31 13:30:00,2021-01-31 14:00:00,0.4,1.16
179,2021-01-31 14:30:00,2021-01-31 15:00:00,0.46,1.34
180,2021-01-31 15:30:00,2021-01-31 16:15:00,0.96,2.31
181,2021-01-31 16:45:00,2021-01-31 17:15:00,0.46,1.31
182,2021-01-31 17:45:00,2021-01-31 18:00:00,0.34,1.0
183,2021-01-31 18:45:00,2021-01-31 19:00:00,0.38,1.0
184,2021-01-31 19:30:00,2021-01-31 19:45:00,0.39,1.07
185,2021-01-31 20:30:00,2021-01-31 20:45:00,0.33,0.98
186,2021-01-31 21:15:00,2021-01-31 21:30:00,0.42,0.81
187,2021-01-31 22:15:00,2021-01-31 22:30:00,0.44,0.92
188,2021-01-31 23:15:00,2021-01-31 23:45:00,0.75,1.8
189,2021-02-01 00:30:00,2021-02-01 00:45:00,0.35,0.9
190,2021-02-01 01:30:00,2021-02-01 01:45:00,0.42,0.91
191,2021-02-01 02:30:00,2021-02-01 02:45:00,0.48,0.93
192,2021-02-01 03:30:00,2021-02-01 03:45:00,0.43,0.87
193,2021-02-01 04:30:00,2021-02-01 04:45:00,0.29,0.85
194,2021-02-01 05:15:00,2021-02-01 05:30:00,0.45,1.08
195,2021-02-01 06:00:00,2021-02-01 06:15:00,0.33,0.99
196,2021-02-01 07:00:00,2021-02-01 07:15:00,0.36,0.99
197,2021-02-01 07:45:00,2021-02-01 08:00:00,0.45,0.96
198,2021-02-01 08:30:00,2021-02-01 09:15:00,0.72,1.77
199,2021-02-01 11:00:00,2021-02-01 11:15:00,0.37,0.94
200,2021-02-01 12:00:00,2021-02-01 12:15:00,0.38,0.91
201,2021-02-01 13:00:00,2021-02-01 13:15:00,0.39,0.91
202,2021-02-01 13:45:00,2021-02-01 14:00:00,0.34,0.89
203,2021-02-01 14:45:00,2021-02-01 15:00:00,0.43,1.11
204,2021-02-01 15:30:00,2021-02-01 16:00:00,0.38,1.1
205,2021-02-01 16:30:00,2021-02-01 16:45:00,0.42,1.16
206,2021-02-01 18:15:00,2021-02-01 18:45:00,0.55,1.61
207,2021-02-01 19:15:00,2021-02-01 19:30:00,0.41,1.21
208,2021-02-01 20:15:00,2021-02-01 20:30:00,0.39,1.13
209,2021-02-01 21:00:00,2021-02-01 21:15:00,0.39,0.95
210,2021-02-01 22:00:00,2021-02-01 22:15:00,0.35,0.99
211,2021-02-01 22:45:00,2021-02-01 23:30:00,0.79,1.79
212,2021-02-02 00:00:00,2021-02-02 00:15:00,0.34,0.95
213,2021-02-02 01:00:00,2021-02-02 01:15:00,0.46,0.93
214,2021-02-02 02:00:00,2021-02-02 02:15:00,0.37,0.9
215,2021-02-02 02:45:00,2021-02-02 03:00:00,0.48,0.92
216,2021-02-02 03:30:00,2021-02-02 03:45:00,0.34,0.98
217,2021-02-02 04:30:00,2021-02-02 04:45:00,0.35,0.96
218,2021-02-02 05:15:00,2021-02-02 05:45:00,0.48,1.41
219,2021-02-02 06:15:00,2021-02-02 06:30:00,0.43,1.22
220,2021-02-02 07:15:00,2021-02-02 07:30:00,0.35,1.01
221,2021-02-02 08:00:00,2021-02-02 08:15:00,0.5,0.9
222,2021-02-02 09:00:00,2021-02-02 09:15:00,0.29,0.86
223,2021-02-02 11:00:00,2021-02-02 11:30:00,0.75,1.83
224,2021-02-02 12:15:00,2021-02-02 12:30:00,0.36,0.83
225,2021-02-02 13:30:00,2021-02-02 13:45:00,0.34,0.92
226,2021-02-02 14:30:00,2021-02-02 14:45:00,0.34,0.89
227,2021-02-02 15:15:00,2021-02-02 15:30:00,0.38,0.92
228,2021-02-02 16:15:00,2021-02-02 16:30:00,0.39,0.9
229,2021-02-02 18:15:00,2021-02-02 18:45:00,0.55,1.6
230,2021-02-02 19:15:00,2021-02-02 19:45:00,0.46,1.35
231,2021-02-02 20:15:00,2021-02-02 20:30:00,0.39,0.97
232,2021-02-02 21:00:00,2021-02-02 21:15:00,0.45,0.9
233,2021-02-02 22:15:00,2021-02-02 22:30:00,0.34,0.82
234,2021-02-02 23:30:00,2021-02-02 23:45:00,0.32,0.83
235,2021-02-03 00:15:00,2021-02-03 00:30:00,0.29,0.81
236,2021-02-03 01:15:00,2021-02-03 01:30:00,0.37,0.84
237,2021-02-03 02:15:00,2021-02-03 02:15:00,0.12,0.73
238,2021-02-03 03:00:00,2021-02-03 03:15:00,0.4,0.87
239,2021-02-03 04:00:00,2021-02-03 04:15:00,0.35,0.84
240,2021-02-03 04:45:00,2021-02-03 05:15:00,0.4,1.15
241,2021-02-03 05:45:00,2021-02-03 06:00:00,0.44,0.97
