cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-18 23:45:00,2021-05-18 23:45:00,0.12,0.24
1,2021-05-19 00:30:00,2021-05-19 00:45:00,0.45,0.35
2,2021-05-19 01:30:00,2021-05-19 01:45:00,0.4,0.42
3,2021-05-19 02:30:00,2021-05-19 02:45:00,0.34,0.45
4,2021-05-19 03:15:00,2021-05-19 04:45:00,1.57,2.18
5,2021-05-19 05:15:00,2021-05-19 06:15:00,1.04,1.46
6,2021-05-19 06:45:00,2021-05-19 07:30:00,0.83,1.19
7,2021-05-19 08:15:00,2021-05-19 08:30:00,0.5,0.72
8,2021-05-19 09:15:00,2021-05-19 09:30:00,0.4,0.57
9,2021-05-19 10:15:00,2021-05-19 10:30:00,0.42,0.6
10,2021-05-19 11:15:00,2021-05-19 11:30:00,0.4,0.42
11,2021-05-19 12:15:00,2021-05-19 12:15:00,0.12,0.28
12,2021-05-19 13:00:00,2021-05-19 13:00:00,0.12,0.19
13,2021-05-19 14:00:00,2021-05-19 14:00:00,0.12,0.26
14,2021-05-19 14:45:00,2021-05-19 15:00:00,0.41,0.27
15,2021-05-19 15:45:00,2021-05-19 15:45:00,0.12,0.23
16,2021-05-19 16:45:00,2021-05-19 16:45:00,0.12,0.25
17,2021-05-19 17:30:00,2021-05-19 17:45:00,0.47,0.41
18,2021-05-19 18:30:00,2021-05-19 18:45:00,0.37,0.47
19,2021-05-19 19:30:00,2021-05-19 20:15:00,0.96,1.31
20,2021-05-19 21:30:00,2021-05-19 21:30:00,0.12,0.21
21,2021-05-19 22:15:00,2021-05-19 22:30:00,0.48,0.33
22,2021-05-19 23:15:00,2021-05-19 23:30:00,0.34,0.43
23,2021-05-20 00:15:00,2021-05-20 00:15:00,0.12,0.35
24,2021-05-20 01:00:00,2021-05-20 01:15:00,0.37,0.51
25,2021-05-20 02:00:00,2021-05-20 02:30:00,0.46,0.64
26,2021-05-20 03:00:00,2021-05-20 04:30:00,1.53,2.12
