cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:00:00,2021-01-20 23:30:00,0.63,2.0
1,2021-01-21 00:00:00,2021-01-21 00:30:00,0.71,2.25
2,2021-01-21 01:00:00,2021-01-21 01:45:00,0.73,2.27
3,2021-01-21 02:15:00,2021-01-21 02:45:00,0.73,2.28
4,2021-01-21 03:15:00,2021-01-21 08:45:00,5.53,14.6
5,2021-01-21 09:15:00,2021-01-21 10:00:00,0.61,1.87
6,2021-01-21 10:30:00,2021-01-21 10:45:00,0.43,1.32
7,2021-01-21 11:30:00,2021-01-21 11:45:00,0.49,1.49
8,2021-01-21 12:15:00,2021-01-21 12:45:00,0.54,1.58
9,2021-01-21 13:15:00,2021-01-21 14:00:00,0.71,2.12
10,2021-01-21 14:30:00,2021-01-21 15:15:00,0.76,2.34
11,2021-01-21 15:45:00,2021-01-21 16:30:00,0.88,2.75
12,2021-01-21 17:00:00,2021-01-21 17:45:00,0.96,3.02
13,2021-01-21 18:15:00,2021-01-21 19:00:00,0.9,2.85
14,2021-01-21 19:30:00,2021-01-21 20:30:00,1.15,3.69
15,2021-01-21 21:00:00,2021-01-21 21:15:00,0.4,0.79
16,2021-01-21 22:00:00,2021-01-21 22:30:00,0.54,1.58
17,2021-01-21 23:00:00,2021-01-21 23:30:00,0.48,1.4
18,2021-01-22 00:00:00,2021-01-22 00:15:00,0.47,1.16
19,2021-01-22 00:45:00,2021-01-22 01:15:00,0.49,1.4
20,2021-01-22 01:45:00,2021-01-22 02:15:00,0.49,1.41
21,2021-01-22 02:45:00,2021-01-22 03:15:00,0.59,1.72
22,2021-01-22 03:45:00,2021-01-22 05:15:00,1.47,4.54
23,2021-01-22 05:45:00,2021-01-22 06:30:00,0.96,3.06
24,2021-01-22 07:00:00,2021-01-22 07:45:00,0.79,2.44
25,2021-01-22 08:15:00,2021-01-22 08:45:00,0.58,1.84
26,2021-01-22 09:30:00,2021-01-22 10:00:00,0.59,1.74
27,2021-01-22 10:30:00,2021-01-22 11:00:00,0.42,1.23
28,2021-01-22 11:30:00,2021-01-22 12:00:00,0.6,1.79
29,2021-01-22 12:30:00,2021-01-22 13:00:00,0.55,1.63
30,2021-01-22 13:30:00,2021-01-22 14:00:00,0.55,1.65
31,2021-01-22 14:30:00,2021-01-22 15:15:00,0.83,2.5
32,2021-01-22 15:45:00,2021-01-22 19:15:00,3.68,9.76
33,2021-01-22 19:45:00,2021-01-22 20:30:00,0.96,3.12
34,2021-01-22 21:00:00,2021-01-22 21:15:00,0.44,0.87
35,2021-01-22 22:00:00,2021-01-22 22:30:00,0.6,1.77
36,2021-01-22 23:00:00,2021-01-23 02:00:00,3.16,7.46
37,2021-01-23 02:30:00,2021-01-23 03:15:00,0.79,2.47
38,2021-01-23 03:45:00,2021-01-23 09:15:00,5.7,17.99
39,2021-01-23 09:45:00,2021-01-23 10:30:00,0.87,2.82
40,2021-01-23 11:00:00,2021-01-23 11:30:00,0.69,2.22
41,2021-01-23 12:00:00,2021-01-23 12:45:00,0.83,2.63
42,2021-01-23 13:30:00,2021-01-23 20:30:00,7.16,20.43
43,2021-01-23 21:00:00,2021-01-23 21:15:00,0.48,1.06
44,2021-01-23 21:45:00,2021-01-23 22:15:00,0.59,1.83
45,2021-01-23 22:45:00,2021-01-24 01:15:00,2.55,5.64
46,2021-01-24 01:45:00,2021-01-24 03:30:00,1.9,4.77
47,2021-01-24 04:00:00,2021-01-24 08:45:00,4.88,16.61
48,2021-01-24 09:15:00,2021-01-24 10:15:00,1.18,3.97
49,2021-01-24 10:45:00,2021-01-24 11:30:00,0.91,3.02
50,2021-01-24 12:00:00,2021-01-24 19:45:00,7.89,23.82
51,2021-01-24 20:15:00,2021-01-24 21:15:00,1.15,3.91
52,2021-01-24 22:00:00,2021-01-24 22:30:00,0.67,2.13
53,2021-01-24 23:00:00,2021-01-24 23:30:00,0.58,1.82
54,2021-01-25 00:00:00,2021-01-25 00:30:00,0.67,2.09
55,2021-01-25 01:00:00,2021-01-25 01:45:00,0.72,2.26
56,2021-01-25 02:15:00,2021-01-25 02:45:00,0.69,2.16
57,2021-01-25 03:15:00,2021-01-25 09:45:00,6.57,19.59
58,2021-01-25 10:15:00,2021-01-25 11:30:00,1.35,4.5
59,2021-01-25 12:00:00,2021-01-25 21:15:00,9.25,27.1
60,2021-01-25 21:45:00,2021-01-25 22:30:00,0.7,2.18
