cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:00:00,0.12,0.68
1,2021-01-01 01:00:00,2021-01-01 01:00:00,0.12,0.48
2,2021-01-01 01:45:00,2021-01-01 03:45:00,2.0,16.04
3,2021-01-01 04:30:00,2021-01-01 05:15:00,0.88,6.44
4,2021-01-01 05:45:00,2021-01-01 06:15:00,0.53,3.11
5,2021-01-01 06:45:00,2021-01-01 08:45:00,2.18,8.09
6,2021-01-01 09:15:00,2021-01-01 09:45:00,0.73,2.5
7,2021-01-01 11:00:00,2021-01-01 16:15:00,5.38,20.52
8,2021-01-01 17:45:00,2021-01-02 00:15:00,6.5,28.41
9,2021-01-02 01:15:00,2021-01-02 01:15:00,0.12,0.24
10,2021-01-02 01:45:00,2021-01-02 04:30:00,2.59,20.12
11,2021-01-02 05:00:00,2021-01-03 02:00:00,21.13,91.55
12,2021-01-03 03:00:00,2021-01-03 03:00:00,0.12,0.18
13,2021-01-03 03:45:00,2021-01-03 04:30:00,0.78,6.62
14,2021-01-03 05:00:00,2021-01-03 19:30:00,14.46,63.81
15,2021-01-03 20:30:00,2021-01-03 20:30:00,0.12,0.22
16,2021-01-03 21:00:00,2021-01-04 06:45:00,9.73,47.06
17,2021-01-04 07:45:00,2021-01-04 07:45:00,0.12,0.34
18,2021-01-04 08:30:00,2021-01-04 09:45:00,1.45,4.56
19,2021-01-04 11:00:00,2021-01-04 12:15:00,1.28,6.97
20,2021-01-04 12:45:00,2021-01-04 16:15:00,3.59,13.54
21,2021-01-04 17:45:00,2021-01-05 01:30:00,7.81,34.87
22,2021-01-05 02:00:00,2021-01-05 02:00:00,0.12,0.43
23,2021-01-05 02:30:00,2021-01-05 02:30:00,0.12,0.26
24,2021-01-05 03:00:00,2021-01-05 09:45:00,6.88,37.88
25,2021-01-05 11:00:00,2021-01-05 16:15:00,5.39,23.58
26,2021-01-05 17:45:00,2021-01-06 01:00:00,7.19,31.25
27,2021-01-06 02:00:00,2021-01-06 02:00:00,0.12,0.33
28,2021-01-06 02:30:00,2021-01-06 09:45:00,7.35,41.44
29,2021-01-06 11:00:00,2021-01-06 16:15:00,5.32,23.5
30,2021-01-06 17:45:00,2021-01-07 00:00:00,6.32,27.71
31,2021-01-07 01:00:00,2021-01-07 03:15:00,2.29,13.62
32,2021-01-07 03:45:00,2021-01-07 09:45:00,6.22,31.86
33,2021-01-07 11:00:00,2021-01-07 16:15:00,5.38,23.32
34,2021-01-07 17:45:00,2021-01-08 00:45:00,7.01,30.73
35,2021-01-08 02:00:00,2021-01-08 02:00:00,0.12,1.58
36,2021-01-09 03:15:00,2021-01-09 05:45:00,2.49,19.61
37,2021-01-09 06:15:00,2021-01-09 12:15:00,6.08,26.52
38,2021-01-09 13:00:00,2021-01-09 22:00:00,9.07,38.37
39,2021-01-09 23:15:00,2021-01-10 10:45:00,11.5,59.52
40,2021-01-10 14:00:00,2021-01-10 20:30:00,6.48,25.38
41,2021-01-10 21:30:00,2021-01-11 04:45:00,7.32,34.66
42,2021-01-11 05:45:00,2021-01-11 09:45:00,4.25,18.21
43,2021-01-11 11:00:00,2021-01-11 15:45:00,4.74,26.04
44,2021-01-11 17:45:00,2021-01-12 03:15:00,9.58,39.63
45,2021-01-12 03:45:00,2021-01-12 06:15:00,2.35,19.61
46,2021-01-12 06:45:00,2021-01-12 09:45:00,3.23,14.14
47,2021-01-12 11:00:00,2021-01-12 13:15:00,2.23,12.68
48,2021-01-12 13:45:00,2021-01-12 16:15:00,2.65,9.87
49,2021-01-12 17:45:00,2021-01-13 00:45:00,6.99,30.44
50,2021-01-13 01:30:00,2021-01-13 03:45:00,2.21,17.75
51,2021-01-13 04:30:00,2021-01-13 05:45:00,1.07,8.69
52,2021-01-13 06:15:00,2021-01-13 07:45:00,1.49,7.43
53,2021-01-13 08:30:00,2021-01-13 09:45:00,1.34,5.18
54,2021-01-13 11:00:00,2021-01-13 12:45:00,1.82,9.37
55,2021-01-13 13:15:00,2021-01-13 16:15:00,3.15,12.01
56,2021-01-13 17:45:00,2021-01-13 22:45:00,5.15,23.0
57,2021-01-17 23:00:00,2021-01-18 03:00:00,4.04,18.14
58,2021-01-18 04:00:00,2021-01-18 06:45:00,2.87,17.19
59,2021-01-18 07:30:00,2021-01-18 07:30:00,0.12,0.17
60,2021-01-18 08:00:00,2021-01-18 09:45:00,1.85,9.61
61,2021-01-18 11:00:00,2021-01-18 13:00:00,1.96,10.62
62,2021-01-18 13:30:00,2021-01-18 15:00:00,1.51,7.91
63,2021-01-18 15:45:00,2021-01-18 16:15:00,0.54,2.74
64,2021-01-18 17:45:00,2021-01-19 00:00:00,6.31,27.55
65,2021-01-19 01:00:00,2021-01-19 03:00:00,2.08,13.76
66,2021-01-19 03:30:00,2021-01-19 05:15:00,1.62,13.11
67,2021-01-19 05:45:00,2021-01-19 09:00:00,3.35,19.46
68,2021-01-19 09:45:00,2021-01-19 09:45:00,0.12,0.37
