cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-11 23:00:00,2021-01-11 23:00:00,0.12,0.11
1,2021-01-11 23:45:00,2021-01-12 00:45:00,1.04,1.94
2,2021-01-12 01:15:00,2021-01-12 01:30:00,0.34,0.91
3,2021-01-12 02:15:00,2021-01-12 02:30:00,0.39,1.0
4,2021-01-12 03:15:00,2021-01-12 03:30:00,0.39,0.97
5,2021-01-12 04:00:00,2021-01-12 05:15:00,1.33,3.78
6,2021-01-12 05:45:00,2021-01-12 06:30:00,0.7,2.02
7,2021-01-12 07:00:00,2021-01-12 08:30:00,1.49,4.35
8,2021-01-12 09:00:00,2021-01-12 09:30:00,0.63,1.81
9,2021-01-12 11:00:00,2021-01-12 12:00:00,1.15,3.19
10,2021-01-12 12:30:00,2021-01-12 13:15:00,0.58,1.67
11,2021-01-12 13:45:00,2021-01-12 14:15:00,0.6,1.7
12,2021-01-12 14:45:00,2021-01-12 15:15:00,0.58,1.62
13,2021-01-12 16:00:00,2021-01-12 16:30:00,0.57,1.63
14,2021-01-12 18:15:00,2021-01-12 19:00:00,1.0,1.8
15,2021-01-12 19:30:00,2021-01-12 20:30:00,1.15,2.26
16,2021-01-12 21:00:00,2021-01-12 21:45:00,0.76,2.04
17,2021-01-12 22:30:00,2021-01-12 22:45:00,0.43,0.82
18,2021-01-12 23:45:00,2021-01-13 00:00:00,0.4,1.03
19,2021-01-13 00:30:00,2021-01-13 00:45:00,0.48,0.95
20,2021-01-13 01:30:00,2021-01-13 01:45:00,0.48,0.91
21,2021-01-13 02:30:00,2021-01-13 02:45:00,0.48,0.96
22,2021-01-13 03:30:00,2021-01-13 04:00:00,0.46,1.26
23,2021-01-13 04:30:00,2021-01-13 06:15:00,1.99,3.37
24,2021-01-13 06:45:00,2021-01-13 07:00:00,0.43,1.14
25,2021-01-13 07:30:00,2021-01-13 07:30:00,0.12,0.62
26,2021-01-13 08:00:00,2021-01-13 08:00:00,0.12,0.58
27,2021-01-13 08:30:00,2021-01-13 08:45:00,0.41,1.12
28,2021-01-13 09:15:00,2021-01-13 09:45:00,0.52,1.37
29,2021-01-13 11:00:00,2021-01-13 12:45:00,1.83,4.09
30,2021-01-13 13:15:00,2021-01-13 13:45:00,0.5,1.4
31,2021-01-13 14:15:00,2021-01-13 14:45:00,0.49,1.38
32,2021-01-13 15:30:00,2021-01-13 15:45:00,0.49,1.39
33,2021-01-13 16:30:00,2021-01-13 16:45:00,0.44,1.26
34,2021-01-13 18:15:00,2021-01-13 19:45:00,1.58,3.34
35,2021-01-13 20:30:00,2021-01-13 21:00:00,0.62,1.71
36,2021-01-13 21:30:00,2021-01-13 22:30:00,1.25,1.24
37,2021-01-17 16:15:00,2021-01-17 16:45:00,0.6,1.67
38,2021-01-17 17:30:00,2021-01-17 18:00:00,0.55,1.54
39,2021-01-17 18:30:00,2021-01-17 19:00:00,0.56,1.54
40,2021-01-17 19:30:00,2021-01-17 20:00:00,0.51,1.39
41,2021-01-17 20:45:00,2021-01-17 21:15:00,0.53,1.5
42,2021-01-17 21:45:00,2021-01-17 22:15:00,0.75,0.83
43,2021-01-17 23:15:00,2021-01-17 23:30:00,0.4,0.85
44,2021-01-18 00:00:00,2021-01-18 00:15:00,0.38,0.94
45,2021-01-18 01:00:00,2021-01-18 01:30:00,0.39,1.03
46,2021-01-18 02:15:00,2021-01-18 03:15:00,1.07,1.77
47,2021-01-18 04:00:00,2021-01-18 04:15:00,0.48,1.33
48,2021-01-18 04:45:00,2021-01-18 05:30:00,0.67,1.86
49,2021-01-18 06:00:00,2021-01-18 06:30:00,0.54,1.5
50,2021-01-18 07:00:00,2021-01-18 07:00:00,0.12,0.45
51,2021-01-18 07:30:00,2021-01-18 07:45:00,0.42,1.18
52,2021-01-18 08:15:00,2021-01-18 09:00:00,0.9,1.66
53,2021-01-18 09:30:00,2021-01-18 09:30:00,0.12,0.61
54,2021-01-18 11:00:00,2021-01-18 11:15:00,0.47,1.03
55,2021-01-18 11:45:00,2021-01-18 12:45:00,1.23,2.33
56,2021-01-18 13:15:00,2021-01-18 14:15:00,1.21,2.24
57,2021-01-18 15:00:00,2021-01-18 15:15:00,0.48,1.23
58,2021-01-18 16:00:00,2021-01-18 16:15:00,0.46,1.27
59,2021-01-18 18:15:00,2021-01-18 19:15:00,1.23,2.31
60,2021-01-18 19:45:00,2021-01-18 20:00:00,0.48,1.19
61,2021-01-18 20:30:00,2021-01-18 21:00:00,0.54,1.44
62,2021-01-18 21:30:00,2021-01-18 21:45:00,0.48,1.16
63,2021-01-18 23:15:00,2021-01-18 23:30:00,0.35,0.84
64,2021-01-19 00:00:00,2021-01-19 00:15:00,0.35,0.76
65,2021-01-19 01:15:00,2021-01-19 01:30:00,0.31,0.83
66,2021-01-19 02:15:00,2021-01-19 02:30:00,0.49,0.94
67,2021-01-19 03:30:00,2021-01-19 04:30:00,1.23,2.35
68,2021-01-19 05:00:00,2021-01-19 05:45:00,0.66,1.82
69,2021-01-19 06:15:00,2021-01-19 06:45:00,0.55,1.52
70,2021-01-19 07:15:00,2021-01-19 08:00:00,0.72,2.02
71,2021-01-19 08:30:00,2021-01-19 09:15:00,0.84,2.36
72,2021-01-19 09:45:00,2021-01-19 09:45:00,0.12,0.15
73,2021-01-19 11:00:00,2021-01-19 12:00:00,1.19,2.22
74,2021-01-19 12:30:00,2021-01-19 13:00:00,0.7,1.91
75,2021-01-19 13:45:00,2021-01-19 14:00:00,0.47,1.32
76,2021-01-19 14:45:00,2021-01-19 15:15:00,0.5,1.41
77,2021-01-19 15:45:00,2021-01-19 16:00:00,0.37,0.97
78,2021-01-19 16:45:00,2021-01-19 16:45:00,0.12,0.46
79,2021-01-19 18:15:00,2021-01-19 18:30:00,0.45,1.17
80,2021-01-19 19:00:00,2021-01-19 19:15:00,0.49,1.23
81,2021-01-19 19:45:00,2021-01-19 22:15:00,2.69,4.18
82,2021-01-19 23:30:00,2021-01-19 23:45:00,0.34,0.84
83,2021-01-20 00:15:00,2021-01-20 00:30:00,0.43,0.91
84,2021-01-20 01:30:00,2021-01-20 01:45:00,0.45,0.98
85,2021-01-20 02:45:00,2021-01-20 03:30:00,1.0,1.72
86,2021-01-20 04:00:00,2021-01-20 04:30:00,0.53,1.4
87,2021-01-20 05:00:00,2021-01-20 05:45:00,0.69,1.93
88,2021-01-20 06:15:00,2021-01-20 07:00:00,0.78,2.22
89,2021-01-20 07:30:00,2021-01-20 09:00:00,1.66,4.85
90,2021-01-20 09:45:00,2021-01-20 09:45:00,0.12,0.68
91,2021-01-20 11:00:00,2021-01-20 11:45:00,1.0,1.68
92,2021-01-20 12:15:00,2021-01-20 12:30:00,0.45,1.0
93,2021-01-20 13:00:00,2021-01-20 13:15:00,0.48,1.32
94,2021-01-20 13:45:00,2021-01-20 14:30:00,1.0,1.37
95,2021-01-20 15:00:00,2021-01-20 15:15:00,0.47,1.19
96,2021-01-20 15:45:00,2021-01-20 16:15:00,0.52,1.38
97,2021-01-20 16:45:00,2021-01-20 16:45:00,0.12,0.33
98,2021-01-20 18:15:00,2021-01-20 19:15:00,1.21,2.52
99,2021-01-20 19:45:00,2021-01-20 21:00:00,1.4,2.86
100,2021-01-20 21:30:00,2021-01-20 22:00:00,0.52,1.41
101,2021-01-21 00:00:00,2021-01-21 01:15:00,1.07,1.98
102,2021-01-21 02:00:00,2021-01-21 02:15:00,0.43,1.06
103,2021-01-21 03:15:00,2021-01-21 03:30:00,0.4,1.06
104,2021-01-21 04:00:00,2021-01-21 04:15:00,0.33,0.93
105,2021-01-21 04:45:00,2021-01-21 05:45:00,1.05,2.92
106,2021-01-21 06:15:00,2021-01-21 07:00:00,0.59,1.69
107,2021-01-21 07:30:00,2021-01-21 08:00:00,0.5,1.43
108,2021-01-21 08:30:00,2021-01-21 09:30:00,0.97,2.74
109,2021-01-21 11:00:00,2021-01-21 11:00:00,0.12,0.67
110,2021-01-21 11:30:00,2021-01-21 12:15:00,0.89,1.84
111,2021-01-21 12:45:00,2021-01-21 13:45:00,1.23,2.15
112,2021-01-21 14:15:00,2021-01-21 15:30:00,1.47,2.44
113,2021-01-21 16:00:00,2021-01-21 16:15:00,0.49,1.13
114,2021-01-21 16:45:00,2021-01-21 16:45:00,0.12,0.57
115,2021-01-21 18:15:00,2021-01-21 20:00:00,1.97,3.43
116,2021-01-21 20:30:00,2021-01-21 21:00:00,0.62,1.66
117,2021-01-21 21:30:00,2021-01-21 22:00:00,0.75,0.73
118,2021-01-22 03:45:00,2021-01-22 05:00:00,1.33,2.64
119,2021-01-22 05:30:00,2021-01-22 05:45:00,0.46,1.14
120,2021-01-22 06:15:00,2021-01-22 06:15:00,0.12,0.51
121,2021-01-22 06:45:00,2021-01-22 08:00:00,1.5,2.72
122,2021-01-22 08:30:00,2021-01-22 08:45:00,0.44,0.95
123,2021-01-22 09:15:00,2021-01-22 09:15:00,0.12,0.59
124,2021-01-22 11:00:00,2021-01-22 11:15:00,0.43,1.03
125,2021-01-22 11:45:00,2021-01-22 12:00:00,0.49,1.28
126,2021-01-22 12:30:00,2021-01-22 13:30:00,1.24,2.25
127,2021-01-22 14:00:00,2021-01-22 14:15:00,0.35,0.72
128,2021-01-22 15:00:00,2021-01-22 15:00:00,0.12,0.61
129,2021-01-22 15:30:00,2021-01-22 16:00:00,0.54,1.4
130,2021-01-22 18:15:00,2021-01-22 20:15:00,2.2,4.0
131,2021-01-22 20:45:00,2021-01-22 21:15:00,0.52,1.42
132,2021-01-22 21:45:00,2021-01-22 21:45:00,0.12,0.36
133,2021-01-22 22:30:00,2021-01-22 22:45:00,0.35,0.45
134,2021-01-23 01:00:00,2021-01-23 01:00:00,0.12,0.63
135,2021-01-23 04:00:00,2021-01-23 04:15:00,0.48,1.14
136,2021-01-23 04:45:00,2021-01-23 06:30:00,1.82,4.07
137,2021-01-23 07:00:00,2021-01-23 07:30:00,0.6,1.67
138,2021-01-23 08:15:00,2021-01-23 09:30:00,1.48,2.22
139,2021-01-23 10:00:00,2021-01-23 10:15:00,0.47,1.23
140,2021-01-23 10:45:00,2021-01-23 11:30:00,0.87,2.38
141,2021-01-23 12:15:00,2021-01-23 13:30:00,1.5,1.99
142,2021-01-23 14:00:00,2021-01-23 14:00:00,0.12,0.59
143,2021-01-23 14:30:00,2021-01-23 14:45:00,0.48,1.14
144,2021-01-23 15:15:00,2021-01-23 15:30:00,0.48,1.05
145,2021-01-23 16:00:00,2021-01-23 16:00:00,0.12,0.64
146,2021-01-23 16:30:00,2021-01-23 16:45:00,0.4,1.13
147,2021-01-23 17:15:00,2021-01-23 17:15:00,0.12,0.54
148,2021-01-23 17:45:00,2021-01-23 19:00:00,1.4,2.82
149,2021-01-23 19:45:00,2021-01-23 20:00:00,0.47,0.81
150,2021-01-23 20:30:00,2021-01-23 20:45:00,0.49,1.3
151,2021-01-23 21:15:00,2021-01-23 21:30:00,0.38,0.8
152,2021-01-24 00:00:00,2021-01-24 00:00:00,0.12,0.46
153,2021-01-24 00:30:00,2021-01-24 00:30:00,0.12,0.43
154,2021-01-24 03:45:00,2021-01-24 04:15:00,0.46,1.15
155,2021-01-24 04:45:00,2021-01-24 06:30:00,1.98,4.53
156,2021-01-24 07:00:00,2021-01-24 07:30:00,0.54,1.52
157,2021-01-24 08:15:00,2021-01-24 08:45:00,0.6,1.69
158,2021-01-24 09:15:00,2021-01-24 09:15:00,0.12,0.49
159,2021-01-24 09:45:00,2021-01-24 09:45:00,0.12,0.71
160,2021-01-24 10:15:00,2021-01-24 11:30:00,1.4,2.93
161,2021-01-24 12:15:00,2021-01-24 12:45:00,0.48,1.36
162,2021-01-24 13:15:00,2021-01-24 13:15:00,0.12,0.46
163,2021-01-24 13:45:00,2021-01-24 15:00:00,1.5,2.13
164,2021-01-24 15:30:00,2021-01-24 15:45:00,0.43,1.24
165,2021-01-24 16:15:00,2021-01-24 16:45:00,0.66,1.77
166,2021-01-24 17:30:00,2021-01-24 18:00:00,0.5,1.4
167,2021-01-24 18:30:00,2021-01-24 19:00:00,0.57,1.56
168,2021-01-24 19:30:00,2021-01-24 20:00:00,0.51,1.4
169,2021-01-24 20:45:00,2021-01-24 21:00:00,0.48,1.32
170,2021-01-24 21:45:00,2021-01-24 22:15:00,0.75,1.12
171,2021-01-25 00:00:00,2021-01-25 01:00:00,1.1,1.84
172,2021-01-25 02:00:00,2021-01-25 02:15:00,0.33,0.87
173,2021-01-25 03:15:00,2021-01-25 03:30:00,0.4,1.05
174,2021-01-25 04:00:00,2021-01-25 05:45:00,1.64,3.64
175,2021-01-25 06:15:00,2021-01-25 06:45:00,0.56,1.54
176,2021-01-25 07:30:00,2021-01-25 07:30:00,0.12,0.48
177,2021-01-25 08:00:00,2021-01-25 08:00:00,0.12,0.72
178,2021-01-25 08:30:00,2021-01-25 09:00:00,0.75,1.26
179,2021-01-25 09:30:00,2021-01-25 09:45:00,0.43,0.8
180,2021-01-25 11:00:00,2021-01-25 11:15:00,0.48,1.13
181,2021-01-25 11:45:00,2021-01-25 12:45:00,1.2,2.17
182,2021-01-25 13:15:00,2021-01-25 13:30:00,0.45,1.12
183,2021-01-25 14:00:00,2021-01-25 14:45:00,0.87,2.37
184,2021-01-25 15:15:00,2021-01-25 15:45:00,0.52,1.43
185,2021-01-25 16:30:00,2021-01-25 16:45:00,0.5,1.35
186,2021-01-25 18:15:00,2021-01-25 20:15:00,2.11,3.86
187,2021-01-25 20:45:00,2021-01-25 20:45:00,0.12,0.42
188,2021-01-25 21:15:00,2021-01-25 21:30:00,0.4,1.13
189,2021-01-25 22:00:00,2021-01-25 22:15:00,0.47,0.96
190,2021-01-25 23:45:00,2021-01-26 00:00:00,0.34,0.96
191,2021-01-26 00:30:00,2021-01-26 00:45:00,0.44,0.91
192,2021-01-26 01:45:00,2021-01-26 02:00:00,0.4,0.98
193,2021-01-26 02:45:00,2021-01-26 03:15:00,0.38,1.03
194,2021-01-26 04:00:00,2021-01-26 05:30:00,1.6,3.43
195,2021-01-26 06:00:00,2021-01-26 06:30:00,0.53,1.48
196,2021-01-26 07:00:00,2021-01-26 08:30:00,1.5,4.35
197,2021-01-26 09:00:00,2021-01-26 09:45:00,0.6,1.71
198,2021-01-26 11:00:00,2021-01-26 11:45:00,1.0,1.82
199,2021-01-26 12:15:00,2021-01-26 13:45:00,1.64,3.56
200,2021-01-26 14:30:00,2021-01-26 15:00:00,0.49,1.4
201,2021-01-26 15:30:00,2021-01-26 16:00:00,0.52,1.44
202,2021-01-26 16:30:00,2021-01-26 16:45:00,0.37,1.01
203,2021-01-26 18:15:00,2021-01-26 20:15:00,2.25,4.27
204,2021-01-26 21:00:00,2021-01-26 21:45:00,0.85,1.41
205,2021-01-26 22:30:00,2021-01-26 23:15:00,0.92,1.21
206,2021-01-27 00:15:00,2021-01-27 01:15:00,1.06,1.78
207,2021-01-27 02:00:00,2021-01-27 02:15:00,0.32,0.87
208,2021-01-27 03:15:00,2021-01-27 03:30:00,0.36,0.94
209,2021-01-27 04:00:00,2021-01-27 04:15:00,0.41,0.94
210,2021-01-27 04:45:00,2021-01-27 05:00:00,0.46,1.26
211,2021-01-27 05:30:00,2021-01-27 05:30:00,0.12,0.49
212,2021-01-27 06:00:00,2021-01-27 07:30:00,1.61,3.47
213,2021-01-27 08:15:00,2021-01-27 08:30:00,0.5,1.39
214,2021-01-27 09:15:00,2021-01-27 09:45:00,0.71,1.99
215,2021-01-27 11:00:00,2021-01-27 12:30:00,1.75,2.83
216,2021-01-27 13:00:00,2021-01-27 14:45:00,1.85,4.18
217,2021-01-27 15:15:00,2021-01-27 15:45:00,0.53,1.48
218,2021-01-27 16:15:00,2021-01-27 16:45:00,0.75,0.81
219,2021-01-27 18:15:00,2021-01-27 19:15:00,1.19,2.19
220,2021-01-27 19:45:00,2021-01-27 20:30:00,0.97,2.64
221,2021-01-27 21:15:00,2021-01-27 22:00:00,0.85,1.42
222,2021-01-27 23:15:00,2021-01-27 23:30:00,0.39,0.94
223,2021-01-28 00:00:00,2021-01-28 00:15:00,0.38,0.82
224,2021-01-28 01:00:00,2021-01-28 01:15:00,0.46,0.89
225,2021-01-28 02:00:00,2021-01-28 02:30:00,0.37,0.99
