cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 10:15:00,2021-01-22 11:00:00,0.76,3.06
1,2021-01-22 12:45:00,2021-01-22 13:45:00,1.03,4.11
2,2021-01-22 15:15:00,2021-01-22 16:45:00,1.65,6.52
3,2021-01-22 18:15:00,2021-01-22 19:30:00,1.3,5.22
4,2021-01-22 20:45:00,2021-01-22 22:00:00,1.3,5.16
5,2021-01-22 23:15:00,2021-01-23 03:45:00,4.56,19.89
6,2021-01-23 05:00:00,2021-01-23 06:30:00,1.61,6.63
7,2021-01-23 07:45:00,2021-01-23 09:15:00,1.48,5.88
8,2021-01-23 10:30:00,2021-01-23 11:45:00,1.11,4.45
9,2021-01-23 13:15:00,2021-01-23 14:15:00,1.24,5.07
10,2021-01-23 15:30:00,2021-01-23 17:30:00,1.86,7.42
11,2021-01-23 18:45:00,2021-01-23 19:45:00,1.23,5.11
12,2021-01-23 21:15:00,2021-01-23 22:45:00,1.6,6.54
13,2021-01-24 00:00:00,2021-01-24 04:45:00,4.78,22.88
14,2021-01-24 05:45:00,2021-01-24 07:45:00,1.92,7.91
15,2021-01-24 08:45:00,2021-01-24 10:15:00,1.57,6.44
16,2021-01-24 11:45:00,2021-01-24 13:00:00,1.19,4.97
17,2021-01-24 14:30:00,2021-01-24 15:45:00,1.4,5.68
18,2021-01-24 16:45:00,2021-01-24 18:45:00,1.85,7.52
19,2021-01-24 19:45:00,2021-01-24 21:15:00,1.52,6.24
20,2021-01-24 22:30:00,2021-01-25 00:00:00,1.48,6.02
21,2021-01-25 00:30:00,2021-01-25 05:15:00,4.95,20.93
22,2021-01-25 06:30:00,2021-01-25 08:00:00,1.75,7.14
23,2021-01-25 09:15:00,2021-01-25 10:45:00,1.44,5.78
24,2021-01-25 11:30:00,2021-01-25 12:30:00,0.92,3.77
25,2021-01-25 13:30:00,2021-01-25 15:15:00,1.65,6.74
26,2021-01-25 16:15:00,2021-01-25 18:15:00,2.13,8.74
27,2021-01-25 19:15:00,2021-01-25 21:00:00,1.62,6.67
28,2021-01-25 21:45:00,2021-01-25 23:30:00,1.74,7.21
29,2021-01-26 00:30:00,2021-01-26 05:45:00,5.16,23.58
30,2021-01-26 06:30:00,2021-01-26 08:30:00,2.05,8.46
31,2021-01-26 09:45:00,2021-01-26 11:30:00,1.76,7.31
32,2021-01-26 12:30:00,2021-01-26 13:45:00,1.28,5.37
33,2021-01-26 15:00:00,2021-01-26 16:45:00,1.9,7.88
34,2021-01-26 17:45:00,2021-01-26 19:30:00,1.77,7.22
35,2021-01-26 20:30:00,2021-01-26 22:15:00,1.89,7.75
36,2021-01-26 23:30:00,2021-01-27 05:45:00,6.38,28.5
37,2021-01-27 06:45:00,2021-01-27 09:00:00,2.23,9.22
38,2021-01-27 10:15:00,2021-01-27 11:45:00,1.61,6.63
39,2021-01-27 12:45:00,2021-01-27 14:30:00,1.67,6.97
40,2021-01-27 15:30:00,2021-01-27 17:00:00,1.51,6.27
41,2021-01-27 18:00:00,2021-01-27 19:30:00,1.64,6.86
42,2021-01-27 20:45:00,2021-01-27 22:00:00,1.35,5.56
43,2021-01-27 23:15:00,2021-01-28 05:15:00,6.13,24.29
44,2021-01-28 06:45:00,2021-01-28 08:00:00,1.33,5.39
45,2021-01-28 09:15:00,2021-01-28 10:15:00,1.19,4.8
46,2021-01-28 12:00:00,2021-01-28 13:00:00,0.95,3.94
47,2021-01-28 14:45:00,2021-01-28 15:45:00,0.93,3.86
48,2021-01-28 17:15:00,2021-01-28 18:00:00,0.74,3.05
49,2021-01-28 19:45:00,2021-01-28 20:45:00,1.01,4.11
50,2021-01-28 22:15:00,2021-01-28 23:00:00,0.9,3.87
51,2021-01-29 00:30:00,2021-01-29 04:00:00,3.52,13.14
52,2021-01-29 05:30:00,2021-01-29 06:30:00,1.11,4.52
53,2021-01-29 08:00:00,2021-01-29 09:00:00,0.92,3.74
54,2021-01-29 10:30:00,2021-01-29 11:15:00,0.89,3.66
55,2021-01-29 12:45:00,2021-01-29 13:30:00,0.83,3.49
56,2021-01-29 15:30:00,2021-01-29 16:30:00,1.1,4.52
57,2021-01-29 18:00:00,2021-01-29 19:15:00,1.25,5.1
58,2021-01-29 20:30:00,2021-01-29 21:30:00,1.12,4.59
59,2021-01-29 23:00:00,2021-01-30 00:00:00,1.14,4.68
60,2021-01-30 00:30:00,2021-01-30 04:45:00,4.32,14.27
61,2021-01-30 06:00:00,2021-01-30 07:15:00,1.23,4.98
62,2021-01-30 08:30:00,2021-01-30 09:30:00,1.05,4.29
63,2021-01-30 10:45:00,2021-01-30 12:00:00,1.08,4.34
64,2021-01-30 13:15:00,2021-01-30 14:30:00,1.33,5.33
65,2021-01-30 15:30:00,2021-01-30 16:45:00,1.21,4.78
66,2021-01-30 18:00:00,2021-01-30 19:15:00,1.31,5.31
67,2021-01-30 20:45:00,2021-01-30 22:00:00,1.24,5.04
68,2021-01-30 23:15:00,2021-01-31 05:30:00,6.23,22.24
69,2021-01-31 07:00:00,2021-01-31 08:00:00,1.14,4.66
70,2021-01-31 09:30:00,2021-01-31 10:30:00,1.03,4.17
71,2021-01-31 12:00:00,2021-01-31 13:00:00,1.0,4.17
72,2021-01-31 14:30:00,2021-01-31 15:45:00,1.14,4.63
73,2021-01-31 17:15:00,2021-01-31 18:30:00,1.21,5.01
74,2021-01-31 19:45:00,2021-01-31 21:00:00,1.2,4.9
75,2021-01-31 22:30:00,2021-01-31 23:45:00,1.26,5.06
76,2021-02-01 00:30:00,2021-02-01 04:45:00,4.41,17.12
77,2021-02-01 06:15:00,2021-02-01 07:15:00,1.15,4.65
78,2021-02-01 08:45:00,2021-02-01 09:45:00,1.19,4.78
79,2021-02-01 11:30:00,2021-02-01 12:15:00,0.91,3.79
80,2021-02-01 14:00:00,2021-02-01 14:45:00,0.92,3.89
81,2021-02-01 16:15:00,2021-02-01 17:15:00,0.89,3.62
82,2021-02-01 18:30:00,2021-02-01 19:30:00,0.92,3.77
83,2021-02-01 21:00:00,2021-02-01 22:00:00,1.05,4.25
84,2021-02-01 23:15:00,2021-02-02 05:15:00,5.86,20.28
85,2021-02-02 06:45:00,2021-02-02 07:30:00,0.89,3.66
86,2021-02-02 09:30:00,2021-02-02 10:15:00,0.79,3.28
87,2021-02-02 11:45:00,2021-02-02 12:45:00,0.89,3.67
88,2021-02-02 14:45:00,2021-02-02 15:30:00,0.82,3.31
89,2021-02-02 17:30:00,2021-02-02 18:00:00,0.74,3.07
90,2021-02-02 20:00:00,2021-02-02 20:45:00,0.77,3.28
91,2021-02-02 22:30:00,2021-02-02 23:15:00,0.79,3.28
92,2021-02-03 00:30:00,2021-02-03 04:45:00,4.5,14.56
93,2021-02-03 06:00:00,2021-02-03 06:45:00,0.92,3.61
94,2021-02-03 08:30:00,2021-02-03 09:15:00,0.85,3.47
95,2021-02-03 11:45:00,2021-02-03 12:15:00,0.67,2.8
96,2021-02-03 14:15:00,2021-02-03 15:15:00,0.88,3.69
97,2021-02-03 16:45:00,2021-02-03 17:45:00,0.84,3.38
98,2021-02-03 19:15:00,2021-02-03 20:00:00,0.86,3.46
99,2021-02-03 21:45:00,2021-02-03 22:45:00,0.87,3.53
100,2021-02-04 00:30:00,2021-02-04 06:15:00,5.81,20.94
101,2021-02-04 07:15:00,2021-02-04 08:30:00,1.12,4.52
102,2021-02-04 10:45:00,2021-02-04 11:45:00,0.87,3.57
103,2021-02-04 14:15:00,2021-02-04 15:00:00,0.73,2.97
104,2021-02-04 16:30:00,2021-02-04 17:15:00,0.85,3.5
105,2021-02-04 18:45:00,2021-02-04 19:45:00,1.05,4.29
106,2021-02-04 21:15:00,2021-02-04 22:15:00,1.03,4.18
107,2021-02-04 23:45:00,2021-02-05 05:45:00,6.24,23.29
108,2021-02-05 07:15:00,2021-02-05 08:15:00,1.09,4.44
109,2021-02-05 12:45:00,2021-02-05 13:15:00,0.68,2.86
110,2021-02-05 16:00:00,2021-02-05 17:00:00,0.85,3.41
111,2021-02-05 18:45:00,2021-02-05 19:45:00,0.93,3.8
112,2021-02-05 21:15:00,2021-02-05 22:00:00,0.84,3.41
113,2021-02-05 23:45:00,2021-02-06 06:00:00,6.32,21.76
114,2021-02-06 07:15:00,2021-02-06 08:30:00,1.11,4.36
115,2021-02-06 10:15:00,2021-02-06 11:00:00,0.83,3.41
116,2021-02-06 12:45:00,2021-02-06 13:30:00,0.78,3.24
117,2021-02-06 15:30:00,2021-02-06 16:15:00,0.99,3.96
118,2021-02-06 17:45:00,2021-02-06 18:45:00,1.09,4.32
119,2021-02-06 20:15:00,2021-02-06 21:15:00,1.16,4.73
120,2021-02-06 22:45:00,2021-02-07 00:00:00,1.17,4.75
121,2021-02-07 00:30:00,2021-02-07 05:00:00,4.68,18.27
122,2021-02-07 06:30:00,2021-02-07 07:30:00,1.19,4.81
123,2021-02-07 09:15:00,2021-02-07 10:00:00,0.79,3.31
124,2021-02-07 11:15:00,2021-02-07 12:15:00,0.98,4.08
125,2021-02-07 13:45:00,2021-02-07 14:45:00,1.04,4.3
126,2021-02-07 16:00:00,2021-02-07 17:15:00,1.14,4.71
127,2021-02-07 18:15:00,2021-02-07 19:30:00,1.31,5.35
128,2021-02-07 21:00:00,2021-02-07 22:15:00,1.26,5.15
129,2021-02-07 23:30:00,2021-02-08 06:45:00,7.31,27.68
130,2021-02-08 08:00:00,2021-02-08 09:15:00,1.3,5.28
131,2021-02-08 10:45:00,2021-02-08 12:00:00,1.14,4.62
132,2021-02-08 13:30:00,2021-02-08 14:45:00,1.38,5.63
133,2021-02-08 16:00:00,2021-02-08 18:15:00,2.19,8.77
134,2021-02-08 19:15:00,2021-02-08 21:30:00,2.31,9.29
135,2021-02-08 22:45:00,2021-02-09 06:30:00,7.69,30.33
136,2021-02-09 07:30:00,2021-02-09 09:00:00,1.52,6.21
137,2021-02-09 10:15:00,2021-02-09 11:30:00,1.5,6.05
138,2021-02-09 13:00:00,2021-02-09 14:15:00,1.44,5.83
139,2021-02-09 15:30:00,2021-02-09 17:30:00,2.02,8.13
140,2021-02-09 18:30:00,2021-02-09 20:00:00,1.45,5.94
141,2021-02-09 21:15:00,2021-02-09 23:45:00,2.48,10.01
142,2021-02-10 00:30:00,2021-02-10 05:45:00,5.28,23.75
143,2021-02-10 07:00:00,2021-02-10 08:45:00,1.75,7.11
144,2021-02-10 09:45:00,2021-02-10 11:00:00,1.15,4.74
145,2021-02-10 12:15:00,2021-02-10 13:45:00,1.52,6.08
146,2021-02-10 14:45:00,2021-02-10 16:15:00,1.57,6.53
147,2021-02-10 17:15:00,2021-02-10 19:30:00,2.32,9.41
148,2021-02-10 20:30:00,2021-02-11 09:30:00,13.06,61.16
149,2021-02-11 10:30:00,2021-02-11 12:15:00,1.87,7.74
150,2021-02-11 13:15:00,2021-02-12 10:00:00,20.76,91.68
151,2021-02-12 11:00:00,2021-02-12 13:30:00,2.52,10.34
152,2021-02-12 14:30:00,2021-02-12 19:00:00,4.6,19.19
153,2021-02-12 20:00:00,2021-02-13 10:45:00,14.69,68.47
154,2021-02-13 12:00:00,2021-02-13 13:30:00,1.73,7.34
155,2021-02-13 14:45:00,2021-02-14 09:45:00,19.02,86.21
156,2021-02-14 11:15:00,2021-02-14 12:45:00,1.54,6.34
157,2021-02-14 13:45:00,2021-02-14 15:00:00,1.17,4.9
158,2021-02-14 15:45:00,2021-02-14 20:15:00,4.53,18.86
159,2021-02-14 21:30:00,2021-02-15 06:15:00,8.83,44.15
160,2021-02-15 07:15:00,2021-02-15 08:45:00,1.53,6.17
161,2021-02-15 10:15:00,2021-02-15 11:30:00,1.21,5.08
162,2021-02-15 13:00:00,2021-02-15 14:00:00,1.0,4.18
163,2021-02-15 15:15:00,2021-02-15 16:30:00,1.29,5.36
164,2021-02-15 17:30:00,2021-02-15 18:30:00,0.99,4.15
165,2021-02-15 19:45:00,2021-02-15 20:45:00,0.93,3.93
166,2021-02-15 21:45:00,2021-02-15 23:00:00,1.18,4.97
167,2021-02-16 00:15:00,2021-02-16 04:15:00,3.94,16.06
168,2021-02-16 05:15:00,2021-02-16 06:15:00,1.1,4.58
169,2021-02-16 07:30:00,2021-02-16 08:30:00,0.95,3.94
170,2021-02-16 10:00:00,2021-02-16 10:45:00,0.88,3.66
171,2021-02-16 12:45:00,2021-02-16 13:30:00,0.75,3.12
172,2021-02-16 15:15:00,2021-02-16 16:00:00,0.83,3.43
173,2021-02-16 17:30:00,2021-02-16 18:30:00,1.05,4.26
174,2021-02-16 20:00:00,2021-02-16 21:00:00,1.05,4.27
175,2021-02-16 22:30:00,2021-02-16 23:15:00,0.92,3.87
176,2021-02-17 00:30:00,2021-02-17 04:30:00,4.03,14.88
177,2021-02-17 06:00:00,2021-02-17 07:00:00,1.07,4.39
178,2021-02-17 08:45:00,2021-02-17 09:30:00,0.82,3.38
179,2021-02-17 12:15:00,2021-02-17 13:00:00,0.77,3.14
180,2021-02-17 16:15:00,2021-02-17 17:15:00,1.08,4.32
181,2021-02-17 18:30:00,2021-02-17 19:30:00,1.04,4.22
182,2021-02-17 20:45:00,2021-02-17 22:00:00,1.2,4.81
183,2021-02-17 23:15:00,2021-02-18 06:15:00,7.03,26.99
184,2021-02-18 07:30:00,2021-02-18 08:30:00,1.07,4.45
