cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-04 23:00:00,2021-02-05 01:15:00,2.48,6.0
1,2021-02-05 03:00:00,2021-02-05 04:45:00,1.79,5.63
2,2021-02-05 06:15:00,2021-02-05 09:45:00,3.75,4.82
3,2021-02-05 11:00:00,2021-02-05 12:15:00,1.48,0.69
4,2021-02-05 17:15:00,2021-02-05 18:15:00,1.18,3.65
5,2021-02-05 21:15:00,2021-02-05 22:00:00,0.9,2.83
6,2021-02-05 23:30:00,2021-02-06 01:15:00,1.82,5.69
7,2021-02-06 03:00:00,2021-02-06 03:45:00,0.72,2.39
8,2021-02-06 05:30:00,2021-02-06 06:15:00,0.78,2.56
9,2021-02-06 08:00:00,2021-02-06 08:45:00,0.67,2.19
10,2021-02-06 09:30:00,2021-02-06 11:15:00,2.0,0.94
11,2021-02-06 13:00:00,2021-02-06 13:45:00,0.75,2.34
12,2021-02-06 17:00:00,2021-02-06 18:45:00,1.78,5.24
13,2021-02-06 19:15:00,2021-02-06 19:30:00,0.44,1.14
14,2021-02-06 22:30:00,2021-02-07 00:45:00,2.49,4.03
15,2021-02-07 01:15:00,2021-02-07 08:00:00,6.87,11.29
16,2021-02-07 10:00:00,2021-02-07 10:45:00,0.79,2.5
17,2021-02-07 14:30:00,2021-02-07 18:15:00,3.66,7.78
18,2021-02-07 20:15:00,2021-02-07 21:45:00,1.55,4.59
19,2021-02-07 23:30:00,2021-02-08 01:00:00,1.38,4.56
20,2021-02-08 02:30:00,2021-02-08 05:15:00,2.75,5.79
21,2021-02-08 06:45:00,2021-02-08 08:15:00,1.6,5.17
22,2021-02-08 12:30:00,2021-02-08 15:00:00,2.55,5.47
23,2021-02-08 15:45:00,2021-02-08 15:45:00,0.12,0.8
24,2021-02-08 17:15:00,2021-02-08 19:30:00,2.35,6.8
25,2021-02-08 21:00:00,2021-02-08 22:30:00,1.5,5.03
26,2021-02-09 00:15:00,2021-02-09 02:15:00,2.2,6.24
27,2021-02-09 03:30:00,2021-02-09 05:15:00,1.77,5.7
28,2021-02-09 07:00:00,2021-02-09 08:45:00,1.94,6.16
29,2021-02-09 11:15:00,2021-02-09 14:00:00,2.86,5.91
30,2021-02-09 15:45:00,2021-02-09 15:45:00,0.12,0.68
31,2021-02-09 17:15:00,2021-02-09 19:15:00,2.24,6.3
32,2021-02-09 21:00:00,2021-02-09 22:15:00,1.44,4.83
33,2021-02-10 00:00:00,2021-02-10 02:30:00,2.64,5.89
34,2021-02-10 03:15:00,2021-02-10 05:00:00,1.78,5.57
35,2021-02-10 06:45:00,2021-02-10 08:15:00,1.5,5.02
36,2021-02-10 11:30:00,2021-02-10 15:45:00,4.27,10.38
37,2021-02-10 17:30:00,2021-02-11 00:00:00,6.52,18.49
38,2021-02-11 01:00:00,2021-02-11 03:30:00,2.56,12.02
39,2021-02-11 05:15:00,2021-02-11 09:00:00,3.71,12.55
40,2021-02-11 11:00:00,2021-02-11 15:45:00,4.93,10.9
41,2021-02-11 17:15:00,2021-02-11 21:15:00,4.15,17.0
42,2021-02-11 23:00:00,2021-02-12 04:15:00,5.46,20.27
43,2021-02-12 05:45:00,2021-02-12 09:45:00,4.11,10.94
44,2021-02-12 11:00:00,2021-02-12 12:45:00,1.81,6.95
45,2021-02-12 14:15:00,2021-02-12 15:45:00,1.54,5.29
46,2021-02-12 17:30:00,2021-02-12 19:30:00,2.12,7.63
47,2021-02-12 20:45:00,2021-02-12 23:15:00,2.57,10.6
48,2021-02-13 00:00:00,2021-02-13 03:15:00,3.23,11.39
49,2021-02-13 04:45:00,2021-02-13 12:15:00,7.49,22.37
50,2021-02-13 14:00:00,2021-02-13 15:30:00,1.43,6.11
51,2021-02-13 17:00:00,2021-02-13 18:15:00,1.19,6.07
52,2021-02-13 19:00:00,2021-02-14 01:00:00,6.1,13.89
53,2021-02-14 02:00:00,2021-02-14 12:00:00,10.03,33.37
54,2021-02-14 14:15:00,2021-02-14 15:45:00,1.35,5.82
55,2021-02-14 17:30:00,2021-02-14 20:45:00,3.33,9.96
56,2021-02-14 21:30:00,2021-02-14 23:30:00,2.14,7.54
57,2021-02-15 01:45:00,2021-02-15 09:45:00,8.22,26.14
58,2021-02-15 11:00:00,2021-02-15 15:45:00,4.95,11.69
59,2021-02-15 18:00:00,2021-02-15 19:30:00,1.46,5.95
60,2021-02-15 21:00:00,2021-02-15 22:15:00,1.17,4.36
61,2021-02-16 00:00:00,2021-02-16 01:30:00,1.63,5.84
62,2021-02-16 02:45:00,2021-02-16 04:45:00,2.07,6.12
63,2021-02-16 08:15:00,2021-02-16 09:15:00,1.1,4.41
64,2021-02-16 11:15:00,2021-02-16 13:45:00,2.75,1.23
65,2021-02-16 15:15:00,2021-02-16 15:45:00,0.61,1.82
66,2021-02-16 17:15:00,2021-02-16 19:30:00,2.22,6.25
67,2021-02-16 20:30:00,2021-02-16 23:30:00,3.25,6.09
68,2021-02-17 02:15:00,2021-02-17 02:45:00,0.75,2.39
69,2021-02-17 05:15:00,2021-02-17 09:45:00,4.58,7.42
70,2021-02-17 15:15:00,2021-02-17 15:45:00,0.55,1.59
71,2021-02-17 17:15:00,2021-02-17 23:45:00,6.74,14.67
