cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-24 23:00:00,2021-06-24 23:00:00,0.12,0.4
1,2021-06-25 00:30:00,2021-06-25 00:30:00,0.12,0.4
2,2021-06-25 02:30:00,2021-06-25 02:30:00,0.12,0.4
3,2021-06-25 04:00:00,2021-06-25 04:00:00,0.12,0.66
4,2021-06-25 10:00:00,2021-06-25 10:00:00,0.12,0.46
5,2021-06-25 18:45:00,2021-06-25 18:45:00,0.12,0.39
6,2021-06-25 20:15:00,2021-06-25 20:15:00,0.12,0.36
7,2021-06-25 21:30:00,2021-06-25 21:30:00,0.12,0.4
8,2021-06-25 23:15:00,2021-06-25 23:15:00,0.12,0.34
9,2021-06-26 00:30:00,2021-06-26 00:45:00,0.38,0.66
10,2021-06-26 03:00:00,2021-06-26 03:00:00,0.12,0.4
11,2021-06-26 09:00:00,2021-06-26 09:00:00,0.12,0.3
12,2021-06-26 15:15:00,2021-06-26 15:15:00,0.12,0.39
13,2021-06-26 17:30:00,2021-06-26 17:45:00,0.47,0.4
14,2021-06-26 19:30:00,2021-06-26 19:30:00,0.12,0.4
15,2021-06-26 20:45:00,2021-06-26 20:45:00,0.12,0.37
16,2021-06-26 22:00:00,2021-06-26 22:00:00,0.12,0.4
17,2021-06-26 23:30:00,2021-06-26 23:30:00,0.12,0.4
18,2021-06-27 00:45:00,2021-06-27 00:45:00,0.12,0.4
19,2021-06-27 02:15:00,2021-06-27 02:15:00,0.12,0.4
20,2021-06-27 03:45:00,2021-06-27 03:45:00,0.12,0.4
21,2021-06-27 18:00:00,2021-06-27 18:00:00,0.12,0.39
22,2021-06-27 19:15:00,2021-06-27 19:15:00,0.12,0.4
23,2021-06-27 21:00:00,2021-06-27 21:00:00,0.12,0.41
24,2021-06-27 22:30:00,2021-06-27 22:30:00,0.12,0.41
25,2021-06-28 00:30:00,2021-06-28 00:30:00,0.12,0.41
26,2021-06-28 02:00:00,2021-06-28 02:00:00,0.12,0.4
27,2021-06-28 03:15:00,2021-06-28 03:15:00,0.12,0.4
28,2021-06-28 17:15:00,2021-06-28 17:15:00,0.12,0.95
29,2021-06-28 18:30:00,2021-06-28 18:30:00,0.12,0.4
30,2021-06-28 20:15:00,2021-06-28 20:15:00,0.12,0.4
31,2021-06-28 22:15:00,2021-06-28 22:15:00,0.12,0.4
32,2021-06-28 23:45:00,2021-06-28 23:45:00,0.12,0.41
33,2021-06-29 02:00:00,2021-06-29 02:15:00,0.45,0.41
34,2021-06-29 04:00:00,2021-06-29 04:00:00,0.12,0.4
35,2021-06-29 11:30:00,2021-06-29 11:30:00,0.12,0.38
36,2021-06-29 13:00:00,2021-06-29 13:00:00,0.12,0.39
37,2021-06-29 17:15:00,2021-06-29 17:15:00,0.12,0.69
38,2021-06-29 19:30:00,2021-06-29 19:30:00,0.12,0.4
39,2021-06-29 20:45:00,2021-06-29 20:45:00,0.12,0.4
40,2021-06-29 22:30:00,2021-06-29 22:30:00,0.12,0.39
41,2021-06-30 00:00:00,2021-06-30 00:00:00,0.12,0.4
42,2021-06-30 01:30:00,2021-06-30 01:30:00,0.12,0.39
43,2021-06-30 02:45:00,2021-06-30 02:45:00,0.12,0.39
44,2021-06-30 04:00:00,2021-06-30 04:00:00,0.12,0.39
45,2021-06-30 08:30:00,2021-06-30 08:30:00,0.12,0.38
46,2021-06-30 11:45:00,2021-06-30 11:45:00,0.12,0.39
47,2021-06-30 17:15:00,2021-06-30 17:15:00,0.12,0.4
48,2021-06-30 18:45:00,2021-06-30 18:45:00,0.12,0.39
49,2021-06-30 20:00:00,2021-06-30 20:00:00,0.12,0.36
50,2021-06-30 21:45:00,2021-06-30 21:45:00,0.12,0.65
51,2021-07-01 00:00:00,2021-07-01 00:15:00,0.41,0.4
52,2021-07-01 02:00:00,2021-07-01 02:00:00,0.12,0.39
53,2021-07-01 03:30:00,2021-07-01 03:45:00,0.49,0.4
54,2021-07-01 05:15:00,2021-07-01 05:15:00,0.12,0.39
55,2021-07-01 07:00:00,2021-07-01 07:00:00,0.12,0.14
56,2021-07-01 10:00:00,2021-07-01 10:00:00,0.12,0.52
57,2021-07-01 18:30:00,2021-07-01 18:30:00,0.12,0.39
58,2021-07-01 20:00:00,2021-07-01 20:00:00,0.12,0.39
59,2021-07-01 21:15:00,2021-07-01 21:15:00,0.12,0.4
60,2021-07-01 22:45:00,2021-07-01 22:45:00,0.12,0.4
61,2021-07-02 00:15:00,2021-07-02 00:15:00,0.12,0.4
62,2021-07-02 01:45:00,2021-07-02 02:00:00,0.47,0.4
63,2021-07-02 03:30:00,2021-07-02 03:30:00,0.12,0.4
64,2021-07-02 05:15:00,2021-07-02 05:15:00,0.12,0.4
65,2021-07-02 17:30:00,2021-07-02 17:30:00,0.12,0.39
66,2021-07-02 19:15:00,2021-07-02 19:15:00,0.12,0.37
67,2021-07-02 20:15:00,2021-07-02 20:15:00,0.12,0.4
68,2021-07-02 21:30:00,2021-07-02 21:30:00,0.12,0.4
69,2021-07-02 22:45:00,2021-07-02 22:45:00,0.12,0.33
70,2021-07-03 00:15:00,2021-07-03 00:15:00,0.12,0.4
71,2021-07-03 01:30:00,2021-07-03 01:30:00,0.12,0.38
72,2021-07-03 02:45:00,2021-07-03 02:45:00,0.12,0.33
73,2021-07-03 04:15:00,2021-07-03 04:15:00,0.12,0.39
74,2021-07-03 15:30:00,2021-07-03 15:45:00,0.36,0.39
75,2021-07-03 17:15:00,2021-07-03 17:15:00,0.12,0.4
76,2021-07-03 18:45:00,2021-07-03 18:45:00,0.12,0.4
77,2021-07-03 20:30:00,2021-07-03 20:30:00,0.12,0.4
78,2021-07-03 22:00:00,2021-07-03 22:00:00,0.12,0.39
79,2021-07-03 23:45:00,2021-07-03 23:45:00,0.12,0.41
80,2021-07-04 02:00:00,2021-07-04 02:00:00,0.12,0.4
81,2021-07-04 03:45:00,2021-07-04 04:00:00,0.4,0.4
82,2021-07-04 05:45:00,2021-07-04 05:45:00,0.12,0.41
83,2021-07-04 15:00:00,2021-07-04 15:00:00,0.12,0.59
