cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-08 00:00:00,2021-06-08 00:00:00,0.12,0.22
1,2021-06-08 01:00:00,2021-06-08 01:15:00,0.32,1.39
2,2021-06-08 03:00:00,2021-06-08 03:00:00,0.12,0.22
3,2021-06-08 04:00:00,2021-06-08 05:00:00,1.12,2.39
4,2021-06-08 06:00:00,2021-06-08 06:00:00,0.12,0.23
5,2021-06-08 08:00:00,2021-06-08 08:00:00,0.12,0.22
6,2021-06-08 10:45:00,2021-06-08 10:45:00,0.12,0.22
7,2021-06-08 12:30:00,2021-06-08 12:30:00,0.12,0.16
8,2021-06-08 13:30:00,2021-06-08 13:30:00,0.12,0.24
9,2021-06-08 15:15:00,2021-06-08 15:15:00,0.12,0.22
10,2021-06-08 17:15:00,2021-06-08 17:15:00,0.12,0.22
11,2021-06-08 18:00:00,2021-06-08 18:45:00,0.99,0.9
12,2021-06-08 19:30:00,2021-06-08 19:30:00,0.12,0.22
13,2021-06-08 20:15:00,2021-06-08 20:45:00,0.75,3.7
14,2021-06-08 22:00:00,2021-06-08 22:00:00,0.12,0.22
15,2021-06-08 23:30:00,2021-06-08 23:45:00,0.45,1.34
16,2021-06-09 00:45:00,2021-06-09 00:45:00,0.12,0.23
17,2021-06-09 03:15:00,2021-06-09 04:00:00,0.78,1.43
18,2021-06-09 05:45:00,2021-06-09 05:45:00,0.12,0.23
19,2021-06-09 07:15:00,2021-06-09 07:15:00,0.12,0.23
20,2021-06-09 10:00:00,2021-06-09 10:00:00,0.12,0.24
21,2021-06-09 11:45:00,2021-06-09 12:00:00,0.43,2.2
22,2021-06-09 13:00:00,2021-06-09 13:00:00,0.12,0.21
23,2021-06-09 14:15:00,2021-06-09 14:15:00,0.12,0.2
24,2021-06-09 17:15:00,2021-06-09 17:15:00,0.12,0.22
25,2021-06-09 18:45:00,2021-06-09 19:00:00,0.35,1.53
26,2021-06-09 19:30:00,2021-06-09 19:30:00,0.12,0.22
27,2021-06-09 20:00:00,2021-06-09 20:15:00,0.32,1.43
28,2021-06-09 20:45:00,2021-06-09 20:45:00,0.12,0.19
29,2021-06-09 21:30:00,2021-06-09 21:45:00,0.32,1.43
30,2021-06-09 23:30:00,2021-06-09 23:45:00,0.49,1.54
31,2021-06-10 00:45:00,2021-06-10 00:45:00,0.12,0.21
32,2021-06-10 01:30:00,2021-06-10 01:45:00,0.38,1.24
33,2021-06-10 02:45:00,2021-06-10 02:45:00,0.12,0.2
34,2021-06-10 03:15:00,2021-06-10 03:30:00,0.43,1.53
35,2021-06-10 04:30:00,2021-06-10 04:30:00,0.12,0.21
36,2021-06-10 05:45:00,2021-06-10 05:45:00,0.12,0.2
37,2021-06-10 08:15:00,2021-06-10 08:15:00,0.12,0.2
38,2021-06-10 10:00:00,2021-06-10 10:00:00,0.12,0.2
39,2021-06-10 11:45:00,2021-06-10 11:45:00,0.12,0.2
40,2021-06-10 13:30:00,2021-06-10 13:30:00,0.12,0.2
41,2021-06-10 15:00:00,2021-06-10 15:30:00,0.34,3.34
42,2021-06-10 17:15:00,2021-06-10 17:15:00,0.12,0.22
43,2021-06-10 18:45:00,2021-06-10 18:45:00,0.12,0.22
44,2021-06-10 20:00:00,2021-06-10 20:00:00,0.12,0.18
45,2021-06-10 21:00:00,2021-06-10 21:15:00,0.28,1.84
46,2021-06-10 21:45:00,2021-06-10 21:45:00,0.12,0.16
47,2021-06-10 23:15:00,2021-06-10 23:15:00,0.12,0.97
48,2021-06-11 01:15:00,2021-06-11 01:45:00,0.57,1.65
49,2021-06-11 03:45:00,2021-06-11 04:00:00,0.47,1.09
