cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-30 23:00:00,2021-04-30 23:15:00,0.34,1.73
1,2021-04-30 23:45:00,2021-05-01 00:00:00,0.41,1.6
2,2021-05-01 00:30:00,2021-05-01 00:45:00,0.41,1.47
3,2021-05-01 01:15:00,2021-05-01 02:00:00,1.0,3.15
4,2021-05-01 02:30:00,2021-05-01 02:45:00,0.38,1.52
5,2021-05-01 03:15:00,2021-05-01 03:30:00,0.49,1.45
6,2021-05-01 04:00:00,2021-05-01 04:15:00,0.33,1.41
7,2021-05-01 04:45:00,2021-05-01 05:00:00,0.29,1.56
8,2021-05-01 05:30:00,2021-05-01 05:45:00,0.28,1.44
9,2021-05-01 06:15:00,2021-05-01 06:15:00,0.12,1.21
10,2021-05-01 07:00:00,2021-05-01 07:15:00,0.31,1.23
11,2021-05-01 08:15:00,2021-05-01 08:30:00,0.3,1.06
12,2021-05-01 09:45:00,2021-05-01 10:00:00,0.37,1.34
13,2021-05-01 10:45:00,2021-05-01 11:00:00,0.31,1.23
14,2021-05-01 11:45:00,2021-05-01 12:00:00,0.46,1.23
15,2021-05-01 12:45:00,2021-05-01 13:00:00,0.42,1.19
16,2021-05-01 13:45:00,2021-05-01 14:00:00,0.29,1.32
17,2021-05-01 14:30:00,2021-05-01 14:45:00,0.31,1.42
18,2021-05-01 15:15:00,2021-05-01 15:30:00,0.27,1.42
19,2021-05-01 16:00:00,2021-05-01 16:00:00,0.12,1.26
20,2021-05-01 16:45:00,2021-05-01 16:45:00,0.12,1.31
21,2021-05-01 17:15:00,2021-05-01 17:30:00,0.29,1.37
22,2021-05-01 18:00:00,2021-05-01 18:15:00,0.36,1.57
23,2021-05-01 18:45:00,2021-05-01 19:00:00,0.42,1.55
24,2021-05-01 19:30:00,2021-05-01 19:45:00,0.42,1.48
25,2021-05-01 20:15:00,2021-05-01 21:00:00,1.0,3.22
26,2021-05-01 21:30:00,2021-05-01 21:45:00,0.35,1.61
27,2021-05-01 22:15:00,2021-05-01 22:30:00,0.47,1.61
28,2021-05-01 23:00:00,2021-05-01 23:15:00,0.45,1.91
29,2021-05-01 23:45:00,2021-05-02 00:00:00,0.42,1.73
30,2021-05-02 00:30:00,2021-05-02 01:15:00,1.0,3.08
31,2021-05-02 01:45:00,2021-05-02 02:00:00,0.35,1.85
32,2021-05-02 02:30:00,2021-05-02 02:45:00,0.37,1.67
33,2021-05-02 03:15:00,2021-05-02 03:30:00,0.49,1.56
34,2021-05-02 04:00:00,2021-05-02 04:15:00,0.34,1.57
35,2021-05-02 04:45:00,2021-05-02 05:30:00,1.0,3.12
36,2021-05-02 06:15:00,2021-05-02 06:15:00,0.12,1.32
37,2021-05-02 07:00:00,2021-05-02 07:15:00,0.36,1.28
38,2021-05-02 07:45:00,2021-05-02 08:00:00,0.31,1.4
39,2021-05-02 09:15:00,2021-05-02 09:30:00,0.45,1.36
40,2021-05-02 11:15:00,2021-05-02 11:30:00,0.42,1.51
41,2021-05-02 12:00:00,2021-05-02 12:15:00,0.37,1.48
42,2021-05-02 13:15:00,2021-05-02 13:30:00,0.35,1.7
43,2021-05-02 14:00:00,2021-05-02 14:15:00,0.4,1.64
44,2021-05-02 15:30:00,2021-05-02 15:45:00,0.3,1.36
45,2021-05-02 16:30:00,2021-05-02 17:30:00,1.17,4.06
46,2021-05-02 18:00:00,2021-05-02 18:15:00,0.49,1.89
47,2021-05-02 18:45:00,2021-05-02 19:00:00,0.48,1.81
48,2021-05-02 19:30:00,2021-05-02 19:45:00,0.49,1.96
49,2021-05-02 20:15:00,2021-05-02 20:30:00,0.46,2.11
50,2021-05-02 21:00:00,2021-05-02 21:15:00,0.43,1.78
51,2021-05-02 21:45:00,2021-05-02 22:00:00,0.42,2.0
52,2021-05-02 22:30:00,2021-05-02 22:45:00,0.45,1.61
53,2021-05-02 23:15:00,2021-05-02 23:30:00,0.44,1.76
54,2021-05-03 00:00:00,2021-05-03 00:15:00,0.44,2.5
55,2021-05-03 00:45:00,2021-05-03 01:15:00,0.43,2.43
56,2021-05-03 01:45:00,2021-05-03 02:15:00,0.62,3.44
57,2021-05-03 02:45:00,2021-05-03 04:15:00,1.59,6.56
58,2021-05-03 04:45:00,2021-05-03 06:00:00,1.44,5.59
59,2021-05-03 06:45:00,2021-05-03 06:45:00,0.12,1.16
60,2021-05-03 10:15:00,2021-05-03 10:30:00,0.35,1.07
61,2021-05-03 17:15:00,2021-05-03 17:15:00,0.12,1.29
62,2021-05-03 18:00:00,2021-05-03 18:45:00,1.0,3.13
63,2021-05-03 19:15:00,2021-05-03 19:30:00,0.37,1.55
64,2021-05-03 20:00:00,2021-05-03 20:15:00,0.41,1.72
65,2021-05-03 20:45:00,2021-05-03 21:00:00,0.47,1.83
66,2021-05-03 21:30:00,2021-05-03 21:45:00,0.46,1.72
67,2021-05-03 22:15:00,2021-05-03 22:30:00,0.47,2.33
68,2021-05-03 23:00:00,2021-05-04 01:00:00,2.02,6.82
