cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:00:00,2021-01-23 23:45:00,0.81,4.44
1,2021-01-24 00:30:00,2021-01-24 01:30:00,1.0,5.36
2,2021-01-24 02:30:00,2021-01-24 03:30:00,1.07,5.72
3,2021-01-24 04:15:00,2021-01-24 06:00:00,1.77,9.27
4,2021-01-24 06:45:00,2021-01-24 08:45:00,2.06,10.67
5,2021-01-24 09:30:00,2021-01-24 10:30:00,1.04,5.53
6,2021-01-24 11:15:00,2021-01-24 12:00:00,0.77,4.08
7,2021-01-24 13:30:00,2021-01-24 14:15:00,0.74,3.91
8,2021-01-24 15:30:00,2021-01-24 16:15:00,0.94,4.7
9,2021-01-24 17:15:00,2021-01-24 19:00:00,1.9,9.58
10,2021-01-24 20:00:00,2021-01-24 22:00:00,2.12,10.83
11,2021-01-24 23:00:00,2021-01-25 00:45:00,1.89,9.75
12,2021-01-25 01:45:00,2021-01-25 03:30:00,1.94,10.13
13,2021-01-25 04:30:00,2021-01-25 05:30:00,1.2,6.39
14,2021-01-25 06:30:00,2021-01-25 08:15:00,1.81,9.59
15,2021-01-25 09:00:00,2021-01-25 10:30:00,1.6,8.51
16,2021-01-25 11:30:00,2021-01-25 12:15:00,0.94,5.04
17,2021-01-25 13:15:00,2021-01-25 14:15:00,0.87,4.66
18,2021-01-25 15:00:00,2021-01-25 16:45:00,1.74,8.91
19,2021-01-25 17:30:00,2021-01-25 18:45:00,1.21,6.43
20,2021-01-25 19:30:00,2021-01-25 20:45:00,1.34,7.24
21,2021-01-25 21:30:00,2021-01-25 23:15:00,1.73,9.19
22,2021-01-26 00:00:00,2021-01-26 01:30:00,1.46,7.83
23,2021-01-26 02:00:00,2021-01-26 03:30:00,1.49,7.92
24,2021-01-26 04:15:00,2021-01-26 07:45:00,3.59,18.84
25,2021-01-26 08:45:00,2021-01-26 10:30:00,1.95,10.29
26,2021-01-26 11:30:00,2021-01-26 12:30:00,0.99,5.25
27,2021-01-26 13:30:00,2021-01-26 14:30:00,1.19,6.22
28,2021-01-26 15:30:00,2021-01-26 17:15:00,1.76,9.17
29,2021-01-26 18:00:00,2021-01-26 20:00:00,1.83,9.42
30,2021-01-26 20:45:00,2021-01-26 22:45:00,2.0,10.26
31,2021-01-26 23:30:00,2021-01-27 02:00:00,2.44,12.4
32,2021-01-27 02:30:00,2021-01-27 05:30:00,3.12,15.91
33,2021-01-27 06:15:00,2021-01-27 09:15:00,3.14,16.08
34,2021-01-27 09:45:00,2021-01-27 11:15:00,1.57,8.19
35,2021-01-27 12:00:00,2021-01-27 13:30:00,1.58,8.28
36,2021-01-27 14:15:00,2021-01-27 16:30:00,2.18,11.41
37,2021-01-27 17:00:00,2021-01-27 18:30:00,1.6,8.4
38,2021-01-27 19:15:00,2021-01-27 20:30:00,1.25,6.67
39,2021-01-27 21:15:00,2021-01-27 23:00:00,1.77,9.38
40,2021-01-27 23:45:00,2021-01-28 01:45:00,1.95,10.23
41,2021-01-28 02:30:00,2021-01-28 03:45:00,1.25,6.59
42,2021-01-28 04:45:00,2021-01-28 06:00:00,1.38,7.26
43,2021-01-28 06:45:00,2021-01-28 08:00:00,1.08,5.75
44,2021-01-28 08:45:00,2021-01-28 09:30:00,0.85,4.69
45,2021-01-28 10:30:00,2021-01-28 11:15:00,0.72,3.97
46,2021-01-28 12:15:00,2021-01-28 13:00:00,0.63,3.49
47,2021-01-28 14:15:00,2021-01-28 14:45:00,0.57,3.2
48,2021-01-28 16:00:00,2021-01-28 16:30:00,0.53,2.91
49,2021-01-28 18:00:00,2021-01-28 18:30:00,0.54,2.97
50,2021-01-28 20:00:00,2021-01-28 20:30:00,0.55,3.07
51,2021-01-28 21:45:00,2021-01-28 22:15:00,0.51,2.78
52,2021-01-28 23:45:00,2021-01-29 00:15:00,0.49,2.72
53,2021-01-29 01:30:00,2021-01-29 02:00:00,0.53,2.88
54,2021-01-29 03:15:00,2021-01-29 04:00:00,0.59,3.2
55,2021-01-29 05:15:00,2021-01-29 05:45:00,0.59,3.2
56,2021-01-29 07:00:00,2021-01-29 07:30:00,0.56,3.05
57,2021-01-29 08:45:00,2021-01-29 09:15:00,0.59,3.19
58,2021-01-29 10:30:00,2021-01-29 11:00:00,0.58,3.14
59,2021-01-29 12:15:00,2021-01-29 12:45:00,0.63,3.35
60,2021-01-29 14:00:00,2021-01-29 14:30:00,0.54,2.88
61,2021-01-29 16:00:00,2021-01-29 16:30:00,0.59,3.15
62,2021-01-29 17:30:00,2021-01-29 18:15:00,0.69,3.66
63,2021-01-29 19:15:00,2021-01-29 20:00:00,0.75,3.94
64,2021-01-29 21:00:00,2021-01-29 21:45:00,0.76,4.01
65,2021-01-29 22:45:00,2021-01-29 23:30:00,0.61,3.23
66,2021-01-30 00:30:00,2021-01-30 01:15:00,0.78,4.0
67,2021-01-30 02:00:00,2021-01-30 02:45:00,0.77,4.04
68,2021-01-30 03:45:00,2021-01-30 04:30:00,0.73,3.77
69,2021-01-30 05:30:00,2021-01-30 06:15:00,0.86,4.42
70,2021-01-30 07:15:00,2021-01-30 08:30:00,1.28,6.58
71,2021-01-30 09:30:00,2021-01-30 10:15:00,0.67,3.59
72,2021-01-30 11:15:00,2021-01-30 12:00:00,0.73,3.85
73,2021-01-30 13:00:00,2021-01-30 13:45:00,0.74,3.89
74,2021-01-30 14:45:00,2021-01-30 15:30:00,0.81,4.23
75,2021-01-30 16:30:00,2021-01-30 17:15:00,0.79,4.11
76,2021-01-30 18:30:00,2021-01-30 19:15:00,0.79,4.18
77,2021-01-30 20:15:00,2021-01-30 20:45:00,0.68,3.61
78,2021-01-30 21:45:00,2021-01-30 22:30:00,0.8,4.2
79,2021-01-30 23:45:00,2021-01-31 00:45:00,1.08,5.67
80,2021-01-31 01:45:00,2021-01-31 02:30:00,0.8,4.15
81,2021-01-31 03:30:00,2021-01-31 04:15:00,0.86,4.46
82,2021-01-31 05:15:00,2021-01-31 06:15:00,1.03,5.26
83,2021-01-31 07:30:00,2021-01-31 08:15:00,0.77,4.11
84,2021-01-31 09:15:00,2021-01-31 09:45:00,0.73,3.81
85,2021-01-31 11:00:00,2021-01-31 11:45:00,0.75,3.94
86,2021-01-31 12:45:00,2021-01-31 13:30:00,0.63,3.29
87,2021-01-31 14:30:00,2021-01-31 15:15:00,0.71,3.63
88,2021-01-31 16:30:00,2021-01-31 17:30:00,1.06,5.35
89,2021-01-31 18:30:00,2021-01-31 19:30:00,1.07,5.52
90,2021-01-31 20:45:00,2021-01-31 21:30:00,0.73,3.89
91,2021-01-31 22:30:00,2021-01-31 23:00:00,0.66,3.47
92,2021-02-01 00:00:00,2021-02-01 00:45:00,0.81,4.24
93,2021-02-01 01:45:00,2021-02-01 02:30:00,0.79,4.17
94,2021-02-01 03:45:00,2021-02-01 04:30:00,0.82,4.37
95,2021-02-01 05:30:00,2021-02-01 06:00:00,0.74,3.92
96,2021-02-01 07:00:00,2021-02-01 07:45:00,0.79,4.18
97,2021-02-01 08:45:00,2021-02-01 09:30:00,0.74,3.96
98,2021-02-01 10:30:00,2021-02-01 11:15:00,0.78,4.13
99,2021-02-01 12:30:00,2021-02-01 13:15:00,0.69,3.67
100,2021-02-01 14:15:00,2021-02-01 15:00:00,0.72,3.77
101,2021-02-01 16:15:00,2021-02-01 16:45:00,0.66,3.42
102,2021-02-01 17:45:00,2021-02-01 18:30:00,0.64,3.31
103,2021-02-01 19:30:00,2021-02-01 20:00:00,0.6,3.17
104,2021-02-01 21:15:00,2021-02-01 21:45:00,0.61,3.31
105,2021-02-01 22:45:00,2021-02-01 23:30:00,0.7,3.74
106,2021-02-02 00:45:00,2021-02-02 01:15:00,0.66,3.53
107,2021-02-02 02:30:00,2021-02-02 03:00:00,0.58,3.17
108,2021-02-02 04:00:00,2021-02-02 04:45:00,0.61,3.31
109,2021-02-02 05:45:00,2021-02-02 06:15:00,0.59,3.19
110,2021-02-02 07:30:00,2021-02-02 08:00:00,0.64,3.43
111,2021-02-02 09:15:00,2021-02-02 09:45:00,0.55,2.95
112,2021-02-02 11:15:00,2021-02-02 11:45:00,0.52,2.92
113,2021-02-02 13:00:00,2021-02-02 13:30:00,0.51,2.77
114,2021-02-02 15:00:00,2021-02-02 15:15:00,0.48,2.56
115,2021-02-02 16:45:00,2021-02-02 17:15:00,0.48,2.66
116,2021-02-02 18:30:00,2021-02-02 19:00:00,0.47,2.56
117,2021-02-02 20:30:00,2021-02-02 21:00:00,0.49,2.7
118,2021-02-02 22:30:00,2021-02-02 23:00:00,0.5,2.74
119,2021-02-03 00:30:00,2021-02-03 01:00:00,0.51,2.74
120,2021-02-03 02:30:00,2021-02-03 03:00:00,0.52,2.8
121,2021-02-03 04:30:00,2021-02-03 05:15:00,0.57,3.03
122,2021-02-03 06:30:00,2021-02-03 07:00:00,0.57,3.06
123,2021-02-03 08:15:00,2021-02-03 08:45:00,0.61,3.18
124,2021-02-03 10:00:00,2021-02-03 10:30:00,0.6,3.17
125,2021-02-03 12:00:00,2021-02-03 12:30:00,0.47,2.59
126,2021-02-03 13:45:00,2021-02-03 14:15:00,0.5,2.7
127,2021-02-03 15:30:00,2021-02-03 16:00:00,0.53,2.84
128,2021-02-03 17:00:00,2021-02-03 17:45:00,0.58,3.13
129,2021-02-03 19:00:00,2021-02-03 19:30:00,0.59,3.16
130,2021-02-03 20:45:00,2021-02-03 21:15:00,0.52,2.83
131,2021-02-03 22:30:00,2021-02-03 23:15:00,0.54,2.94
132,2021-02-04 00:15:00,2021-02-04 01:00:00,0.61,3.3
133,2021-02-04 02:00:00,2021-02-04 02:45:00,0.72,3.79
134,2021-02-04 03:45:00,2021-02-04 04:30:00,0.94,4.94
135,2021-02-04 05:30:00,2021-02-04 06:30:00,1.01,5.3
136,2021-02-04 07:15:00,2021-02-04 08:15:00,0.87,4.53
137,2021-02-04 09:00:00,2021-02-04 09:45:00,0.77,4.12
138,2021-02-04 10:45:00,2021-02-04 11:15:00,0.63,3.4
139,2021-02-04 12:45:00,2021-02-04 13:15:00,0.55,2.96
140,2021-02-04 14:30:00,2021-02-04 15:00:00,0.52,2.75
141,2021-02-04 16:15:00,2021-02-04 17:00:00,0.62,3.26
142,2021-02-04 18:15:00,2021-02-04 18:45:00,0.68,3.5
143,2021-02-04 20:00:00,2021-02-04 20:45:00,0.76,3.92
144,2021-02-04 21:45:00,2021-02-04 23:00:00,1.15,5.89
145,2021-02-05 00:00:00,2021-02-05 00:45:00,0.88,4.58
146,2021-02-05 01:45:00,2021-02-05 03:15:00,1.5,7.75
