cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-23 00:15:00,1.44,6.61
1,2021-01-23 00:45:00,2021-01-23 01:45:00,1.25,2.12
2,2021-01-23 02:15:00,2021-01-23 02:15:00,0.12,0.59
3,2021-01-23 02:45:00,2021-01-23 03:00:00,0.42,0.59
4,2021-01-23 03:30:00,2021-01-23 03:30:00,0.12,0.62
5,2021-01-23 04:00:00,2021-01-23 04:45:00,1.0,1.22
6,2021-01-23 05:15:00,2021-01-23 05:15:00,0.12,0.56
7,2021-01-23 05:45:00,2021-01-23 06:30:00,1.0,1.15
8,2021-01-23 07:00:00,2021-01-23 07:00:00,0.12,0.58
9,2021-01-23 07:30:00,2021-01-23 07:30:00,0.12,0.52
10,2021-01-23 08:00:00,2021-01-23 08:15:00,0.43,0.58
11,2021-01-23 08:45:00,2021-01-23 09:00:00,0.46,1.16
12,2021-01-23 09:30:00,2021-01-23 09:30:00,0.12,0.48
13,2021-01-23 10:00:00,2021-01-23 10:00:00,0.12,0.48
14,2021-01-23 10:30:00,2021-01-23 10:30:00,0.12,0.45
15,2021-01-23 11:00:00,2021-01-23 11:15:00,0.38,0.46
16,2021-01-23 11:45:00,2021-01-23 11:45:00,0.12,0.47
17,2021-01-23 12:15:00,2021-01-23 12:30:00,0.4,0.57
18,2021-01-23 13:00:00,2021-01-23 13:00:00,0.12,0.47
19,2021-01-23 13:30:00,2021-01-23 13:30:00,0.12,0.45
20,2021-01-23 14:00:00,2021-01-23 14:00:00,0.12,0.5
21,2021-01-23 14:30:00,2021-01-23 14:45:00,0.35,0.62
22,2021-01-23 15:15:00,2021-01-23 15:30:00,0.36,0.46
23,2021-01-23 16:00:00,2021-01-23 16:00:00,0.12,0.5
24,2021-01-23 16:30:00,2021-01-23 16:30:00,0.12,0.49
25,2021-01-23 17:00:00,2021-01-23 17:30:00,0.61,1.24
26,2021-01-23 18:00:00,2021-01-23 18:00:00,0.12,0.49
27,2021-01-23 18:30:00,2021-01-23 18:30:00,0.12,0.51
28,2021-01-23 19:00:00,2021-01-24 02:45:00,8.0,20.62
29,2021-01-24 03:15:00,2021-01-24 03:15:00,0.12,0.42
30,2021-01-24 03:45:00,2021-01-24 03:45:00,0.12,0.5
31,2021-01-24 04:15:00,2021-01-24 04:15:00,0.12,0.6
32,2021-01-24 04:45:00,2021-01-24 04:45:00,0.12,0.51
33,2021-01-24 05:15:00,2021-01-24 05:15:00,0.12,0.47
34,2021-01-24 05:45:00,2021-01-24 05:45:00,0.12,0.51
35,2021-01-24 06:15:00,2021-01-24 06:15:00,0.12,0.54
36,2021-01-24 06:45:00,2021-01-24 08:00:00,1.5,2.03
37,2021-01-24 08:30:00,2021-01-24 08:30:00,0.12,0.55
38,2021-01-24 09:00:00,2021-01-24 09:00:00,0.12,0.53
39,2021-01-24 09:30:00,2021-01-24 09:45:00,0.38,0.62
40,2021-01-24 10:15:00,2021-01-24 10:15:00,0.12,0.5
41,2021-01-24 10:45:00,2021-01-24 10:45:00,0.12,0.46
42,2021-01-24 11:15:00,2021-01-24 11:30:00,0.44,0.51
43,2021-01-24 12:00:00,2021-01-24 13:00:00,1.25,1.85
44,2021-01-24 13:30:00,2021-01-24 13:30:00,0.12,0.57
45,2021-01-24 14:00:00,2021-01-24 14:15:00,0.35,0.45
46,2021-01-24 14:45:00,2021-01-24 14:45:00,0.12,0.55
47,2021-01-24 15:15:00,2021-01-24 16:00:00,1.0,1.32
48,2021-01-24 16:30:00,2021-01-24 16:30:00,0.12,0.56
49,2021-01-24 17:00:00,2021-01-24 17:00:00,0.12,0.66
50,2021-01-24 17:30:00,2021-01-24 18:15:00,1.0,1.42
51,2021-01-24 18:45:00,2021-01-24 18:45:00,0.12,0.72
52,2021-01-24 19:15:00,2021-01-24 20:00:00,1.0,1.48
53,2021-01-24 20:30:00,2021-01-24 20:30:00,0.12,0.6
54,2021-01-24 21:00:00,2021-01-25 00:30:00,3.75,13.26
55,2021-01-25 01:00:00,2021-01-25 01:15:00,0.4,1.2
56,2021-01-25 01:45:00,2021-01-25 05:00:00,3.5,4.07
57,2021-01-25 05:30:00,2021-01-25 05:30:00,0.12,0.56
58,2021-01-25 06:00:00,2021-01-25 06:00:00,0.12,0.44
59,2021-01-25 06:30:00,2021-01-25 08:15:00,2.0,2.31
60,2021-01-25 08:45:00,2021-01-25 09:45:00,1.25,2.04
61,2021-01-25 11:00:00,2021-01-25 11:00:00,0.12,0.65
62,2021-01-25 11:30:00,2021-01-25 11:45:00,0.34,0.55
63,2021-01-25 12:15:00,2021-01-25 12:15:00,0.12,0.49
64,2021-01-25 12:45:00,2021-01-25 12:45:00,0.12,0.5
65,2021-01-25 13:15:00,2021-01-25 13:15:00,0.12,0.54
66,2021-01-25 13:45:00,2021-01-25 13:45:00,0.12,0.49
67,2021-01-25 14:15:00,2021-01-25 14:30:00,0.41,0.55
68,2021-01-25 15:00:00,2021-01-25 15:00:00,0.12,0.44
69,2021-01-25 15:30:00,2021-01-25 15:30:00,0.12,0.51
70,2021-01-25 16:00:00,2021-01-25 16:00:00,0.12,0.56
71,2021-01-25 16:30:00,2021-01-25 16:30:00,0.12,0.63
72,2021-01-25 18:15:00,2021-01-25 19:00:00,1.0,1.65
73,2021-01-25 19:30:00,2021-01-25 19:30:00,0.12,0.57
74,2021-01-25 20:00:00,2021-01-25 20:00:00,0.12,0.51
75,2021-01-25 20:30:00,2021-01-25 20:30:00,0.12,0.54
76,2021-01-25 21:00:00,2021-01-25 21:00:00,0.12,0.53
77,2021-01-25 21:30:00,2021-01-26 01:45:00,4.49,17.99
78,2021-01-26 02:15:00,2021-01-26 03:30:00,1.5,2.52
79,2021-01-26 04:00:00,2021-01-26 04:45:00,1.0,1.58
80,2021-01-26 05:15:00,2021-01-26 05:15:00,0.12,0.62
81,2021-01-26 05:45:00,2021-01-26 06:30:00,1.0,1.44
82,2021-01-26 07:00:00,2021-01-26 07:00:00,0.12,0.68
83,2021-01-26 07:30:00,2021-01-26 08:00:00,0.75,1.56
84,2021-01-26 08:30:00,2021-01-26 09:45:00,1.5,2.01
85,2021-01-26 11:00:00,2021-01-26 11:45:00,1.0,1.57
86,2021-01-26 12:15:00,2021-01-26 12:15:00,0.12,0.56
87,2021-01-26 12:45:00,2021-01-26 12:45:00,0.12,0.56
88,2021-01-26 13:15:00,2021-01-26 13:15:00,0.12,0.56
89,2021-01-26 13:45:00,2021-01-26 13:45:00,0.12,0.51
90,2021-01-26 14:15:00,2021-01-26 14:15:00,0.12,0.46
91,2021-01-26 14:45:00,2021-01-26 16:00:00,1.5,1.79
92,2021-01-26 16:30:00,2021-01-26 16:30:00,0.12,0.58
93,2021-01-26 18:15:00,2021-01-26 18:30:00,0.47,1.21
94,2021-01-26 19:00:00,2021-01-26 19:45:00,1.0,1.58
95,2021-01-26 20:15:00,2021-01-26 20:15:00,0.12,0.7
96,2021-01-26 20:45:00,2021-01-27 02:15:00,5.68,20.4
97,2021-01-27 02:45:00,2021-01-27 04:15:00,1.75,3.11
98,2021-01-27 04:45:00,2021-01-27 05:30:00,1.0,1.76
99,2021-01-27 06:00:00,2021-01-27 06:45:00,0.9,2.24
100,2021-01-27 07:15:00,2021-01-27 08:30:00,1.5,2.07
101,2021-01-27 09:00:00,2021-01-27 09:00:00,0.12,0.71
102,2021-01-27 09:30:00,2021-01-27 09:30:00,0.12,0.54
103,2021-01-27 11:00:00,2021-01-27 11:45:00,1.0,1.63
104,2021-01-27 12:15:00,2021-01-27 12:15:00,0.12,0.59
105,2021-01-27 12:45:00,2021-01-27 12:45:00,0.12,0.57
106,2021-01-27 13:15:00,2021-01-27 13:15:00,0.12,0.55
107,2021-01-27 13:45:00,2021-01-27 14:45:00,1.25,1.92
108,2021-01-27 15:15:00,2021-01-27 15:15:00,0.12,0.54
109,2021-01-27 15:45:00,2021-01-27 15:45:00,0.12,0.46
110,2021-01-27 16:15:00,2021-01-27 16:15:00,0.12,0.48
111,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,0.37
112,2021-01-27 18:15:00,2021-01-27 19:00:00,1.0,1.62
113,2021-01-27 19:30:00,2021-01-27 19:30:00,0.12,0.63
114,2021-01-27 20:00:00,2021-01-27 20:00:00,0.12,0.62
115,2021-01-27 20:30:00,2021-01-28 00:00:00,3.54,14.31
116,2021-01-28 00:30:00,2021-01-28 00:30:00,0.12,0.48
117,2021-01-28 01:00:00,2021-01-28 01:45:00,1.0,1.77
118,2021-01-28 02:30:00,2021-01-28 02:30:00,0.12,0.5
119,2021-01-28 03:00:00,2021-01-28 03:00:00,0.12,0.44
120,2021-01-28 03:30:00,2021-01-28 06:15:00,3.0,2.97
121,2021-01-28 06:45:00,2021-01-28 07:15:00,0.56,1.4
122,2021-01-28 07:45:00,2021-01-28 07:45:00,0.12,0.54
123,2021-01-28 08:15:00,2021-01-28 08:30:00,0.41,0.44
124,2021-01-28 09:00:00,2021-01-28 09:00:00,0.12,0.52
125,2021-01-28 09:45:00,2021-01-28 09:45:00,0.12,0.48
126,2021-01-28 11:00:00,2021-01-28 11:00:00,0.12,0.5
127,2021-01-28 11:45:00,2021-01-28 11:45:00,0.12,0.45
128,2021-01-28 12:30:00,2021-01-28 12:30:00,0.12,0.56
129,2021-01-28 13:15:00,2021-01-28 13:30:00,0.44,0.44
130,2021-01-28 14:15:00,2021-01-28 14:15:00,0.12,0.38
131,2021-01-28 15:00:00,2021-01-28 15:00:00,0.12,0.38
132,2021-01-28 15:45:00,2021-01-28 16:00:00,0.37,0.46
133,2021-01-28 16:45:00,2021-01-28 16:45:00,0.12,0.43
134,2021-01-28 18:15:00,2021-01-28 18:15:00,0.12,0.43
135,2021-01-28 19:00:00,2021-01-28 19:00:00,0.12,0.38
136,2021-01-28 19:45:00,2021-01-28 20:00:00,0.37,0.4
137,2021-01-28 20:45:00,2021-01-28 20:45:00,0.12,0.37
138,2021-01-28 21:30:00,2021-01-29 00:30:00,2.97,14.2
139,2021-01-29 01:00:00,2021-01-29 01:00:00,0.12,0.42
