cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-30 23:00:00,2021-02-01 21:45:00,47.0,94.17
1,2021-02-01 22:15:00,2021-02-02 21:45:00,23.75,38.74
2,2021-02-02 22:15:00,2021-02-03 21:45:00,23.68,35.6
3,2021-02-03 22:15:00,2021-02-05 09:30:00,35.44,71.66
4,2021-02-05 10:00:00,2021-02-05 10:00:00,0.12,0.56
5,2021-02-05 10:30:00,2021-02-05 10:45:00,0.49,0.5
6,2021-02-05 11:15:00,2021-02-05 12:00:00,0.97,1.12
7,2021-02-05 12:30:00,2021-02-17 07:45:00,283.41,872.52
8,2021-02-17 08:15:00,2021-02-17 08:15:00,0.12,0.26
9,2021-02-17 08:45:00,2021-02-17 08:45:00,0.12,0.26
10,2021-02-17 09:15:00,2021-02-17 09:15:00,0.12,0.2
11,2021-02-17 09:45:00,2021-02-19 12:15:00,50.62,113.77
12,2021-02-19 12:45:00,2021-02-20 08:30:00,20.0,46.53
13,2021-02-20 09:00:00,2021-02-20 09:45:00,1.0,0.84
14,2021-02-20 10:15:00,2021-02-20 10:15:00,0.12,0.26
15,2021-02-20 10:45:00,2021-02-20 11:30:00,1.0,0.78
16,2021-02-20 12:00:00,2021-02-20 12:15:00,0.5,0.52
17,2021-02-20 12:45:00,2021-02-21 07:30:00,18.87,47.76
18,2021-02-21 08:00:00,2021-02-21 08:30:00,0.66,1.0
19,2021-02-21 09:00:00,2021-02-21 09:00:00,0.12,0.58
20,2021-02-21 09:30:00,2021-02-21 09:45:00,0.43,0.47
21,2021-02-21 10:15:00,2021-02-21 10:15:00,0.12,0.28
22,2021-02-21 10:45:00,2021-02-21 11:15:00,0.64,0.71
23,2021-02-21 11:45:00,2021-02-21 12:00:00,0.5,0.54
24,2021-02-21 12:30:00,2021-02-21 13:00:00,0.68,0.82
25,2021-02-21 13:30:00,2021-02-21 14:15:00,0.95,1.03
26,2021-02-21 14:45:00,2021-02-22 09:15:00,18.61,51.83
27,2021-02-22 09:45:00,2021-02-22 14:30:00,4.92,4.37
28,2021-02-22 15:00:00,2021-02-23 08:45:00,18.0,43.15
29,2021-02-23 09:15:00,2021-02-23 09:15:00,0.12,0.27
