cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:00:00,2021-01-24 01:00:00,2.09,13.31
1,2021-01-24 01:30:00,2021-01-24 02:15:00,0.67,2.78
2,2021-01-24 03:15:00,2021-01-24 04:15:00,1.1,4.45
3,2021-01-24 05:00:00,2021-01-24 06:00:00,1.25,5.43
4,2021-01-24 06:45:00,2021-01-24 08:30:00,1.75,7.5
5,2021-01-24 09:30:00,2021-01-24 10:00:00,0.55,2.34
6,2021-01-24 12:15:00,2021-01-24 12:45:00,0.66,2.7
7,2021-01-24 14:45:00,2021-01-24 15:30:00,0.67,2.7
8,2021-01-24 16:00:00,2021-01-24 19:30:00,3.55,14.92
9,2021-01-24 20:15:00,2021-01-24 22:00:00,1.8,7.57
10,2021-01-24 22:45:00,2021-01-25 01:00:00,2.28,15.91
11,2021-01-25 02:30:00,2021-01-25 03:15:00,0.67,2.76
12,2021-01-25 04:15:00,2021-01-25 06:00:00,1.8,7.54
13,2021-01-25 06:30:00,2021-01-25 08:15:00,1.9,8.29
14,2021-01-25 09:15:00,2021-01-25 09:45:00,0.75,3.25
15,2021-01-25 11:15:00,2021-01-25 12:15:00,1.01,4.12
16,2021-01-25 13:30:00,2021-01-25 14:00:00,0.65,2.71
17,2021-01-25 15:00:00,2021-01-25 16:30:00,1.55,6.62
18,2021-01-25 18:15:00,2021-01-25 20:15:00,2.25,9.41
19,2021-01-25 21:00:00,2021-01-25 22:00:00,0.94,3.95
20,2021-01-25 22:45:00,2021-01-26 00:30:00,1.95,12.79
21,2021-01-26 01:00:00,2021-01-26 02:00:00,1.18,4.98
22,2021-01-26 03:15:00,2021-01-26 03:45:00,0.67,2.77
23,2021-01-26 04:30:00,2021-01-26 06:45:00,2.23,9.44
24,2021-01-26 07:15:00,2021-01-26 08:15:00,1.17,5.12
25,2021-01-26 09:00:00,2021-01-26 09:45:00,0.9,3.91
26,2021-01-26 11:45:00,2021-01-26 12:45:00,1.15,4.56
27,2021-01-26 14:15:00,2021-01-26 15:00:00,0.67,2.72
28,2021-01-26 15:30:00,2021-01-26 16:45:00,1.42,5.99
29,2021-01-26 18:15:00,2021-01-26 21:30:00,3.44,14.47
30,2021-01-26 22:45:00,2021-01-27 01:15:00,2.52,19.51
31,2021-01-27 01:45:00,2021-01-27 04:00:00,2.22,9.05
32,2021-01-27 04:30:00,2021-01-27 06:45:00,2.29,9.83
33,2021-01-27 07:30:00,2021-01-27 09:15:00,1.98,8.37
34,2021-01-27 11:45:00,2021-01-27 12:15:00,0.67,2.74
35,2021-01-27 13:45:00,2021-01-27 14:45:00,1.12,4.43
36,2021-01-27 15:30:00,2021-01-27 16:45:00,1.43,6.13
37,2021-01-27 18:15:00,2021-01-27 19:45:00,1.64,7.08
38,2021-01-27 20:45:00,2021-01-27 21:15:00,0.66,2.92
39,2021-01-27 22:45:00,2021-01-28 01:00:00,2.47,16.94
40,2021-01-28 02:15:00,2021-01-28 02:45:00,0.66,2.79
41,2021-01-28 04:30:00,2021-01-28 06:45:00,2.31,9.8
42,2021-01-28 07:45:00,2021-01-28 09:15:00,1.51,6.64
43,2021-01-28 13:30:00,2021-01-28 13:45:00,0.49,2.12
44,2021-01-28 15:30:00,2021-01-28 16:15:00,0.83,3.62
45,2021-01-28 18:15:00,2021-01-28 19:00:00,0.89,3.91
46,2021-01-28 20:00:00,2021-01-28 20:45:00,0.64,2.82
47,2021-01-28 21:45:00,2021-01-28 22:15:00,0.35,1.54
48,2021-01-28 22:45:00,2021-01-29 01:00:00,2.49,12.01
49,2021-01-29 03:00:00,2021-01-29 03:30:00,0.66,2.76
50,2021-01-29 04:30:00,2021-01-29 05:30:00,1.18,4.83
51,2021-01-29 06:30:00,2021-01-29 07:15:00,0.65,2.86
52,2021-01-29 08:00:00,2021-01-29 08:45:00,0.67,2.95
53,2021-01-29 09:45:00,2021-01-29 09:45:00,0.12,1.09
54,2021-01-29 11:45:00,2021-01-29 12:00:00,0.48,2.05
55,2021-01-29 13:30:00,2021-01-29 14:00:00,0.57,2.4
56,2021-01-29 15:30:00,2021-01-29 16:30:00,1.07,4.64
57,2021-01-29 18:15:00,2021-01-29 19:15:00,1.1,4.76
58,2021-01-29 19:45:00,2021-01-29 20:30:00,0.63,2.81
59,2021-01-29 21:15:00,2021-01-29 21:45:00,0.66,2.9
60,2021-01-29 22:45:00,2021-01-30 01:15:00,2.69,16.13
61,2021-01-30 01:45:00,2021-01-30 02:30:00,0.66,2.74
62,2021-01-30 04:00:00,2021-01-30 06:00:00,2.01,8.43
63,2021-01-30 06:45:00,2021-01-30 08:00:00,1.21,5.12
64,2021-01-30 09:00:00,2021-01-30 10:00:00,0.97,4.05
65,2021-01-30 13:00:00,2021-01-30 13:45:00,0.67,2.78
66,2021-01-30 15:15:00,2021-01-30 17:15:00,1.96,8.4
67,2021-01-30 18:15:00,2021-01-30 19:30:00,1.1,4.73
68,2021-01-30 20:30:00,2021-01-30 21:15:00,0.67,2.92
69,2021-01-30 22:00:00,2021-01-31 01:30:00,3.7,16.76
70,2021-01-31 03:15:00,2021-01-31 05:00:00,1.79,7.56
71,2021-01-31 06:00:00,2021-01-31 07:00:00,1.14,4.9
72,2021-01-31 08:00:00,2021-01-31 08:45:00,0.67,2.92
73,2021-01-31 09:45:00,2021-01-31 10:15:00,0.66,2.53
74,2021-01-31 14:15:00,2021-01-31 14:45:00,0.67,2.77
75,2021-01-31 15:30:00,2021-01-31 16:45:00,1.43,6.12
76,2021-01-31 18:00:00,2021-01-31 18:45:00,0.75,3.31
77,2021-01-31 19:30:00,2021-01-31 20:30:00,0.98,4.13
78,2021-01-31 21:15:00,2021-01-31 22:00:00,0.61,2.63
79,2021-01-31 22:45:00,2021-02-01 01:30:00,2.96,19.44
80,2021-02-01 03:30:00,2021-02-01 04:00:00,0.67,2.76
81,2021-02-01 04:45:00,2021-02-01 06:15:00,1.57,6.76
82,2021-02-01 07:15:00,2021-02-01 08:15:00,1.15,4.9
83,2021-02-01 09:15:00,2021-02-01 09:45:00,0.67,2.92
84,2021-02-01 13:30:00,2021-02-01 14:00:00,0.67,2.78
85,2021-02-01 15:30:00,2021-02-01 16:45:00,1.44,6.0
86,2021-02-01 18:15:00,2021-02-01 19:30:00,1.3,5.57
87,2021-02-01 20:30:00,2021-02-01 21:15:00,0.67,2.93
88,2021-02-01 22:45:00,2021-02-02 00:45:00,2.05,12.13
89,2021-02-02 02:45:00,2021-02-02 03:30:00,0.67,2.79
90,2021-02-02 04:30:00,2021-02-02 06:00:00,1.64,6.91
91,2021-02-02 07:00:00,2021-02-02 08:30:00,1.37,5.89
92,2021-02-02 09:45:00,2021-02-02 09:45:00,0.12,0.42
93,2021-02-02 14:00:00,2021-02-02 14:30:00,0.65,2.73
94,2021-02-02 15:30:00,2021-02-02 16:15:00,0.9,3.84
95,2021-02-02 18:15:00,2021-02-02 19:30:00,1.31,5.34
96,2021-02-02 20:45:00,2021-02-02 21:15:00,0.67,2.89
97,2021-02-02 22:45:00,2021-02-03 01:00:00,2.4,14.78
98,2021-02-03 02:45:00,2021-02-03 03:30:00,0.67,2.75
99,2021-02-03 04:30:00,2021-02-03 05:45:00,1.43,5.85
100,2021-02-03 06:45:00,2021-02-03 07:45:00,1.03,4.23
101,2021-02-03 08:30:00,2021-02-03 09:15:00,0.67,2.93
102,2021-02-03 13:15:00,2021-02-03 13:45:00,0.64,2.66
103,2021-02-03 15:15:00,2021-02-03 16:30:00,1.42,6.0
104,2021-02-03 18:15:00,2021-02-03 19:00:00,0.89,3.86
105,2021-02-03 20:15:00,2021-02-03 21:00:00,0.67,2.92
106,2021-02-03 22:00:00,2021-02-03 22:15:00,0.32,1.41
