cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:00:00,2021-01-24 00:15:00,1.39,1.67
1,2021-01-24 01:00:00,2021-01-24 01:15:00,0.38,0.49
2,2021-01-24 02:00:00,2021-01-24 02:00:00,0.12,0.47
3,2021-01-24 02:45:00,2021-01-24 02:45:00,0.12,0.45
4,2021-01-24 03:30:00,2021-01-24 07:00:00,3.75,8.46
5,2021-01-24 07:30:00,2021-01-24 21:45:00,14.39,32.88
6,2021-01-24 22:30:00,2021-01-24 22:45:00,0.34,0.6
7,2021-01-24 23:30:00,2021-01-24 23:45:00,0.4,0.85
8,2021-01-25 00:30:00,2021-01-25 00:45:00,0.39,0.6
9,2021-01-25 01:30:00,2021-01-25 01:30:00,0.12,0.54
10,2021-01-25 02:15:00,2021-01-25 02:15:00,0.12,0.57
11,2021-01-25 03:00:00,2021-01-25 03:15:00,0.35,0.85
12,2021-01-25 04:00:00,2021-01-25 10:15:00,6.27,14.48
13,2021-01-25 11:00:00,2021-01-25 13:45:00,2.91,6.58
14,2021-01-25 14:15:00,2021-01-25 16:45:00,2.75,6.0
15,2021-01-25 18:15:00,2021-01-25 20:00:00,1.89,4.48
16,2021-01-25 21:30:00,2021-01-25 21:30:00,0.12,0.42
17,2021-01-25 22:00:00,2021-01-26 00:00:00,2.07,3.37
18,2021-01-26 00:45:00,2021-01-26 01:00:00,0.33,0.59
19,2021-01-26 01:30:00,2021-01-26 01:45:00,0.39,0.59
20,2021-01-26 02:15:00,2021-01-26 02:30:00,0.47,0.86
21,2021-01-26 03:00:00,2021-01-26 03:15:00,0.43,0.59
22,2021-01-26 03:45:00,2021-01-26 09:45:00,6.25,16.38
23,2021-01-26 11:00:00,2021-01-26 15:45:00,4.91,12.93
24,2021-01-26 16:15:00,2021-01-26 16:45:00,0.63,2.01
25,2021-01-26 18:00:00,2021-01-26 21:30:00,3.45,9.14
26,2021-01-26 22:00:00,2021-01-26 22:45:00,0.92,1.73
27,2021-01-26 23:15:00,2021-01-26 23:15:00,0.12,0.7
28,2021-01-26 23:45:00,2021-01-27 01:15:00,1.57,2.75
29,2021-01-27 01:45:00,2021-01-27 02:00:00,0.4,0.95
30,2021-01-27 02:30:00,2021-01-27 03:15:00,1.0,1.58
31,2021-01-27 03:45:00,2021-01-27 16:45:00,13.21,33.45
32,2021-01-27 18:15:00,2021-01-27 21:30:00,3.4,6.47
33,2021-01-27 22:30:00,2021-01-27 22:30:00,0.12,0.47
34,2021-01-27 23:30:00,2021-01-27 23:45:00,0.36,0.73
35,2021-01-28 00:30:00,2021-01-28 00:30:00,0.12,0.43
36,2021-01-28 01:15:00,2021-01-28 01:30:00,0.41,0.49
37,2021-01-28 02:15:00,2021-01-28 02:15:00,0.12,0.44
38,2021-01-28 03:00:00,2021-01-28 03:15:00,0.46,0.86
