cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-24 23:00:00,2021-10-24 23:00:00,0.12,0.23
1,2021-10-24 23:30:00,2021-10-24 23:45:00,0.49,0.49
2,2021-10-25 00:15:00,2021-10-25 00:30:00,0.49,0.48
3,2021-10-25 01:00:00,2021-10-25 01:15:00,0.5,0.48
4,2021-10-25 01:45:00,2021-10-25 02:00:00,0.5,0.48
5,2021-10-25 02:30:00,2021-10-25 02:45:00,0.49,0.49
6,2021-10-25 03:15:00,2021-10-25 03:30:00,0.49,0.48
7,2021-10-25 04:00:00,2021-10-25 04:15:00,0.46,0.46
8,2021-10-25 04:45:00,2021-10-25 05:00:00,0.48,0.46
9,2021-10-25 05:30:00,2021-10-25 05:45:00,0.49,0.46
10,2021-10-25 06:15:00,2021-10-25 06:30:00,0.46,0.46
11,2021-10-25 07:00:00,2021-10-25 07:15:00,0.47,0.45
12,2021-10-25 07:45:00,2021-10-25 08:00:00,0.49,0.48
13,2021-10-25 08:30:00,2021-10-25 08:30:00,0.12,0.24
14,2021-10-25 09:30:00,2021-10-25 09:45:00,0.36,0.26
15,2021-10-25 10:15:00,2021-10-25 10:30:00,0.42,0.26
16,2021-10-25 17:00:00,2021-10-25 17:15:00,0.39,0.6
17,2021-10-25 17:45:00,2021-10-25 18:00:00,0.49,0.48
18,2021-10-25 18:30:00,2021-10-26 00:00:00,5.73,4.57
19,2021-10-26 00:30:00,2021-10-26 00:45:00,0.5,0.49
20,2021-10-26 01:15:00,2021-10-26 01:30:00,0.49,0.49
21,2021-10-26 02:00:00,2021-10-26 02:15:00,0.49,0.48
22,2021-10-26 02:45:00,2021-10-26 03:00:00,0.5,0.49
23,2021-10-26 03:30:00,2021-10-26 03:30:00,0.12,0.24
24,2021-10-26 04:30:00,2021-10-26 04:45:00,0.39,0.25
25,2021-10-26 05:30:00,2021-10-26 05:30:00,0.12,0.24
26,2021-10-26 06:00:00,2021-10-26 06:15:00,0.34,0.26
27,2021-10-26 06:45:00,2021-10-26 06:45:00,0.12,0.23
28,2021-10-26 07:30:00,2021-10-26 07:30:00,0.12,0.25
29,2021-10-27 16:45:00,2021-10-27 23:45:00,7.24,5.98
30,2021-10-28 00:15:00,2021-10-28 01:00:00,0.91,0.73
31,2021-10-28 01:45:00,2021-10-28 02:00:00,0.35,0.26
32,2021-10-28 02:30:00,2021-10-28 02:45:00,0.45,0.26
33,2021-10-28 03:15:00,2021-10-28 03:15:00,0.12,0.24
34,2021-10-28 04:00:00,2021-10-28 04:00:00,0.12,0.24
35,2021-10-28 04:30:00,2021-10-28 04:30:00,0.12,0.25
36,2021-10-28 05:00:00,2021-10-28 05:15:00,0.44,0.26
37,2021-10-28 05:45:00,2021-10-28 05:45:00,0.12,0.25
38,2021-10-28 06:15:00,2021-10-28 06:15:00,0.12,0.25
39,2021-10-28 06:45:00,2021-10-28 06:45:00,0.12,0.21
40,2021-10-28 07:15:00,2021-10-28 07:30:00,0.44,0.26
41,2021-10-28 08:00:00,2021-10-28 08:00:00,0.12,0.21
42,2021-10-28 08:30:00,2021-10-28 08:30:00,0.12,0.24
43,2021-10-28 09:00:00,2021-10-28 09:00:00,0.12,0.25
44,2021-10-28 15:15:00,2021-10-28 15:15:00,0.12,0.24
