cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-27 23:00:00,2021-10-27 23:15:00,0.33,0.29
1,2021-10-27 23:45:00,2021-10-27 23:45:00,0.12,0.25
2,2021-10-28 00:30:00,2021-10-28 00:30:00,0.12,0.28
3,2021-10-28 01:15:00,2021-10-28 01:15:00,0.12,0.28
4,2021-10-28 01:45:00,2021-10-28 02:00:00,0.43,0.3
5,2021-10-28 02:30:00,2021-10-28 02:30:00,0.12,0.25
6,2021-10-28 03:15:00,2021-10-28 03:15:00,0.12,0.29
7,2021-10-28 04:00:00,2021-10-28 04:00:00,0.12,0.28
8,2021-10-28 04:45:00,2021-10-28 04:45:00,0.12,0.24
9,2021-10-28 05:15:00,2021-10-28 05:30:00,0.32,0.3
10,2021-10-28 06:00:00,2021-10-28 06:00:00,0.12,0.31
11,2021-10-28 06:30:00,2021-10-28 06:30:00,0.12,0.34
12,2021-10-28 07:00:00,2021-10-28 07:15:00,0.33,0.33
13,2021-10-28 08:00:00,2021-10-28 08:00:00,0.12,0.28
14,2021-10-28 08:45:00,2021-10-28 09:00:00,0.44,0.29
15,2021-10-28 13:00:00,2021-10-28 13:00:00,0.12,0.29
16,2021-10-28 15:00:00,2021-10-28 15:00:00,0.12,0.27
17,2021-10-28 16:00:00,2021-10-28 16:15:00,0.45,0.43
18,2021-10-28 16:45:00,2021-10-28 16:45:00,0.12,0.32
19,2021-10-28 17:30:00,2021-10-28 17:30:00,0.12,0.34
20,2021-10-28 18:00:00,2021-10-28 18:15:00,0.37,0.34
21,2021-10-28 18:45:00,2021-10-28 18:45:00,0.12,0.31
22,2021-10-28 19:30:00,2021-10-28 19:30:00,0.12,0.28
23,2021-10-28 20:00:00,2021-10-28 20:00:00,0.12,0.24
24,2021-10-28 20:45:00,2021-10-28 20:45:00,0.12,0.31
25,2021-10-28 21:30:00,2021-10-28 21:30:00,0.12,0.28
26,2021-10-28 22:00:00,2021-10-28 22:15:00,0.33,0.29
27,2021-10-28 22:45:00,2021-10-28 22:45:00,0.12,0.28
28,2021-10-28 23:30:00,2021-10-28 23:30:00,0.12,0.29
29,2021-10-29 00:00:00,2021-10-29 00:15:00,0.46,0.29
30,2021-10-29 00:45:00,2021-10-29 00:45:00,0.12,0.28
31,2021-10-29 01:30:00,2021-10-29 01:30:00,0.12,0.27
32,2021-10-29 02:15:00,2021-10-29 02:15:00,0.12,0.28
33,2021-10-29 02:45:00,2021-10-29 03:00:00,0.42,0.3
34,2021-10-29 03:30:00,2021-10-29 03:45:00,0.39,0.29
35,2021-10-29 04:15:00,2021-10-29 04:15:00,0.12,0.27
36,2021-10-29 05:00:00,2021-10-29 05:00:00,0.12,0.28
37,2021-10-29 05:30:00,2021-10-29 05:45:00,0.49,0.3
38,2021-10-29 06:15:00,2021-10-29 06:15:00,0.12,0.32
39,2021-10-29 07:00:00,2021-10-29 07:00:00,0.12,0.26
40,2021-10-29 07:30:00,2021-10-29 07:30:00,0.12,0.32
41,2021-10-29 08:00:00,2021-10-29 08:00:00,0.12,0.19
42,2021-10-29 09:15:00,2021-10-29 09:15:00,0.12,0.31
43,2021-10-29 10:00:00,2021-10-29 10:00:00,0.12,0.29
44,2021-10-29 10:45:00,2021-10-29 10:45:00,0.12,0.29
45,2021-10-29 15:00:00,2021-10-29 15:00:00,0.12,0.46
46,2021-10-29 15:45:00,2021-10-29 15:45:00,0.12,0.3
47,2021-10-29 16:15:00,2021-10-29 16:30:00,0.34,0.3
48,2021-10-29 17:00:00,2021-10-29 17:00:00,0.12,0.28
49,2021-10-29 17:45:00,2021-10-29 17:45:00,0.12,0.28
50,2021-10-29 18:30:00,2021-10-29 18:30:00,0.12,0.29
51,2021-10-29 19:15:00,2021-10-29 19:30:00,0.4,0.29
52,2021-10-29 20:00:00,2021-10-29 20:00:00,0.12,0.33
53,2021-10-29 20:45:00,2021-10-29 20:45:00,0.12,0.32
54,2021-10-29 21:15:00,2021-10-29 21:30:00,0.5,0.3
55,2021-10-29 22:00:00,2021-10-29 22:00:00,0.12,0.3
56,2021-10-29 22:45:00,2021-10-29 22:45:00,0.12,0.28
57,2021-10-29 23:15:00,2021-10-29 23:30:00,0.38,0.29
58,2021-10-30 00:00:00,2021-10-30 00:00:00,0.12,0.28
59,2021-10-30 00:45:00,2021-10-30 00:45:00,0.12,0.28
60,2021-10-30 01:30:00,2021-10-30 01:30:00,0.12,0.26
61,2021-10-30 02:00:00,2021-10-30 02:15:00,0.39,0.28
62,2021-10-30 02:45:00,2021-10-30 02:45:00,0.12,0.29
63,2021-10-30 03:30:00,2021-10-30 03:30:00,0.12,0.28
64,2021-10-30 04:15:00,2021-10-30 04:15:00,0.12,0.29
65,2021-10-30 04:45:00,2021-10-30 05:00:00,0.35,0.28
66,2021-10-30 05:30:00,2021-10-30 05:45:00,0.32,0.28
67,2021-10-30 06:15:00,2021-10-30 06:15:00,0.12,0.28
68,2021-10-30 06:45:00,2021-10-30 07:00:00,0.46,0.31
69,2021-10-30 07:30:00,2021-10-30 07:30:00,0.12,0.33
70,2021-10-30 08:00:00,2021-10-30 08:00:00,0.12,0.27
71,2021-10-30 08:45:00,2021-10-30 08:45:00,0.12,0.31
72,2021-10-30 09:15:00,2021-10-30 09:30:00,0.37,0.31
73,2021-10-30 10:45:00,2021-10-30 10:45:00,0.12,0.31
74,2021-10-30 11:15:00,2021-10-30 11:15:00,0.12,0.27
75,2021-10-30 12:00:00,2021-10-30 12:00:00,0.12,0.3
76,2021-10-30 12:45:00,2021-10-30 12:45:00,0.12,0.29
77,2021-10-30 15:15:00,2021-10-30 15:15:00,0.12,0.42
78,2021-10-30 15:45:00,2021-10-30 16:00:00,0.41,0.32
79,2021-10-30 16:30:00,2021-10-30 16:30:00,0.12,0.32
