cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 01:30:00,1.6,10.27
1,2021-01-01 02:00:00,2021-01-01 02:30:00,0.55,1.55
2,2021-01-01 03:15:00,2021-01-01 04:30:00,1.38,4.01
3,2021-01-01 05:15:00,2021-01-01 06:00:00,0.73,2.12
4,2021-01-01 07:00:00,2021-01-01 07:30:00,0.71,2.01
5,2021-01-01 08:15:00,2021-01-01 09:15:00,1.02,2.89
6,2021-01-01 10:00:00,2021-01-01 11:15:00,1.11,3.14
7,2021-01-01 12:00:00,2021-01-01 12:30:00,0.64,1.8
8,2021-01-01 13:15:00,2021-01-01 14:00:00,0.66,1.86
9,2021-01-01 14:45:00,2021-01-01 15:15:00,0.66,1.86
10,2021-01-01 16:15:00,2021-01-01 16:45:00,0.73,2.09
11,2021-01-01 17:45:00,2021-01-01 18:30:00,0.8,2.27
12,2021-01-01 19:15:00,2021-01-01 19:30:00,0.46,1.3
13,2021-01-01 20:15:00,2021-01-01 20:45:00,0.55,1.56
14,2021-01-01 21:30:00,2021-01-01 21:45:00,0.49,1.41
15,2021-01-01 22:30:00,2021-01-02 00:30:00,1.96,11.35
16,2021-01-02 01:15:00,2021-01-02 02:00:00,0.81,2.31
17,2021-01-02 02:45:00,2021-01-02 04:45:00,1.92,5.61
18,2021-01-02 05:15:00,2021-01-02 06:00:00,0.74,2.15
19,2021-01-02 07:00:00,2021-01-02 07:30:00,0.54,1.52
20,2021-01-02 08:30:00,2021-01-02 09:00:00,0.62,1.78
21,2021-01-02 09:45:00,2021-01-02 10:15:00,0.58,1.62
22,2021-01-02 11:00:00,2021-01-02 11:45:00,0.89,2.54
23,2021-01-02 12:45:00,2021-01-02 13:45:00,1.13,3.22
24,2021-01-02 14:30:00,2021-01-02 15:30:00,1.01,2.87
25,2021-01-02 16:15:00,2021-01-02 17:00:00,0.96,2.73
26,2021-01-02 17:45:00,2021-01-02 18:45:00,0.98,2.79
27,2021-01-02 19:30:00,2021-01-02 20:15:00,0.83,2.36
28,2021-01-02 21:00:00,2021-01-02 22:00:00,1.05,2.98
29,2021-01-02 22:45:00,2021-01-03 01:15:00,2.39,16.97
30,2021-01-03 01:45:00,2021-01-03 02:30:00,0.85,2.43
31,2021-01-03 03:15:00,2021-01-03 05:30:00,2.37,6.89
32,2021-01-03 06:45:00,2021-01-03 07:15:00,0.57,1.61
33,2021-01-03 08:00:00,2021-01-03 08:45:00,0.84,2.42
34,2021-01-03 09:30:00,2021-01-03 10:15:00,0.62,1.76
35,2021-01-03 10:45:00,2021-01-03 11:30:00,0.81,2.31
36,2021-01-03 12:15:00,2021-01-03 14:00:00,1.81,5.15
37,2021-01-03 14:45:00,2021-01-03 18:15:00,3.66,10.69
38,2021-01-03 18:45:00,2021-01-03 21:00:00,2.13,6.32
39,2021-01-03 21:30:00,2021-01-03 22:30:00,0.97,2.88
40,2021-01-03 23:00:00,2021-01-04 01:30:00,2.71,16.41
41,2021-01-04 02:15:00,2021-01-04 03:15:00,0.99,2.95
42,2021-01-04 03:45:00,2021-01-04 04:30:00,0.72,2.13
43,2021-01-04 05:00:00,2021-01-04 05:45:00,0.7,2.07
44,2021-01-04 06:15:00,2021-01-04 07:15:00,0.92,2.74
45,2021-01-04 07:45:00,2021-01-04 08:30:00,0.84,2.5
46,2021-01-04 09:00:00,2021-01-04 10:00:00,1.06,3.17
47,2021-01-04 10:45:00,2021-01-04 11:30:00,0.8,2.41
48,2021-01-04 12:00:00,2021-01-04 12:45:00,0.81,2.4
49,2021-01-04 13:15:00,2021-01-04 14:00:00,0.77,2.3
50,2021-01-04 14:45:00,2021-01-04 15:15:00,0.74,2.23
51,2021-01-04 16:00:00,2021-01-04 16:45:00,0.77,2.32
52,2021-01-04 17:15:00,2021-01-04 18:00:00,0.72,2.17
53,2021-01-04 18:30:00,2021-01-05 02:00:00,7.49,29.14
54,2021-01-05 02:45:00,2021-01-05 04:30:00,1.82,5.42
55,2021-01-05 05:30:00,2021-01-05 07:30:00,2.03,6.09
56,2021-01-05 08:15:00,2021-01-05 11:30:00,3.37,10.11
57,2021-01-05 12:30:00,2021-01-05 14:00:00,1.69,5.07
58,2021-01-05 15:00:00,2021-01-05 16:15:00,1.48,4.43
59,2021-01-05 17:15:00,2021-01-05 18:45:00,1.47,4.41
60,2021-01-05 19:30:00,2021-01-05 20:30:00,1.18,3.54
61,2021-01-05 21:15:00,2021-01-06 00:45:00,3.35,16.76
62,2021-01-06 01:30:00,2021-01-06 02:30:00,1.16,3.46
63,2021-01-06 03:15:00,2021-01-06 04:30:00,1.18,3.52
64,2021-01-06 05:15:00,2021-01-06 06:15:00,1.16,3.46
65,2021-01-06 07:15:00,2021-01-06 08:30:00,1.39,4.18
66,2021-01-06 09:15:00,2021-01-06 10:45:00,1.5,4.51
67,2021-01-06 11:30:00,2021-01-06 13:00:00,1.5,4.49
68,2021-01-06 13:45:00,2021-01-06 15:45:00,2.07,6.21
69,2021-01-06 16:45:00,2021-01-06 18:15:00,1.54,4.63
70,2021-01-06 19:00:00,2021-01-06 21:00:00,1.91,5.71
71,2021-01-06 21:45:00,2021-01-07 01:15:00,3.6,20.72
