cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-09 06:00:00,2022-05-09 06:45:00,0.66,2.67
1,2022-05-10 06:00:00,2022-05-10 07:00:00,1.04,4.12
2,2022-05-11 06:00:00,2022-05-11 06:30:00,0.46,1.86
3,2022-05-15 06:00:00,2022-05-15 06:30:00,0.43,1.71
4,2022-05-24 08:45:00,2022-05-24 09:15:00,0.43,1.75
5,2022-05-27 06:00:00,2022-05-27 06:30:00,0.36,1.45
6,2022-05-29 06:00:00,2022-05-29 07:15:00,1.14,4.47
7,2022-05-29 22:30:00,2022-05-29 23:00:00,0.52,2.08
8,2022-05-30 06:00:00,2022-05-30 07:00:00,0.96,3.67
9,2022-05-31 06:00:00,2022-05-31 06:45:00,0.81,3.18
10,2022-06-01 06:00:00,2022-06-01 06:30:00,0.5,2.0
11,2022-06-02 06:00:00,2022-06-02 06:30:00,0.5,2.02
12,2022-06-08 06:00:00,2022-06-08 06:30:00,0.43,1.72
13,2022-06-10 06:00:00,2022-06-10 06:30:00,0.57,2.19
14,2022-06-11 06:00:00,2022-06-11 06:30:00,0.39,1.56
15,2022-06-14 06:00:00,2022-06-14 06:15:00,0.35,1.02
16,2022-09-17 04:00:00,2022-09-17 04:30:00,0.57,2.2
17,2022-09-17 06:45:00,2022-09-17 07:15:00,0.53,2.08
18,2022-09-17 21:45:00,2022-09-17 22:00:00,0.49,1.81
19,2022-09-18 02:15:00,2022-09-18 02:45:00,0.69,2.7
20,2022-09-18 05:00:00,2022-09-18 05:30:00,0.56,2.2
21,2022-09-18 08:00:00,2022-09-18 08:30:00,0.55,2.19
22,2022-09-19 05:00:00,2022-09-19 05:30:00,0.56,2.19
23,2022-09-20 05:00:00,2022-09-20 07:00:00,2.02,7.81
24,2022-09-21 05:00:00,2022-09-21 06:15:00,1.38,5.36
25,2022-09-21 07:45:00,2022-09-21 08:15:00,0.53,2.09
26,2022-09-22 05:00:00,2022-09-22 07:00:00,2.0,7.75
