cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-18 23:00:00,2021-01-19 10:15:00,11.28,192.48
1,2021-01-19 10:45:00,2021-01-19 12:30:00,1.91,30.1
2,2021-01-19 13:15:00,2021-01-19 13:45:00,0.6,11.83
3,2021-01-19 14:15:00,2021-01-19 15:30:00,1.13,19.91
4,2021-01-19 16:00:00,2021-01-19 19:30:00,3.58,52.58
5,2021-01-19 20:00:00,2021-01-19 21:00:00,0.94,18.38
6,2021-01-19 21:30:00,2021-01-20 00:45:00,3.36,51.13
7,2021-01-20 01:15:00,2021-01-20 12:45:00,11.43,101.6
8,2021-01-20 13:15:00,2021-01-20 21:45:00,8.58,89.65
9,2021-01-20 22:15:00,2021-01-20 23:15:00,0.9,17.83
10,2021-01-20 23:45:00,2021-01-21 00:30:00,0.67,12.54
11,2021-01-21 01:00:00,2021-01-21 02:00:00,0.93,17.76
12,2021-01-21 02:30:00,2021-01-21 04:15:00,1.87,21.93
13,2021-01-21 05:00:00,2021-01-21 07:00:00,2.13,27.85
14,2021-01-21 07:30:00,2021-01-21 08:30:00,0.88,13.8
15,2021-01-21 09:00:00,2021-01-21 12:00:00,3.22,30.13
16,2021-01-21 12:30:00,2021-01-21 13:30:00,0.94,8.86
17,2021-01-21 14:00:00,2021-01-21 14:45:00,0.84,10.02
18,2021-01-21 15:15:00,2021-01-21 18:00:00,2.89,28.53
19,2021-01-21 18:30:00,2021-01-21 20:00:00,1.47,18.13
20,2021-01-21 20:30:00,2021-01-21 23:00:00,2.47,28.21
21,2021-01-21 23:30:00,2021-01-22 00:15:00,0.94,9.1
22,2021-01-22 00:45:00,2021-01-22 03:30:00,2.79,31.17
23,2021-01-22 04:00:00,2021-01-22 05:15:00,1.14,16.76
24,2021-01-22 05:45:00,2021-01-22 06:30:00,1.0,10.21
25,2021-01-22 07:00:00,2021-01-22 07:45:00,0.71,9.96
26,2021-01-22 08:15:00,2021-01-22 09:45:00,1.48,18.72
27,2021-01-22 10:15:00,2021-01-22 11:15:00,1.13,11.78
28,2021-01-22 11:45:00,2021-01-22 12:15:00,0.5,4.21
29,2021-01-22 12:45:00,2021-01-22 13:45:00,1.14,15.0
30,2021-01-22 14:30:00,2021-01-22 15:00:00,0.62,8.88
31,2021-01-22 15:45:00,2021-01-22 17:00:00,1.5,16.84
32,2021-01-22 17:45:00,2021-01-22 18:45:00,0.98,16.94
33,2021-01-22 19:15:00,2021-01-22 20:30:00,1.14,14.21
34,2021-01-22 21:00:00,2021-01-22 23:15:00,2.35,29.71
35,2021-01-22 23:45:00,2021-01-23 01:30:00,1.64,27.05
36,2021-01-23 02:00:00,2021-01-23 03:00:00,1.1,19.22
37,2021-01-23 03:30:00,2021-01-23 04:45:00,1.13,18.93
38,2021-01-23 05:15:00,2021-01-23 06:15:00,1.1,19.84
39,2021-01-23 06:45:00,2021-01-23 08:00:00,1.09,19.3
40,2021-01-23 08:30:00,2021-01-23 10:15:00,1.76,28.26
41,2021-01-23 10:45:00,2021-01-23 11:30:00,0.81,10.34
42,2021-01-23 12:00:00,2021-01-23 13:00:00,0.89,15.48
43,2021-01-23 13:30:00,2021-01-23 15:45:00,2.32,31.02
44,2021-01-23 16:15:00,2021-01-23 17:30:00,1.22,20.09
45,2021-01-23 18:00:00,2021-01-23 19:15:00,1.27,21.33
46,2021-01-23 19:45:00,2021-01-23 22:15:00,2.39,38.03
47,2021-01-23 22:45:00,2021-01-24 02:15:00,3.67,45.79
48,2021-01-24 02:45:00,2021-01-24 03:30:00,0.91,17.43
49,2021-01-24 04:00:00,2021-01-24 04:45:00,0.82,14.65
50,2021-01-24 05:15:00,2021-01-24 06:15:00,1.11,19.71
