cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-06 01:30:00,2022-07-06 01:30:00,0.12,0.12
1,2022-07-06 03:45:00,2022-07-06 03:45:00,0.12,0.15
2,2022-07-07 03:45:00,2022-07-07 04:30:00,0.56,2.98
3,2022-07-08 03:45:00,2022-07-08 04:15:00,0.33,1.8
4,2022-07-09 03:45:00,2022-07-09 04:00:00,0.28,1.51
5,2022-07-10 03:45:00,2022-07-10 04:00:00,0.28,1.54
6,2022-07-11 04:00:00,2022-07-11 04:30:00,0.52,3.02
7,2022-07-12 04:00:00,2022-07-12 04:00:00,0.12,1.34
8,2022-07-12 04:30:00,2022-07-12 04:30:00,0.12,0.1
9,2022-07-13 00:00:00,2022-07-13 00:45:00,1.0,1.78
10,2022-07-13 01:15:00,2022-07-13 01:30:00,0.5,0.23
11,2022-07-13 03:45:00,2022-07-13 03:45:00,0.12,0.12
12,2022-07-14 04:00:00,2022-07-14 04:00:00,0.12,1.32
13,2022-07-15 04:00:00,2022-07-15 04:30:00,0.72,4.0
14,2022-07-16 04:00:00,2022-07-16 05:30:00,1.71,6.72
15,2022-07-17 03:45:00,2022-07-17 05:15:00,1.41,6.4
16,2022-07-18 04:00:00,2022-07-18 04:00:00,0.12,1.19
17,2022-07-18 04:30:00,2022-07-18 05:15:00,0.78,3.48
18,2022-07-19 03:45:00,2022-07-19 05:45:00,2.0,8.96
19,2022-07-20 00:00:00,2022-07-20 00:30:00,0.54,2.33
20,2022-07-20 01:00:00,2022-07-20 01:15:00,0.38,0.43
21,2022-07-20 01:45:00,2022-07-20 01:45:00,0.12,0.88
22,2022-07-21 04:00:00,2022-07-21 04:00:00,0.12,1.33
23,2022-07-22 04:00:00,2022-07-22 04:30:00,0.54,3.14
24,2022-07-23 04:00:00,2022-07-23 04:15:00,0.28,1.58
25,2022-07-24 04:00:00,2022-07-24 04:15:00,0.3,1.67
26,2022-07-25 04:00:00,2022-07-25 04:15:00,0.32,1.8
27,2022-07-26 04:00:00,2022-07-26 04:30:00,0.64,3.64
28,2022-07-27 00:00:00,2022-07-27 00:00:00,0.12,1.35
29,2022-07-27 00:30:00,2022-07-27 00:45:00,0.49,0.24
30,2022-07-27 01:15:00,2022-07-27 01:30:00,0.48,0.24
31,2022-07-27 04:00:00,2022-07-27 04:00:00,0.12,0.13
32,2022-07-28 04:00:00,2022-07-28 05:30:00,1.75,6.82
33,2022-07-29 04:00:00,2022-07-29 05:45:00,1.9,7.78
34,2022-07-30 04:00:00,2022-07-30 04:00:00,0.12,1.26
35,2022-07-30 04:30:00,2022-07-30 05:15:00,0.75,3.34
36,2022-07-31 04:00:00,2022-07-31 04:00:00,0.12,1.2
37,2022-07-31 04:30:00,2022-07-31 05:15:00,0.76,3.42
38,2022-08-01 04:00:00,2022-08-01 04:00:00,0.12,1.3
39,2022-08-01 04:30:00,2022-08-01 05:15:00,0.84,3.76
40,2022-08-02 04:00:00,2022-08-02 04:00:00,0.12,1.43
41,2022-08-02 04:30:00,2022-08-02 05:30:00,0.99,4.48
42,2022-08-02 23:30:00,2022-08-03 01:45:00,2.39,10.83
43,2022-08-03 03:45:00,2022-08-03 04:30:00,0.68,3.08
44,2022-08-04 03:45:00,2022-08-04 05:30:00,1.7,7.67
45,2022-08-05 03:45:00,2022-08-05 05:30:00,1.66,7.48
46,2022-08-06 04:00:00,2022-08-06 04:30:00,0.5,3.03
47,2022-08-07 04:00:00,2022-08-07 04:15:00,0.45,2.49
48,2022-08-07 04:45:00,2022-08-07 05:45:00,1.11,4.89
49,2022-08-08 04:00:00,2022-08-08 04:00:00,0.12,1.31
50,2022-08-08 04:30:00,2022-08-08 05:30:00,1.08,4.85
51,2022-08-09 04:00:00,2022-08-09 05:30:00,1.59,6.1
52,2022-08-10 00:00:00,2022-08-10 01:45:00,1.98,8.88
53,2022-08-10 04:00:00,2022-08-10 04:45:00,0.94,4.24
54,2022-08-11 04:00:00,2022-08-11 04:00:00,0.12,1.46
55,2022-08-11 04:30:00,2022-08-11 05:30:00,1.0,4.52
56,2022-08-12 04:00:00,2022-08-12 05:30:00,1.62,7.32
57,2022-08-13 04:00:00,2022-08-13 05:45:00,1.99,8.98
58,2022-08-14 04:00:00,2022-08-14 05:30:00,1.75,6.66
59,2022-08-15 04:00:00,2022-08-15 04:00:00,0.12,1.28
60,2022-08-15 21:15:00,2022-08-15 21:30:00,0.45,2.47
61,2022-08-16 04:00:00,2022-08-16 05:30:00,1.74,6.58
62,2022-08-16 10:30:00,2022-08-16 10:45:00,0.37,1.34
63,2022-08-16 13:15:00,2022-08-16 13:15:00,0.12,1.34
64,2022-08-17 00:00:00,2022-08-17 00:00:00,0.12,1.17
65,2022-08-17 00:30:00,2022-08-17 01:45:00,1.44,6.45
66,2022-08-18 04:00:00,2022-08-18 05:45:00,1.97,8.99
67,2022-08-18 10:00:00,2022-08-18 12:00:00,2.16,5.76
68,2022-08-19 04:00:00,2022-08-19 04:15:00,0.45,1.87
69,2022-08-19 04:45:00,2022-08-19 04:45:00,0.12,1.06
70,2022-08-19 05:15:00,2022-08-19 05:30:00,0.45,0.98
71,2022-08-20 04:00:00,2022-08-20 05:45:00,1.92,8.82
72,2022-08-21 04:00:00,2022-08-21 05:45:00,1.92,8.69
73,2022-08-21 13:45:00,2022-08-21 14:45:00,1.08,4.88
74,2022-08-21 15:15:00,2022-08-21 16:30:00,1.13,5.84
75,2022-08-22 04:00:00,2022-08-22 04:30:00,0.65,3.81
76,2022-08-22 05:00:00,2022-08-22 05:15:00,0.45,1.32
77,2022-08-22 05:45:00,2022-08-22 05:45:00,0.12,1.19
78,2022-08-23 04:00:00,2022-08-23 05:15:00,1.42,5.55
79,2022-08-23 05:45:00,2022-08-23 05:45:00,0.12,0.84
80,2022-08-24 04:00:00,2022-08-24 05:45:00,1.93,8.77
81,2022-08-25 04:00:00,2022-08-25 05:45:00,2.0,9.07
82,2022-08-26 03:00:00,2022-08-26 03:45:00,0.81,4.29
83,2022-08-26 04:15:00,2022-08-26 05:15:00,1.12,3.53
84,2022-08-26 05:45:00,2022-08-26 05:45:00,0.12,0.89
85,2022-08-27 04:00:00,2022-08-27 05:45:00,1.93,8.81
86,2022-08-28 04:00:00,2022-08-28 05:45:00,1.93,8.64
87,2022-08-28 21:45:00,2022-08-29 00:45:00,2.95,13.18
88,2022-08-29 04:00:00,2022-08-29 05:45:00,2.0,9.04
89,2022-08-30 04:00:00,2022-08-30 07:30:00,3.56,16.24
90,2022-08-31 04:00:00,2022-08-31 04:45:00,0.78,4.48
91,2022-08-31 05:15:00,2022-08-31 05:15:00,0.12,1.05
92,2022-08-31 05:45:00,2022-08-31 05:45:00,0.12,0.58
93,2022-09-01 04:00:00,2022-09-01 05:45:00,1.93,8.76
94,2022-09-02 02:00:00,2022-09-02 02:15:00,0.35,0.92
95,2022-09-02 03:00:00,2022-09-02 03:15:00,0.46,1.94
96,2022-09-02 04:00:00,2022-09-02 05:45:00,2.0,9.09
97,2022-09-02 07:30:00,2022-09-02 07:30:00,0.12,0.95
98,2022-09-02 08:15:00,2022-09-02 08:30:00,0.45,1.32
99,2022-09-02 09:30:00,2022-09-02 09:45:00,0.31,0.88
100,2022-09-02 12:45:00,2022-09-02 17:30:00,4.8,21.29
101,2022-09-03 04:00:00,2022-09-03 05:45:00,1.99,9.06
102,2022-09-04 01:45:00,2022-09-04 02:00:00,0.29,0.88
103,2022-09-04 02:30:00,2022-09-04 02:45:00,0.49,1.1
104,2022-09-04 03:15:00,2022-09-04 03:30:00,0.3,1.17
105,2022-09-04 04:00:00,2022-09-04 05:45:00,2.0,9.08
106,2022-09-04 08:15:00,2022-09-04 08:15:00,0.12,0.65
107,2022-09-04 09:15:00,2022-09-04 09:30:00,0.49,0.88
108,2022-09-04 11:30:00,2022-09-04 15:15:00,3.92,16.13
109,2022-09-05 04:00:00,2022-09-05 05:15:00,1.42,5.33
110,2022-09-05 05:45:00,2022-09-05 05:45:00,0.12,0.79
111,2022-09-05 10:30:00,2022-09-05 10:30:00,0.12,0.97
112,2022-09-06 04:00:00,2022-09-06 05:15:00,1.32,7.39
113,2022-09-06 05:45:00,2022-09-06 05:45:00,0.12,0.95
114,2022-09-07 04:00:00,2022-09-07 05:00:00,1.1,6.1
115,2022-09-07 05:30:00,2022-09-07 05:45:00,0.36,1.3
116,2022-09-07 10:30:00,2022-09-07 10:30:00,0.12,0.29
117,2022-09-08 04:00:00,2022-09-08 05:45:00,1.82,9.73
118,2022-09-09 03:15:00,2022-09-09 03:15:00,0.12,0.66
119,2022-09-09 04:00:00,2022-09-09 05:45:00,1.93,9.48
120,2022-09-10 00:15:00,2022-09-10 00:30:00,0.31,0.86
121,2022-09-10 01:45:00,2022-09-10 01:45:00,0.12,0.68
122,2022-09-10 03:00:00,2022-09-10 03:00:00,0.12,0.71
123,2022-09-10 04:00:00,2022-09-10 05:45:00,1.92,9.76
124,2022-09-10 20:30:00,2022-09-10 20:45:00,0.31,0.6
125,2022-09-10 21:30:00,2022-09-10 21:45:00,0.31,0.74
126,2022-09-10 23:00:00,2022-09-10 23:15:00,0.4,0.77
127,2022-09-11 00:15:00,2022-09-11 00:15:00,0.12,0.67
128,2022-09-11 01:30:00,2022-09-11 01:30:00,0.12,0.7
129,2022-09-11 02:45:00,2022-09-11 02:45:00,0.12,0.7
130,2022-09-11 04:00:00,2022-09-11 05:45:00,1.98,10.06
131,2022-09-12 01:15:00,2022-09-12 01:15:00,0.12,0.71
132,2022-09-12 02:15:00,2022-09-12 02:15:00,0.12,0.83
133,2022-09-12 03:15:00,2022-09-12 03:30:00,0.36,0.87
134,2022-09-12 04:00:00,2022-09-12 05:45:00,1.93,9.27
135,2022-09-13 00:45:00,2022-09-13 01:00:00,0.45,0.87
136,2022-09-13 02:00:00,2022-09-13 02:15:00,0.49,0.76
137,2022-09-13 03:15:00,2022-09-13 03:15:00,0.12,0.79
138,2022-09-13 04:00:00,2022-09-13 05:45:00,1.93,9.28
139,2022-09-13 08:15:00,2022-09-13 09:15:00,1.16,6.48
140,2022-09-14 04:00:00,2022-09-14 05:45:00,1.93,10.24
141,2022-09-15 04:00:00,2022-09-15 05:45:00,1.91,10.16
142,2022-09-15 22:15:00,2022-09-15 22:30:00,0.41,0.81
143,2022-09-15 23:30:00,2022-09-15 23:30:00,0.12,0.94
144,2022-09-16 00:15:00,2022-09-16 00:30:00,0.32,1.1
145,2022-09-16 01:15:00,2022-09-16 01:30:00,0.38,1.14
146,2022-09-16 02:00:00,2022-09-16 02:15:00,0.31,1.14
147,2022-09-16 03:00:00,2022-09-16 03:15:00,0.38,1.22
148,2022-09-16 03:45:00,2022-09-16 05:45:00,2.11,9.64
149,2022-09-16 07:15:00,2022-09-16 07:30:00,0.35,1.52
