cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:45:00,2021-01-01 01:30:00,0.64,3.41
1,2021-01-01 03:15:00,2021-01-01 04:00:00,0.65,3.45
2,2021-01-01 06:00:00,2021-01-01 06:45:00,0.99,4.86
3,2021-01-01 08:15:00,2021-01-01 09:00:00,0.61,3.27
4,2021-01-01 11:00:00,2021-01-01 11:30:00,0.65,3.5
5,2021-01-01 13:30:00,2021-01-01 14:00:00,0.62,3.31
6,2021-01-01 16:00:00,2021-01-01 16:15:00,0.47,2.42
7,2021-01-01 18:15:00,2021-01-01 19:45:00,1.66,8.64
8,2021-01-01 22:00:00,2021-01-01 22:45:00,0.64,3.43
9,2021-01-02 00:45:00,2021-01-02 01:15:00,0.64,3.38
10,2021-01-02 03:15:00,2021-01-02 03:45:00,0.66,3.35
11,2021-01-02 05:45:00,2021-01-02 06:30:00,1.0,4.92
12,2021-01-02 08:00:00,2021-01-02 08:30:00,0.62,3.34
13,2021-01-02 10:30:00,2021-01-02 11:00:00,0.62,3.32
14,2021-01-02 13:00:00,2021-01-02 13:30:00,0.67,3.54
15,2021-01-02 15:30:00,2021-01-02 16:00:00,0.69,3.56
16,2021-01-02 17:45:00,2021-01-02 18:30:00,0.69,3.48
17,2021-01-02 20:15:00,2021-01-02 21:45:00,1.48,7.46
18,2021-01-02 23:45:00,2021-01-03 00:15:00,0.7,3.69
19,2021-01-03 02:15:00,2021-01-03 02:45:00,0.72,3.75
20,2021-01-03 04:45:00,2021-01-03 05:15:00,0.71,3.7
21,2021-01-03 07:15:00,2021-01-03 08:45:00,1.54,8.0
22,2021-01-03 11:00:00,2021-01-03 11:45:00,0.64,3.39
23,2021-01-03 13:45:00,2021-01-03 14:15:00,0.62,3.24
24,2021-01-03 16:00:00,2021-01-03 17:00:00,0.93,4.73
25,2021-01-03 19:00:00,2021-01-03 20:15:00,1.47,7.62
26,2021-01-03 22:15:00,2021-01-03 23:15:00,0.98,5.07
27,2021-01-04 01:00:00,2021-01-04 02:45:00,1.71,8.71
28,2021-01-04 04:45:00,2021-01-04 05:15:00,0.67,3.44
29,2021-01-04 07:15:00,2021-01-04 08:00:00,0.7,3.59
30,2021-01-04 11:15:00,2021-01-04 12:15:00,0.99,4.92
31,2021-01-04 14:15:00,2021-01-04 15:45:00,1.47,7.58
32,2021-01-04 17:45:00,2021-01-04 18:30:00,0.72,3.78
33,2021-01-04 20:15:00,2021-01-04 21:00:00,0.91,4.73
34,2021-01-04 23:00:00,2021-01-05 00:00:00,0.94,4.67
35,2021-01-05 02:00:00,2021-01-05 03:15:00,1.44,7.45
36,2021-01-05 05:15:00,2021-01-05 06:15:00,0.91,4.77
37,2021-01-05 08:15:00,2021-01-05 09:00:00,0.69,3.47
38,2021-01-05 11:30:00,2021-01-05 13:15:00,1.76,8.92
39,2021-01-05 15:15:00,2021-01-05 16:15:00,0.92,4.78
40,2021-01-05 18:15:00,2021-01-05 18:45:00,0.68,3.47
41,2021-01-05 20:30:00,2021-01-05 21:15:00,0.72,3.62
42,2021-01-05 23:00:00,2021-01-06 00:15:00,1.25,6.07
43,2021-01-06 01:45:00,2021-01-06 02:30:00,0.91,4.77
44,2021-01-06 04:30:00,2021-01-06 05:30:00,0.93,4.78
45,2021-01-06 07:30:00,2021-01-06 08:30:00,1.25,6.29
46,2021-01-06 11:15:00,2021-01-06 12:15:00,0.98,5.09
47,2021-01-06 14:15:00,2021-01-06 15:00:00,0.72,3.69
48,2021-01-06 18:00:00,2021-01-06 19:30:00,1.65,8.44
49,2021-01-06 21:30:00,2021-01-06 22:15:00,0.7,3.65
50,2021-01-07 00:00:00,2021-01-07 01:30:00,1.38,7.11
51,2021-01-07 03:15:00,2021-01-07 04:00:00,0.7,3.67
52,2021-01-07 05:45:00,2021-01-07 06:30:00,0.7,3.62
53,2021-01-07 08:15:00,2021-01-07 09:15:00,0.92,4.51
54,2021-01-07 11:00:00,2021-01-07 11:30:00,0.57,3.03
55,2021-01-07 13:30:00,2021-01-07 14:30:00,0.88,4.67
56,2021-01-07 16:15:00,2021-01-07 16:15:00,0.12,0.21
57,2021-01-07 18:00:00,2021-01-07 19:15:00,1.42,7.22
58,2021-01-07 21:00:00,2021-01-07 21:45:00,0.91,4.78
59,2021-01-08 00:00:00,2021-01-08 00:30:00,0.7,3.64
60,2021-01-08 02:15:00,2021-01-08 03:45:00,1.53,7.88
