cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-12 22:00:00,2022-07-12 22:15:00,0.45,1.96
1,2022-07-13 22:00:00,2022-07-13 22:15:00,0.48,1.86
2,2022-07-14 22:00:00,2022-07-14 22:15:00,0.35,1.3
3,2022-07-17 00:30:00,2022-07-17 00:45:00,0.36,1.18
4,2022-07-17 22:00:00,2022-07-17 22:15:00,0.34,1.25
5,2022-07-18 22:00:00,2022-07-18 22:15:00,0.34,1.27
6,2022-07-19 22:00:00,2022-07-19 22:15:00,0.34,1.24
7,2022-07-20 22:00:00,2022-07-20 22:15:00,0.31,1.17
8,2022-07-21 22:00:00,2022-07-21 22:15:00,0.36,1.33
9,2022-07-24 01:15:00,2022-07-24 01:30:00,0.28,0.96
10,2022-07-24 22:00:00,2022-07-24 22:15:00,0.29,1.07
11,2022-07-25 22:00:00,2022-07-25 22:15:00,0.29,1.12
12,2022-07-26 22:00:00,2022-07-26 22:15:00,0.39,1.4
13,2022-07-27 22:00:00,2022-07-27 22:15:00,0.35,1.29
14,2022-07-28 22:00:00,2022-07-28 22:15:00,0.33,1.22
15,2022-07-31 00:15:00,2022-07-31 00:30:00,0.3,1.22
16,2022-07-31 22:00:00,2022-07-31 22:15:00,0.47,1.66
17,2022-08-01 22:00:00,2022-08-01 22:15:00,0.48,1.85
18,2022-08-02 22:00:00,2022-08-02 22:15:00,0.47,1.68
19,2022-08-03 22:00:00,2022-08-03 22:15:00,0.47,1.9
20,2022-08-04 22:00:00,2022-08-04 22:15:00,0.44,1.59
21,2022-08-07 00:45:00,2022-08-07 01:00:00,0.46,1.22
22,2022-08-07 22:00:00,2022-08-07 22:30:00,0.56,2.41
23,2022-08-08 22:00:00,2022-08-08 22:30:00,0.59,2.53
24,2022-08-09 22:00:00,2022-08-09 22:30:00,0.48,2.09
25,2022-08-10 22:00:00,2022-08-10 22:30:00,0.61,2.6
26,2022-08-11 22:00:00,2022-08-11 22:30:00,0.57,2.46
27,2022-08-13 09:00:00,2022-08-13 09:30:00,0.66,2.79
28,2022-08-14 04:15:00,2022-08-14 04:30:00,0.49,1.92
29,2022-08-14 05:00:00,2022-08-14 05:00:00,0.12,0.68
30,2022-08-15 00:00:00,2022-08-15 00:30:00,0.37,1.6
31,2022-08-15 22:00:00,2022-08-15 22:15:00,0.45,1.92
32,2022-08-16 22:00:00,2022-08-16 22:15:00,0.48,1.7
33,2022-08-17 22:00:00,2022-08-17 22:15:00,0.46,1.9
34,2022-08-18 22:00:00,2022-08-18 22:15:00,0.47,1.87
35,2022-08-20 22:00:00,2022-08-20 22:15:00,0.39,1.38
36,2022-08-21 22:00:00,2022-08-21 22:15:00,0.41,1.44
37,2022-08-22 22:00:00,2022-08-22 22:15:00,0.4,1.41
38,2022-08-23 22:00:00,2022-08-23 22:30:00,0.49,2.14
39,2022-08-24 22:00:00,2022-08-24 22:30:00,0.6,2.6
40,2022-08-25 22:00:00,2022-08-25 22:30:00,0.58,2.54
41,2022-08-27 22:00:00,2022-08-27 22:30:00,0.55,2.4
42,2022-08-28 22:00:00,2022-08-28 22:30:00,0.56,2.39
43,2022-08-29 22:00:00,2022-08-29 22:30:00,0.51,2.22
44,2022-08-30 22:00:00,2022-08-30 22:30:00,0.53,2.3
45,2022-08-31 22:00:00,2022-08-31 22:30:00,0.58,2.5
46,2022-08-31 23:00:00,2022-08-31 23:15:00,0.31,0.64
47,2022-09-01 22:00:00,2022-09-01 22:30:00,0.58,2.48
48,2022-09-01 23:00:00,2022-09-01 23:00:00,0.12,0.59
49,2022-09-02 05:00:00,2022-09-02 05:30:00,0.4,1.36
50,2022-09-02 07:00:00,2022-09-02 07:15:00,0.45,1.43
51,2022-09-03 22:00:00,2022-09-03 23:00:00,1.19,2.75
52,2022-09-04 06:00:00,2022-09-04 06:15:00,0.47,1.42
53,2022-09-04 22:00:00,2022-09-04 22:15:00,0.5,1.73
54,2022-09-05 22:00:00,2022-09-05 22:15:00,0.39,1.4
55,2022-09-06 22:00:00,2022-09-06 22:15:00,0.38,1.36
56,2022-09-07 22:00:00,2022-09-07 22:15:00,0.39,1.39
57,2022-09-08 22:00:00,2022-09-08 22:15:00,0.44,1.51
58,2022-09-09 06:00:00,2022-09-09 06:15:00,0.5,1.33
59,2022-09-10 06:00:00,2022-09-10 06:15:00,0.49,1.29
60,2022-09-10 22:00:00,2022-09-10 22:45:00,0.78,2.16
61,2022-09-11 06:00:00,2022-09-11 06:15:00,0.46,1.43
62,2022-09-11 08:45:00,2022-09-11 09:00:00,0.36,1.19
63,2022-09-11 22:00:00,2022-09-11 22:45:00,0.92,2.23
64,2022-09-12 02:45:00,2022-09-12 03:00:00,0.43,1.38
65,2022-09-12 05:00:00,2022-09-12 05:30:00,0.46,1.49
66,2022-09-12 06:30:00,2022-09-12 07:00:00,0.52,1.7
67,2022-09-12 08:30:00,2022-09-12 08:45:00,0.42,1.33
68,2022-09-12 22:00:00,2022-09-12 22:45:00,1.0,2.1
69,2022-09-13 05:45:00,2022-09-13 06:15:00,0.5,1.68
70,2022-09-13 08:00:00,2022-09-13 08:15:00,0.39,1.26
71,2022-09-13 22:00:00,2022-09-13 22:15:00,0.34,1.25
72,2022-09-14 22:00:00,2022-09-14 22:15:00,0.38,1.36
73,2022-09-15 22:00:00,2022-09-15 22:15:00,0.41,1.46
