cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-08 01:00:00,2022-06-08 01:15:00,0.3,0.62
1,2022-06-08 01:45:00,2022-06-08 03:15:00,1.75,1.74
2,2022-06-08 03:45:00,2022-06-08 05:00:00,1.5,1.77
3,2022-06-08 05:30:00,2022-06-08 05:30:00,0.12,0.44
4,2022-06-08 06:00:00,2022-06-08 06:00:00,0.12,0.49
5,2022-06-08 06:45:00,2022-06-08 06:45:00,0.12,0.34
6,2022-06-09 19:15:00,2022-06-09 20:00:00,1.0,1.41
7,2022-06-09 20:30:00,2022-06-09 20:30:00,0.12,0.4
8,2022-06-09 21:00:00,2022-06-09 21:00:00,0.12,0.37
9,2022-06-09 21:30:00,2022-06-09 22:15:00,1.0,1.29
10,2022-06-09 22:45:00,2022-06-10 00:15:00,1.75,2.36
11,2022-06-10 00:45:00,2022-06-10 02:45:00,2.25,2.94
12,2022-06-10 03:15:00,2022-06-10 05:15:00,2.25,3.45
13,2022-06-10 05:45:00,2022-06-10 05:45:00,0.12,0.58
14,2022-06-10 06:15:00,2022-06-10 06:45:00,0.75,0.88
15,2022-06-10 07:15:00,2022-06-10 07:15:00,0.12,0.55
16,2022-06-10 21:30:00,2022-06-10 22:00:00,0.63,0.63
17,2022-06-10 22:30:00,2022-06-10 22:30:00,0.12,0.32
18,2022-06-10 23:00:00,2022-06-10 23:00:00,0.12,0.4
19,2022-06-10 23:30:00,2022-06-11 01:45:00,2.5,2.41
20,2022-06-11 02:15:00,2022-06-11 02:15:00,0.12,0.53
21,2022-06-11 02:45:00,2022-06-11 02:45:00,0.12,0.37
22,2022-06-11 03:15:00,2022-06-11 03:45:00,0.75,1.2
23,2022-06-11 04:15:00,2022-06-11 04:45:00,0.75,1.0
24,2022-06-11 05:15:00,2022-06-11 05:45:00,0.75,0.99
25,2022-06-11 06:15:00,2022-06-11 06:15:00,0.12,0.32
26,2022-06-11 23:15:00,2022-06-11 23:45:00,0.75,0.64
27,2022-06-12 00:15:00,2022-06-12 00:15:00,0.12,0.38
28,2022-06-12 00:45:00,2022-06-12 00:45:00,0.12,0.31
29,2022-06-12 01:15:00,2022-06-12 01:45:00,0.75,0.72
30,2022-06-12 02:15:00,2022-06-12 03:15:00,1.25,1.17
31,2022-06-12 03:45:00,2022-06-12 04:30:00,1.0,1.11
32,2022-06-12 05:00:00,2022-06-12 05:00:00,0.12,0.46
33,2022-06-12 05:30:00,2022-06-12 06:15:00,0.82,0.83
34,2022-06-13 06:15:00,2022-06-13 06:15:00,0.12,0.25
35,2022-06-13 22:15:00,2022-06-13 22:15:00,0.12,0.3
36,2022-06-13 23:15:00,2022-06-14 00:00:00,0.89,0.74
37,2022-06-14 00:30:00,2022-06-14 01:00:00,0.75,0.83
38,2022-06-14 01:30:00,2022-06-14 01:30:00,0.12,0.42
39,2022-06-14 02:00:00,2022-06-14 02:00:00,0.12,0.46
40,2022-06-14 02:30:00,2022-06-14 03:30:00,1.25,1.62
41,2022-06-14 04:00:00,2022-06-14 06:15:00,2.28,3.01
42,2022-06-14 22:30:00,2022-06-14 22:30:00,0.12,0.31
43,2022-06-14 23:15:00,2022-06-14 23:30:00,0.4,0.35
44,2022-06-15 00:00:00,2022-06-15 00:00:00,0.12,0.38
45,2022-06-15 00:30:00,2022-06-15 00:30:00,0.12,0.42
46,2022-06-15 01:00:00,2022-06-15 01:00:00,0.12,0.36
47,2022-06-15 01:30:00,2022-06-15 02:00:00,0.75,0.8
48,2022-06-15 02:30:00,2022-06-15 04:30:00,2.25,2.13
49,2022-06-15 05:00:00,2022-06-15 05:00:00,0.12,0.32
50,2022-06-15 05:30:00,2022-06-15 05:30:00,0.12,0.32
51,2022-06-15 06:15:00,2022-06-15 06:30:00,0.32,0.43
52,2022-06-17 04:45:00,2022-06-17 05:00:00,0.38,0.34
53,2022-06-17 05:30:00,2022-06-17 05:30:00,0.12,0.28
54,2022-06-18 02:15:00,2022-06-18 02:15:00,0.12,0.26
55,2022-06-18 03:45:00,2022-06-18 03:45:00,0.12,0.28
56,2022-06-18 04:30:00,2022-06-18 04:30:00,0.12,0.34
57,2022-06-18 05:00:00,2022-06-18 05:00:00,0.12,0.28
58,2022-06-18 05:45:00,2022-06-18 05:45:00,0.12,0.29
59,2022-06-23 00:15:00,2022-06-23 00:15:00,0.12,0.26
60,2022-06-23 02:15:00,2022-06-23 02:15:00,0.12,0.3
61,2022-06-23 03:00:00,2022-06-23 03:00:00,0.12,0.27
62,2022-06-23 04:00:00,2022-06-23 04:00:00,0.12,0.32
63,2022-06-23 05:15:00,2022-06-23 05:15:00,0.12,0.32
64,2022-06-23 05:45:00,2022-06-23 05:45:00,0.12,0.28
65,2022-06-24 03:30:00,2022-06-24 03:30:00,0.12,0.26
66,2022-06-24 04:45:00,2022-06-24 05:00:00,0.38,0.39
67,2022-06-24 05:45:00,2022-06-24 05:45:00,0.12,0.32
68,2022-06-24 19:15:00,2022-06-24 19:15:00,0.12,0.29
69,2022-06-24 21:30:00,2022-06-24 22:00:00,0.66,0.74
