cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-22 23:45:00,0.96,2.75
1,2021-01-23 00:15:00,2021-01-23 01:00:00,1.0,3.61
2,2021-01-23 01:30:00,2021-01-23 01:45:00,0.46,1.38
3,2021-01-23 02:15:00,2021-01-23 05:30:00,3.5,23.12
4,2021-01-23 06:00:00,2021-01-23 06:15:00,0.45,4.41
5,2021-01-23 06:45:00,2021-01-23 07:00:00,0.46,4.96
6,2021-01-23 07:30:00,2021-01-23 08:00:00,0.61,8.07
7,2021-01-23 08:30:00,2021-01-23 10:00:00,1.75,12.31
8,2021-01-23 10:30:00,2021-01-23 12:00:00,1.75,12.09
9,2021-01-23 12:30:00,2021-01-23 14:30:00,2.25,13.32
10,2021-01-23 15:00:00,2021-01-23 18:15:00,3.43,25.4
11,2021-01-23 18:45:00,2021-01-23 20:15:00,1.75,13.25
12,2021-01-23 20:45:00,2021-01-23 21:00:00,0.49,1.47
13,2021-01-23 21:30:00,2021-01-23 22:45:00,1.5,5.24
14,2021-01-23 23:15:00,2021-01-24 00:00:00,1.0,2.66
15,2021-01-24 00:30:00,2021-01-24 00:45:00,0.5,1.34
16,2021-01-24 01:15:00,2021-01-24 01:15:00,0.12,1.09
17,2021-01-24 01:45:00,2021-01-24 02:00:00,0.45,1.44
18,2021-01-24 02:30:00,2021-01-24 06:00:00,3.75,24.93
19,2021-01-24 06:30:00,2021-01-24 06:45:00,0.44,5.0
20,2021-01-24 07:15:00,2021-01-24 07:30:00,0.42,5.53
21,2021-01-24 08:00:00,2021-01-24 09:00:00,1.13,9.72
22,2021-01-24 09:30:00,2021-01-24 10:30:00,1.04,6.83
23,2021-01-24 11:00:00,2021-01-24 11:00:00,0.12,0.74
24,2021-01-24 11:30:00,2021-01-24 11:30:00,0.12,0.81
25,2021-01-24 12:00:00,2021-01-24 12:00:00,0.12,0.96
26,2021-01-24 12:30:00,2021-01-24 12:30:00,0.12,0.84
27,2021-01-24 13:00:00,2021-01-24 13:00:00,0.12,0.65
28,2021-01-24 13:30:00,2021-01-24 13:30:00,0.12,0.61
29,2021-01-24 14:00:00,2021-01-24 15:00:00,1.25,2.92
30,2021-01-24 15:30:00,2021-01-24 17:15:00,1.99,14.68
31,2021-01-24 17:45:00,2021-01-24 20:00:00,2.33,20.95
32,2021-01-24 20:30:00,2021-01-24 22:00:00,1.72,13.73
33,2021-01-24 22:30:00,2021-01-25 01:15:00,2.74,15.71
34,2021-01-25 01:45:00,2021-01-25 02:00:00,0.34,3.96
35,2021-01-25 02:30:00,2021-01-25 02:45:00,0.44,3.78
36,2021-01-25 03:15:00,2021-01-25 05:45:00,2.68,23.89
37,2021-01-25 06:15:00,2021-01-25 07:45:00,1.58,15.82
38,2021-01-25 08:15:00,2021-01-25 08:30:00,0.48,6.1
39,2021-01-25 09:00:00,2021-01-25 09:15:00,0.39,5.17
40,2021-01-25 09:45:00,2021-01-25 09:45:00,0.12,1.76
41,2021-01-25 11:00:00,2021-01-25 12:15:00,1.45,14.23
42,2021-01-25 12:45:00,2021-01-25 13:00:00,0.46,3.83
43,2021-01-25 13:30:00,2021-01-25 13:45:00,0.42,5.02
44,2021-01-25 14:15:00,2021-01-25 15:15:00,1.24,12.06
45,2021-01-25 15:45:00,2021-01-25 16:00:00,0.38,5.05
46,2021-01-25 16:30:00,2021-01-25 16:45:00,0.38,4.97
47,2021-01-25 18:15:00,2021-01-25 21:00:00,2.9,28.47
48,2021-01-25 21:30:00,2021-01-25 22:15:00,1.0,4.15
49,2021-01-25 22:45:00,2021-01-25 23:00:00,0.5,2.86
50,2021-01-25 23:30:00,2021-01-25 23:45:00,0.33,2.98
51,2021-01-26 00:15:00,2021-01-26 05:30:00,5.44,34.25
52,2021-01-26 06:00:00,2021-01-26 07:15:00,1.46,14.32
53,2021-01-26 07:45:00,2021-01-26 09:00:00,1.31,12.34
54,2021-01-26 09:30:00,2021-01-26 09:45:00,0.48,5.61
55,2021-01-26 11:00:00,2021-01-26 11:45:00,0.87,11.24
56,2021-01-26 12:15:00,2021-01-26 13:45:00,1.75,11.66
57,2021-01-26 14:15:00,2021-01-26 14:15:00,0.12,2.16
58,2021-01-26 14:45:00,2021-01-26 16:45:00,2.15,14.47
59,2021-01-26 18:15:00,2021-01-26 20:15:00,2.15,22.96
60,2021-01-26 20:45:00,2021-01-26 21:15:00,0.62,5.92
61,2021-01-26 21:45:00,2021-01-26 23:00:00,1.34,8.35
62,2021-01-26 23:30:00,2021-01-27 06:45:00,7.43,53.05
63,2021-01-27 09:30:00,2021-01-27 09:45:00,0.41,2.8
64,2021-01-27 11:00:00,2021-01-27 13:30:00,2.59,9.48
65,2021-01-27 14:00:00,2021-01-27 16:45:00,3.0,6.6
66,2021-01-27 18:15:00,2021-01-27 20:00:00,1.68,7.24
67,2021-01-27 20:30:00,2021-01-27 21:30:00,1.06,6.85
68,2021-01-28 05:30:00,2021-01-28 06:30:00,0.99,6.03
69,2021-01-28 07:00:00,2021-01-28 08:15:00,1.32,5.01
70,2021-01-28 08:45:00,2021-01-28 09:45:00,1.25,3.42
71,2021-01-28 11:00:00,2021-01-28 11:45:00,0.96,7.94
72,2021-01-28 12:15:00,2021-01-28 12:30:00,0.38,2.25
73,2021-01-28 13:00:00,2021-01-28 13:00:00,0.12,0.74
74,2021-01-28 13:30:00,2021-01-28 14:00:00,0.75,2.96
75,2021-01-28 14:30:00,2021-01-28 15:45:00,1.5,5.25
76,2021-01-28 16:15:00,2021-01-28 16:15:00,0.12,0.75
77,2021-01-28 16:45:00,2021-01-28 16:45:00,0.12,1.25
78,2021-01-28 18:15:00,2021-01-28 20:15:00,2.25,9.35
79,2021-01-28 20:45:00,2021-01-28 20:45:00,0.12,0.76
80,2021-01-28 21:15:00,2021-01-28 21:30:00,0.4,2.25
81,2021-01-28 22:00:00,2021-01-28 22:00:00,0.12,0.48
82,2021-01-28 22:30:00,2021-01-28 22:30:00,0.12,0.66
83,2021-01-28 23:00:00,2021-01-28 23:00:00,0.12,0.67
84,2021-01-28 23:30:00,2021-01-28 23:30:00,0.12,0.78
85,2021-01-29 00:00:00,2021-01-29 00:00:00,0.12,0.76
86,2021-01-29 00:30:00,2021-01-29 00:30:00,0.12,0.75
87,2021-01-29 01:00:00,2021-01-29 01:00:00,0.12,0.73
88,2021-01-29 01:30:00,2021-01-29 02:00:00,0.69,2.06
89,2021-01-29 02:30:00,2021-01-29 03:15:00,1.0,2.5
90,2021-01-29 03:45:00,2021-01-29 05:15:00,1.59,6.28
91,2021-01-29 05:45:00,2021-01-29 05:45:00,0.12,0.6
92,2021-01-29 06:15:00,2021-01-29 06:15:00,0.12,2.01
93,2021-01-29 06:45:00,2021-01-29 07:00:00,0.4,2.2
94,2021-01-29 07:30:00,2021-01-29 07:30:00,0.12,0.74
95,2021-01-29 08:00:00,2021-01-29 09:15:00,1.5,6.04
96,2021-01-29 09:45:00,2021-01-29 09:45:00,0.12,0.72
97,2021-01-29 11:00:00,2021-01-29 12:00:00,1.17,6.97
98,2021-01-29 12:30:00,2021-01-29 13:00:00,0.75,2.71
99,2021-01-29 13:30:00,2021-01-29 13:30:00,0.12,0.66
100,2021-01-29 14:00:00,2021-01-29 14:15:00,0.47,2.31
101,2021-01-29 14:45:00,2021-01-29 14:45:00,0.12,0.67
102,2021-01-29 15:15:00,2021-01-29 16:30:00,1.5,5.42
103,2021-01-29 18:15:00,2021-01-29 22:00:00,3.92,16.22
104,2021-01-29 22:30:00,2021-01-30 01:30:00,3.25,6.12
105,2021-01-30 02:00:00,2021-01-30 03:15:00,1.5,2.82
106,2021-01-30 03:45:00,2021-01-30 05:00:00,1.5,5.71
107,2021-01-30 05:30:00,2021-01-30 07:15:00,2.0,7.99
108,2021-01-30 07:45:00,2021-01-30 10:45:00,3.25,11.8
109,2021-01-30 11:15:00,2021-01-30 11:30:00,0.38,2.14
110,2021-01-30 12:00:00,2021-01-30 12:00:00,0.12,0.76
111,2021-01-30 12:30:00,2021-01-30 14:15:00,2.0,8.09
112,2021-01-30 14:45:00,2021-01-30 14:45:00,0.12,0.73
113,2021-01-30 15:15:00,2021-01-30 15:30:00,0.46,2.47
114,2021-01-30 16:00:00,2021-01-30 17:45:00,2.0,7.59
115,2021-01-30 18:15:00,2021-01-30 18:15:00,0.12,0.78
116,2021-01-30 18:45:00,2021-01-30 19:30:00,1.0,4.3
117,2021-01-30 20:00:00,2021-01-30 20:00:00,0.12,0.77
118,2021-01-30 20:30:00,2021-01-30 21:45:00,1.47,5.67
119,2021-01-30 22:15:00,2021-01-30 22:15:00,0.12,0.52
120,2021-01-30 22:45:00,2021-01-31 03:30:00,5.0,8.59
121,2021-01-31 04:00:00,2021-01-31 05:15:00,1.5,7.03
122,2021-01-31 05:45:00,2021-01-31 06:30:00,1.0,3.88
123,2021-01-31 07:00:00,2021-01-31 07:30:00,0.7,3.82
124,2021-01-31 08:00:00,2021-01-31 08:45:00,0.9,2.67
125,2021-01-31 09:15:00,2021-01-31 10:30:00,1.5,5.45
126,2021-01-31 11:00:00,2021-01-31 11:00:00,0.12,0.74
127,2021-01-31 11:30:00,2021-01-31 12:00:00,0.73,3.76
128,2021-01-31 12:30:00,2021-01-31 12:30:00,0.12,0.63
