cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-03 03:45:00,2022-05-03 04:00:00,0.45,0.74
1,2022-05-03 06:00:00,2022-05-03 06:15:00,0.48,0.92
2,2022-05-03 07:45:00,2022-05-03 08:15:00,0.48,1.03
3,2022-05-03 13:15:00,2022-05-03 13:45:00,0.51,1.51
4,2022-05-03 21:15:00,2022-05-03 21:30:00,0.45,0.6
5,2022-05-04 00:30:00,2022-05-04 00:45:00,0.45,0.81
6,2022-05-04 03:15:00,2022-05-04 03:30:00,0.4,0.82
7,2022-05-04 05:15:00,2022-05-04 05:45:00,0.63,1.38
8,2022-05-04 07:00:00,2022-05-04 07:30:00,0.61,2.1
9,2022-05-04 18:30:00,2022-05-04 18:45:00,0.47,0.66
10,2022-05-04 21:00:00,2022-05-04 21:45:00,0.81,2.27
11,2022-05-05 00:45:00,2022-05-05 01:00:00,0.5,0.82
12,2022-05-05 03:45:00,2022-05-05 04:00:00,0.44,0.81
13,2022-05-05 06:15:00,2022-05-05 07:15:00,1.06,2.45
14,2022-05-05 09:45:00,2022-05-05 10:00:00,0.32,0.69
15,2022-05-05 13:15:00,2022-05-05 13:30:00,0.35,0.68
16,2022-05-05 16:30:00,2022-05-05 17:00:00,0.42,0.78
17,2022-05-05 19:00:00,2022-05-05 19:30:00,0.5,1.04
18,2022-05-05 21:00:00,2022-05-05 22:00:00,0.84,2.37
19,2022-05-06 00:30:00,2022-05-06 00:45:00,0.36,0.78
20,2022-05-06 03:15:00,2022-05-06 03:45:00,0.41,0.84
21,2022-05-06 06:00:00,2022-05-06 06:15:00,0.42,0.91
22,2022-05-06 07:00:00,2022-05-06 07:45:00,0.64,2.04
23,2022-05-06 10:00:00,2022-05-06 10:15:00,0.5,0.83
24,2022-05-06 12:30:00,2022-05-06 13:00:00,0.41,0.85
25,2022-05-06 16:45:00,2022-05-06 17:00:00,0.41,0.71
26,2022-05-06 21:00:00,2022-05-06 21:15:00,0.41,0.76
27,2022-05-07 00:30:00,2022-05-07 00:45:00,0.37,0.78
28,2022-05-07 03:45:00,2022-05-07 04:00:00,0.38,0.82
29,2022-05-07 05:15:00,2022-05-07 05:45:00,0.5,1.7
30,2022-05-07 07:30:00,2022-05-07 07:45:00,0.45,0.84
31,2022-05-07 09:45:00,2022-05-07 10:00:00,0.47,0.88
32,2022-05-07 17:45:00,2022-05-07 18:30:00,0.77,2.12
33,2022-05-07 23:30:00,2022-05-07 23:45:00,0.44,0.74
34,2022-05-08 04:00:00,2022-05-08 04:15:00,0.45,0.72
35,2022-05-08 07:00:00,2022-05-08 07:30:00,0.49,1.66
36,2022-05-08 09:30:00,2022-05-08 10:00:00,0.44,0.8
37,2022-05-08 19:45:00,2022-05-08 20:00:00,0.41,0.6
38,2022-05-08 20:30:00,2022-05-08 21:00:00,0.49,1.36
39,2022-05-09 00:30:00,2022-05-09 00:45:00,0.34,0.62
40,2022-05-09 04:15:00,2022-05-09 04:30:00,0.39,0.7
41,2022-05-09 07:00:00,2022-05-09 07:45:00,0.76,2.2
42,2022-05-09 10:15:00,2022-05-09 10:30:00,0.37,0.64
43,2022-05-09 21:15:00,2022-05-09 21:45:00,0.61,1.75
44,2022-05-10 05:30:00,2022-05-10 06:00:00,0.46,0.96
45,2022-05-10 07:15:00,2022-05-10 07:45:00,0.49,0.97
46,2022-05-10 08:30:00,2022-05-10 09:00:00,0.5,1.57
47,2022-05-11 06:15:00,2022-05-11 06:30:00,0.45,1.31
48,2022-05-11 21:15:00,2022-05-11 21:45:00,0.54,1.37
49,2022-05-12 18:00:00,2022-05-12 18:45:00,0.63,1.73
50,2022-05-13 13:15:00,2022-05-13 13:45:00,0.65,1.76
51,2022-05-14 15:30:00,2022-05-14 16:00:00,0.54,1.38
52,2022-05-14 22:00:00,2022-05-14 22:15:00,0.42,1.2
53,2022-05-15 20:00:00,2022-05-15 20:30:00,0.51,1.26
54,2022-05-16 06:15:00,2022-05-16 06:45:00,0.52,1.42
55,2022-05-16 21:00:00,2022-05-16 21:30:00,0.6,1.54
56,2022-05-17 17:45:00,2022-05-17 18:15:00,0.67,1.79
57,2022-05-18 07:00:00,2022-05-18 07:30:00,0.5,1.52
58,2022-05-18 22:30:00,2022-05-18 22:45:00,0.46,1.29
59,2022-05-19 18:45:00,2022-05-19 19:00:00,0.39,1.04
60,2022-05-20 07:00:00,2022-05-20 07:30:00,0.56,1.64
61,2022-05-21 06:45:00,2022-05-21 07:15:00,0.62,1.72
62,2022-05-22 04:45:00,2022-05-22 05:00:00,0.47,1.25
63,2022-05-22 13:00:00,2022-05-22 13:30:00,0.5,1.44
64,2022-05-22 23:00:00,2022-05-22 23:30:00,0.5,1.22
65,2022-05-23 21:30:00,2022-05-23 22:00:00,0.6,1.48
66,2022-05-24 17:15:00,2022-05-24 17:45:00,0.56,1.48
67,2022-05-25 03:00:00,2022-05-25 03:30:00,0.51,0.94
