cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-25 23:00:00,2021-05-26 00:45:00,2.0,5.2
1,2021-05-26 01:15:00,2021-05-26 02:45:00,1.53,4.86
2,2021-05-26 03:15:00,2021-05-26 04:30:00,1.29,4.09
3,2021-05-26 05:15:00,2021-05-26 05:45:00,0.44,2.21
4,2021-05-26 10:00:00,2021-05-26 10:15:00,0.33,0.9
5,2021-05-26 12:30:00,2021-05-26 12:45:00,0.32,0.84
6,2021-05-26 14:30:00,2021-05-26 14:45:00,0.45,1.18
7,2021-05-26 16:15:00,2021-05-26 16:30:00,0.48,1.64
8,2021-05-26 18:00:00,2021-05-26 18:15:00,0.48,1.33
9,2021-05-26 19:15:00,2021-05-26 20:15:00,1.07,3.0
10,2021-05-26 20:45:00,2021-05-26 21:15:00,0.7,2.11
11,2021-05-26 21:45:00,2021-05-26 22:30:00,0.62,1.96
12,2021-05-26 23:00:00,2021-05-26 23:15:00,0.33,1.5
13,2021-05-26 23:45:00,2021-05-27 01:15:00,1.48,4.74
14,2021-05-27 01:45:00,2021-05-27 02:45:00,1.25,3.85
15,2021-05-27 03:15:00,2021-05-27 06:15:00,3.19,8.17
16,2021-05-27 06:45:00,2021-05-27 07:45:00,0.87,2.83
17,2021-05-27 08:15:00,2021-05-27 08:45:00,0.7,2.36
18,2021-05-27 10:00:00,2021-05-27 10:15:00,0.36,1.07
19,2021-05-27 11:30:00,2021-05-27 11:45:00,0.5,1.16
20,2021-05-27 18:15:00,2021-05-27 18:45:00,0.45,1.76
21,2021-05-27 19:15:00,2021-05-27 19:45:00,0.38,1.58
22,2021-05-27 20:30:00,2021-05-27 21:00:00,0.59,1.9
23,2021-05-27 22:00:00,2021-05-27 22:15:00,0.39,1.82
24,2021-05-27 23:00:00,2021-05-27 23:30:00,0.62,1.84
25,2021-05-28 00:15:00,2021-05-28 00:45:00,0.61,1.95
26,2021-05-28 01:15:00,2021-05-28 02:00:00,0.7,2.26
27,2021-05-28 02:45:00,2021-05-28 03:30:00,0.81,2.53
28,2021-05-28 04:00:00,2021-05-28 06:30:00,2.5,8.07
29,2021-05-28 08:00:00,2021-05-28 08:15:00,0.32,0.89
30,2021-05-28 10:00:00,2021-05-28 10:00:00,0.12,0.17
31,2021-05-28 16:15:00,2021-05-28 16:15:00,0.12,0.34
32,2021-05-28 18:45:00,2021-05-28 19:00:00,0.37,0.68
33,2021-05-28 20:15:00,2021-05-28 20:30:00,0.5,0.92
34,2021-05-28 22:15:00,2021-05-28 22:30:00,0.36,1.24
35,2021-05-28 23:30:00,2021-05-28 23:45:00,0.49,1.32
36,2021-05-29 01:15:00,2021-05-29 01:45:00,0.41,1.48
37,2021-05-29 03:00:00,2021-05-29 03:30:00,0.45,1.62
38,2021-05-29 04:45:00,2021-05-29 05:00:00,0.39,1.27
39,2021-05-29 17:15:00,2021-05-29 17:30:00,0.3,0.64
40,2021-05-29 18:45:00,2021-05-29 19:00:00,0.32,0.98
41,2021-05-29 19:45:00,2021-05-29 20:00:00,0.43,1.03
42,2021-05-29 21:15:00,2021-05-29 21:30:00,0.3,1.29
43,2021-05-29 22:45:00,2021-05-29 23:00:00,0.31,1.25
44,2021-05-30 00:00:00,2021-05-30 00:15:00,0.39,1.51
45,2021-05-30 01:30:00,2021-05-30 02:00:00,0.61,2.24
