cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-03-25 00:15:00,2022-03-25 00:30:00,0.38,1.7
1,2022-03-25 01:15:00,2022-03-25 01:45:00,0.49,2.21
2,2022-03-25 02:15:00,2022-03-25 02:45:00,0.3,1.4
3,2022-03-25 03:30:00,2022-03-25 03:30:00,0.12,1.16
4,2022-03-25 04:30:00,2022-03-25 04:30:00,0.12,1.12
5,2022-03-25 05:15:00,2022-03-25 05:45:00,0.36,1.61
6,2022-03-25 06:15:00,2022-03-25 06:30:00,0.3,1.35
7,2022-03-25 07:15:00,2022-03-25 07:30:00,0.43,1.42
8,2022-03-25 22:15:00,2022-03-25 22:30:00,0.46,1.59
9,2022-03-26 00:30:00,2022-03-26 00:45:00,0.46,1.65
10,2022-03-26 01:45:00,2022-03-26 02:00:00,0.3,1.25
11,2022-03-26 03:30:00,2022-03-26 03:45:00,0.39,1.22
12,2022-03-26 05:00:00,2022-03-26 05:30:00,0.33,1.56
13,2022-03-26 07:15:00,2022-03-26 07:30:00,0.31,1.3
14,2022-03-26 21:30:00,2022-03-26 21:45:00,0.35,1.64
15,2022-03-26 23:00:00,2022-03-26 23:15:00,0.38,1.5
16,2022-03-27 00:30:00,2022-03-27 01:00:00,0.45,2.05
17,2022-03-27 03:00:00,2022-03-27 03:15:00,0.38,1.4
18,2022-03-27 04:45:00,2022-03-27 05:00:00,0.35,1.21
19,2022-03-27 06:30:00,2022-03-27 06:45:00,0.35,1.6
20,2022-03-27 07:30:00,2022-03-27 07:45:00,0.41,1.73
21,2022-03-27 08:15:00,2022-03-27 08:30:00,0.28,1.1
22,2022-03-27 20:00:00,2022-03-27 20:30:00,0.33,1.53
23,2022-03-27 22:30:00,2022-03-27 23:00:00,0.53,2.41
24,2022-03-27 23:45:00,2022-03-28 00:15:00,0.36,1.65
25,2022-03-28 01:00:00,2022-03-28 01:15:00,0.41,1.56
26,2022-03-28 02:00:00,2022-03-28 02:15:00,0.5,1.4
27,2022-03-28 03:45:00,2022-03-28 04:00:00,0.38,1.65
28,2022-03-28 04:45:00,2022-03-28 05:00:00,0.35,1.3
29,2022-03-28 05:45:00,2022-03-28 06:00:00,0.4,1.29
30,2022-03-28 06:30:00,2022-03-28 07:00:00,0.35,1.66
31,2022-03-28 07:30:00,2022-03-28 07:45:00,0.29,1.36
32,2022-03-28 21:00:00,2022-03-28 21:15:00,0.34,1.45
33,2022-03-28 23:00:00,2022-03-28 23:15:00,0.37,1.25
34,2022-03-29 01:30:00,2022-03-29 01:45:00,0.41,1.24
35,2022-03-29 04:30:00,2022-03-29 04:30:00,0.12,1.11
36,2022-03-29 06:15:00,2022-03-29 06:45:00,0.31,1.42
37,2022-03-29 08:30:00,2022-03-29 08:45:00,0.36,1.33
38,2022-03-29 23:00:00,2022-03-29 23:15:00,0.34,1.51
39,2022-03-30 06:00:00,2022-03-30 06:15:00,0.46,1.02
40,2022-03-30 10:00:00,2022-03-30 10:15:00,0.28,1.29
41,2022-03-30 12:45:00,2022-03-30 13:00:00,0.31,1.45
42,2022-03-30 18:45:00,2022-03-30 19:00:00,0.45,1.63
43,2022-03-30 20:00:00,2022-03-30 20:15:00,0.46,1.9
44,2022-03-30 22:00:00,2022-03-30 22:15:00,0.41,1.34
45,2022-03-30 23:15:00,2022-03-30 23:30:00,0.34,1.44
46,2022-03-31 01:00:00,2022-03-31 01:15:00,0.29,1.35
47,2022-03-31 02:30:00,2022-03-31 02:45:00,0.34,1.14
48,2022-03-31 05:30:00,2022-03-31 05:30:00,0.12,0.98
49,2022-03-31 08:00:00,2022-03-31 08:15:00,0.38,1.23
50,2022-03-31 13:30:00,2022-03-31 13:45:00,0.36,1.32
51,2022-03-31 16:45:00,2022-03-31 17:00:00,0.39,1.77
52,2022-03-31 18:45:00,2022-03-31 19:15:00,0.39,1.84
53,2022-03-31 20:15:00,2022-03-31 20:30:00,0.38,1.6
54,2022-03-31 21:30:00,2022-03-31 21:45:00,0.43,1.9
55,2022-03-31 22:45:00,2022-03-31 23:00:00,0.47,1.44
56,2022-03-31 23:45:00,2022-04-01 00:15:00,0.33,1.56
57,2022-04-01 01:15:00,2022-04-01 01:30:00,0.42,1.73
58,2022-04-01 03:15:00,2022-04-01 03:30:00,0.38,1.22
59,2022-04-01 05:15:00,2022-04-01 05:30:00,0.32,1.25
60,2022-04-01 06:15:00,2022-04-01 06:30:00,0.35,1.7
61,2022-04-01 07:30:00,2022-04-01 07:45:00,0.33,1.55
62,2022-04-01 08:30:00,2022-04-01 08:45:00,0.37,1.58
63,2022-04-01 09:30:00,2022-04-01 10:00:00,0.53,2.36
64,2022-04-01 10:45:00,2022-04-01 10:45:00,0.12,0.91
65,2022-04-01 12:00:00,2022-04-01 12:30:00,0.55,2.52
66,2022-04-01 13:15:00,2022-04-01 13:45:00,0.49,2.31
67,2022-04-01 14:30:00,2022-04-01 15:00:00,0.43,1.96
68,2022-04-01 15:45:00,2022-04-01 16:00:00,0.48,2.2
69,2022-04-01 16:45:00,2022-04-01 17:15:00,0.38,1.78
70,2022-04-01 18:45:00,2022-04-01 19:45:00,1.04,4.47
71,2022-04-01 20:15:00,2022-04-01 20:30:00,0.41,1.62
72,2022-04-01 21:00:00,2022-04-01 21:30:00,0.62,2.4
73,2022-04-01 22:00:00,2022-04-01 22:30:00,0.34,1.58
74,2022-04-01 23:00:00,2022-04-01 23:30:00,0.62,2.51
75,2022-04-02 00:00:00,2022-04-02 00:30:00,0.34,1.56
76,2022-04-02 01:00:00,2022-04-02 01:15:00,0.44,1.38
77,2022-04-02 02:00:00,2022-04-02 02:30:00,0.5,2.04
78,2022-04-02 03:15:00,2022-04-02 03:30:00,0.38,1.18
79,2022-04-02 04:15:00,2022-04-02 04:30:00,0.44,1.33
