cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-06 02:00:00,2022-04-06 02:15:00,0.42,1.14
1,2022-04-06 03:45:00,2022-04-06 04:00:00,0.41,1.14
2,2022-04-06 05:30:00,2022-04-06 06:00:00,0.44,1.19
3,2022-04-06 07:30:00,2022-04-06 08:00:00,0.43,1.19
4,2022-04-06 10:00:00,2022-04-06 10:15:00,0.42,0.99
5,2022-04-06 14:00:00,2022-04-06 14:15:00,0.41,0.9
6,2022-04-06 18:45:00,2022-04-06 19:00:00,0.47,1.12
7,2022-04-06 20:45:00,2022-04-06 21:15:00,0.39,1.06
8,2022-04-06 23:00:00,2022-04-06 23:15:00,0.47,0.98
9,2022-04-07 01:15:00,2022-04-07 01:45:00,0.4,1.08
10,2022-04-07 03:30:00,2022-04-07 03:45:00,0.45,1.1
11,2022-04-07 05:30:00,2022-04-07 06:00:00,0.4,1.11
12,2022-04-07 07:45:00,2022-04-07 08:15:00,0.37,1.02
13,2022-04-07 12:00:00,2022-04-07 12:15:00,0.47,1.07
14,2022-04-07 14:00:00,2022-04-07 14:30:00,0.39,1.05
15,2022-04-07 16:45:00,2022-04-07 17:00:00,0.5,1.02
16,2022-04-07 18:45:00,2022-04-07 19:15:00,0.51,1.42
17,2022-04-07 20:30:00,2022-04-07 20:45:00,0.5,1.18
18,2022-04-07 22:00:00,2022-04-07 22:30:00,0.44,1.19
19,2022-04-07 23:45:00,2022-04-08 00:15:00,0.46,1.24
20,2022-04-08 01:30:00,2022-04-08 02:00:00,0.45,1.21
21,2022-04-08 03:15:00,2022-04-08 03:30:00,0.46,1.2
22,2022-04-08 04:45:00,2022-04-08 05:15:00,0.42,1.16
23,2022-04-08 06:30:00,2022-04-08 07:00:00,0.46,1.28
24,2022-04-08 08:30:00,2022-04-08 08:45:00,0.42,1.13
25,2022-04-08 10:45:00,2022-04-08 10:45:00,0.12,0.47
26,2022-04-08 13:00:00,2022-04-08 13:15:00,0.34,0.92
27,2022-04-08 16:00:00,2022-04-08 16:15:00,0.4,0.97
28,2022-04-08 18:45:00,2022-04-08 19:00:00,0.4,0.98
29,2022-04-08 20:45:00,2022-04-08 21:00:00,0.44,1.04
30,2022-04-08 23:15:00,2022-04-08 23:30:00,0.39,1.02
31,2022-04-09 01:15:00,2022-04-09 01:30:00,0.42,1.01
32,2022-04-09 03:00:00,2022-04-09 03:15:00,0.45,1.2
33,2022-04-09 04:30:00,2022-04-09 05:00:00,0.47,1.32
34,2022-04-09 06:00:00,2022-04-09 06:30:00,0.49,1.41
35,2022-04-09 07:30:00,2022-04-09 08:00:00,0.5,1.38
36,2022-04-09 09:15:00,2022-04-09 09:45:00,0.49,1.38
37,2022-04-09 11:30:00,2022-04-09 12:00:00,0.37,1.01
38,2022-04-09 14:45:00,2022-04-09 15:00:00,0.43,1.03
39,2022-04-09 17:15:00,2022-04-09 17:30:00,0.48,1.02
40,2022-04-09 19:00:00,2022-04-09 19:15:00,0.43,1.09
41,2022-04-09 21:00:00,2022-04-09 21:15:00,0.49,1.34
42,2022-04-09 22:45:00,2022-04-09 23:00:00,0.49,1.4
43,2022-04-10 00:15:00,2022-04-10 00:45:00,0.46,1.32
44,2022-04-10 01:45:00,2022-04-10 02:15:00,0.49,1.37
45,2022-04-10 03:30:00,2022-04-10 03:45:00,0.48,1.36
46,2022-04-10 05:00:00,2022-04-10 05:30:00,0.54,1.57
47,2022-04-10 06:45:00,2022-04-10 07:15:00,0.55,1.65
48,2022-04-10 09:45:00,2022-04-10 10:00:00,0.47,1.33
49,2022-04-10 11:30:00,2022-04-10 11:45:00,0.42,1.01
50,2022-04-10 13:30:00,2022-04-10 13:45:00,0.42,1.06
51,2022-04-10 16:00:00,2022-04-10 16:30:00,0.41,1.12
52,2022-04-10 18:15:00,2022-04-10 18:45:00,0.38,1.06
53,2022-04-10 20:00:00,2022-04-10 20:30:00,0.47,1.32
54,2022-04-10 22:00:00,2022-04-10 22:15:00,0.45,1.29
55,2022-04-10 23:45:00,2022-04-11 00:00:00,0.47,1.32
56,2022-04-11 01:30:00,2022-04-11 01:45:00,0.45,1.27
57,2022-04-11 03:00:00,2022-04-11 03:30:00,0.47,1.39
58,2022-04-11 04:45:00,2022-04-11 05:15:00,0.5,1.44
59,2022-04-11 06:15:00,2022-04-11 06:30:00,0.46,1.33
60,2022-04-11 07:45:00,2022-04-11 08:00:00,0.38,1.08
61,2022-04-11 10:15:00,2022-04-11 10:45:00,0.41,1.15
62,2022-04-11 14:30:00,2022-04-11 15:00:00,0.36,0.96
63,2022-04-11 18:45:00,2022-04-11 19:00:00,0.46,1.12
64,2022-04-11 20:30:00,2022-04-11 20:45:00,0.46,1.22
65,2022-04-11 22:15:00,2022-04-11 22:30:00,0.46,1.24
66,2022-04-12 00:00:00,2022-04-12 00:15:00,0.47,1.3
67,2022-04-12 01:45:00,2022-04-12 02:00:00,0.49,1.33
68,2022-04-12 03:30:00,2022-04-12 03:45:00,0.48,1.34
69,2022-04-12 05:00:00,2022-04-12 05:30:00,0.47,1.32
70,2022-04-12 07:00:00,2022-04-12 07:15:00,0.49,1.36
71,2022-04-12 19:30:00,2022-04-12 19:45:00,0.33,0.86
72,2022-04-12 21:45:00,2022-04-12 22:15:00,0.38,1.01
73,2022-04-13 00:30:00,2022-04-13 00:45:00,0.35,0.92
74,2022-04-13 02:45:00,2022-04-13 03:00:00,0.34,0.95
75,2022-04-13 04:45:00,2022-04-13 05:15:00,0.4,1.13
76,2022-04-13 06:45:00,2022-04-13 07:00:00,0.44,1.06
77,2022-04-13 19:30:00,2022-04-13 20:00:00,0.35,0.91
78,2022-04-13 22:45:00,2022-04-13 23:00:00,0.33,0.9
79,2022-04-14 01:45:00,2022-04-14 02:15:00,0.34,0.95
80,2022-04-14 05:30:00,2022-04-14 05:45:00,0.46,0.94
81,2022-04-14 21:00:00,2022-04-14 21:30:00,0.4,1.06
82,2022-04-15 02:00:00,2022-04-15 02:30:00,0.35,0.92
83,2022-04-15 06:00:00,2022-04-15 06:15:00,0.37,0.92
84,2022-04-15 19:30:00,2022-04-15 20:00:00,0.35,0.91
85,2022-04-15 22:45:00,2022-04-15 23:00:00,0.49,0.93
86,2022-04-16 02:00:00,2022-04-16 02:15:00,0.47,0.94
87,2022-04-16 05:00:00,2022-04-16 05:30:00,0.35,0.97
88,2022-04-16 10:30:00,2022-04-16 10:45:00,0.35,0.92
89,2022-04-16 16:30:00,2022-04-16 16:45:00,0.37,0.92
90,2022-04-16 20:00:00,2022-04-16 20:15:00,0.42,0.94
91,2022-04-16 23:00:00,2022-04-16 23:15:00,0.42,0.95
92,2022-04-17 01:45:00,2022-04-17 02:15:00,0.37,1.06
93,2022-04-17 04:00:00,2022-04-17 04:30:00,0.4,1.17
94,2022-04-17 06:15:00,2022-04-17 06:30:00,0.37,1.14
95,2022-04-17 16:30:00,2022-04-17 16:45:00,0.38,0.9
96,2022-04-17 19:45:00,2022-04-17 20:15:00,0.36,1.01
97,2022-04-17 22:15:00,2022-04-17 22:30:00,0.35,0.96
98,2022-04-18 00:45:00,2022-04-18 01:15:00,0.4,1.14
99,2022-04-18 03:00:00,2022-04-18 03:15:00,0.41,1.1
100,2022-04-18 05:15:00,2022-04-18 05:30:00,0.42,1.14
101,2022-04-18 07:30:00,2022-04-18 07:45:00,0.43,1.09
102,2022-04-18 12:00:00,2022-04-18 12:15:00,0.41,0.94
103,2022-04-18 18:45:00,2022-04-18 19:00:00,0.37,0.91
104,2022-04-18 20:45:00,2022-04-18 21:00:00,0.4,1.06
105,2022-04-18 23:15:00,2022-04-18 23:30:00,0.35,1.03
106,2022-04-19 01:45:00,2022-04-19 02:00:00,0.49,1.09
107,2022-04-19 04:00:00,2022-04-19 04:30:00,0.38,1.11
108,2022-04-19 06:15:00,2022-04-19 06:45:00,0.41,1.23
109,2022-04-19 18:45:00,2022-04-19 19:00:00,0.38,0.89
110,2022-04-19 21:30:00,2022-04-19 21:45:00,0.47,0.93
111,2022-04-20 00:30:00,2022-04-20 00:45:00,0.5,1.01
112,2022-04-20 02:45:00,2022-04-20 03:00:00,0.42,1.02
113,2022-04-20 05:00:00,2022-04-20 05:30:00,0.4,1.15
114,2022-04-20 07:15:00,2022-04-20 07:30:00,0.43,1.18
115,2022-04-20 14:30:00,2022-04-20 14:45:00,0.46,0.91
116,2022-04-20 19:00:00,2022-04-20 19:15:00,0.46,0.92
117,2022-04-20 21:00:00,2022-04-20 21:15:00,0.45,0.93
118,2022-04-20 23:00:00,2022-04-20 23:30:00,0.4,1.14
119,2022-04-21 01:00:00,2022-04-21 01:15:00,0.41,1.14
120,2022-04-21 02:45:00,2022-04-21 03:15:00,0.44,1.24
121,2022-04-21 04:45:00,2022-04-21 05:15:00,0.44,1.28
122,2022-04-21 06:45:00,2022-04-21 07:15:00,0.46,1.32
123,2022-04-21 18:45:00,2022-04-21 19:00:00,0.38,0.92
124,2022-04-21 21:45:00,2022-04-21 22:00:00,0.33,0.9
125,2022-04-22 00:30:00,2022-04-22 00:45:00,0.37,1.04
126,2022-04-22 03:00:00,2022-04-22 03:15:00,0.47,1.1
127,2022-04-22 05:30:00,2022-04-22 06:00:00,0.41,1.18
128,2022-04-22 12:45:00,2022-04-22 13:00:00,0.45,0.91
129,2022-04-22 19:30:00,2022-04-22 19:45:00,0.35,0.92
130,2022-04-22 21:45:00,2022-04-22 22:00:00,0.37,1.04
131,2022-04-23 00:30:00,2022-04-23 00:45:00,0.35,1.0
132,2022-04-23 03:30:00,2022-04-23 04:00:00,0.36,1.02
133,2022-04-23 06:45:00,2022-04-23 07:00:00,0.42,0.97
134,2022-04-23 10:30:00,2022-04-23 10:45:00,0.34,0.94
135,2022-04-23 17:00:00,2022-04-23 17:30:00,0.34,0.93
136,2022-04-23 20:30:00,2022-04-23 20:45:00,0.38,0.93
137,2022-04-23 23:45:00,2022-04-24 00:00:00,0.37,0.93
138,2022-04-24 02:45:00,2022-04-24 03:00:00,0.35,0.96
139,2022-04-24 05:15:00,2022-04-24 05:45:00,0.36,1.02
140,2022-04-24 08:00:00,2022-04-24 08:15:00,0.44,0.96
141,2022-04-24 12:30:00,2022-04-24 12:45:00,0.42,0.93
142,2022-04-24 16:15:00,2022-04-24 16:45:00,0.36,0.98
143,2022-04-24 19:00:00,2022-04-24 19:15:00,0.49,0.94
144,2022-04-24 22:00:00,2022-04-24 22:15:00,0.4,0.95
145,2022-04-25 01:00:00,2022-04-25 01:15:00,0.48,0.94
146,2022-04-25 04:00:00,2022-04-25 04:15:00,0.49,0.97
147,2022-04-25 07:00:00,2022-04-25 07:30:00,0.35,0.96
148,2022-04-25 12:00:00,2022-04-25 12:15:00,0.43,1.0
149,2022-04-25 18:45:00,2022-04-25 19:00:00,0.46,1.11
150,2022-04-25 21:15:00,2022-04-25 21:30:00,0.43,0.97
151,2022-04-25 23:45:00,2022-04-26 00:00:00,0.39,1.0
152,2022-04-26 02:30:00,2022-04-26 03:00:00,0.36,0.98
153,2022-04-26 05:30:00,2022-04-26 05:45:00,0.37,0.97
154,2022-04-26 08:00:00,2022-04-26 08:15:00,0.4,1.08
155,2022-04-26 10:45:00,2022-04-26 10:45:00,0.12,0.28
156,2022-04-26 13:00:00,2022-04-26 13:30:00,0.35,0.94
157,2022-04-26 18:45:00,2022-04-26 19:00:00,0.42,1.03
