cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:00:00,2021-01-20 23:30:00,0.64,2.59
1,2021-01-21 00:30:00,2021-01-21 02:30:00,1.95,4.97
2,2021-01-21 03:30:00,2021-01-21 05:45:00,2.19,7.75
3,2021-01-21 06:15:00,2021-01-21 08:15:00,1.9,5.25
4,2021-01-21 09:00:00,2021-01-21 09:15:00,0.44,1.81
5,2021-01-21 09:45:00,2021-01-21 10:00:00,0.43,0.78
6,2021-01-21 11:00:00,2021-01-21 11:45:00,0.64,2.67
7,2021-01-21 12:15:00,2021-01-21 12:30:00,0.34,1.31
8,2021-01-21 13:00:00,2021-01-21 14:00:00,0.97,2.62
9,2021-01-21 14:30:00,2021-01-21 14:45:00,0.48,1.32
10,2021-01-21 15:30:00,2021-01-21 16:30:00,1.25,2.56
11,2021-01-21 17:00:00,2021-01-21 17:15:00,0.3,0.93
12,2021-01-21 17:45:00,2021-01-21 19:30:00,1.88,4.41
13,2021-01-21 20:00:00,2021-01-21 20:30:00,0.48,2.01
14,2021-01-21 22:15:00,2021-01-21 22:15:00,0.12,0.2
15,2021-01-21 23:00:00,2021-01-21 23:45:00,0.87,2.33
16,2021-01-22 01:30:00,2021-01-22 02:00:00,0.57,0.64
17,2021-01-22 02:30:00,2021-01-22 03:00:00,0.57,2.18
18,2021-01-22 04:30:00,2021-01-22 05:45:00,1.48,4.81
19,2021-01-22 06:30:00,2021-01-22 06:45:00,0.39,2.12
20,2021-01-22 07:30:00,2021-01-22 08:00:00,0.45,1.88
21,2021-01-22 08:30:00,2021-01-22 08:30:00,0.12,0.9
22,2021-01-22 09:15:00,2021-01-22 09:30:00,0.37,1.42
23,2021-01-22 11:00:00,2021-01-22 11:45:00,0.62,2.55
24,2021-01-22 12:30:00,2021-01-22 12:45:00,0.39,1.21
25,2021-01-22 13:15:00,2021-01-22 14:00:00,0.68,2.07
26,2021-01-22 14:30:00,2021-01-22 15:00:00,0.37,1.54
27,2021-01-22 15:30:00,2021-01-22 16:15:00,1.0,2.76
28,2021-01-22 17:30:00,2021-01-22 18:15:00,0.7,3.38
29,2021-01-22 18:45:00,2021-01-22 19:15:00,0.39,1.63
30,2021-01-22 19:45:00,2021-01-22 20:45:00,0.88,2.53
31,2021-01-22 21:15:00,2021-01-22 22:15:00,1.09,7.66
32,2021-01-22 23:45:00,2021-01-23 01:00:00,1.4,3.91
33,2021-01-23 02:15:00,2021-01-23 03:15:00,1.16,3.1
34,2021-01-23 04:30:00,2021-01-23 06:00:00,1.75,5.11
35,2021-01-23 06:45:00,2021-01-23 08:45:00,2.12,7.29
36,2021-01-23 09:15:00,2021-01-23 09:45:00,0.58,2.3
37,2021-01-23 10:30:00,2021-01-23 10:45:00,0.48,2.02
38,2021-01-23 11:15:00,2021-01-23 12:45:00,1.73,3.94
39,2021-01-23 13:15:00,2021-01-23 13:45:00,0.57,1.86
40,2021-01-23 14:15:00,2021-01-23 15:00:00,0.98,3.59
41,2021-01-23 15:30:00,2021-01-23 18:30:00,3.06,9.42
42,2021-01-23 19:00:00,2021-01-23 19:30:00,0.52,2.95
43,2021-01-23 20:00:00,2021-01-23 20:30:00,0.58,2.45
44,2021-01-23 21:15:00,2021-01-23 21:45:00,0.62,2.82
45,2021-01-23 23:15:00,2021-01-23 23:15:00,0.12,0.51
46,2021-01-23 23:45:00,2021-01-24 00:30:00,0.87,3.02
47,2021-01-24 01:45:00,2021-01-24 03:15:00,1.55,4.15
48,2021-01-24 04:15:00,2021-01-24 09:15:00,5.2,15.86
49,2021-01-24 09:45:00,2021-01-24 11:30:00,1.82,5.78
50,2021-01-24 12:00:00,2021-01-24 12:30:00,0.61,2.62
51,2021-01-24 13:00:00,2021-01-24 13:45:00,0.97,2.45
52,2021-01-24 14:15:00,2021-01-24 21:00:00,6.85,22.58
53,2021-01-24 21:30:00,2021-01-24 21:45:00,0.42,1.47
54,2021-01-24 23:00:00,2021-01-24 23:45:00,0.8,2.81
55,2021-01-25 01:00:00,2021-01-25 02:30:00,1.68,4.35
56,2021-01-25 03:30:00,2021-01-25 10:00:00,6.41,20.94
57,2021-01-25 11:00:00,2021-01-25 11:45:00,0.81,3.26
58,2021-01-25 12:15:00,2021-01-25 12:30:00,0.37,1.56
59,2021-01-25 13:15:00,2021-01-25 14:30:00,1.4,4.74
