cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-08-14 02:45:00,2022-08-14 02:45:00,0.12,0.26
1,2022-08-14 06:30:00,2022-08-14 06:30:00,0.12,0.29
2,2022-08-16 03:00:00,2022-08-16 03:00:00,0.12,0.28
3,2022-08-20 05:00:00,2022-08-20 05:15:00,0.49,0.31
4,2022-08-22 04:30:00,2022-08-22 04:45:00,0.34,0.32
5,2022-08-22 06:30:00,2022-08-22 06:30:00,0.12,0.26
6,2022-08-23 05:00:00,2022-08-23 05:00:00,0.12,0.32
7,2022-08-23 07:15:00,2022-08-23 07:15:00,0.12,0.27
8,2022-08-24 01:45:00,2022-08-24 02:00:00,0.34,0.32
9,2022-08-24 05:00:00,2022-08-24 05:00:00,0.12,0.26
10,2022-08-24 06:30:00,2022-08-24 06:30:00,0.12,0.3
11,2022-08-25 04:30:00,2022-08-25 04:30:00,0.12,0.29
12,2022-08-25 07:30:00,2022-08-25 07:30:00,0.12,0.24
13,2022-08-28 03:30:00,2022-08-28 03:30:00,0.12,0.2
14,2022-08-29 04:00:00,2022-08-29 04:00:00,0.12,0.31
15,2022-08-29 06:30:00,2022-08-29 06:30:00,0.12,0.25
16,2022-08-30 05:45:00,2022-08-30 06:00:00,0.35,0.3
17,2022-09-01 00:00:00,2022-09-01 00:15:00,0.5,0.32
18,2022-09-01 02:30:00,2022-09-01 02:30:00,0.12,0.26
19,2022-09-01 06:15:00,2022-09-01 06:15:00,0.12,0.27
20,2022-09-01 22:30:00,2022-09-01 22:30:00,0.12,0.31
21,2022-09-02 00:45:00,2022-09-02 01:00:00,0.36,0.27
22,2022-09-02 02:15:00,2022-09-02 02:15:00,0.12,0.3
23,2022-09-02 03:30:00,2022-09-02 03:30:00,0.12,0.25
24,2022-09-02 05:15:00,2022-09-02 05:15:00,0.12,0.27
25,2022-09-02 07:00:00,2022-09-02 07:00:00,0.12,0.26
26,2022-09-02 23:30:00,2022-09-02 23:45:00,0.44,0.32
27,2022-09-03 02:00:00,2022-09-03 02:15:00,0.32,0.27
28,2022-09-04 01:15:00,2022-09-04 01:30:00,0.44,0.34
29,2022-09-04 03:00:00,2022-09-04 03:00:00,0.12,0.26
30,2022-09-04 05:30:00,2022-09-04 05:30:00,0.12,0.24
31,2022-09-05 02:45:00,2022-09-05 02:45:00,0.12,0.31
32,2022-09-05 04:30:00,2022-09-05 04:45:00,0.32,0.27
33,2022-09-05 07:30:00,2022-09-05 07:30:00,0.12,0.26
34,2022-09-08 21:45:00,2022-09-08 21:45:00,0.12,0.34
35,2022-09-08 23:30:00,2022-09-08 23:30:00,0.12,0.26
36,2022-09-09 02:15:00,2022-09-09 02:15:00,0.12,0.23
37,2022-09-09 05:45:00,2022-09-09 06:00:00,0.5,0.28
38,2022-09-09 21:00:00,2022-09-09 21:15:00,0.34,0.31
39,2022-09-09 23:00:00,2022-09-09 23:00:00,0.12,0.27
40,2022-09-10 02:15:00,2022-09-10 02:15:00,0.12,0.24
41,2022-09-10 05:30:00,2022-09-10 05:30:00,0.12,0.27
42,2022-09-10 21:00:00,2022-09-10 21:00:00,0.12,0.34
43,2022-09-10 22:30:00,2022-09-10 22:30:00,0.12,0.22
44,2022-09-11 01:00:00,2022-09-11 01:00:00,0.12,0.25
45,2022-09-11 03:45:00,2022-09-11 03:45:00,0.12,0.26
46,2022-09-11 07:00:00,2022-09-11 07:00:00,0.12,0.26
47,2022-09-11 21:15:00,2022-09-11 21:30:00,0.49,0.33
48,2022-09-11 23:15:00,2022-09-11 23:15:00,0.12,0.25
49,2022-09-12 00:30:00,2022-09-12 00:30:00,0.12,0.28
50,2022-09-12 01:30:00,2022-09-12 01:45:00,0.35,0.28
51,2022-09-12 03:00:00,2022-09-12 03:00:00,0.12,0.28
52,2022-09-12 04:45:00,2022-09-12 04:45:00,0.12,0.42
53,2022-09-12 05:30:00,2022-09-12 05:30:00,0.12,0.32
54,2022-09-12 23:15:00,2022-09-12 23:15:00,0.12,0.31
55,2022-09-13 01:15:00,2022-09-13 01:15:00,0.12,0.26
56,2022-09-13 04:00:00,2022-09-13 04:15:00,0.33,0.35
57,2022-09-13 05:15:00,2022-09-13 05:15:00,0.12,0.28
58,2022-09-13 06:30:00,2022-09-13 06:30:00,0.12,0.29
59,2022-09-13 08:00:00,2022-09-13 08:00:00,0.12,0.27
60,2022-09-16 03:30:00,2022-09-16 03:45:00,0.36,0.38
61,2022-09-16 04:45:00,2022-09-16 04:45:00,0.12,0.28
62,2022-09-16 06:15:00,2022-09-16 06:15:00,0.12,0.25
63,2022-09-16 08:15:00,2022-09-16 08:15:00,0.12,0.27
64,2022-09-16 19:15:00,2022-09-16 19:30:00,0.3,0.37
65,2022-09-16 20:45:00,2022-09-16 20:45:00,0.12,0.26
66,2022-09-16 22:30:00,2022-09-16 22:30:00,0.12,0.27
67,2022-09-17 00:15:00,2022-09-17 00:15:00,0.12,0.32
68,2022-09-17 01:15:00,2022-09-17 01:15:00,0.12,0.28
69,2022-09-17 02:30:00,2022-09-17 02:30:00,0.12,0.28
