cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-24 03:15:00,2021-01-24 08:15:00,4.99,16.26
1,2021-01-24 08:45:00,2021-01-24 09:00:00,0.45,0.96
2,2021-01-24 09:30:00,2021-01-24 09:30:00,0.12,0.89
3,2021-01-24 10:00:00,2021-01-24 11:15:00,1.49,2.84
4,2021-01-24 11:45:00,2021-01-24 11:45:00,0.12,0.87
5,2021-01-24 12:15:00,2021-01-24 13:00:00,0.9,1.8
6,2021-01-24 13:30:00,2021-01-24 15:30:00,2.21,5.0
7,2021-01-24 16:00:00,2021-01-24 18:15:00,2.47,6.83
8,2021-01-24 18:45:00,2021-01-24 19:15:00,0.51,1.89
9,2021-01-24 19:45:00,2021-01-24 20:45:00,1.17,2.82
10,2021-01-24 21:15:00,2021-01-24 21:15:00,0.12,0.15
11,2021-01-25 02:45:00,2021-01-25 09:30:00,6.98,20.41
12,2021-01-25 11:00:00,2021-01-25 12:30:00,1.72,4.28
13,2021-01-25 13:00:00,2021-01-25 14:15:00,1.5,2.38
14,2021-01-25 14:45:00,2021-01-25 14:45:00,0.12,0.66
15,2021-01-25 15:15:00,2021-01-25 16:15:00,1.25,2.6
16,2021-01-25 17:45:00,2021-01-25 21:15:00,3.74,8.97
17,2021-01-26 02:00:00,2021-01-26 02:15:00,0.37,0.97
18,2021-01-26 03:15:00,2021-01-26 09:45:00,6.65,21.91
19,2021-01-26 11:00:00,2021-01-26 14:00:00,3.25,5.97
20,2021-01-26 14:30:00,2021-01-26 14:30:00,0.12,0.86
21,2021-01-26 15:00:00,2021-01-26 16:30:00,1.5,5.41
22,2021-01-26 17:45:00,2021-01-26 20:15:00,2.74,7.54
23,2021-01-26 20:45:00,2021-01-26 20:45:00,0.12,0.9
24,2021-01-27 02:15:00,2021-01-27 09:45:00,7.69,23.28
25,2021-01-27 11:00:00,2021-01-27 13:00:00,2.09,7.02
26,2021-01-27 14:45:00,2021-01-27 16:15:00,1.54,4.53
27,2021-01-27 17:45:00,2021-01-27 18:30:00,0.96,2.67
28,2021-01-27 20:30:00,2021-01-27 21:15:00,0.72,1.76
29,2021-01-27 23:15:00,2021-01-27 23:30:00,0.46,1.01
30,2021-01-28 00:30:00,2021-01-28 01:00:00,0.49,1.51
31,2021-01-28 02:30:00,2021-01-28 08:30:00,6.09,17.81
32,2021-01-28 09:00:00,2021-01-28 09:15:00,0.43,0.91
33,2021-01-28 09:45:00,2021-01-28 09:45:00,0.12,0.53
34,2021-01-28 11:00:00,2021-01-28 14:15:00,3.5,5.22
35,2021-01-28 14:45:00,2021-01-28 14:45:00,0.12,0.61
36,2021-01-28 15:15:00,2021-01-28 15:15:00,0.12,0.48
37,2021-01-28 15:45:00,2021-01-28 15:45:00,0.12,0.62
38,2021-01-28 16:15:00,2021-01-28 16:15:00,0.12,0.43
39,2021-01-28 17:45:00,2021-01-28 18:00:00,0.43,0.97
40,2021-01-28 18:30:00,2021-01-28 20:30:00,2.25,2.84
41,2021-01-28 21:00:00,2021-01-28 21:00:00,0.12,0.39
42,2021-01-29 03:15:00,2021-01-29 05:15:00,2.13,5.8
