cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-09 03:45:00,2022-05-09 05:45:00,2.16,4.53
1,2022-05-09 20:15:00,2022-05-09 20:30:00,0.47,0.75
2,2022-05-09 21:45:00,2022-05-10 06:45:00,9.09,19.6
3,2022-05-11 03:45:00,2022-05-11 07:00:00,3.14,6.56
4,2022-05-11 22:15:00,2022-05-11 22:30:00,0.4,0.81
5,2022-05-12 03:45:00,2022-05-12 05:00:00,1.48,3.04
6,2022-05-12 23:15:00,2022-05-12 23:45:00,0.47,0.93
7,2022-05-13 20:30:00,2022-05-13 20:45:00,0.49,0.98
8,2022-05-15 01:45:00,2022-05-15 05:30:00,3.73,7.78
9,2022-05-15 22:15:00,2022-05-15 22:30:00,0.42,0.67
10,2022-05-16 21:45:00,2022-05-16 22:00:00,0.36,0.7
11,2022-05-17 03:00:00,2022-05-17 03:30:00,0.66,1.28
12,2022-05-17 05:15:00,2022-05-17 05:45:00,0.6,1.27
13,2022-05-18 02:45:00,2022-05-18 03:15:00,0.68,1.4
14,2022-05-18 04:45:00,2022-05-18 05:15:00,0.61,1.28
15,2022-05-18 06:30:00,2022-05-18 06:45:00,0.35,0.73
16,2022-05-21 22:30:00,2022-05-21 22:45:00,0.49,0.37
17,2022-05-23 17:00:00,2022-05-23 17:00:00,0.12,0.18
18,2022-05-25 21:00:00,2022-05-25 21:15:00,0.44,0.34
19,2022-05-26 21:15:00,2022-05-26 21:15:00,0.12,0.3
20,2022-05-27 03:15:00,2022-05-27 04:00:00,0.65,1.31
21,2022-05-27 05:00:00,2022-05-27 05:30:00,0.58,1.22
22,2022-05-29 00:15:00,2022-05-29 01:00:00,0.76,1.52
23,2022-05-29 03:15:00,2022-05-29 04:00:00,0.77,1.59
24,2022-05-29 05:45:00,2022-05-29 06:15:00,0.55,1.13
25,2022-05-29 21:00:00,2022-05-29 22:00:00,0.9,1.8
26,2022-05-29 23:15:00,2022-05-30 00:00:00,0.79,1.63
27,2022-05-30 01:15:00,2022-05-30 01:45:00,0.55,1.18
28,2022-05-30 03:00:00,2022-05-30 03:45:00,0.78,1.66
29,2022-05-30 04:30:00,2022-05-30 05:15:00,0.81,1.76
30,2022-05-30 06:15:00,2022-05-30 06:45:00,0.59,1.25
31,2022-05-30 23:45:00,2022-05-31 00:15:00,0.59,1.19
32,2022-05-31 01:45:00,2022-05-31 02:15:00,0.61,1.23
33,2022-05-31 04:45:00,2022-05-31 05:00:00,0.49,0.79
34,2022-05-31 17:00:00,2022-05-31 17:00:00,0.12,0.22
35,2022-06-01 03:30:00,2022-06-01 04:00:00,0.57,1.12
36,2022-06-01 19:30:00,2022-06-01 19:45:00,0.46,0.41
37,2022-06-02 05:45:00,2022-06-02 06:00:00,0.47,0.87
38,2022-06-05 00:45:00,2022-06-05 01:00:00,0.35,0.48
39,2022-06-05 19:45:00,2022-06-05 20:00:00,0.42,0.4
40,2022-06-06 05:45:00,2022-06-06 06:15:00,0.63,1.21
41,2022-06-08 01:45:00,2022-06-08 02:15:00,0.75,1.43
42,2022-06-08 04:30:00,2022-06-08 05:00:00,0.52,1.05
43,2022-06-08 06:15:00,2022-06-08 06:45:00,0.47,0.93
44,2022-06-08 16:15:00,2022-06-08 16:15:00,0.12,0.14
45,2022-06-09 20:00:00,2022-06-09 20:30:00,0.61,1.2
46,2022-06-10 00:00:00,2022-06-10 00:30:00,0.61,1.23
47,2022-06-10 02:15:00,2022-06-10 02:45:00,0.65,1.3
48,2022-06-10 04:30:00,2022-06-10 04:45:00,0.39,0.78
49,2022-06-10 06:30:00,2022-06-10 06:45:00,0.46,0.94
50,2022-06-10 21:15:00,2022-06-10 21:15:00,0.12,0.3
51,2022-06-11 00:30:00,2022-06-11 01:15:00,0.64,1.28
52,2022-06-11 02:15:00,2022-06-11 02:45:00,0.63,1.29
53,2022-06-11 04:45:00,2022-06-11 05:30:00,0.84,1.72
54,2022-06-12 02:45:00,2022-06-12 03:30:00,0.75,1.49
55,2022-06-12 04:45:00,2022-06-12 05:15:00,0.58,1.22
56,2022-06-13 02:00:00,2022-06-13 02:00:00,0.12,0.31
57,2022-06-13 21:45:00,2022-06-13 22:00:00,0.4,0.32
58,2022-06-14 02:15:00,2022-06-14 02:45:00,0.6,1.22
59,2022-06-14 04:00:00,2022-06-14 04:45:00,0.65,1.33
60,2022-06-16 01:45:00,2022-06-16 01:45:00,0.12,0.35
61,2022-06-17 02:00:00,2022-06-17 02:15:00,0.39,0.32
62,2022-07-02 00:30:00,2022-07-02 01:15:00,0.75,1.46
63,2022-07-02 02:45:00,2022-07-02 03:15:00,0.72,1.45
64,2022-07-02 04:30:00,2022-07-02 04:45:00,0.49,0.98
65,2022-07-02 06:00:00,2022-07-02 06:30:00,0.53,1.06
66,2022-07-09 04:00:00,2022-07-09 05:00:00,1.03,2.08
67,2022-08-24 05:15:00,2022-08-24 06:45:00,1.72,3.37
68,2022-09-02 01:45:00,2022-09-02 02:15:00,0.39,1.77
69,2022-09-02 04:30:00,2022-09-02 05:00:00,0.45,2.06
70,2022-09-02 07:30:00,2022-09-02 07:45:00,0.34,1.26
