cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 01:30:00,2.75,10.26
1,2021-01-20 02:00:00,2021-01-20 03:15:00,1.36,3.0
2,2021-01-20 03:45:00,2021-01-20 04:15:00,0.66,1.47
3,2021-01-20 04:45:00,2021-01-20 05:00:00,0.39,0.85
4,2021-01-20 05:30:00,2021-01-20 05:45:00,0.44,0.85
5,2021-01-20 06:15:00,2021-01-20 06:30:00,0.33,0.9
6,2021-01-20 07:00:00,2021-01-20 07:30:00,0.6,1.55
7,2021-01-20 08:00:00,2021-01-20 08:45:00,1.0,1.64
8,2021-01-20 09:15:00,2021-01-20 09:30:00,0.47,0.73
9,2021-01-20 11:00:00,2021-01-20 11:15:00,0.47,1.16
10,2021-01-20 11:45:00,2021-01-20 11:45:00,0.12,0.49
11,2021-01-20 12:30:00,2021-01-20 12:45:00,0.49,1.0
12,2021-01-20 13:15:00,2021-01-20 13:15:00,0.12,0.53
13,2021-01-20 13:45:00,2021-01-20 14:00:00,0.47,0.57
14,2021-01-20 14:30:00,2021-01-20 14:30:00,0.12,0.55
15,2021-01-20 15:00:00,2021-01-20 15:00:00,0.12,0.52
16,2021-01-20 15:30:00,2021-01-20 15:45:00,0.48,0.52
17,2021-01-20 16:15:00,2021-01-20 16:15:00,0.12,0.6
18,2021-01-20 16:45:00,2021-01-20 16:45:00,0.12,0.46
19,2021-01-20 18:15:00,2021-01-20 18:45:00,0.73,1.7
20,2021-01-20 19:15:00,2021-01-20 19:30:00,0.39,0.6
21,2021-01-20 20:00:00,2021-01-20 20:00:00,0.12,0.53
22,2021-01-20 20:30:00,2021-01-20 20:30:00,0.12,0.52
23,2021-01-20 21:00:00,2021-01-20 21:15:00,0.35,0.64
24,2021-01-20 21:45:00,2021-01-20 21:45:00,0.12,0.59
25,2021-01-20 22:15:00,2021-01-21 00:00:00,1.79,7.52
26,2021-01-21 00:30:00,2021-01-21 01:15:00,0.97,2.2
27,2021-01-21 01:45:00,2021-01-21 02:30:00,0.89,1.68
28,2021-01-21 03:00:00,2021-01-21 03:00:00,0.12,0.56
29,2021-01-21 03:30:00,2021-01-21 04:15:00,1.0,1.11
30,2021-01-21 04:45:00,2021-01-21 04:45:00,0.12,0.57
31,2021-01-21 05:15:00,2021-01-21 05:30:00,0.47,0.55
32,2021-01-21 06:00:00,2021-01-21 06:00:00,0.12,0.55
33,2021-01-21 06:30:00,2021-01-21 07:00:00,0.52,1.13
34,2021-01-21 07:30:00,2021-01-21 07:30:00,0.12,0.47
35,2021-01-21 08:00:00,2021-01-21 08:00:00,0.12,0.52
36,2021-01-21 08:30:00,2021-01-21 09:15:00,1.0,1.03
37,2021-01-21 09:45:00,2021-01-21 09:45:00,0.12,0.48
38,2021-01-21 11:00:00,2021-01-21 11:15:00,0.3,0.77
39,2021-01-21 11:45:00,2021-01-21 11:45:00,0.12,0.31
40,2021-01-21 12:15:00,2021-01-21 12:15:00,0.12,0.37
41,2021-01-21 13:00:00,2021-01-21 13:00:00,0.12,0.35
42,2021-01-21 13:30:00,2021-01-21 13:30:00,0.12,0.34
